_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:45:29.151228","0.000000000",,"1","76",,,,,,,
"12:45:29.229837","0.078609000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"12:45:29.229862","0.078634000",,"3","58","100.64.0.2",,"1.1.1.1",,,,
"12:45:29.423185","0.271957000",,"4","76",,,,,,,
"12:45:29.615362","0.464134000",,"5","76",,,,,,,
"12:45:29.871243","0.720015000",,"6","76",,,,,,,
"12:45:32.687236","3.536008000",,"7","48",,,,,,,
"12:45:32.687325","3.536097000",,"8","48",,,,,,,
"12:45:34.229917","5.078689000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"12:45:34.229942","5.078714000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"12:45:34.234527","5.083299000",,"11","193","8.8.8.8",,"100.64.0.2",,,,
"12:45:34.249093","5.097865000",,"12","167","8.8.8.8",,"100.64.0.2",,,,
"12:45:34.542440","5.391212000","0.000000000","13","60","100.64.0.2","41354","125.56.199.16","443","0","0","0"
"12:45:34.545450","5.394222000","0.003010000","14","60","125.56.199.16","443","100.64.0.2","41354","0","0","1"
"12:45:34.708646","5.557418000","0.166206000","15","60","125.56.199.16","443","100.64.0.2","41354","0","0","1"
"12:45:34.854376","5.703148000","0.311936000","16","52","100.64.0.2","41354","125.56.199.16","443","0","1","1"
"12:45:34.854408","5.703180000","0.311968000","17","100","100.64.0.2","41354","125.56.199.16","443","48","1","1"
"12:45:34.854418","5.703190000","0.311978000","18","100","100.64.0.2","41354","125.56.199.16","443","48","49","1"
"12:45:34.854428","5.703200000","0.311988000","19","100","100.64.0.2","41354","125.56.199.16","443","48","97","1"
"12:45:34.854437","5.703209000","0.311997000","20","100","100.64.0.2","41354","125.56.199.16","443","48","145","1"
"12:45:34.854445","5.703217000","0.312005000","21","100","100.64.0.2","41354","125.56.199.16","443","48","193","1"
"12:45:34.854454","5.703226000","0.312014000","22","100","100.64.0.2","41354","125.56.199.16","443","48","241","1"
