_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:50:33.765793","0.000000000",,"1","64","100.64.0.2",,"1.1.1.1",,,,
"12:50:33.765818","0.000025000",,"2","64","100.64.0.2",,"1.1.1.1",,,,
"12:50:33.903335","0.137542000",,"3","76",,,,,,,
"12:50:34.159216","0.393423000",,"4","76",,,,,,,
"12:50:34.383223","0.617430000",,"5","76",,,,,,,
"12:50:37.583328","3.817535000",,"6","48",,,,,,,
"12:50:37.839236","4.073443000",,"7","48",,,,,,,
"12:50:38.766060","5.000267000",,"8","64","100.64.0.2",,"8.8.8.8",,,,
"12:50:38.766086","5.000293000",,"9","64","100.64.0.2",,"8.8.8.8",,,,
"12:50:38.782813","5.017020000",,"10","232","8.8.8.8",,"100.64.0.2",,,,
"12:50:39.139942","5.374149000",,"11","215","8.8.8.8",,"100.64.0.2",,,,
"12:50:39.391332","5.625539000","0.000000000","12","60","100.64.0.2","46646","47.246.174.14","443","0","0","0"
"12:50:39.394207","5.628414000","0.002875000","13","48","47.246.174.14","443","100.64.0.2","46646","0","0","1"
"12:50:39.703132","5.937339000","0.311800000","14","40","100.64.0.2","46646","47.246.174.14","443","0","1","1"
"12:50:39.703159","5.937366000","0.311827000","15","100","100.64.0.2","46646","47.246.174.14","443","60","1","1"
"12:50:39.703170","5.937377000","0.311838000","16","100","100.64.0.2","46646","47.246.174.14","443","60","61","1"
"12:50:39.703179","5.937386000","0.311847000","17","100","100.64.0.2","46646","47.246.174.14","443","60","121","1"
"12:50:39.703188","5.937395000","0.311856000","18","100","100.64.0.2","46646","47.246.174.14","443","60","181","1"
"12:50:39.703198","5.937405000","0.311866000","19","100","100.64.0.2","46646","47.246.174.14","443","60","241","1"
"12:50:39.703207","5.937414000","0.311875000","20","100","100.64.0.2","46646","47.246.174.14","443","60","301","1"
"12:50:39.703215","5.937422000","0.311883000","21","78","100.64.0.2","46646","47.246.174.14","443","38","361","1"
"12:50:39.707253","5.941460000","0.315921000","22","40","47.246.174.14","443","100.64.0.2","46646","0","1","61"
"12:50:39.707296","5.941503000","0.315964000","23","40","47.246.174.14","443","100.64.0.2","46646","0","1","121"
"12:50:39.707328","5.941535000","0.315996000","24","40","47.246.174.14","443","100.64.0.2","46646","0","1","181"
"12:50:39.707337","5.941544000","0.316005000","25","40","47.246.174.14","443","100.64.0.2","46646","0","1","241"
