_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:28:34.100816","0.000000000",,"1","60","100.64.0.2",,"1.1.1.1",,,,
"12:28:34.100840","0.000024000",,"2","60","100.64.0.2",,"1.1.1.1",,,,
"12:28:34.255216","0.154400000",,"3","76",,,,,,,
"12:28:34.255337","0.154521000",,"4","76",,,,,,,
"12:28:34.383212","0.282396000",,"5","76",,,,,,,
"12:28:34.863085","0.762269000",,"6","76",,,,,,,
"12:28:37.647225","3.546409000",,"7","48",,,,,,,
"12:28:37.647335","3.546519000",,"8","48",,,,,,,
"12:28:39.100961","5.000145000",,"9","60","100.64.0.2",,"8.8.8.8",,,,
"12:28:39.100985","5.000169000",,"10","60","100.64.0.2",,"8.8.8.8",,,,
"12:28:39.111720","5.010904000",,"11","229","8.8.8.8",,"100.64.0.2",,,,
"12:28:39.112596","5.011780000",,"12","155","8.8.8.8",,"100.64.0.2",,,,
"12:28:39.413937","5.313121000","0.000000000","13","60","100.64.0.2","40064","13.227.253.21","443","0","0","0"
"12:28:39.416492","5.315676000","0.002555000","14","60","13.227.253.21","443","100.64.0.2","40064","0","0","1"
"12:28:39.725704","5.624888000","0.311767000","15","52","100.64.0.2","40064","13.227.253.21","443","0","1","1"
"12:28:39.725730","5.624914000","0.311793000","16","100","100.64.0.2","40064","13.227.253.21","443","48","1","1"
"12:28:39.725741","5.624925000","0.311804000","17","100","100.64.0.2","40064","13.227.253.21","443","48","49","1"
"12:28:39.725750","5.624934000","0.311813000","18","100","100.64.0.2","40064","13.227.253.21","443","48","97","1"
"12:28:39.725759","5.624943000","0.311822000","19","100","100.64.0.2","40064","13.227.253.21","443","48","145","1"
"12:28:39.725768","5.624952000","0.311831000","20","100","100.64.0.2","40064","13.227.253.21","443","48","193","1"
"12:28:39.725777","5.624961000","0.311840000","21","100","100.64.0.2","40064","13.227.253.21","443","48","241","1"
"12:28:39.725786","5.624970000","0.311849000","22","100","100.64.0.2","40064","13.227.253.21","443","48","289","1"
"12:28:39.725795","5.624979000","0.311858000","23","100","100.64.0.2","40064","13.227.253.21","443","48","337","1"
"12:28:39.725808","5.624992000","0.311871000","24","62","100.64.0.2","40064","13.227.253.21","443","10","385","1"
"12:28:39.729691","5.628875000","0.315754000","25","52","13.227.253.21","443","100.64.0.2","40064","0","1","49"
"12:28:39.729734","5.628918000","0.315797000","26","52","13.227.253.21","443","100.64.0.2","40064","0","1","97"
"12:28:39.729765","5.628949000","0.315828000","27","52","13.227.253.21","443","100.64.0.2","40064","0","1","193"
"12:28:39.729774","5.628958000","0.315837000","28","52","13.227.253.21","443","100.64.0.2","40064","0","1","289"
"12:28:39.729800","5.628984000","0.315863000","29","52","13.227.253.21","443","100.64.0.2","40064","0","1","337"
"12:28:39.729810","5.628994000","0.315873000","30","52","13.227.253.21","443","100.64.0.2","40064","0","1","385"
"12:28:39.729865","5.629049000","0.315928000","31","52","13.227.253.21","443","100.64.0.2","40064","0","1","395"
"12:28:39.729878","5.629062000","0.315941000","32","296","13.227.253.21","443","100.64.0.2","40064","244","1","395"
"12:28:39.729907","5.629091000","0.315970000","33","296","13.227.253.21","443","100.64.0.2","40064","244","245","395"
"12:28:39.729917","5.629101000","0.315980000","34","296","13.227.253.21","443","100.64.0.2","40064","244","489","395"
"12:28:39.729943","5.629127000","0.316006000","35","296","13.227.253.21","443","100.64.0.2","40064","244","733","395"
"12:28:39.729952","5.629136000","0.316015000","36","296","13.227.253.21","443","100.64.0.2","40064","244","977","395"
"12:28:39.729978","5.629162000","0.316041000","37","296","13.227.253.21","443","100.64.0.2","40064","244","1221","395"
"12:28:39.729988","5.629172000","0.316051000","38","296","13.227.253.21","443","100.64.0.2","40064","244","1465","395"
"12:28:39.730523","5.629707000","0.316586000","39","296","13.227.253.21","443","100.64.0.2","40064","244","1709","395"
"12:28:39.730565","5.629749000","0.316628000","40","296","13.227.253.21","443","100.64.0.2","40064","244","1953","395"
"12:28:39.730595","5.629779000","0.316658000","41","296","13.227.253.21","443","100.64.0.2","40064","244","2197","395"
"12:28:39.735000","5.634184000","0.321063000","42","296","13.227.253.21","443","100.64.0.2","40064","244","2441","395"
"12:28:39.739243","5.638427000","0.325306000","43","296","13.227.253.21","443","100.64.0.2","40064","244","2685","395"
"12:28:39.743605","5.642789000","0.329668000","44","296","13.227.253.21","443","100.64.0.2","40064","244","2929","395"
"12:28:39.747986","5.647170000","0.334049000","45","296","13.227.253.21","443","100.64.0.2","40064","244","3173","395"
"12:28:39.752370","5.651554000","0.338433000","46","296","13.227.253.21","443","100.64.0.2","40064","244","3417","395"
"12:28:39.756750","5.655934000","0.342813000","47","296","13.227.253.21","443","100.64.0.2","40064","244","3661","395"
"12:28:39.761084","5.660268000","0.347147000","48","296","13.227.253.21","443","100.64.0.2","40064","244","3905","395"
"12:28:39.765385","5.664569000","0.351448000","49","296","13.227.253.21","443","100.64.0.2","40064","244","4149","395"
"12:28:39.770042","5.669226000","0.356105000","50","296","13.227.253.21","443","100.64.0.2","40064","244","4393","395"
"12:28:39.774274","5.673458000","0.360337000","51","296","13.227.253.21","443","100.64.0.2","40064","244","4637","395"
"12:28:39.778614","5.677798000","0.364677000","52","229","13.227.253.21","443","100.64.0.2","40064","177","4881","395"
"12:28:40.038545","5.937729000","0.624608000","53","52","100.64.0.2","40064","13.227.253.21","443","0","395","245"
"12:28:40.038568","5.937752000","0.624631000","54","52","100.64.0.2","40064","13.227.253.21","443","0","395","489"
"12:28:40.038577","5.937761000","0.624640000","55","52","100.64.0.2","40064","13.227.253.21","443","0","395","733"
"12:28:40.100540","5.999724000","0.686603000","56","52","100.64.0.2","40064","13.227.253.21","443","0","395","977"
"12:28:40.100563","5.999747000","0.686626000","57","52","100.64.0.2","40064","13.227.253.21","443","0","395","1221"
"12:28:40.100573","5.999757000","0.686636000","58","52","100.64.0.2","40064","13.227.253.21","443","0","395","1465"
"12:28:40.100581","5.999765000","0.686644000","59","52","100.64.0.2","40064","13.227.253.21","443","0","395","1709"
"12:28:40.100588","5.999772000","0.686651000","60","52","100.64.0.2","40064","13.227.253.21","443","0","395","1953"
"12:28:40.163795","6.062979000","0.749858000","61","52","100.64.0.2","40064","13.227.253.21","443","0","395","2197"
"12:28:40.163819","6.063003000","0.749882000","62","52","100.64.0.2","40064","13.227.253.21","443","0","395","2441"
"12:28:40.163828","6.063012000","0.749891000","63","52","100.64.0.2","40064","13.227.253.21","443","0","395","2685"
"12:28:40.163836","6.063020000","0.749899000","64","52","100.64.0.2","40064","13.227.253.21","443","0","395","2929"
"12:28:40.163844","6.063028000","0.749907000","65","52","100.64.0.2","40064","13.227.253.21","443","0","395","3173"
"12:28:40.226030","6.125214000","0.812093000","66","52","100.64.0.2","40064","13.227.253.21","443","0","395","3417"
"12:28:40.226053","6.125237000","0.812116000","67","52","100.64.0.2","40064","13.227.253.21","443","0","395","3661"
"12:28:40.226062","6.125246000","0.812125000","68","52","100.64.0.2","40064","13.227.253.21","443","0","395","3905"
"12:28:40.226071","6.125255000","0.812134000","69","52","100.64.0.2","40064","13.227.253.21","443","0","395","4393"
"12:28:40.288659","6.187843000","0.874722000","70","52","100.64.0.2","40064","13.227.253.21","443","0","395","5058"
"12:28:40.288681","6.187865000","0.874744000","71","100","100.64.0.2","40064","13.227.253.21","443","48","395","5058"
"12:28:40.288691","6.187875000","0.874754000","72","68","100.64.0.2","40064","13.227.253.21","443","16","443","5058"
"12:28:40.288700","6.187884000","0.874763000","73","100","100.64.0.2","40064","13.227.253.21","443","48","459","5058"
"12:28:40.288708","6.187892000","0.874771000","74","100","100.64.0.2","40064","13.227.253.21","443","48","507","5058"
"12:28:40.288716","6.187900000","0.874779000","75","100","100.64.0.2","40064","13.227.253.21","443","48","555","5058"
"12:28:40.290721","6.189905000","0.876784000","76","52","13.227.253.21","443","100.64.0.2","40064","0","5058","443"
"12:28:40.290914","6.190098000","0.876977000","77","52","13.227.253.21","443","100.64.0.2","40064","0","5058","459"
"12:28:40.290946","6.190130000","0.877009000","78","52","13.227.253.21","443","100.64.0.2","40064","0","5058","555"
"12:28:40.290994","6.190178000","0.877057000","79","52","13.227.253.21","443","100.64.0.2","40064","0","5058","507"
"12:28:40.291005","6.190189000","0.877068000","80","52","13.227.253.21","443","100.64.0.2","40064","0","5058","603"
"12:28:40.291477","6.190661000","0.877540000","81","198","13.227.253.21","443","100.64.0.2","40064","146","5058","603"
"12:28:40.600715","6.499899000","1.186778000","82","55","100.64.0.2","40064","13.227.253.21","443","3","603","5058"
"12:28:40.600740","6.499924000","1.186803000","83","52","100.64.0.2","40064","13.227.253.21","443","0","606","5204"
"12:28:40.649092","6.548276000","1.235155000","84","52","13.227.253.21","443","100.64.0.2","40064","0","5204","606"
"12:28:40.884909","6.784093000","1.470972000","85","296","13.227.253.21","443","100.64.0.2","40064","244","5204","606"
"12:28:40.887124","6.786308000","1.473187000","86","296","13.227.253.21","443","100.64.0.2","40064","244","5448","606"
"12:28:40.891339","6.790523000","1.477402000","87","296","13.227.253.21","443","100.64.0.2","40064","244","5692","606"
"12:28:40.895924","6.795108000","1.481987000","88","296","13.227.253.21","443","100.64.0.2","40064","244","5936","606"
"12:28:40.900297","6.799481000","1.486360000","89","296","13.227.253.21","443","100.64.0.2","40064","244","6180","606"
"12:28:40.904602","6.803786000","1.490665000","90","296","13.227.253.21","443","100.64.0.2","40064","244","6424","606"
"12:28:40.909097","6.808281000","1.495160000","91","296","13.227.253.21","443","100.64.0.2","40064","244","6668","606"
