_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:35:34.467068","0.000000000",,"1","76",,,,,,,
"12:35:34.475343","0.008275000",,"2","76",,,,,,,
"12:35:34.516853","0.049785000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"12:35:34.516879","0.049811000",,"4","61","100.64.0.2",,"1.1.1.1",,,,
"12:35:35.023338","0.556270000",,"5","76",,,,,,,
"12:35:38.255227","3.788159000",,"6","48",,,,,,,
"12:35:38.255355","3.788287000",,"7","48",,,,,,,
"12:35:39.517094","5.050026000",,"8","61","100.64.0.2",,"8.8.8.8",,,,
"12:35:39.517118","5.050050000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"12:35:39.533059","5.065991000",,"10","204","8.8.8.8",,"100.64.0.2",,,,
"12:35:39.579480","5.112412000",,"11","328","8.8.8.8",,"100.64.0.2",,,,
"12:35:39.891954","5.424886000","0.000000000","12","60","100.64.0.2","39082","23.200.28.25","443","0","0","0"
"12:35:39.895064","5.427996000","0.003110000","13","60","23.200.28.25","443","100.64.0.2","39082","0","0","1"
"12:35:40.204729","5.737661000","0.312775000","14","52","100.64.0.2","39082","23.200.28.25","443","0","1","1"
"12:35:40.204738","5.737670000","0.312784000","15","100","100.64.0.2","39082","23.200.28.25","443","48","1","1"
"12:35:40.204741","5.737673000","0.312787000","16","100","100.64.0.2","39082","23.200.28.25","443","48","49","1"
"12:35:40.204744","5.737676000","0.312790000","17","100","100.64.0.2","39082","23.200.28.25","443","48","97","1"
"12:35:40.204746","5.737678000","0.312792000","18","100","100.64.0.2","39082","23.200.28.25","443","48","145","1"
"12:35:40.204749","5.737681000","0.312795000","19","100","100.64.0.2","39082","23.200.28.25","443","48","193","1"
"12:35:40.204752","5.737684000","0.312798000","20","100","100.64.0.2","39082","23.200.28.25","443","48","241","1"
"12:35:40.204755","5.737687000","0.312801000","21","100","100.64.0.2","39082","23.200.28.25","443","48","289","1"
"12:35:40.204758","5.737690000","0.312804000","22","100","100.64.0.2","39082","23.200.28.25","443","48","337","1"
"12:35:40.204762","5.737694000","0.312808000","23","63","100.64.0.2","39082","23.200.28.25","443","11","385","1"
"12:35:40.208719","5.741651000","0.316765000","24","52","23.200.28.25","443","100.64.0.2","39082","0","1","97"
"12:35:40.208736","5.741668000","0.316782000","25","52","23.200.28.25","443","100.64.0.2","39082","0","1","97"
"12:35:40.208745","5.741677000","0.316791000","26","52","23.200.28.25","443","100.64.0.2","39082","0","1","97"
"12:35:40.208748","5.741680000","0.316794000","27","52","23.200.28.25","443","100.64.0.2","39082","0","1","97"
"12:35:40.208755","5.741687000","0.316801000","28","52","23.200.28.25","443","100.64.0.2","39082","0","1","97"
"12:35:40.517252","6.050184000","0.625298000","29","100","100.64.0.2","39082","23.200.28.25","443","48","97","1"
"12:35:40.519692","6.052624000","0.627738000","30","52","23.200.28.25","443","100.64.0.2","39082","0","1","396"
"12:35:40.523865","6.056797000","0.631911000","31","296","23.200.28.25","443","100.64.0.2","39082","244","1","396"
"12:35:40.523909","6.056841000","0.631955000","32","296","23.200.28.25","443","100.64.0.2","39082","244","245","396"
"12:35:40.523943","6.056875000","0.631989000","33","296","23.200.28.25","443","100.64.0.2","39082","244","489","396"
"12:35:40.523953","6.056885000","0.631999000","34","296","23.200.28.25","443","100.64.0.2","39082","244","733","396"
"12:35:40.829737","6.362669000","0.937783000","35","52","100.64.0.2","39082","23.200.28.25","443","0","396","245"
"12:35:40.829762","6.362694000","0.937808000","36","52","100.64.0.2","39082","23.200.28.25","443","0","396","489"
"12:35:40.829773","6.362705000","0.937819000","37","52","100.64.0.2","39082","23.200.28.25","443","0","396","733"
"12:35:40.829783","6.362715000","0.937829000","38","52","100.64.0.2","39082","23.200.28.25","443","0","396","977"
"12:35:40.832164","6.365096000","0.940210000","39","296","23.200.28.25","443","100.64.0.2","39082","244","977","396"
"12:35:40.832207","6.365139000","0.940253000","40","296","23.200.28.25","443","100.64.0.2","39082","244","1221","396"
"12:35:40.832240","6.365172000","0.940286000","41","296","23.200.28.25","443","100.64.0.2","39082","244","1465","396"
"12:35:40.832251","6.365183000","0.940297000","42","296","23.200.28.25","443","100.64.0.2","39082","244","1709","396"
"12:35:40.832278","6.365210000","0.940324000","43","296","23.200.28.25","443","100.64.0.2","39082","244","1953","396"
