_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:33:36.656132","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"12:33:36.656154","0.000022000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"12:33:36.719070","0.062938000",,"3","76",,,,,,,
"12:33:36.783139","0.127007000",,"4","76",,,,,,,
"12:33:36.815340","0.159208000",,"5","76",,,,,,,
"12:33:37.231349","0.575217000",,"6","76",,,,,,,
"12:33:40.495219","3.839087000",,"7","48",,,,,,,
"12:33:40.495324","3.839192000",,"8","48",,,,,,,
"12:33:41.655562","4.999430000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"12:33:41.655588","4.999456000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"12:33:41.955755","5.299623000",,"11","325","8.8.8.8",,"100.64.0.2",,,,
"12:33:42.114969","5.458837000",,"12","201","8.8.8.8",,"100.64.0.2",,,,
"12:33:42.405257","5.749125000","0.000000000","13","60","100.64.0.2","38286","23.195.120.25","443","0","0","0"
"12:33:42.408435","5.752303000","0.003178000","14","60","23.195.120.25","443","100.64.0.2","38286","0","0","1"
"12:33:42.719232","6.063100000","0.313975000","15","52","100.64.0.2","38286","23.195.120.25","443","0","1","1"
"12:33:42.719258","6.063126000","0.314001000","16","100","100.64.0.2","38286","23.195.120.25","443","48","1","1"
"12:33:42.719268","6.063136000","0.314011000","17","100","100.64.0.2","38286","23.195.120.25","443","48","49","1"
"12:33:42.719278","6.063146000","0.314021000","18","100","100.64.0.2","38286","23.195.120.25","443","48","97","1"
"12:33:42.719287","6.063155000","0.314030000","19","100","100.64.0.2","38286","23.195.120.25","443","48","145","1"
"12:33:42.719296","6.063164000","0.314039000","20","100","100.64.0.2","38286","23.195.120.25","443","48","193","1"
"12:33:42.719306","6.063174000","0.314049000","21","100","100.64.0.2","38286","23.195.120.25","443","48","241","1"
"12:33:42.719315","6.063183000","0.314058000","22","100","100.64.0.2","38286","23.195.120.25","443","48","289","1"
"12:33:42.719324","6.063192000","0.314067000","23","100","100.64.0.2","38286","23.195.120.25","443","48","337","1"
"12:33:42.719335","6.063203000","0.314078000","24","60","100.64.0.2","38286","23.195.120.25","443","8","385","1"
"12:33:42.723913","6.067781000","0.318656000","25","52","23.195.120.25","443","100.64.0.2","38286","0","1","49"
"12:33:42.723951","6.067819000","0.318694000","26","52","23.195.120.25","443","100.64.0.2","38286","0","1","97"
"12:33:42.723979","6.067847000","0.318722000","27","52","23.195.120.25","443","100.64.0.2","38286","0","1","193"
"12:33:42.723987","6.067855000","0.318730000","28","52","23.195.120.25","443","100.64.0.2","38286","0","1","289"
"12:33:42.724010","6.067878000","0.318753000","29","52","23.195.120.25","443","100.64.0.2","38286","0","1","385"
"12:33:42.724018","6.067886000","0.318761000","30","52","23.195.120.25","443","100.64.0.2","38286","0","1","393"
"12:33:42.724615","6.068483000","0.319358000","31","296","23.195.120.25","443","100.64.0.2","38286","244","1","393"
"12:33:42.724655","6.068523000","0.319398000","32","296","23.195.120.25","443","100.64.0.2","38286","244","245","393"
"12:33:42.724684","6.068552000","0.319427000","33","296","23.195.120.25","443","100.64.0.2","38286","244","489","393"
"12:33:42.724692","6.068560000","0.319435000","34","296","23.195.120.25","443","100.64.0.2","38286","244","733","393"
"12:33:43.031222","6.375090000","0.625965000","35","52","100.64.0.2","38286","23.195.120.25","443","0","393","245"
"12:33:43.031248","6.375116000","0.625991000","36","52","100.64.0.2","38286","23.195.120.25","443","0","393","489"
"12:33:43.031257","6.375125000","0.626000000","37","52","100.64.0.2","38286","23.195.120.25","443","0","393","733"
"12:33:43.034055","6.377923000","0.628798000","38","296","23.195.120.25","443","100.64.0.2","38286","244","977","393"
"12:33:43.034099","6.377967000","0.628842000","39","296","23.195.120.25","443","100.64.0.2","38286","244","1221","393"
"12:33:43.034131","6.377999000","0.628874000","40","296","23.195.120.25","443","100.64.0.2","38286","244","1465","393"
"12:33:43.034141","6.378009000","0.628884000","41","296","23.195.120.25","443","100.64.0.2","38286","244","1709","393"
"12:33:43.034168","6.378036000","0.628911000","42","296","23.195.120.25","443","100.64.0.2","38286","244","1953","393"
"12:33:43.034177","6.378045000","0.628920000","43","296","23.195.120.25","443","100.64.0.2","38286","244","2197","393"
"12:33:43.093603","6.437471000","0.688346000","44","52","100.64.0.2","38286","23.195.120.25","443","0","393","977"
"12:33:43.096097","6.439965000","0.690840000","45","296","23.195.120.25","443","100.64.0.2","38286","244","2441","393"
"12:33:43.096140","6.440008000","0.690883000","46","296","23.195.120.25","443","100.64.0.2","38286","244","2685","393"
"12:33:43.343310","6.687178000","0.938053000","47","52","100.64.0.2","38286","23.195.120.25","443","0","393","1221"
"12:33:43.343333","6.687201000","0.938076000","48","52","100.64.0.2","38286","23.195.120.25","443","0","393","1465"
"12:33:43.343342","6.687210000","0.938085000","49","52","100.64.0.2","38286","23.195.120.25","443","0","393","1709"
"12:33:43.343349","6.687217000","0.938092000","50","52","100.64.0.2","38286","23.195.120.25","443","0","393","1953"
"12:33:43.343357","6.687225000","0.938100000","51","52","100.64.0.2","38286","23.195.120.25","443","0","393","2197"
"12:33:43.345899","6.689767000","0.940642000","52","296","23.195.120.25","443","100.64.0.2","38286","244","2929","393"
"12:33:43.345939","6.689807000","0.940682000","53","296","23.195.120.25","443","100.64.0.2","38286","244","3173","393"
"12:33:43.345968","6.689836000","0.940711000","54","296","23.195.120.25","443","100.64.0.2","38286","244","3417","393"
"12:33:43.345977","6.689845000","0.940720000","55","296","23.195.120.25","443","100.64.0.2","38286","244","3661","393"
"12:33:43.346003","6.689871000","0.940746000","56","296","23.195.120.25","443","100.64.0.2","38286","244","3905","393"
"12:33:43.346012","6.689880000","0.940755000","57","296","23.195.120.25","443","100.64.0.2","38286","244","4149","393"
"12:33:43.346035","6.689903000","0.940778000","58","296","23.195.120.25","443","100.64.0.2","38286","244","4393","393"
"12:33:43.346043","6.689911000","0.940786000","59","296","23.195.120.25","443","100.64.0.2","38286","244","4637","393"
"12:33:43.346066","6.689934000","0.940809000","60","296","23.195.120.25","443","100.64.0.2","38286","244","4881","393"
"12:33:43.346075","6.689943000","0.940818000","61","296","23.195.120.25","443","100.64.0.2","38286","244","5125","393"
"12:33:43.405515","6.749383000","1.000258000","62","52","100.64.0.2","38286","23.195.120.25","443","0","393","2441"
"12:33:43.405540","6.749408000","1.000283000","63","52","100.64.0.2","38286","23.195.120.25","443","0","393","2685"
"12:33:43.405549","6.749417000","1.000292000","64","52","100.64.0.2","38286","23.195.120.25","443","0","393","2929"
"12:33:43.408040","6.751908000","1.002783000","65","294","23.195.120.25","443","100.64.0.2","38286","242","5369","393"
"12:33:43.655576","6.999444000","1.250319000","66","52","100.64.0.2","38286","23.195.120.25","443","0","393","3173"
"12:33:43.655600","6.999468000","1.250343000","67","52","100.64.0.2","38286","23.195.120.25","443","0","393","3417"
"12:33:43.655608","6.999476000","1.250351000","68","52","100.64.0.2","38286","23.195.120.25","443","0","393","3661"
"12:33:43.655615","6.999483000","1.250358000","69","52","100.64.0.2","38286","23.195.120.25","443","0","393","3905"
"12:33:43.655623","6.999491000","1.250366000","70","52","100.64.0.2","38286","23.195.120.25","443","0","393","4149"
"12:33:43.718800","7.062668000","1.313543000","71","52","100.64.0.2","38286","23.195.120.25","443","0","393","5369"
"12:33:43.781134","7.125002000","1.375877000","72","52","100.64.0.2","38286","23.195.120.25","443","0","393","5611"
"12:33:43.781160","7.125028000","1.375903000","73","100","100.64.0.2","38286","23.195.120.25","443","48","393","5611"
"12:33:43.781170","7.125038000","1.375913000","74","84","100.64.0.2","38286","23.195.120.25","443","32","441","5611"
"12:33:43.781179","7.125047000","1.375922000","75","100","100.64.0.2","38286","23.195.120.25","443","48","473","5611"
"12:33:43.781189","7.125057000","1.375932000","76","100","100.64.0.2","38286","23.195.120.25","443","48","521","5611"
"12:33:43.781197","7.125065000","1.375940000","77","100","100.64.0.2","38286","23.195.120.25","443","48","569","5611"
"12:33:43.784082","7.127950000","1.378825000","78","52","23.195.120.25","443","100.64.0.2","38286","0","5611","473"
"12:33:43.784126","7.127994000","1.378869000","79","52","23.195.120.25","443","100.64.0.2","38286","0","5611","569"
"12:33:43.784154","7.128022000","1.378897000","80","52","23.195.120.25","443","100.64.0.2","38286","0","5611","617"
"12:33:43.798128","7.141996000","1.392871000","81","296","23.195.120.25","443","100.64.0.2","38286","244","5611","617"
"12:33:43.798168","7.142036000","1.392911000","82","79","23.195.120.25","443","100.64.0.2","38286","27","5855","617"
"12:33:43.798197","7.142065000","1.392940000","83","296","23.195.120.25","443","100.64.0.2","38286","244","5882","617"
"12:33:43.798205","7.142073000","1.392948000","84","79","23.195.120.25","443","100.64.0.2","38286","27","6126","617"
"12:33:44.093956","7.437824000","1.688699000","85","53","100.64.0.2","38286","23.195.120.25","443","1","617","5611"
"12:33:44.093982","7.437850000","1.688725000","86","52","100.64.0.2","38286","23.195.120.25","443","0","618","6153"
"12:33:44.096663","7.440531000","1.691406000","87","52","23.195.120.25","443","100.64.0.2","38286","0","6153","618"
"12:33:44.123380","7.467248000","1.718123000","88","296","23.195.120.25","443","100.64.0.2","38286","244","6153","618"
"12:33:44.125652","7.469520000","1.720395000","89","296","23.195.120.25","443","100.64.0.2","38286","244","6397","618"
"12:33:44.130006","7.473874000","1.724749000","90","296","23.195.120.25","443","100.64.0.2","38286","244","6641","618"
"12:33:44.134122","7.477990000","1.728865000","91","296","23.195.120.25","443","100.64.0.2","38286","244","6885","618"
"12:33:44.138306","7.482174000","1.733049000","92","296","23.195.120.25","443","100.64.0.2","38286","244","7129","618"
