_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:41:10.175064","0.000000000",,"1","76",,,,,,,
"12:41:10.215323","0.040259000",,"2","76",,,,,,,
"12:41:10.281995","0.106931000",,"3","62","100.64.0.2",,"1.1.1.1",,,,
"12:41:10.282019","0.106955000",,"4","62","100.64.0.2",,"1.1.1.1",,,,
"12:41:10.575229","0.400165000",,"5","76",,,,,,,
"12:41:10.639217","0.464153000",,"6","76",,,,,,,
"12:41:13.871151","3.696087000",,"7","48",,,,,,,
"12:41:14.383211","4.208147000",,"8","48",,,,,,,
"12:41:15.282204","5.107140000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"12:41:15.282228","5.107164000",,"10","62","100.64.0.2",,"8.8.8.8",,,,
"12:41:15.295706","5.120642000",,"11","178","8.8.8.8",,"100.64.0.2",,,,
"12:41:15.307405","5.132341000",,"12","169","8.8.8.8",,"100.64.0.2",,,,
"12:41:15.594824","5.419760000","0.000000000","13","60","100.64.0.2","51246","164.52.39.42","443","0","0","0"
"12:41:15.599097","5.424033000","0.004273000","14","48","164.52.39.42","443","100.64.0.2","51246","0","0","1"
"12:41:15.906617","5.731553000","0.311793000","15","40","100.64.0.2","51246","164.52.39.42","443","0","1","1"
"12:41:15.906640","5.731576000","0.311816000","16","100","100.64.0.2","51246","164.52.39.42","443","60","1","1"
"12:41:15.906649","5.731585000","0.311825000","17","100","100.64.0.2","51246","164.52.39.42","443","60","61","1"
"12:41:15.906658","5.731594000","0.311834000","18","100","100.64.0.2","51246","164.52.39.42","443","60","121","1"
"12:41:15.906667","5.731603000","0.311843000","19","100","100.64.0.2","51246","164.52.39.42","443","60","181","1"
"12:41:15.906675","5.731611000","0.311851000","20","100","100.64.0.2","51246","164.52.39.42","443","60","241","1"
"12:41:15.906684","5.731620000","0.311860000","21","100","100.64.0.2","51246","164.52.39.42","443","60","301","1"
"12:41:15.906692","5.731628000","0.311868000","22","76","100.64.0.2","51246","164.52.39.42","443","36","361","1"
"12:41:15.911649","5.736585000","0.316825000","23","40","164.52.39.42","443","100.64.0.2","51246","0","1","121"
"12:41:15.911689","5.736625000","0.316865000","24","40","164.52.39.42","443","100.64.0.2","51246","0","1","241"
"12:41:15.911717","5.736653000","0.316893000","25","40","164.52.39.42","443","100.64.0.2","51246","0","1","361"
"12:41:15.911725","5.736661000","0.316901000","26","40","164.52.39.42","443","100.64.0.2","51246","0","1","397"
"12:41:15.914589","5.739525000","0.319765000","27","296","164.52.39.42","443","100.64.0.2","51246","256","1","397"
"12:41:15.914629","5.739565000","0.319805000","28","296","164.52.39.42","443","100.64.0.2","51246","256","257","397"
"12:41:15.914658","5.739594000","0.319834000","29","296","164.52.39.42","443","100.64.0.2","51246","256","513","397"
"12:41:15.914667","5.739603000","0.319843000","30","296","164.52.39.42","443","100.64.0.2","51246","256","769","397"
"12:41:15.914692","5.739628000","0.319868000","31","296","164.52.39.42","443","100.64.0.2","51246","256","1025","397"
"12:41:15.914700","5.739636000","0.319876000","32","296","164.52.39.42","443","100.64.0.2","51246","256","1281","397"
"12:41:15.914724","5.739660000","0.319900000","33","296","164.52.39.42","443","100.64.0.2","51246","256","1537","397"
"12:41:15.914733","5.739669000","0.319909000","34","296","164.52.39.42","443","100.64.0.2","51246","256","1793","397"
"12:41:15.914757","5.739693000","0.319933000","35","296","164.52.39.42","443","100.64.0.2","51246","256","2049","397"
"12:41:15.914766","5.739702000","0.319942000","36","296","164.52.39.42","443","100.64.0.2","51246","256","2305","397"
"12:41:16.219872","6.044808000","0.625048000","37","40","100.64.0.2","51246","164.52.39.42","443","0","397","257"
"12:41:16.219896","6.044832000","0.625072000","38","40","100.64.0.2","51246","164.52.39.42","443","0","397","513"
"12:41:16.219905","6.044841000","0.625081000","39","40","100.64.0.2","51246","164.52.39.42","443","0","397","769"
"12:41:16.219913","6.044849000","0.625089000","40","40","100.64.0.2","51246","164.52.39.42","443","0","397","1025"
"12:41:16.223804","6.048740000","0.628980000","41","296","164.52.39.42","443","100.64.0.2","51246","256","2561","397"
"12:41:16.223844","6.048780000","0.629020000","42","296","164.52.39.42","443","100.64.0.2","51246","256","2817","397"
"12:41:16.223873","6.048809000","0.629049000","43","296","164.52.39.42","443","100.64.0.2","51246","256","3073","397"
"12:41:16.223882","6.048818000","0.629058000","44","296","164.52.39.42","443","100.64.0.2","51246","256","3329","397"
"12:41:16.223906","6.048842000","0.629082000","45","296","164.52.39.42","443","100.64.0.2","51246","256","3585","397"
"12:41:16.223916","6.048852000","0.629092000","46","296","164.52.39.42","443","100.64.0.2","51246","256","3841","397"
"12:41:16.223937","6.048873000","0.629113000","47","235","164.52.39.42","443","100.64.0.2","51246","195","4097","397"
"12:41:16.282198","6.107134000","0.687374000","48","40","100.64.0.2","51246","164.52.39.42","443","0","397","1281"
"12:41:16.282232","6.107168000","0.687408000","49","40","100.64.0.2","51246","164.52.39.42","443","0","397","1537"
"12:41:16.282244","6.107180000","0.687420000","50","40","100.64.0.2","51246","164.52.39.42","443","0","397","1793"
"12:41:16.282258","6.107194000","0.687434000","51","40","100.64.0.2","51246","164.52.39.42","443","0","397","2049"
"12:41:16.282273","6.107209000","0.687449000","52","40","100.64.0.2","51246","164.52.39.42","443","0","397","2305"
"12:41:16.344597","6.169533000","0.749773000","53","40","100.64.0.2","51246","164.52.39.42","443","0","397","2561"
"12:41:16.531468","6.356404000","0.936644000","54","40","100.64.0.2","51246","164.52.39.42","443","0","397","2817"
