_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:42:08.239181","0.000000000",,"1","76",,,,,,,
"12:42:08.301093","0.061912000",,"2","64","100.64.0.2",,"1.1.1.1",,,,
"12:42:08.301126","0.061945000",,"3","64","100.64.0.2",,"1.1.1.1",,,,
"12:42:08.495191","0.256010000",,"4","76",,,,,,,
"12:42:08.943318","0.704137000",,"5","76",,,,,,,
"12:42:08.975230","0.736049000",,"6","76",,,,,,,
"12:42:11.727334","3.488153000",,"7","48",,,,,,,
"12:42:12.495211","4.256030000",,"8","48",,,,,,,
"12:42:13.301051","5.061870000",,"9","64","100.64.0.2",,"8.8.8.8",,,,
"12:42:13.301078","5.061897000",,"10","64","100.64.0.2",,"8.8.8.8",,,,
"12:42:13.320290","5.081109000",,"11","161","8.8.8.8",,"100.64.0.2",,,,
"12:42:13.370946","5.131765000",,"12","201","8.8.8.8",,"100.64.0.2",,,,
"12:42:13.675616","5.436435000","0.000000000","13","60","100.64.0.2","53752","173.223.82.86","443","0","0","0"
"12:42:13.708923","5.469742000","0.033307000","14","60","173.223.82.86","443","100.64.0.2","53752","0","0","1"
"12:42:13.987719","5.748538000","0.312103000","15","52","100.64.0.2","53752","173.223.82.86","443","0","1","1"
"12:42:13.987745","5.748564000","0.312129000","16","100","100.64.0.2","53752","173.223.82.86","443","48","1","1"
"12:42:13.987755","5.748574000","0.312139000","17","100","100.64.0.2","53752","173.223.82.86","443","48","49","1"
"12:42:13.987765","5.748584000","0.312149000","18","100","100.64.0.2","53752","173.223.82.86","443","48","97","1"
"12:42:13.987774","5.748593000","0.312158000","19","100","100.64.0.2","53752","173.223.82.86","443","48","145","1"
"12:42:13.987783","5.748602000","0.312167000","20","100","100.64.0.2","53752","173.223.82.86","443","48","193","1"
"12:42:13.987792","5.748611000","0.312176000","21","100","100.64.0.2","53752","173.223.82.86","443","48","241","1"
"12:42:13.987801","5.748620000","0.312185000","22","100","100.64.0.2","53752","173.223.82.86","443","48","289","1"
"12:42:13.987812","5.748631000","0.312196000","23","100","100.64.0.2","53752","173.223.82.86","443","48","337","1"
"12:42:13.987824","5.748643000","0.312208000","24","66","100.64.0.2","53752","173.223.82.86","443","14","385","1"
