_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:51:34.296195","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:51:34.296220","0.000025000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:51:34.319208","0.023013000",,"3","76",,,,,,,
"12:51:37.999170","3.702975000",,"4","48",,,,,,,
"12:51:38.511209","4.215014000",,"5","48",,,,,,,
"12:51:39.295319","4.999124000",,"6","62","100.64.0.2",,"8.8.8.8",,,,
"12:51:39.295350","4.999155000",,"7","62","100.64.0.2",,"8.8.8.8",,,,
"12:51:39.303488","5.007293000",,"8","126","8.8.8.8",,"100.64.0.2",,,,
"12:51:39.304529","5.008334000",,"9","286","8.8.8.8",,"100.64.0.2",,,,
"12:51:39.609014","5.312819000","0.000000000","10","60","100.64.0.2","51598","54.192.150.37","443","0","0","0"
"12:51:39.612013","5.315818000","0.002999000","11","60","54.192.150.37","443","100.64.0.2","51598","0","0","1"
"12:51:39.920697","5.624502000","0.311683000","12","52","100.64.0.2","51598","54.192.150.37","443","0","1","1"
"12:51:39.920722","5.624527000","0.311708000","13","100","100.64.0.2","51598","54.192.150.37","443","48","1","1"
"12:51:39.920732","5.624537000","0.311718000","14","100","100.64.0.2","51598","54.192.150.37","443","48","49","1"
"12:51:39.920742","5.624547000","0.311728000","15","100","100.64.0.2","51598","54.192.150.37","443","48","97","1"
"12:51:39.920751","5.624556000","0.311737000","16","100","100.64.0.2","51598","54.192.150.37","443","48","145","1"
"12:51:39.920760","5.624565000","0.311746000","17","100","100.64.0.2","51598","54.192.150.37","443","48","193","1"
"12:51:39.920769","5.624574000","0.311755000","18","100","100.64.0.2","51598","54.192.150.37","443","48","241","1"
"12:51:39.920777","5.624582000","0.311763000","19","100","100.64.0.2","51598","54.192.150.37","443","48","289","1"
"12:51:39.920786","5.624591000","0.311772000","20","100","100.64.0.2","51598","54.192.150.37","443","48","337","1"
"12:51:39.920797","5.624602000","0.311783000","21","64","100.64.0.2","51598","54.192.150.37","443","12","385","1"
"12:51:39.925176","5.628981000","0.316162000","22","52","54.192.150.37","443","100.64.0.2","51598","0","1","97"
"12:51:39.925207","5.629012000","0.316193000","23","52","54.192.150.37","443","100.64.0.2","51598","0","1","193"
"12:51:39.925237","5.629042000","0.316223000","24","52","54.192.150.37","443","100.64.0.2","51598","0","1","289"
"12:51:39.925247","5.629052000","0.316233000","25","52","54.192.150.37","443","100.64.0.2","51598","0","1","337"
"12:51:39.925273","5.629078000","0.316259000","26","52","54.192.150.37","443","100.64.0.2","51598","0","1","385"
"12:51:39.925282","5.629087000","0.316268000","27","52","54.192.150.37","443","100.64.0.2","51598","0","1","397"
"12:51:39.928184","5.631989000","0.319170000","28","296","54.192.150.37","443","100.64.0.2","51598","244","977","397"
"12:51:39.928216","5.632021000","0.319202000","29","296","54.192.150.37","443","100.64.0.2","51598","244","1221","397"
"12:51:39.928248","5.632053000","0.319234000","30","296","54.192.150.37","443","100.64.0.2","51598","244","1","397"
"12:51:39.928258","5.632063000","0.319244000","31","296","54.192.150.37","443","100.64.0.2","51598","244","245","397"
"12:51:39.928286","5.632091000","0.319272000","32","296","54.192.150.37","443","100.64.0.2","51598","244","489","397"
"12:51:39.928295","5.632100000","0.319281000","33","296","54.192.150.37","443","100.64.0.2","51598","244","733","397"
"12:51:39.928321","5.632126000","0.319307000","34","296","54.192.150.37","443","100.64.0.2","51598","244","1465","397"
"12:51:39.928331","5.632136000","0.319317000","35","296","54.192.150.37","443","100.64.0.2","51598","244","1709","397"
"12:51:39.928358","5.632163000","0.319344000","36","296","54.192.150.37","443","100.64.0.2","51598","244","1953","397"
"12:51:39.928368","5.632173000","0.319354000","37","296","54.192.150.37","443","100.64.0.2","51598","244","2197","397"
"12:51:39.932719","5.636524000","0.323705000","38","296","54.192.150.37","443","100.64.0.2","51598","244","2441","397"
"12:51:39.936981","5.640786000","0.327967000","39","296","54.192.150.37","443","100.64.0.2","51598","244","2685","397"
"12:51:39.941465","5.645270000","0.332451000","40","296","54.192.150.37","443","100.64.0.2","51598","244","2929","397"
"12:51:39.945693","5.649498000","0.336679000","41","296","54.192.150.37","443","100.64.0.2","51598","244","3173","397"
"12:51:39.950099","5.653904000","0.341085000","42","227","54.192.150.37","443","100.64.0.2","51598","175","3417","397"
"12:51:40.233566","5.937371000","0.624552000","43","52","100.64.0.2","51598","54.192.150.37","443","0","397","1"
"12:51:40.233601","5.937406000","0.624587000","44","52","100.64.0.2","51598","54.192.150.37","443","0","397","1"
