_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:39:53.923312","0.000000000",,"1","76",,,,,,,
"12:39:53.947315","0.024003000",,"2","76",,,,,,,
"12:39:53.999943","0.076631000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"12:39:53.999976","0.076664000",,"4","61","100.64.0.2",,"1.1.1.1",,,,
"12:39:54.351219","0.427907000",,"5","76",,,,,,,
"12:39:54.383040","0.459728000",,"6","76",,,,,,,
"12:39:57.583212","3.659900000",,"7","48",,,,,,,
"12:39:58.095325","4.172013000",,"8","48",,,,,,,
"12:39:58.999897","5.076585000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"12:39:58.999924","5.076612000",,"10","61","100.64.0.2",,"8.8.8.8",,,,
"12:39:59.005567","5.082255000",,"11","194","8.8.8.8",,"100.64.0.2",,,,
"12:39:59.006409","5.083097000",,"12","178","8.8.8.8",,"100.64.0.2",,,,
"12:39:59.312801","5.389489000","0.000000000","13","60","100.64.0.2","57290","142.251.175.100","443","0","0","0"
"12:39:59.316630","5.393318000","0.003829000","14","60","142.251.175.100","443","100.64.0.2","57290","0","0","1"
"12:39:59.620114","5.696802000","0.307313000","15","60","142.251.175.100","443","100.64.0.2","57290","0","0","1"
"12:39:59.624546","5.701234000","0.311745000","16","52","100.64.0.2","57290","142.251.175.100","443","0","1","1"
"12:39:59.624577","5.701265000","0.311776000","17","100","100.64.0.2","57290","142.251.175.100","443","48","1","1"
"12:39:59.624588","5.701276000","0.311787000","18","100","100.64.0.2","57290","142.251.175.100","443","48","49","1"
"12:39:59.624597","5.701285000","0.311796000","19","100","100.64.0.2","57290","142.251.175.100","443","48","97","1"
"12:39:59.624606","5.701294000","0.311805000","20","100","100.64.0.2","57290","142.251.175.100","443","48","145","1"
"12:39:59.624615","5.701303000","0.311814000","21","100","100.64.0.2","57290","142.251.175.100","443","48","193","1"
"12:39:59.624625","5.701313000","0.311824000","22","100","100.64.0.2","57290","142.251.175.100","443","48","241","1"
"12:39:59.624634","5.701322000","0.311833000","23","100","100.64.0.2","57290","142.251.175.100","443","48","289","1"
"12:39:59.624643","5.701331000","0.311842000","24","100","100.64.0.2","57290","142.251.175.100","443","48","337","1"
"12:39:59.624655","5.701343000","0.311854000","25","63","100.64.0.2","57290","142.251.175.100","443","11","385","1"
"12:39:59.629728","5.706416000","0.316927000","26","52","142.251.175.100","443","100.64.0.2","57290","0","1","49"
"12:39:59.629767","5.706455000","0.316966000","27","52","142.251.175.100","443","100.64.0.2","57290","0","1","97"
"12:39:59.629795","5.706483000","0.316994000","28","52","142.251.175.100","443","100.64.0.2","57290","0","1","145"
"12:39:59.629804","5.706492000","0.317003000","29","52","142.251.175.100","443","100.64.0.2","57290","0","1","193"
"12:39:59.629827","5.706515000","0.317026000","30","52","142.251.175.100","443","100.64.0.2","57290","0","1","241"
"12:39:59.629836","5.706524000","0.317035000","31","52","142.251.175.100","443","100.64.0.2","57290","0","1","289"
"12:39:59.629855","5.706543000","0.317054000","32","52","142.251.175.100","443","100.64.0.2","57290","0","1","396"
"12:39:59.630964","5.707652000","0.318163000","33","296","142.251.175.100","443","100.64.0.2","57290","244","1","396"
"12:39:59.631029","5.707717000","0.318228000","34","296","142.251.175.100","443","100.64.0.2","57290","244","245","396"
"12:39:59.631061","5.707749000","0.318260000","35","296","142.251.175.100","443","100.64.0.2","57290","244","489","396"
"12:39:59.631070","5.707758000","0.318269000","36","296","142.251.175.100","443","100.64.0.2","57290","244","733","396"
