_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:52:12.459157","0.000000000",,"1","76",,,,,,,
"12:52:12.639339","0.180182000",,"2","53","100.64.0.2",,"1.1.1.1",,,,
"12:52:12.639373","0.180216000",,"3","53","100.64.0.2",,"1.1.1.1",,,,
"12:52:13.103212","0.644055000",,"4","76",,,,,,,
"12:52:13.135337","0.676180000",,"5","76",,,,,,,
"12:52:16.399222","3.940065000",,"6","48",,,,,,,
"12:52:16.655209","4.196052000",,"7","48",,,,,,,
"12:52:17.639518","5.180361000",,"8","53","100.64.0.2",,"8.8.8.8",,,,
"12:52:17.639549","5.180392000",,"9","53","100.64.0.2",,"8.8.8.8",,,,
"12:52:17.644986","5.185829000",,"10","101","8.8.8.8",,"100.64.0.2",,,,
"12:52:17.645027","5.185870000",,"11","137","8.8.8.8",,"100.64.0.2",,,,
"12:52:17.951436","5.492279000","0.000000000","12","60","100.64.0.2","39586","66.203.127.13","443","0","0","0"
"12:52:18.120017","5.660860000","0.168581000","13","60","66.203.127.13","443","100.64.0.2","39586","0","0","1"
"12:52:18.389581","5.930424000","0.438145000","14","52","100.64.0.2","39586","66.203.127.13","443","0","1","1"
"12:52:18.389612","5.930455000","0.438176000","15","100","100.64.0.2","39586","66.203.127.13","443","48","1","1"
"12:52:18.389627","5.930470000","0.438191000","16","100","100.64.0.2","39586","66.203.127.13","443","48","49","1"
"12:52:18.389639","5.930482000","0.438203000","17","100","100.64.0.2","39586","66.203.127.13","443","48","97","1"
"12:52:18.389652","5.930495000","0.438216000","18","100","100.64.0.2","39586","66.203.127.13","443","48","145","1"
"12:52:18.389666","5.930509000","0.438230000","19","100","100.64.0.2","39586","66.203.127.13","443","48","193","1"
"12:52:18.389679","5.930522000","0.438243000","20","100","100.64.0.2","39586","66.203.127.13","443","48","241","1"
"12:52:18.389692","5.930535000","0.438256000","21","100","100.64.0.2","39586","66.203.127.13","443","48","289","1"
"12:52:18.389705","5.930548000","0.438269000","22","100","100.64.0.2","39586","66.203.127.13","443","48","337","1"
"12:52:18.389723","5.930566000","0.438287000","23","55","100.64.0.2","39586","66.203.127.13","443","3","385","1"
"12:52:18.559458","6.100301000","0.608022000","24","52","66.203.127.13","443","100.64.0.2","39586","0","1","97"
"12:52:18.559502","6.100345000","0.608066000","25","52","66.203.127.13","443","100.64.0.2","39586","0","1","145"
"12:52:18.559532","6.100375000","0.608096000","26","52","66.203.127.13","443","100.64.0.2","39586","0","1","193"
"12:52:18.559543","6.100386000","0.608107000","27","52","66.203.127.13","443","100.64.0.2","39586","0","1","289"
"12:52:18.559569","6.100412000","0.608133000","28","52","66.203.127.13","443","100.64.0.2","39586","0","1","385"
"12:52:18.559578","6.100421000","0.608142000","29","52","66.203.127.13","443","100.64.0.2","39586","0","1","388"
"12:52:18.560574","6.101417000","0.609138000","30","296","66.203.127.13","443","100.64.0.2","39586","244","1","388"
"12:52:18.560617","6.101460000","0.609181000","31","296","66.203.127.13","443","100.64.0.2","39586","244","245","388"
"12:52:18.560650","6.101493000","0.609214000","32","296","66.203.127.13","443","100.64.0.2","39586","244","489","388"
"12:52:18.560660","6.101503000","0.609224000","33","296","66.203.127.13","443","100.64.0.2","39586","244","733","388"
"12:52:18.560687","6.101530000","0.609251000","34","296","66.203.127.13","443","100.64.0.2","39586","244","977","388"
"12:52:18.560697","6.101540000","0.609261000","35","296","66.203.127.13","443","100.64.0.2","39586","244","1221","388"
"12:52:18.560726","6.101569000","0.609290000","36","296","66.203.127.13","443","100.64.0.2","39586","244","1465","388"
"12:52:18.560736","6.101579000","0.609300000","37","296","66.203.127.13","443","100.64.0.2","39586","244","1709","388"
"12:52:18.560763","6.101606000","0.609327000","38","296","66.203.127.13","443","100.64.0.2","39586","244","1953","388"
"12:52:18.560773","6.101616000","0.609337000","39","296","66.203.127.13","443","100.64.0.2","39586","244","2197","388"
"12:52:18.826377","6.367220000","0.874941000","40","52","100.64.0.2","39586","66.203.127.13","443","0","388","245"
