_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:30:30.491225","0.000000000",,"1","76",,,,,,,
"12:30:30.524473","0.033248000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"12:30:30.524496","0.033271000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"12:30:30.607215","0.115990000",,"4","76",,,,,,,
"12:30:31.248914","0.757689000",,"5","76",,,,,,,
"12:30:31.248941","0.757716000",,"6","48",,,,,,,
"12:30:31.259149","0.767924000",,"7","76",,,,,,,
"12:30:31.727351","1.236126000",,"8","76",,,,,,,
"12:30:31.983344","1.492119000",,"9","76",,,,,,,
"12:30:34.127214","3.635989000",,"10","48",,,,,,,
"12:30:35.151319","4.660094000",,"11","48",,,,,,,
"12:30:35.525312","5.034087000",,"12","61","100.64.0.2",,"8.8.8.8",,,,
"12:30:35.525337","5.034112000",,"13","61","100.64.0.2",,"8.8.8.8",,,,
"12:30:35.530282","5.039057000",,"14","254","8.8.8.8",,"100.64.0.2",,,,
"12:30:35.530311","5.039086000",,"15","290","8.8.8.8",,"100.64.0.2",,,,
"12:30:35.837794","5.346569000","0.000000000","16","60","100.64.0.2","60870","44.242.60.85","443","0","0","0"
"12:30:36.061116","5.569891000","0.223322000","17","60","44.242.60.85","443","100.64.0.2","60870","0","0","1"
"12:30:36.337708","5.846483000","0.499914000","18","52","100.64.0.2","60870","44.242.60.85","443","0","1","1"
"12:30:36.337733","5.846508000","0.499939000","19","100","100.64.0.2","60870","44.242.60.85","443","48","1","1"
"12:30:36.337743","5.846518000","0.499949000","20","100","100.64.0.2","60870","44.242.60.85","443","48","49","1"
"12:30:36.337753","5.846528000","0.499959000","21","100","100.64.0.2","60870","44.242.60.85","443","48","97","1"
"12:30:36.337761","5.846536000","0.499967000","22","100","100.64.0.2","60870","44.242.60.85","443","48","145","1"
"12:30:36.337771","5.846546000","0.499977000","23","100","100.64.0.2","60870","44.242.60.85","443","48","193","1"
"12:30:36.337780","5.846555000","0.499986000","24","100","100.64.0.2","60870","44.242.60.85","443","48","241","1"
"12:30:36.337789","5.846564000","0.499995000","25","100","100.64.0.2","60870","44.242.60.85","443","48","289","1"
"12:30:36.337798","5.846573000","0.500004000","26","100","100.64.0.2","60870","44.242.60.85","443","48","337","1"
"12:30:36.337809","5.846584000","0.500015000","27","63","100.64.0.2","60870","44.242.60.85","443","11","385","1"
"12:30:36.541359","6.050134000","0.703565000","28","52","44.242.60.85","443","100.64.0.2","60870","0","1","49"
"12:30:36.541391","6.050166000","0.703597000","29","52","44.242.60.85","443","100.64.0.2","60870","0","1","97"
"12:30:36.541421","6.050196000","0.703627000","30","52","44.242.60.85","443","100.64.0.2","60870","0","1","193"
"12:30:36.541430","6.050205000","0.703636000","31","52","44.242.60.85","443","100.64.0.2","60870","0","1","385"
"12:30:36.541456","6.050231000","0.703662000","32","52","44.242.60.85","443","100.64.0.2","60870","0","1","289"
"12:30:36.541465","6.050240000","0.703671000","33","52","44.242.60.85","443","100.64.0.2","60870","0","1","396"
"12:30:36.541515","6.050290000","0.703721000","34","296","44.242.60.85","443","100.64.0.2","60870","244","1","396"
"12:30:36.541557","6.050332000","0.703763000","35","296","44.242.60.85","443","100.64.0.2","60870","244","245","396"
"12:30:36.541584","6.050359000","0.703790000","36","296","44.242.60.85","443","100.64.0.2","60870","244","489","396"
"12:30:36.541594","6.050369000","0.703800000","37","296","44.242.60.85","443","100.64.0.2","60870","244","733","396"
"12:30:36.541620","6.050395000","0.703826000","38","296","44.242.60.85","443","100.64.0.2","60870","244","977","396"
"12:30:36.541633","6.050408000","0.703839000","39","296","44.242.60.85","443","100.64.0.2","60870","244","1221","396"
"12:30:36.541660","6.050435000","0.703866000","40","296","44.242.60.85","443","100.64.0.2","60870","244","1465","396"
"12:30:36.541669","6.050444000","0.703875000","41","296","44.242.60.85","443","100.64.0.2","60870","244","1709","396"
"12:30:36.541695","6.050470000","0.703901000","42","296","44.242.60.85","443","100.64.0.2","60870","244","1953","396"
"12:30:36.541705","6.050480000","0.703911000","43","296","44.242.60.85","443","100.64.0.2","60870","244","2197","396"
"12:30:36.837982","6.346757000","1.000188000","44","52","100.64.0.2","60870","44.242.60.85","443","0","396","245"
"12:30:36.838005","6.346780000","1.000211000","45","52","100.64.0.2","60870","44.242.60.85","443","0","396","489"
"12:30:36.838014","6.346789000","1.000220000","46","52","100.64.0.2","60870","44.242.60.85","443","0","396","733"
