_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:35:20.898093","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:35:20.898119","0.000026000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:35:21.455137","0.557044000",,"3","76",,,,,,,
"12:35:21.519342","0.621249000",,"4","76",,,,,,,
"12:35:24.431361","3.533268000",,"5","48",,,,,,,
"12:35:24.943230","4.045137000",,"6","48",,,,,,,
"12:35:25.898068","4.999975000",,"7","62","100.64.0.2",,"8.8.8.8",,,,
"12:35:25.898092","4.999999000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"12:35:25.903589","5.005496000",,"9","111","8.8.8.8",,"100.64.0.2",,,,
"12:35:25.904685","5.006592000",,"10","123","8.8.8.8",,"100.64.0.2",,,,
"12:35:26.211115","5.313022000","0.000000000","11","60","100.64.0.2","51234","35.186.224.25","443","0","0","0"
"12:35:26.214797","5.316704000","0.003682000","12","60","35.186.224.25","443","100.64.0.2","51234","0","0","1"
"12:35:26.516734","5.618641000","0.305619000","13","60","35.186.224.25","443","100.64.0.2","51234","0","0","1"
"12:35:26.522810","5.624717000","0.311695000","14","52","100.64.0.2","51234","35.186.224.25","443","0","1","1"
"12:35:26.522834","5.624741000","0.311719000","15","100","100.64.0.2","51234","35.186.224.25","443","48","1","1"
"12:35:26.522843","5.624750000","0.311728000","16","100","100.64.0.2","51234","35.186.224.25","443","48","49","1"
"12:35:26.522852","5.624759000","0.311737000","17","100","100.64.0.2","51234","35.186.224.25","443","48","97","1"
"12:35:26.522860","5.624767000","0.311745000","18","100","100.64.0.2","51234","35.186.224.25","443","48","145","1"
"12:35:26.522868","5.624775000","0.311753000","19","100","100.64.0.2","51234","35.186.224.25","443","48","193","1"
"12:35:26.522876","5.624783000","0.311761000","20","100","100.64.0.2","51234","35.186.224.25","443","48","241","1"
"12:35:26.522885","5.624792000","0.311770000","21","100","100.64.0.2","51234","35.186.224.25","443","48","289","1"
