_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:38:26.622072","0.000000000",,"1","55","100.64.0.2",,"1.1.1.1",,,,
"12:38:26.622097","0.000025000",,"2","55","100.64.0.2",,"1.1.1.1",,,,
"12:38:26.671358","0.049286000",,"3","76",,,,,,,
"12:38:27.183189","0.561117000",,"4","76",,,,,,,
"12:38:27.279240","0.657168000",,"5","76",,,,,,,
"12:38:30.799225","4.177153000",,"6","48",,,,,,,
"12:38:30.799334","4.177262000",,"7","48",,,,,,,
"12:38:31.622011","4.999939000",,"8","55","100.64.0.2",,"8.8.8.8",,,,
"12:38:31.622036","4.999964000",,"9","55","100.64.0.2",,"8.8.8.8",,,,
"12:38:31.629073","5.007001000",,"10","133","8.8.8.8",,"100.64.0.2",,,,
"12:38:31.629991","5.007919000",,"11","119","8.8.8.8",,"100.64.0.2",,,,
"12:38:31.934510","5.312438000","0.000000000","12","60","100.64.0.2","54198","13.33.88.32","443","0","0","0"
"12:38:31.937957","5.315885000","0.003447000","13","60","13.33.88.32","443","100.64.0.2","54198","0","0","1"
"12:38:32.246835","5.624763000","0.312325000","14","52","100.64.0.2","54198","13.33.88.32","443","0","1","1"
"12:38:32.246862","5.624790000","0.312352000","15","100","100.64.0.2","54198","13.33.88.32","443","48","1","1"
"12:38:32.246872","5.624800000","0.312362000","16","100","100.64.0.2","54198","13.33.88.32","443","48","49","1"
"12:38:32.246882","5.624810000","0.312372000","17","100","100.64.0.2","54198","13.33.88.32","443","48","97","1"
"12:38:32.246891","5.624819000","0.312381000","18","100","100.64.0.2","54198","13.33.88.32","443","48","145","1"
"12:38:32.246900","5.624828000","0.312390000","19","100","100.64.0.2","54198","13.33.88.32","443","48","193","1"
"12:38:32.246909","5.624837000","0.312399000","20","100","100.64.0.2","54198","13.33.88.32","443","48","241","1"
"12:38:32.246918","5.624846000","0.312408000","21","100","100.64.0.2","54198","13.33.88.32","443","48","289","1"
"12:38:32.246927","5.624855000","0.312417000","22","100","100.64.0.2","54198","13.33.88.32","443","48","337","1"
"12:38:32.246938","5.624866000","0.312428000","23","57","100.64.0.2","54198","13.33.88.32","443","5","385","1"
"12:38:32.251197","5.629125000","0.316687000","24","52","13.33.88.32","443","100.64.0.2","54198","0","1","97"
"12:38:32.251240","5.629168000","0.316730000","25","52","13.33.88.32","443","100.64.0.2","54198","0","1","193"
"12:38:32.251272","5.629200000","0.316762000","26","52","13.33.88.32","443","100.64.0.2","54198","0","1","289"
"12:38:32.251282","5.629210000","0.316772000","27","52","13.33.88.32","443","100.64.0.2","54198","0","1","385"
"12:38:32.251305","5.629233000","0.316795000","28","52","13.33.88.32","443","100.64.0.2","54198","0","1","390"
