_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:40:45.483357","0.000000000",,"1","76",,,,,,,
"12:40:45.537386","0.054029000",,"2","60","100.64.0.2",,"1.1.1.1",,,,
"12:40:45.537410","0.054053000",,"3","60","100.64.0.2",,"1.1.1.1",,,,
"12:40:45.583230","0.099873000",,"4","76",,,,,,,
"12:40:45.807348","0.323991000",,"5","76",,,,,,,
"12:40:49.295108","3.811751000",,"6","48",,,,,,,
"12:40:49.807044","4.323687000",,"7","48",,,,,,,
"12:40:50.537669","5.054312000",,"8","60","100.64.0.2",,"8.8.8.8",,,,
"12:40:50.537698","5.054341000",,"9","60","100.64.0.2",,"8.8.8.8",,,,
"12:40:50.542744","5.059387000",,"10","197","8.8.8.8",,"100.64.0.2",,,,
"12:40:50.562292","5.078935000",,"11","279","8.8.8.8",,"100.64.0.2",,,,
"12:40:50.850994","5.367637000","0.000000000","12","60","100.64.0.2","58922","23.59.80.208","443","0","0","0"
"12:40:50.853169","5.369812000","0.002175000","13","60","23.59.80.208","443","100.64.0.2","58922","0","0","1"
"12:40:51.162758","5.679401000","0.311764000","14","52","100.64.0.2","58922","23.59.80.208","443","0","1","1"
"12:40:51.162782","5.679425000","0.311788000","15","100","100.64.0.2","58922","23.59.80.208","443","48","1","1"
"12:40:51.162791","5.679434000","0.311797000","16","100","100.64.0.2","58922","23.59.80.208","443","48","49","1"
"12:40:51.162800","5.679443000","0.311806000","17","100","100.64.0.2","58922","23.59.80.208","443","48","97","1"
"12:40:51.162808","5.679451000","0.311814000","18","100","100.64.0.2","58922","23.59.80.208","443","48","145","1"
"12:40:51.162816","5.679459000","0.311822000","19","100","100.64.0.2","58922","23.59.80.208","443","48","193","1"
"12:40:51.162825","5.679468000","0.311831000","20","100","100.64.0.2","58922","23.59.80.208","443","48","241","1"
"12:40:51.162833","5.679476000","0.311839000","21","100","100.64.0.2","58922","23.59.80.208","443","48","289","1"
"12:40:51.162841","5.679484000","0.311847000","22","100","100.64.0.2","58922","23.59.80.208","443","48","337","1"
"12:40:51.162852","5.679495000","0.311858000","23","62","100.64.0.2","58922","23.59.80.208","443","10","385","1"
"12:40:51.166769","5.683412000","0.315775000","24","52","23.59.80.208","443","100.64.0.2","58922","0","1","97"
"12:40:51.166808","5.683451000","0.315814000","25","52","23.59.80.208","443","100.64.0.2","58922","0","1","193"
"12:40:51.166836","5.683479000","0.315842000","26","52","23.59.80.208","443","100.64.0.2","58922","0","1","241"
"12:40:51.166844","5.683487000","0.315850000","27","52","23.59.80.208","443","100.64.0.2","58922","0","1","289"
"12:40:51.166865","5.683508000","0.315871000","28","52","23.59.80.208","443","100.64.0.2","58922","0","1","385"
"12:40:52.413154","6.929797000","1.562160000","29","62","100.64.0.2","58922","23.59.80.208","443","10","385","1"
"12:40:52.415354","6.931997000","1.564360000","30","52","23.59.80.208","443","100.64.0.2","58922","0","1","395"
"12:40:52.416901","6.933544000","1.565907000","31","296","23.59.80.208","443","100.64.0.2","58922","244","1","395"
"12:40:52.416946","6.933589000","1.565952000","32","296","23.59.80.208","443","100.64.0.2","58922","244","245","395"
"12:40:52.416979","6.933622000","1.565985000","33","296","23.59.80.208","443","100.64.0.2","58922","244","489","395"
"12:40:52.416989","6.933632000","1.565995000","34","296","23.59.80.208","443","100.64.0.2","58922","244","733","395"
"12:40:52.725791","7.242434000","1.874797000","35","52","100.64.0.2","58922","23.59.80.208","443","0","395","245"
"12:40:52.725818","7.242461000","1.874824000","36","52","100.64.0.2","58922","23.59.80.208","443","0","395","489"
"12:40:52.725827","7.242470000","1.874833000","37","52","100.64.0.2","58922","23.59.80.208","443","0","395","733"
"12:40:52.725836","7.242479000","1.874842000","38","52","100.64.0.2","58922","23.59.80.208","443","0","395","977"
"12:40:52.727737","7.244380000","1.876743000","39","296","23.59.80.208","443","100.64.0.2","58922","244","977","395"
"12:40:52.727781","7.244424000","1.876787000","40","296","23.59.80.208","443","100.64.0.2","58922","244","1221","395"
"12:40:52.727814","7.244457000","1.876820000","41","296","23.59.80.208","443","100.64.0.2","58922","244","1465","395"
"12:40:52.727824","7.244467000","1.876830000","42","296","23.59.80.208","443","100.64.0.2","58922","244","1709","395"
