_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:15:38.047080","0.000000000",,"1","76",,,,,,,
"12:15:38.111691","0.064611000",,"2","59","100.64.0.2",,"1.1.1.1",,,,
"12:15:38.111717","0.064637000",,"3","59","100.64.0.2",,"1.1.1.1",,,,
"12:15:38.191144","0.144064000",,"4","76",,,,,,,
"12:15:38.543329","0.496249000",,"5","76",,,,,,,
"12:15:38.895280","0.848200000",,"6","76",,,,,,,
"12:15:41.711270","3.664190000",,"7","48",,,,,,,
"12:15:41.967212","3.920132000",,"8","48",,,,,,,
"12:15:43.111856","5.064776000",,"9","59","100.64.0.2",,"8.8.8.8",,,,
"12:15:43.111882","5.064802000",,"10","59","100.64.0.2",,"8.8.8.8",,,,
"12:15:43.120355","5.073275000",,"11","209","8.8.8.8",,"100.64.0.2",,,,
"12:15:43.177660","5.130580000",,"12","249","8.8.8.8",,"100.64.0.2",,,,
"12:15:43.362018","5.314938000","0.000000000","13","60","100.64.0.2","44454","184.26.16.219","443","0","0","0"
"12:15:43.364715","5.317635000","0.002697000","14","60","184.26.16.219","443","100.64.0.2","44454","0","0","1"
"12:15:43.549697","5.502617000","0.187679000","15","52","100.64.0.2","44454","184.26.16.219","443","0","1","1"
"12:15:43.549720","5.502640000","0.187702000","16","100","100.64.0.2","44454","184.26.16.219","443","48","1","1"
"12:15:43.549729","5.502649000","0.187711000","17","100","100.64.0.2","44454","184.26.16.219","443","48","49","1"
"12:15:43.549738","5.502658000","0.187720000","18","100","100.64.0.2","44454","184.26.16.219","443","48","97","1"
"12:15:43.549746","5.502666000","0.187728000","19","100","100.64.0.2","44454","184.26.16.219","443","48","145","1"
"12:15:43.549755","5.502675000","0.187737000","20","100","100.64.0.2","44454","184.26.16.219","443","48","193","1"
"12:15:43.549763","5.502683000","0.187745000","21","100","100.64.0.2","44454","184.26.16.219","443","48","241","1"
"12:15:43.549771","5.502691000","0.187753000","22","100","100.64.0.2","44454","184.26.16.219","443","48","289","1"
"12:15:43.549778","5.502698000","0.187760000","23","100","100.64.0.2","44454","184.26.16.219","443","48","337","1"
"12:15:43.549788","5.502708000","0.187770000","24","61","100.64.0.2","44454","184.26.16.219","443","9","385","1"
"12:15:43.553399","5.506319000","0.191381000","25","52","184.26.16.219","443","100.64.0.2","44454","0","1","97"
"12:15:43.553438","5.506358000","0.191420000","26","52","184.26.16.219","443","100.64.0.2","44454","0","1","193"
"12:15:43.553466","5.506386000","0.191448000","27","52","184.26.16.219","443","100.64.0.2","44454","0","1","289"
"12:15:43.553474","5.506394000","0.191456000","28","52","184.26.16.219","443","100.64.0.2","44454","0","1","337"
"12:15:44.299969","6.252889000","0.937951000","29","100","100.64.0.2","44454","184.26.16.219","443","48","337","1"
"12:15:44.302027","6.254947000","0.940009000","30","52","184.26.16.219","443","100.64.0.2","44454","0","1","385"
"12:15:44.486911","6.439831000","1.124893000","31","61","100.64.0.2","44454","184.26.16.219","443","9","385","1"
"12:15:44.488984","6.441904000","1.126966000","32","52","184.26.16.219","443","100.64.0.2","44454","0","1","394"
"12:15:44.490927","6.443847000","1.128909000","33","296","184.26.16.219","443","100.64.0.2","44454","244","1","394"
"12:15:44.490971","6.443891000","1.128953000","34","296","184.26.16.219","443","100.64.0.2","44454","244","245","394"
"12:15:44.491031","6.443951000","1.129013000","35","296","184.26.16.219","443","100.64.0.2","44454","244","489","394"
"12:15:44.491042","6.443962000","1.129024000","36","296","184.26.16.219","443","100.64.0.2","44454","244","733","394"
"12:15:44.674839","6.627759000","1.312821000","37","52","100.64.0.2","44454","184.26.16.219","443","0","394","245"
"12:15:44.674866","6.627786000","1.312848000","38","52","100.64.0.2","44454","184.26.16.219","443","0","394","489"
"12:15:44.674876","6.627796000","1.312858000","39","52","100.64.0.2","44454","184.26.16.219","443","0","394","733"
"12:15:44.674886","6.627806000","1.312868000","40","52","100.64.0.2","44454","184.26.16.219","443","0","394","977"
"12:15:44.677152","6.630072000","1.315134000","41","296","184.26.16.219","443","100.64.0.2","44454","244","977","394"
"12:15:44.677196","6.630116000","1.315178000","42","296","184.26.16.219","443","100.64.0.2","44454","244","1221","394"
"12:15:44.677228","6.630148000","1.315210000","43","296","184.26.16.219","443","100.64.0.2","44454","244","1465","394"
"12:15:44.677238","6.630158000","1.315220000","44","296","184.26.16.219","443","100.64.0.2","44454","244","1709","394"
"12:15:44.677265","6.630185000","1.315247000","45","296","184.26.16.219","443","100.64.0.2","44454","244","1953","394"
"12:15:44.677274","6.630194000","1.315256000","46","296","184.26.16.219","443","100.64.0.2","44454","244","2197","394"
