_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:14:52.016511","0.000000000",,"1","63","100.64.0.2",,"1.1.1.1",,,,
"12:14:52.016536","0.000025000",,"2","63","100.64.0.2",,"1.1.1.1",,,,
"12:14:52.143301","0.126790000",,"3","76",,,,,,,
"12:14:52.271207","0.254696000",,"4","76",,,,,,,
"12:14:52.623216","0.606705000",,"5","76",,,,,,,
"12:14:55.631169","3.614658000",,"6","48",,,,,,,
"12:14:56.143151","4.126640000",,"7","48",,,,,,,
"12:14:57.016715","5.000204000",,"8","63","100.64.0.2",,"8.8.8.8",,,,
"12:14:57.016739","5.000228000",,"9","63","100.64.0.2",,"8.8.8.8",,,,
"12:14:57.021338","5.004827000",,"10","230","8.8.8.8",,"100.64.0.2",,,,
"12:14:57.024555","5.008044000",,"11","270","8.8.8.8",,"100.64.0.2",,,,
"12:14:57.203662","5.187151000","0.000000000","12","60","100.64.0.2","60528","184.25.249.172","443","0","0","0"
"12:14:57.206133","5.189622000","0.002471000","13","60","184.25.249.172","443","100.64.0.2","60528","0","0","1"
"12:14:57.391778","5.375267000","0.188116000","14","52","100.64.0.2","60528","184.25.249.172","443","0","1","1"
"12:14:57.391804","5.375293000","0.188142000","15","100","100.64.0.2","60528","184.25.249.172","443","48","1","1"
"12:14:57.391814","5.375303000","0.188152000","16","100","100.64.0.2","60528","184.25.249.172","443","48","49","1"
"12:14:57.391823","5.375312000","0.188161000","17","100","100.64.0.2","60528","184.25.249.172","443","48","97","1"
"12:14:57.391831","5.375320000","0.188169000","18","100","100.64.0.2","60528","184.25.249.172","443","48","145","1"
"12:14:57.391841","5.375330000","0.188179000","19","100","100.64.0.2","60528","184.25.249.172","443","48","193","1"
"12:14:57.391850","5.375339000","0.188188000","20","100","100.64.0.2","60528","184.25.249.172","443","48","241","1"
"12:14:57.391859","5.375348000","0.188197000","21","100","100.64.0.2","60528","184.25.249.172","443","48","289","1"
"12:14:57.391868","5.375357000","0.188206000","22","100","100.64.0.2","60528","184.25.249.172","443","48","337","1"
"12:14:57.391879","5.375368000","0.188217000","23","65","100.64.0.2","60528","184.25.249.172","443","13","385","1"
"12:14:57.395586","5.379075000","0.191924000","24","52","184.25.249.172","443","100.64.0.2","60528","0","1","97"
"12:14:57.395625","5.379114000","0.191963000","25","52","184.25.249.172","443","100.64.0.2","60528","0","1","145"
"12:14:57.395653","5.379142000","0.191991000","26","52","184.25.249.172","443","100.64.0.2","60528","0","1","193"
"12:14:57.395662","5.379151000","0.192000000","27","52","184.25.249.172","443","100.64.0.2","60528","0","1","289"
"12:14:57.395686","5.379175000","0.192024000","28","52","184.25.249.172","443","100.64.0.2","60528","0","1","385"
"12:14:57.395694","5.379183000","0.192032000","29","52","184.25.249.172","443","100.64.0.2","60528","0","1","398"
"12:14:57.396966","5.380455000","0.193304000","30","296","184.25.249.172","443","100.64.0.2","60528","244","1","398"
"12:14:57.397006","5.380495000","0.193344000","31","296","184.25.249.172","443","100.64.0.2","60528","244","245","398"
"12:14:57.397035","5.380524000","0.193373000","32","296","184.25.249.172","443","100.64.0.2","60528","244","489","398"
"12:14:57.397044","5.380533000","0.193382000","33","296","184.25.249.172","443","100.64.0.2","60528","244","733","398"
"12:14:57.578774","5.562263000","0.375112000","34","52","100.64.0.2","60528","184.25.249.172","443","0","398","245"
"12:14:57.578790","5.562279000","0.375128000","35","52","100.64.0.2","60528","184.25.249.172","443","0","398","489"
"12:14:57.578796","5.562285000","0.375134000","36","52","100.64.0.2","60528","184.25.249.172","443","0","398","733"
"12:14:57.580789","5.564278000","0.377127000","37","296","184.25.249.172","443","100.64.0.2","60528","244","977","398"
"12:14:57.580815","5.564304000","0.377153000","38","296","184.25.249.172","443","100.64.0.2","60528","244","1221","398"
"12:14:57.580834","5.564323000","0.377172000","39","296","184.25.249.172","443","100.64.0.2","60528","244","1465","398"
"12:14:57.580839","5.564328000","0.377177000","40","296","184.25.249.172","443","100.64.0.2","60528","244","1709","398"
"12:14:57.580855","5.564344000","0.377193000","41","296","184.25.249.172","443","100.64.0.2","60528","244","1953","398"
"12:14:57.580860","5.564349000","0.377198000","42","296","184.25.249.172","443","100.64.0.2","60528","244","2197","398"
"12:14:57.642016","5.625505000","0.438354000","43","52","100.64.0.2","60528","184.25.249.172","443","0","398","977"
"12:14:57.643874","5.627363000","0.440212000","44","296","184.25.249.172","443","100.64.0.2","60528","244","2441","398"
"12:14:57.643913","5.627402000","0.440251000","45","296","184.25.249.172","443","100.64.0.2","60528","244","2685","398"
"12:14:57.766898","5.750387000","0.563236000","46","52","100.64.0.2","60528","184.25.249.172","443","0","398","1221"
"12:14:57.766916","5.750405000","0.563254000","47","52","100.64.0.2","60528","184.25.249.172","443","0","398","1465"
"12:14:57.766923","5.750412000","0.563261000","48","52","100.64.0.2","60528","184.25.249.172","443","0","398","1709"
"12:14:57.766930","5.750419000","0.563268000","49","52","100.64.0.2","60528","184.25.249.172","443","0","398","1953"
"12:14:57.766936","5.750425000","0.563274000","50","52","100.64.0.2","60528","184.25.249.172","443","0","398","2197"
"12:14:57.768589","5.752078000","0.564927000","51","296","184.25.249.172","443","100.64.0.2","60528","244","2929","398"
"12:14:57.768623","5.752112000","0.564961000","52","296","184.25.249.172","443","100.64.0.2","60528","244","3173","398"
"12:14:57.768656","5.752145000","0.564994000","53","296","184.25.249.172","443","100.64.0.2","60528","244","3417","398"
"12:14:57.768667","5.752156000","0.565005000","54","296","184.25.249.172","443","100.64.0.2","60528","244","3661","398"
"12:14:57.768694","5.752183000","0.565032000","55","296","184.25.249.172","443","100.64.0.2","60528","244","3905","398"
"12:14:57.768704","5.752193000","0.565042000","56","216","184.25.249.172","443","100.64.0.2","60528","164","4149","398"
"12:14:57.829115","5.812604000","0.625453000","57","52","100.64.0.2","60528","184.25.249.172","443","0","398","2441"
"12:14:57.829143","5.812632000","0.625481000","58","52","100.64.0.2","60528","184.25.249.172","443","0","398","2685"
"12:14:57.829157","5.812646000","0.625495000","59","52","100.64.0.2","60528","184.25.249.172","443","0","398","2929"
"12:14:57.953951","5.937440000","0.750289000","60","52","100.64.0.2","60528","184.25.249.172","443","0","398","3173"
"12:14:57.953974","5.937463000","0.750312000","61","52","100.64.0.2","60528","184.25.249.172","443","0","398","3417"
"12:14:57.953982","5.937471000","0.750320000","62","52","100.64.0.2","60528","184.25.249.172","443","0","398","3661"
"12:14:57.953990","5.937479000","0.750328000","63","52","100.64.0.2","60528","184.25.249.172","443","0","398","3905"
"12:14:58.016767","6.000256000","0.813105000","64","52","100.64.0.2","60528","184.25.249.172","443","0","398","4149"
"12:14:58.016798","6.000287000","0.813136000","65","52","100.64.0.2","60528","184.25.249.172","443","0","398","4313"
"12:14:58.016807","6.000296000","0.813145000","66","100","100.64.0.2","60528","184.25.249.172","443","48","398","4313"
"12:14:58.016815","6.000304000","0.813153000","67","84","100.64.0.2","60528","184.25.249.172","443","32","446","4313"
"12:14:58.016823","6.000312000","0.813161000","68","100","100.64.0.2","60528","184.25.249.172","443","48","478","4313"
"12:14:58.016831","6.000320000","0.813169000","69","100","100.64.0.2","60528","184.25.249.172","443","48","526","4313"
"12:14:58.016839","6.000328000","0.813177000","70","100","100.64.0.2","60528","184.25.249.172","443","48","574","4313"
"12:14:58.018832","6.002321000","0.815170000","71","52","184.25.249.172","443","100.64.0.2","60528","0","4313","478"
"12:14:58.018871","6.002360000","0.815209000","72","52","184.25.249.172","443","100.64.0.2","60528","0","4313","574"
"12:14:58.018899","6.002388000","0.815237000","73","52","184.25.249.172","443","100.64.0.2","60528","0","4313","622"
"12:14:58.018909","6.002398000","0.815247000","74","296","184.25.249.172","443","100.64.0.2","60528","244","4313","622"
"12:14:58.018933","6.002422000","0.815271000","75","79","184.25.249.172","443","100.64.0.2","60528","27","4557","622"
"12:14:58.018942","6.002431000","0.815280000","76","296","184.25.249.172","443","100.64.0.2","60528","244","4584","622"
"12:14:58.018961","6.002450000","0.815299000","77","79","184.25.249.172","443","100.64.0.2","60528","27","4828","622"
"12:14:58.203998","6.187487000","1.000336000","78","64","100.64.0.2","60528","184.25.249.172","443","12","622","4313"
