_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:11:22.986118","0.000000000",,"1","60","100.64.0.2",,"1.1.1.1",,,,
"12:11:22.986147","0.000029000",,"2","60","100.64.0.2",,"1.1.1.1",,,,
"12:11:23.087224","0.101106000",,"3","76",,,,,,,
"12:11:23.407216","0.421098000",,"4","76",,,,,,,
"12:11:23.439737","0.453619000",,"5","76",,,,,,,
"12:11:23.439763","0.453645000",,"6","48",,,,,,,
"12:11:23.451354","0.465236000",,"7","76",,,,,,,
"12:11:24.079326","1.093208000",,"8","76",,,,,,,
"12:11:24.367238","1.381120000",,"9","76",,,,,,,
"12:11:26.991220","4.005102000",,"10","48",,,,,,,
"12:11:27.247361","4.261243000",,"11","48",,,,,,,
"12:11:27.985233","4.999115000",,"12","60","100.64.0.2",,"8.8.8.8",,,,
"12:11:27.985262","4.999144000",,"13","60","100.64.0.2",,"8.8.8.8",,,,
"12:11:28.058485","5.072367000",,"14","305","8.8.8.8",,"100.64.0.2",,,,
"12:11:28.302132","5.316014000",,"15","177","8.8.8.8",,"100.64.0.2",,,,
"12:11:28.485641","5.499523000","0.000000000","16","60","100.64.0.2","51632","163.181.81.28","443","0","0","0"
"12:11:28.489333","5.503215000","0.003692000","17","48","163.181.81.28","443","100.64.0.2","51632","0","0","1"
"12:11:28.673185","5.687067000","0.187544000","18","40","100.64.0.2","51632","163.181.81.28","443","0","1","1"
"12:11:28.673218","5.687100000","0.187577000","19","100","100.64.0.2","51632","163.181.81.28","443","60","1","1"
"12:11:28.673231","5.687113000","0.187590000","20","100","100.64.0.2","51632","163.181.81.28","443","60","61","1"
"12:11:28.673245","5.687127000","0.187604000","21","100","100.64.0.2","51632","163.181.81.28","443","60","121","1"
"12:11:28.673258","5.687140000","0.187617000","22","100","100.64.0.2","51632","163.181.81.28","443","60","181","1"
"12:11:28.673271","5.687153000","0.187630000","23","100","100.64.0.2","51632","163.181.81.28","443","60","241","1"
"12:11:28.673284","5.687166000","0.187643000","24","100","100.64.0.2","51632","163.181.81.28","443","60","301","1"
"12:11:28.673298","5.687180000","0.187657000","25","74","100.64.0.2","51632","163.181.81.28","443","34","361","1"
"12:11:28.677847","5.691729000","0.192206000","26","40","163.181.81.28","443","100.64.0.2","51632","0","1","1"
"12:11:28.677890","5.691772000","0.192249000","27","40","163.181.81.28","443","100.64.0.2","51632","0","1","121"
"12:11:28.677921","5.691803000","0.192280000","28","40","163.181.81.28","443","100.64.0.2","51632","0","1","181"
"12:11:28.677930","5.691812000","0.192289000","29","40","163.181.81.28","443","100.64.0.2","51632","0","1","241"
"12:11:28.677956","5.691838000","0.192315000","30","40","163.181.81.28","443","100.64.0.2","51632","0","1","241"
"12:11:28.677965","5.691847000","0.192324000","31","40","163.181.81.28","443","100.64.0.2","51632","0","1","361"
"12:11:28.677988","5.691870000","0.192347000","32","40","163.181.81.28","443","100.64.0.2","51632","0","1","395"
"12:11:28.680590","5.694472000","0.194949000","33","296","163.181.81.28","443","100.64.0.2","51632","256","1","395"
"12:11:28.680633","5.694515000","0.194992000","34","296","163.181.81.28","443","100.64.0.2","51632","256","257","395"
"12:11:28.700034","5.713916000","0.214393000","35","296","163.181.81.28","443","100.64.0.2","51632","256","513","395"
"12:11:28.700073","5.713955000","0.214432000","36","296","163.181.81.28","443","100.64.0.2","51632","256","769","395"
"12:11:28.719433","5.733315000","0.233792000","37","296","163.181.81.28","443","100.64.0.2","51632","256","1025","395"
"12:11:28.719472","5.733354000","0.233831000","38","296","163.181.81.28","443","100.64.0.2","51632","256","1281","395"
"12:11:28.738867","5.752749000","0.253226000","39","296","163.181.81.28","443","100.64.0.2","51632","256","1537","395"
"12:11:28.738906","5.752788000","0.253265000","40","296","163.181.81.28","443","100.64.0.2","51632","256","1793","395"
"12:11:28.758416","5.772298000","0.272775000","41","296","163.181.81.28","443","100.64.0.2","51632","256","2049","395"
"12:11:28.758459","5.772341000","0.272818000","42","296","163.181.81.28","443","100.64.0.2","51632","256","2305","395"
"12:11:28.861262","5.875144000","0.375621000","43","40","100.64.0.2","51632","163.181.81.28","443","0","395","257"
