_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:13:42.577827","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:13:42.577848","0.000021000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:13:42.703108","0.125281000",,"3","76",,,,,,,
"12:13:42.703216","0.125389000",,"4","76",,,,,,,
"12:13:43.151317","0.573490000",,"5","76",,,,,,,
"12:13:46.511348","3.933521000",,"6","48",,,,,,,
"12:13:46.767207","4.189380000",,"7","48",,,,,,,
"12:13:47.578084","5.000257000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"12:13:47.578112","5.000285000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"12:13:47.591594","5.013767000",,"10","329","8.8.8.8",,"100.64.0.2",,,,
"12:13:47.594902","5.017075000",,"11","169","8.8.8.8",,"100.64.0.2",,,,
"12:13:47.765261","5.187434000","0.000000000","12","60","100.64.0.2","39280","52.84.251.7","443","0","0","0"
"12:13:47.768060","5.190233000","0.002799000","13","60","52.84.251.7","443","100.64.0.2","39280","0","0","1"
"12:13:47.952780","5.374953000","0.187519000","14","52","100.64.0.2","39280","52.84.251.7","443","0","1","1"
"12:13:47.952806","5.374979000","0.187545000","15","100","100.64.0.2","39280","52.84.251.7","443","48","1","1"
"12:13:47.952815","5.374988000","0.187554000","16","100","100.64.0.2","39280","52.84.251.7","443","48","49","1"
"12:13:47.952824","5.374997000","0.187563000","17","100","100.64.0.2","39280","52.84.251.7","443","48","97","1"
"12:13:47.952833","5.375006000","0.187572000","18","100","100.64.0.2","39280","52.84.251.7","443","48","145","1"
"12:13:47.952842","5.375015000","0.187581000","19","100","100.64.0.2","39280","52.84.251.7","443","48","193","1"
"12:13:47.952851","5.375024000","0.187590000","20","100","100.64.0.2","39280","52.84.251.7","443","48","241","1"
"12:13:47.952860","5.375033000","0.187599000","21","100","100.64.0.2","39280","52.84.251.7","443","48","289","1"
"12:13:47.952869","5.375042000","0.187608000","22","100","100.64.0.2","39280","52.84.251.7","443","48","337","1"
"12:13:47.952881","5.375054000","0.187620000","23","64","100.64.0.2","39280","52.84.251.7","443","12","385","1"
"12:13:47.956089","5.378262000","0.190828000","24","52","52.84.251.7","443","100.64.0.2","39280","0","1","1"
"12:13:47.956121","5.378294000","0.190860000","25","52","52.84.251.7","443","100.64.0.2","39280","0","1","1"
"12:13:47.956756","5.378929000","0.191495000","26","52","52.84.251.7","443","100.64.0.2","39280","0","1","97"
"12:13:47.956787","5.378960000","0.191526000","27","52","52.84.251.7","443","100.64.0.2","39280","0","1","193"
"12:13:47.956813","5.378986000","0.191552000","28","52","52.84.251.7","443","100.64.0.2","39280","0","1","397"
"12:13:47.957680","5.379853000","0.192419000","29","296","52.84.251.7","443","100.64.0.2","39280","244","1","397"
"12:13:47.957711","5.379884000","0.192450000","30","296","52.84.251.7","443","100.64.0.2","39280","244","245","397"
"12:13:47.957742","5.379915000","0.192481000","31","296","52.84.251.7","443","100.64.0.2","39280","244","489","397"
"12:13:47.957752","5.379925000","0.192491000","32","296","52.84.251.7","443","100.64.0.2","39280","244","733","397"
"12:13:47.957811","5.379984000","0.192550000","33","296","52.84.251.7","443","100.64.0.2","39280","244","977","397"
"12:13:47.957821","5.379994000","0.192560000","34","296","52.84.251.7","443","100.64.0.2","39280","244","1221","397"
"12:13:47.957846","5.380019000","0.192585000","35","296","52.84.251.7","443","100.64.0.2","39280","244","1465","397"
"12:13:47.957855","5.380028000","0.192594000","36","296","52.84.251.7","443","100.64.0.2","39280","244","1709","397"
"12:13:47.957880","5.380053000","0.192619000","37","296","52.84.251.7","443","100.64.0.2","39280","244","1953","397"
"12:13:47.957928","5.380101000","0.192667000","38","296","52.84.251.7","443","100.64.0.2","39280","244","2197","397"
"12:13:47.960638","5.382811000","0.195377000","39","296","52.84.251.7","443","100.64.0.2","39280","244","2441","397"
