_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:13:58.138667","0.000000000",,"1","61","100.64.0.2",,"1.1.1.1",,,,
"12:13:58.138691","0.000024000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"12:13:58.255029","0.116362000",,"3","76",,,,,,,
"12:13:58.288106","0.149439000",,"4","76",,,,,,,
"12:13:58.288126","0.149459000",,"5","48",,,,,,,
"12:13:58.299100","0.160433000",,"6","76",,,,,,,
"12:13:58.415225","0.276558000",,"7","76",,,,,,,
"12:13:58.511329","0.372662000",,"8","76",,,,,,,
"12:13:58.959339","0.820672000",,"9","76",,,,,,,
"12:14:01.871224","3.732557000",,"10","48",,,,,,,
"12:14:02.895318","4.756651000",,"11","48",,,,,,,
"12:14:03.138901","5.000234000",,"12","61","100.64.0.2",,"8.8.8.8",,,,
"12:14:03.138925","5.000258000",,"13","61","100.64.0.2",,"8.8.8.8",,,,
"12:14:03.154607","5.015940000",,"14","283","8.8.8.8",,"100.64.0.2",,,,
"12:14:03.158842","5.020175000",,"15","287","8.8.8.8",,"100.64.0.2",,,,
"12:14:03.326172","5.187505000","0.000000000","16","60","100.64.0.2","51646","23.64.122.72","443","0","0","0"
"12:14:03.328786","5.190119000","0.002614000","17","60","23.64.122.72","443","100.64.0.2","51646","0","0","1"
"12:14:03.513440","5.374773000","0.187268000","18","52","100.64.0.2","51646","23.64.122.72","443","0","1","1"
"12:14:03.513464","5.374797000","0.187292000","19","100","100.64.0.2","51646","23.64.122.72","443","48","1","1"
"12:14:03.513472","5.374805000","0.187300000","20","100","100.64.0.2","51646","23.64.122.72","443","48","49","1"
"12:14:03.513480","5.374813000","0.187308000","21","100","100.64.0.2","51646","23.64.122.72","443","48","97","1"
"12:14:03.513488","5.374821000","0.187316000","22","100","100.64.0.2","51646","23.64.122.72","443","48","145","1"
"12:14:03.513496","5.374829000","0.187324000","23","100","100.64.0.2","51646","23.64.122.72","443","48","193","1"
"12:14:03.513504","5.374837000","0.187332000","24","100","100.64.0.2","51646","23.64.122.72","443","48","241","1"
"12:14:03.513513","5.374846000","0.187341000","25","100","100.64.0.2","51646","23.64.122.72","443","48","289","1"
"12:14:03.513522","5.374855000","0.187350000","26","100","100.64.0.2","51646","23.64.122.72","443","48","337","1"
"12:14:03.513532","5.374865000","0.187360000","27","63","100.64.0.2","51646","23.64.122.72","443","11","385","1"
"12:14:03.516346","5.377679000","0.190174000","28","52","23.64.122.72","443","100.64.0.2","51646","0","1","1"
"12:14:03.517160","5.378493000","0.190988000","29","52","23.64.122.72","443","100.64.0.2","51646","0","1","49"
"12:14:03.517199","5.378532000","0.191027000","30","52","23.64.122.72","443","100.64.0.2","51646","0","1","97"
"12:14:03.517226","5.378559000","0.191054000","31","52","23.64.122.72","443","100.64.0.2","51646","0","1","145"
"12:14:03.517234","5.378567000","0.191062000","32","52","23.64.122.72","443","100.64.0.2","51646","0","1","193"
"12:14:03.517255","5.378588000","0.191083000","33","52","23.64.122.72","443","100.64.0.2","51646","0","1","289"
"12:14:04.263931","6.125264000","0.937759000","34","100","100.64.0.2","51646","23.64.122.72","443","48","289","1"
"12:14:04.265832","6.127165000","0.939660000","35","52","23.64.122.72","443","100.64.0.2","51646","0","1","337"
"12:14:04.450682","6.312015000","1.124510000","36","100","100.64.0.2","51646","23.64.122.72","443","48","337","1"
"12:14:04.450708","6.312041000","1.124536000","37","63","100.64.0.2","51646","23.64.122.72","443","11","385","1"
"12:14:04.453636","6.314969000","1.127464000","38","52","23.64.122.72","443","100.64.0.2","51646","0","1","396"
"12:14:04.454413","6.315746000","1.128241000","39","296","23.64.122.72","443","100.64.0.2","51646","244","1","396"
"12:14:04.454457","6.315790000","1.128285000","40","296","23.64.122.72","443","100.64.0.2","51646","244","245","396"
"12:14:04.454489","6.315822000","1.128317000","41","296","23.64.122.72","443","100.64.0.2","51646","244","489","396"
"12:14:04.454499","6.315832000","1.128327000","42","296","23.64.122.72","443","100.64.0.2","51646","244","733","396"
"12:14:04.638395","6.499728000","1.312223000","43","52","100.64.0.2","51646","23.64.122.72","443","0","396","245"
"12:14:04.638421","6.499754000","1.312249000","44","52","100.64.0.2","51646","23.64.122.72","443","0","396","489"
"12:14:04.638430","6.499763000","1.312258000","45","52","100.64.0.2","51646","23.64.122.72","443","0","396","733"
"12:14:04.638439","6.499772000","1.312267000","46","52","100.64.0.2","51646","23.64.122.72","443","0","396","977"
"12:14:04.640725","6.502058000","1.314553000","47","296","23.64.122.72","443","100.64.0.2","51646","244","977","396"
"12:14:04.640769","6.502102000","1.314597000","48","296","23.64.122.72","443","100.64.0.2","51646","244","1221","396"
"12:14:04.640801","6.502134000","1.314629000","49","296","23.64.122.72","443","100.64.0.2","51646","244","1465","396"
"12:14:04.640811","6.502144000","1.314639000","50","296","23.64.122.72","443","100.64.0.2","51646","244","1709","396"
"12:14:04.640838","6.502171000","1.314666000","51","296","23.64.122.72","443","100.64.0.2","51646","244","1953","396"
"12:14:04.640848","6.502181000","1.314676000","52","296","23.64.122.72","443","100.64.0.2","51646","244","2197","396"
"12:14:04.640874","6.502207000","1.314702000","53","296","23.64.122.72","443","100.64.0.2","51646","244","2441","396"
"12:14:04.640883","6.502216000","1.314711000","54","296","23.64.122.72","443","100.64.0.2","51646","244","2685","396"
"12:14:04.825671","6.687004000","1.499499000","55","52","100.64.0.2","51646","23.64.122.72","443","0","396","1221"
"12:14:04.825694","6.687027000","1.499522000","56","52","100.64.0.2","51646","23.64.122.72","443","0","396","1465"
"12:14:04.825702","6.687035000","1.499530000","57","52","100.64.0.2","51646","23.64.122.72","443","0","396","1709"
"12:14:04.825710","6.687043000","1.499538000","58","52","100.64.0.2","51646","23.64.122.72","443","0","396","1953"
"12:14:04.825718","6.687051000","1.499546000","59","52","100.64.0.2","51646","23.64.122.72","443","0","396","2197"
"12:14:04.827719","6.689052000","1.501547000","60","260","23.64.122.72","443","100.64.0.2","51646","208","2929","396"
"12:14:04.889049","6.750382000","1.562877000","61","52","100.64.0.2","51646","23.64.122.72","443","0","396","2441"
"12:14:04.889071","6.750404000","1.562899000","62","52","100.64.0.2","51646","23.64.122.72","443","0","396","2685"
"12:14:04.889080","6.750413000","1.562908000","63","52","100.64.0.2","51646","23.64.122.72","443","0","396","2929"
"12:14:05.013523","6.874856000","1.687351000","64","52","100.64.0.2","51646","23.64.122.72","443","0","396","3137"
"12:14:05.013549","6.874882000","1.687377000","65","100","100.64.0.2","51646","23.64.122.72","443","48","396","3137"
"12:14:05.013559","6.874892000","1.687387000","66","68","100.64.0.2","51646","23.64.122.72","443","16","444","3137"
"12:14:05.013568","6.874901000","1.687396000","67","100","100.64.0.2","51646","23.64.122.72","443","48","460","3137"
"12:14:05.013577","6.874910000","1.687405000","68","100","100.64.0.2","51646","23.64.122.72","443","48","508","3137"
"12:14:05.015346","6.876679000","1.689174000","69","52","23.64.122.72","443","100.64.0.2","51646","0","3137","444"
"12:14:05.015388","6.876721000","1.689216000","70","52","23.64.122.72","443","100.64.0.2","51646","0","3137","460"
"12:14:05.015417","6.876750000","1.689245000","71","52","23.64.122.72","443","100.64.0.2","51646","0","3137","556"
"12:14:05.015427","6.876760000","1.689255000","72","296","23.64.122.72","443","100.64.0.2","51646","244","3137","556"
"12:14:05.015451","6.876784000","1.689279000","73","63","23.64.122.72","443","100.64.0.2","51646","11","3381","556"
"12:14:05.015459","6.876792000","1.689287000","74","296","23.64.122.72","443","100.64.0.2","51646","244","3392","556"
"12:14:05.015479","6.876812000","1.689307000","75","63","23.64.122.72","443","100.64.0.2","51646","11","3636","556"
"12:14:05.200506","7.061839000","1.874334000","76","100","100.64.0.2","51646","23.64.122.72","443","48","556","3137"
"12:14:05.200529","7.061862000","1.874357000","77","58","100.64.0.2","51646","23.64.122.72","443","6","604","3137"
"12:14:05.200538","7.061871000","1.874366000","78","52","100.64.0.2","51646","23.64.122.72","443","0","610","3392"
"12:14:05.200546","7.061879000","1.874374000","79","52","100.64.0.2","51646","23.64.122.72","443","0","610","3647"
"12:14:05.202376","7.063709000","1.876204000","80","52","23.64.122.72","443","100.64.0.2","51646","0","3647","610"
"12:14:05.209661","7.070994000","1.883489000","81","296","23.64.122.72","443","100.64.0.2","51646","244","3647","610"
