_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:09:52.764664","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"12:09:52.764689","0.000025000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"12:09:52.975219","0.210555000",,"3","76",,,,,,,
"12:09:53.199227","0.434563000",,"4","76",,,,,,,
"12:09:53.391287","0.626623000",,"5","76",,,,,,,
"12:09:53.519387","0.754723000",,"6","76",,,,,,,
"12:09:56.367219","3.602555000",,"7","48",,,,,,,
"12:09:56.623385","3.858721000",,"8","48",,,,,,,
"12:09:57.764929","5.000265000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"12:09:57.764957","5.000293000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"12:09:57.769585","5.004921000",,"11","193","8.8.8.8",,"100.64.0.2",,,,
"12:09:57.796836","5.032172000",,"12","167","8.8.8.8",,"100.64.0.2",,,,
"12:09:57.952040","5.187376000","0.000000000","13","60","100.64.0.2","44502","125.56.199.16","443","0","0","0"
"12:09:57.955091","5.190427000","0.003051000","14","60","125.56.199.16","443","100.64.0.2","44502","0","0","1"
"12:09:58.139588","5.374924000","0.187548000","15","52","100.64.0.2","44502","125.56.199.16","443","0","1","1"
"12:09:58.139615","5.374951000","0.187575000","16","100","100.64.0.2","44502","125.56.199.16","443","48","1","1"
"12:09:58.139624","5.374960000","0.187584000","17","100","100.64.0.2","44502","125.56.199.16","443","48","49","1"
"12:09:58.139633","5.374969000","0.187593000","18","100","100.64.0.2","44502","125.56.199.16","443","48","97","1"
"12:09:58.139642","5.374978000","0.187602000","19","100","100.64.0.2","44502","125.56.199.16","443","48","145","1"
"12:09:58.139651","5.374987000","0.187611000","20","100","100.64.0.2","44502","125.56.199.16","443","48","193","1"
"12:09:58.139661","5.374997000","0.187621000","21","100","100.64.0.2","44502","125.56.199.16","443","48","241","1"
"12:09:58.139669","5.375005000","0.187629000","22","100","100.64.0.2","44502","125.56.199.16","443","48","289","1"
"12:09:58.139678","5.375014000","0.187638000","23","100","100.64.0.2","44502","125.56.199.16","443","48","337","1"
"12:09:58.139689","5.375025000","0.187649000","24","60","100.64.0.2","44502","125.56.199.16","443","8","385","1"
"12:09:58.144127","5.379463000","0.192087000","25","52","125.56.199.16","443","100.64.0.2","44502","0","1","97"
"12:09:58.144166","5.379502000","0.192126000","26","52","125.56.199.16","443","100.64.0.2","44502","0","1","145"
"12:09:58.144193","5.379529000","0.192153000","27","52","125.56.199.16","443","100.64.0.2","44502","0","1","193"
"12:09:58.144202","5.379538000","0.192162000","28","52","125.56.199.16","443","100.64.0.2","44502","0","1","289"
"12:09:58.144225","5.379561000","0.192185000","29","52","125.56.199.16","443","100.64.0.2","44502","0","1","337"
"12:09:58.144233","5.379569000","0.192193000","30","52","125.56.199.16","443","100.64.0.2","44502","0","1","385"
"12:09:58.889814","6.125150000","0.937774000","31","60","100.64.0.2","44502","125.56.199.16","443","8","385","1"
"12:09:58.891934","6.127270000","0.939894000","32","52","125.56.199.16","443","100.64.0.2","44502","0","1","393"
"12:09:58.892899","6.128235000","0.940859000","33","296","125.56.199.16","443","100.64.0.2","44502","244","1","393"
"12:09:58.892933","6.128269000","0.940893000","34","296","125.56.199.16","443","100.64.0.2","44502","244","245","393"
"12:09:58.892963","6.128299000","0.940923000","35","296","125.56.199.16","443","100.64.0.2","44502","244","489","393"
"12:09:58.892972","6.128308000","0.940932000","36","296","125.56.199.16","443","100.64.0.2","44502","244","733","393"
"12:09:59.076983","6.312319000","1.124943000","37","52","100.64.0.2","44502","125.56.199.16","443","0","393","245"
"12:09:59.077010","6.312346000","1.124970000","38","52","100.64.0.2","44502","125.56.199.16","443","0","393","489"
"12:09:59.077020","6.312356000","1.124980000","39","52","100.64.0.2","44502","125.56.199.16","443","0","393","733"
"12:09:59.077029","6.312365000","1.124989000","40","52","100.64.0.2","44502","125.56.199.16","443","0","393","977"
"12:09:59.079166","6.314502000","1.127126000","41","296","125.56.199.16","443","100.64.0.2","44502","244","977","393"
"12:09:59.079212","6.314548000","1.127172000","42","296","125.56.199.16","443","100.64.0.2","44502","244","1221","393"
"12:09:59.079248","6.314584000","1.127208000","43","296","125.56.199.16","443","100.64.0.2","44502","244","1465","393"
"12:09:59.079258","6.314594000","1.127218000","44","296","125.56.199.16","443","100.64.0.2","44502","244","1709","393"
"12:09:59.079287","6.314623000","1.127247000","45","296","125.56.199.16","443","100.64.0.2","44502","244","1953","393"
"12:09:59.079297","6.314633000","1.127257000","46","296","125.56.199.16","443","100.64.0.2","44502","244","2197","393"
"12:09:59.079325","6.314661000","1.127285000","47","296","125.56.199.16","443","100.64.0.2","44502","244","2441","393"
"12:09:59.079335","6.314671000","1.127295000","48","296","125.56.199.16","443","100.64.0.2","44502","244","2685","393"
"12:09:59.264886","6.500222000","1.312846000","49","52","100.64.0.2","44502","125.56.199.16","443","0","393","1221"
"12:09:59.264917","6.500253000","1.312877000","50","52","100.64.0.2","44502","125.56.199.16","443","0","393","1465"
"12:09:59.264931","6.500267000","1.312891000","51","52","100.64.0.2","44502","125.56.199.16","443","0","393","1709"
"12:09:59.264943","6.500279000","1.312903000","52","52","100.64.0.2","44502","125.56.199.16","443","0","393","1953"
"12:09:59.264955","6.500291000","1.312915000","53","52","100.64.0.2","44502","125.56.199.16","443","0","393","2197"
"12:09:59.267134","6.502470000","1.315094000","54","296","125.56.199.16","443","100.64.0.2","44502","244","2929","393"
"12:09:59.267174","6.502510000","1.315134000","55","296","125.56.199.16","443","100.64.0.2","44502","244","3173","393"
"12:09:59.267204","6.502540000","1.315164000","56","296","125.56.199.16","443","100.64.0.2","44502","244","3417","393"
"12:09:59.267213","6.502549000","1.315173000","57","296","125.56.199.16","443","100.64.0.2","44502","244","3661","393"
"12:09:59.267238","6.502574000","1.315198000","58","296","125.56.199.16","443","100.64.0.2","44502","244","3905","393"
"12:09:59.267247","6.502583000","1.315207000","59","296","125.56.199.16","443","100.64.0.2","44502","244","4149","393"
"12:09:59.267272","6.502608000","1.315232000","60","296","125.56.199.16","443","100.64.0.2","44502","244","4393","393"
"12:09:59.267280","6.502616000","1.315240000","61","296","125.56.199.16","443","100.64.0.2","44502","244","4637","393"
"12:09:59.267305","6.502641000","1.315265000","62","296","125.56.199.16","443","100.64.0.2","44502","244","4881","393"
"12:09:59.267314","6.502650000","1.315274000","63","221","125.56.199.16","443","100.64.0.2","44502","169","5125","393"
"12:09:59.326838","6.562174000","1.374798000","64","52","100.64.0.2","44502","125.56.199.16","443","0","393","2441"
"12:09:59.326864","6.562200000","1.374824000","65","52","100.64.0.2","44502","125.56.199.16","443","0","393","2685"
"12:09:59.326873","6.562209000","1.374833000","66","52","100.64.0.2","44502","125.56.199.16","443","0","393","2929"
"12:09:59.451923","6.687259000","1.499883000","67","52","100.64.0.2","44502","125.56.199.16","443","0","393","3173"
"12:09:59.451945","6.687281000","1.499905000","68","52","100.64.0.2","44502","125.56.199.16","443","0","393","3417"
"12:09:59.451953","6.687289000","1.499913000","69","52","100.64.0.2","44502","125.56.199.16","443","0","393","3661"
"12:09:59.451962","6.687298000","1.499922000","70","52","100.64.0.2","44502","125.56.199.16","443","0","393","3905"
"12:09:59.514716","6.750052000","1.562676000","71","52","100.64.0.2","44502","125.56.199.16","443","0","393","4149"
"12:09:59.514743","6.750079000","1.562703000","72","52","100.64.0.2","44502","125.56.199.16","443","0","393","5294"
"12:09:59.514753","6.750089000","1.562713000","73","100","100.64.0.2","44502","125.56.199.16","443","48","393","5294"
"12:09:59.514763","6.750099000","1.562723000","74","84","100.64.0.2","44502","125.56.199.16","443","32","441","5294"
"12:09:59.516951","6.752287000","1.564911000","75","52","125.56.199.16","443","100.64.0.2","44502","0","5294","473"
"12:09:59.527999","6.763335000","1.575959000","76","296","125.56.199.16","443","100.64.0.2","44502","244","5294","473"
"12:09:59.528011","6.763347000","1.575971000","77","79","125.56.199.16","443","100.64.0.2","44502","27","5538","473"
"12:09:59.528021","6.763357000","1.575981000","78","296","125.56.199.16","443","100.64.0.2","44502","244","5565","473"
"12:09:59.528024","6.763360000","1.575984000","79","79","125.56.199.16","443","100.64.0.2","44502","27","5809","473"
