_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:18:55.549620","0.000000000",,"1","65","100.64.0.2",,"1.1.1.1",,,,
"12:18:55.549651","0.000031000",,"2","65","100.64.0.2",,"1.1.1.1",,,,
"12:18:55.887282","0.337662000",,"3","76",,,,,,,
"12:18:55.983341","0.433721000",,"4","76",,,,,,,
"12:18:56.143206","0.593586000",,"5","76",,,,,,,
"12:18:56.335064","0.785444000",,"6","76",,,,,,,
"12:18:59.855042","4.305422000",,"7","48",,,,,,,
"12:18:59.855159","4.305539000",,"8","48",,,,,,,
"12:19:00.549964","5.000344000",,"9","65","100.64.0.2",,"8.8.8.8",,,,
"12:19:00.549993","5.000373000",,"10","65","100.64.0.2",,"8.8.8.8",,,,
"12:19:00.556632","5.007012000",,"11","126","8.8.8.8",,"100.64.0.2",,,,
"12:19:00.556697","5.007077000",,"12","114","8.8.8.8",,"100.64.0.2",,,,
"12:19:00.736937","5.187317000","0.000000000","13","60","100.64.0.2","47996","31.13.68.1","443","0","0","0"
"12:19:00.740906","5.191286000","0.003969000","14","60","31.13.68.1","443","100.64.0.2","47996","0","0","1"
"12:19:00.924582","5.374962000","0.187645000","15","52","100.64.0.2","47996","31.13.68.1","443","0","1","1"
"12:19:00.924609","5.374989000","0.187672000","16","100","100.64.0.2","47996","31.13.68.1","443","48","1","1"
"12:19:00.924618","5.374998000","0.187681000","17","100","100.64.0.2","47996","31.13.68.1","443","48","49","1"
"12:19:00.924627","5.375007000","0.187690000","18","100","100.64.0.2","47996","31.13.68.1","443","48","97","1"
"12:19:00.924636","5.375016000","0.187699000","19","100","100.64.0.2","47996","31.13.68.1","443","48","145","1"
"12:19:00.924645","5.375025000","0.187708000","20","100","100.64.0.2","47996","31.13.68.1","443","48","193","1"
"12:19:00.924654","5.375034000","0.187717000","21","100","100.64.0.2","47996","31.13.68.1","443","48","241","1"
"12:19:00.924664","5.375044000","0.187727000","22","100","100.64.0.2","47996","31.13.68.1","443","48","289","1"
"12:19:00.924672","5.375052000","0.187735000","23","100","100.64.0.2","47996","31.13.68.1","443","48","337","1"
"12:19:00.924684","5.375064000","0.187747000","24","67","100.64.0.2","47996","31.13.68.1","443","15","385","1"
"12:19:00.929764","5.380144000","0.192827000","25","52","31.13.68.1","443","100.64.0.2","47996","0","1","97"
"12:19:00.929803","5.380183000","0.192866000","26","52","31.13.68.1","443","100.64.0.2","47996","0","1","145"
"12:19:00.929831","5.380211000","0.192894000","27","52","31.13.68.1","443","100.64.0.2","47996","0","1","193"
"12:19:00.929839","5.380219000","0.192902000","28","52","31.13.68.1","443","100.64.0.2","47996","0","1","289"
"12:19:00.929860","5.380240000","0.192923000","29","52","31.13.68.1","443","100.64.0.2","47996","0","1","385"
"12:19:01.674618","6.124998000","0.937681000","30","67","100.64.0.2","47996","31.13.68.1","443","15","385","1"
"12:19:01.677752","6.128132000","0.940815000","31","52","31.13.68.1","443","100.64.0.2","47996","0","1","400"
"12:19:01.679282","6.129662000","0.942345000","32","296","31.13.68.1","443","100.64.0.2","47996","244","1","400"
"12:19:01.679301","6.129681000","0.942364000","33","296","31.13.68.1","443","100.64.0.2","47996","244","245","400"
"12:19:01.679314","6.129694000","0.942377000","34","296","31.13.68.1","443","100.64.0.2","47996","244","489","400"
"12:19:01.679318","6.129698000","0.942381000","35","296","31.13.68.1","443","100.64.0.2","47996","244","733","400"
"12:19:01.679329","6.129709000","0.942392000","36","296","31.13.68.1","443","100.64.0.2","47996","244","977","400"
"12:19:01.679333","6.129713000","0.942396000","37","296","31.13.68.1","443","100.64.0.2","47996","244","1221","400"
"12:19:01.679343","6.129723000","0.942406000","38","296","31.13.68.1","443","100.64.0.2","47996","244","1465","400"
"12:19:01.679347","6.129727000","0.942410000","39","296","31.13.68.1","443","100.64.0.2","47996","244","1709","400"
"12:19:01.679357","6.129737000","0.942420000","40","296","31.13.68.1","443","100.64.0.2","47996","244","1953","400"
"12:19:01.679361","6.129741000","0.942424000","41","296","31.13.68.1","443","100.64.0.2","47996","244","2197","400"
"12:19:01.862066","6.312446000","1.125129000","42","52","100.64.0.2","47996","31.13.68.1","443","0","400","245"
"12:19:01.862087","6.312467000","1.125150000","43","52","100.64.0.2","47996","31.13.68.1","443","0","400","489"
"12:19:01.862096","6.312476000","1.125159000","44","52","100.64.0.2","47996","31.13.68.1","443","0","400","733"
"12:19:01.862104","6.312484000","1.125167000","45","52","100.64.0.2","47996","31.13.68.1","443","0","400","977"
"12:19:01.865493","6.315873000","1.128556000","46","296","31.13.68.1","443","100.64.0.2","47996","244","2441","400"
"12:19:01.865533","6.315913000","1.128596000","47","296","31.13.68.1","443","100.64.0.2","47996","244","2685","400"
"12:19:01.873750","6.324130000","1.136813000","48","296","31.13.68.1","443","100.64.0.2","47996","244","2929","400"
"12:19:01.873790","6.324170000","1.136853000","49","64","31.13.68.1","443","100.64.0.2","47996","12","3173","400"
"12:19:01.924673","6.375053000","1.187736000","50","52","100.64.0.2","47996","31.13.68.1","443","0","400","1221"
"12:19:01.924696","6.375076000","1.187759000","51","52","100.64.0.2","47996","31.13.68.1","443","0","400","1465"
"12:19:01.924704","6.375084000","1.187767000","52","52","100.64.0.2","47996","31.13.68.1","443","0","400","1709"
"12:19:01.924712","6.375092000","1.187775000","53","52","100.64.0.2","47996","31.13.68.1","443","0","400","1953"
"12:19:01.924720","6.375100000","1.187783000","54","52","100.64.0.2","47996","31.13.68.1","443","0","400","2197"
"12:19:01.986619","6.436999000","1.249682000","55","52","100.64.0.2","47996","31.13.68.1","443","0","400","2441"
"12:19:02.049452","6.499832000","1.312515000","56","52","100.64.0.2","47996","31.13.68.1","443","0","400","2685"
"12:19:02.049479","6.499859000","1.312542000","57","52","100.64.0.2","47996","31.13.68.1","443","0","400","2929"
"12:19:02.049489","6.499869000","1.312552000","58","52","100.64.0.2","47996","31.13.68.1","443","0","400","3173"
"12:19:02.049498","6.499878000","1.312561000","59","52","100.64.0.2","47996","31.13.68.1","443","0","400","3185"
"12:19:02.049507","6.499887000","1.312570000","60","100","100.64.0.2","47996","31.13.68.1","443","48","400","3185"
"12:19:02.049516","6.499896000","1.312579000","61","68","100.64.0.2","47996","31.13.68.1","443","16","448","3185"
"12:19:02.053162","6.503542000","1.316225000","62","222","31.13.68.1","443","100.64.0.2","47996","170","3185","464"
"12:19:02.236861","6.687241000","1.499924000","63","100","100.64.0.2","47996","31.13.68.1","443","48","464","3355"
"12:19:02.236883","6.687263000","1.499946000","64","100","100.64.0.2","47996","31.13.68.1","443","48","512","3355"
"12:19:02.236892","6.687272000","1.499955000","65","100","100.64.0.2","47996","31.13.68.1","443","48","560","3355"
"12:19:02.236900","6.687280000","1.499963000","66","70","100.64.0.2","47996","31.13.68.1","443","18","608","3355"
"12:19:02.239989","6.690369000","1.503052000","67","52","31.13.68.1","443","100.64.0.2","47996","0","3355","626"
"12:19:02.455876","6.906256000","1.718939000","68","296","31.13.68.1","443","100.64.0.2","47996","244","3355","626"
"12:19:02.455920","6.906300000","1.718983000","69","296","31.13.68.1","443","100.64.0.2","47996","244","3599","626"
"12:19:02.460295","6.910675000","1.723358000","70","64","31.13.68.1","443","100.64.0.2","47996","12","3843","626"
"12:19:02.611529","7.061909000","1.874592000","71","52","100.64.0.2","47996","31.13.68.1","443","0","626","3855"
"12:19:02.611555","7.061935000","1.874618000","72","100","100.64.0.2","47996","31.13.68.1","443","48","626","3855"
"12:19:02.611565","7.061945000","1.874628000","73","100","100.64.0.2","47996","31.13.68.1","443","48","674","3855"
"12:19:02.611574","7.061954000","1.874637000","74","100","100.64.0.2","47996","31.13.68.1","443","48","722","3855"
"12:19:02.611583","7.061963000","1.874646000","75","65","100.64.0.2","47996","31.13.68.1","443","13","770","3855"
"12:19:02.614653","7.065033000","1.877716000","76","52","31.13.68.1","443","100.64.0.2","47996","0","3855","770"
"12:19:02.656322","7.106702000","1.919385000","77","52","31.13.68.1","443","100.64.0.2","47996","0","3855","783"
"12:19:03.079822","7.530202000","2.342885000","78","296","31.13.68.1","443","100.64.0.2","47996","244","3855","783"
"12:19:03.079862","7.530242000","2.342925000","79","296","31.13.68.1","443","100.64.0.2","47996","244","4099","783"
"12:19:03.084018","7.534398000","2.347081000","80","296","31.13.68.1","443","100.64.0.2","47996","244","4343","783"
"12:19:03.084058","7.534438000","2.347121000","81","296","31.13.68.1","443","100.64.0.2","47996","244","4587","783"
