_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:14:25.730933","0.000000000",,"1","63","100.64.0.2",,"1.1.1.1",,,,
"12:14:25.730957","0.000024000",,"2","63","100.64.0.2",,"1.1.1.1",,,,
"12:14:25.999304","0.268371000",,"3","76",,,,,,,
"12:14:25.999329","0.268396000",,"4","48",,,,,,,
"12:14:26.011201","0.280268000",,"5","76",,,,,,,
"12:14:26.223324","0.492391000",,"6","76",,,,,,,
"12:14:26.479223","0.748290000",,"7","76",,,,,,,
"12:14:26.479246","0.748313000",,"8","76",,,,,,,
"12:14:30.031359","4.300426000",,"9","48",,,,,,,
"12:14:30.287231","4.556298000",,"10","48",,,,,,,
"12:14:30.731104","5.000171000",,"11","63","100.64.0.2",,"8.8.8.8",,,,
"12:14:30.731136","5.000203000",,"12","63","100.64.0.2",,"8.8.8.8",,,,
"12:14:30.792078","5.061145000",,"13","203","8.8.8.8",,"100.64.0.2",,,,
"12:14:30.809965","5.079032000",,"14","179","8.8.8.8",,"100.64.0.2",,,,
"12:14:30.980909","5.249976000","0.000000000","15","60","100.64.0.2","38644","125.56.199.41","443","0","0","0"
"12:14:30.984054","5.253121000","0.003145000","16","60","125.56.199.41","443","100.64.0.2","38644","0","0","1"
"12:14:31.167745","5.436812000","0.186836000","17","52","100.64.0.2","38644","125.56.199.41","443","0","1","1"
"12:14:31.167777","5.436844000","0.186868000","18","100","100.64.0.2","38644","125.56.199.41","443","48","1","1"
"12:14:31.167790","5.436857000","0.186881000","19","100","100.64.0.2","38644","125.56.199.41","443","48","49","1"
"12:14:31.167804","5.436871000","0.186895000","20","100","100.64.0.2","38644","125.56.199.41","443","48","97","1"
"12:14:31.167817","5.436884000","0.186908000","21","100","100.64.0.2","38644","125.56.199.41","443","48","145","1"
"12:14:31.167831","5.436898000","0.186922000","22","100","100.64.0.2","38644","125.56.199.41","443","48","193","1"
"12:14:31.167845","5.436912000","0.186936000","23","100","100.64.0.2","38644","125.56.199.41","443","48","241","1"
"12:14:31.167859","5.436926000","0.186950000","24","100","100.64.0.2","38644","125.56.199.41","443","48","289","1"
"12:14:31.167874","5.436941000","0.186965000","25","100","100.64.0.2","38644","125.56.199.41","443","48","337","1"
"12:14:31.167893","5.436960000","0.186984000","26","65","100.64.0.2","38644","125.56.199.41","443","13","385","1"
"12:14:31.172020","5.441087000","0.191111000","27","52","125.56.199.41","443","100.64.0.2","38644","0","1","97"
"12:14:31.172061","5.441128000","0.191152000","28","52","125.56.199.41","443","100.64.0.2","38644","0","1","193"
"12:14:31.172089","5.441156000","0.191180000","29","52","125.56.199.41","443","100.64.0.2","38644","0","1","385"
"12:14:31.172097","5.441164000","0.191188000","30","52","125.56.199.41","443","100.64.0.2","38644","0","1","289"
"12:14:31.172117","5.441184000","0.191208000","31","52","125.56.199.41","443","100.64.0.2","38644","0","1","398"
"12:14:31.191789","5.460856000","0.210880000","32","296","125.56.199.41","443","100.64.0.2","38644","244","1","398"
"12:14:31.191829","5.460896000","0.210920000","33","296","125.56.199.41","443","100.64.0.2","38644","244","245","398"
"12:14:31.191859","5.460926000","0.210950000","34","296","125.56.199.41","443","100.64.0.2","38644","244","489","398"
"12:14:31.191868","5.460935000","0.210959000","35","296","125.56.199.41","443","100.64.0.2","38644","244","733","398"
"12:14:31.355555","5.624622000","0.374646000","36","52","100.64.0.2","38644","125.56.199.41","443","0","398","245"
"12:14:31.355583","5.624650000","0.374674000","37","52","100.64.0.2","38644","125.56.199.41","443","0","398","489"
"12:14:31.355595","5.624662000","0.374686000","38","52","100.64.0.2","38644","125.56.199.41","443","0","398","733"
"12:14:31.355606","5.624673000","0.374697000","39","52","100.64.0.2","38644","125.56.199.41","443","0","398","977"
"12:14:31.358310","5.627377000","0.377401000","40","296","125.56.199.41","443","100.64.0.2","38644","244","977","398"
"12:14:31.358350","5.627417000","0.377441000","41","296","125.56.199.41","443","100.64.0.2","38644","244","1221","398"
"12:14:31.358379","5.627446000","0.377470000","42","296","125.56.199.41","443","100.64.0.2","38644","244","1465","398"
"12:14:31.358388","5.627455000","0.377479000","43","296","125.56.199.41","443","100.64.0.2","38644","244","1709","398"
"12:14:31.358412","5.627479000","0.377503000","44","296","125.56.199.41","443","100.64.0.2","38644","244","1953","398"
"12:14:31.358420","5.627487000","0.377511000","45","296","125.56.199.41","443","100.64.0.2","38644","244","2197","398"
"12:14:31.358444","5.627511000","0.377535000","46","296","125.56.199.41","443","100.64.0.2","38644","244","2441","398"
"12:14:31.358452","5.627519000","0.377543000","47","296","125.56.199.41","443","100.64.0.2","38644","244","2685","398"
"12:14:31.542523","5.811590000","0.561614000","48","52","100.64.0.2","38644","125.56.199.41","443","0","398","1221"
"12:14:31.542551","5.811618000","0.561642000","49","52","100.64.0.2","38644","125.56.199.41","443","0","398","1465"
"12:14:31.542563","5.811630000","0.561654000","50","52","100.64.0.2","38644","125.56.199.41","443","0","398","1709"
"12:14:31.542575","5.811642000","0.561666000","51","52","100.64.0.2","38644","125.56.199.41","443","0","398","1953"
"12:14:31.542586","5.811653000","0.561677000","52","52","100.64.0.2","38644","125.56.199.41","443","0","398","2197"
"12:14:31.545094","5.814161000","0.564185000","53","296","125.56.199.41","443","100.64.0.2","38644","244","2929","398"
"12:14:31.545133","5.814200000","0.564224000","54","296","125.56.199.41","443","100.64.0.2","38644","244","3173","398"
"12:14:31.545162","5.814229000","0.564253000","55","296","125.56.199.41","443","100.64.0.2","38644","244","3417","398"
"12:14:31.545171","5.814238000","0.564262000","56","296","125.56.199.41","443","100.64.0.2","38644","244","3661","398"
"12:14:31.545196","5.814263000","0.564287000","57","296","125.56.199.41","443","100.64.0.2","38644","244","3905","398"
"12:14:31.545205","5.814272000","0.564296000","58","296","125.56.199.41","443","100.64.0.2","38644","244","4149","398"
"12:14:31.545225","5.814292000","0.564316000","59","192","125.56.199.41","443","100.64.0.2","38644","140","4393","398"
"12:14:31.605630","5.874697000","0.624721000","60","52","100.64.0.2","38644","125.56.199.41","443","0","398","2441"
"12:14:31.605660","5.874727000","0.624751000","61","52","100.64.0.2","38644","125.56.199.41","443","0","398","2685"
"12:14:31.605675","5.874742000","0.624766000","62","52","100.64.0.2","38644","125.56.199.41","443","0","398","2929"
"12:14:31.730990","6.000057000","0.750081000","63","52","100.64.0.2","38644","125.56.199.41","443","0","398","3173"
"12:14:31.731036","6.000103000","0.750127000","64","52","100.64.0.2","38644","125.56.199.41","443","0","398","3417"
"12:14:31.731050","6.000117000","0.750141000","65","52","100.64.0.2","38644","125.56.199.41","443","0","398","3661"
"12:14:31.731064","6.000131000","0.750155000","66","52","100.64.0.2","38644","125.56.199.41","443","0","398","3905"
"12:14:31.793164","6.062231000","0.812255000","67","52","100.64.0.2","38644","125.56.199.41","443","0","398","4149"
"12:14:31.793196","6.062263000","0.812287000","68","52","100.64.0.2","38644","125.56.199.41","443","0","398","4533"
"12:14:31.793211","6.062278000","0.812302000","69","100","100.64.0.2","38644","125.56.199.41","443","48","398","4533"
"12:14:31.793225","6.062292000","0.812316000","70","84","100.64.0.2","38644","125.56.199.41","443","32","446","4533"
"12:14:31.793239","6.062306000","0.812330000","71","100","100.64.0.2","38644","125.56.199.41","443","48","478","4533"
"12:14:31.793253","6.062320000","0.812344000","72","100","100.64.0.2","38644","125.56.199.41","443","48","526","4533"
"12:14:31.793267","6.062334000","0.812358000","73","100","100.64.0.2","38644","125.56.199.41","443","48","574","4533"
"12:14:31.795870","6.064937000","0.814961000","74","52","125.56.199.41","443","100.64.0.2","38644","0","4533","446"
"12:14:31.795914","6.064981000","0.815005000","75","52","125.56.199.41","443","100.64.0.2","38644","0","4533","478"
"12:14:31.795945","6.065012000","0.815036000","76","52","125.56.199.41","443","100.64.0.2","38644","0","4533","574"
"12:14:31.795955","6.065022000","0.815046000","77","52","125.56.199.41","443","100.64.0.2","38644","0","4533","622"
"12:14:31.795984","6.065051000","0.815075000","78","296","125.56.199.41","443","100.64.0.2","38644","244","4533","622"
"12:14:31.795994","6.065061000","0.815085000","79","79","125.56.199.41","443","100.64.0.2","38644","27","4777","622"
"12:14:31.796020","6.065087000","0.815111000","80","296","125.56.199.41","443","100.64.0.2","38644","244","4804","622"
"12:14:31.796029","6.065096000","0.815120000","81","79","125.56.199.41","443","100.64.0.2","38644","27","5048","622"
"12:14:31.980577","6.249644000","0.999668000","82","58","100.64.0.2","38644","125.56.199.41","443","6","622","4533"
"12:14:31.980608","6.249675000","0.999699000","83","52","100.64.0.2","38644","125.56.199.41","443","0","628","5075"
"12:14:31.983051","6.252118000","1.002142000","84","52","125.56.199.41","443","100.64.0.2","38644","0","5075","628"
"12:14:32.000225","6.269292000","1.019316000","85","296","125.56.199.41","443","100.64.0.2","38644","244","5075","628"
"12:14:32.001740","6.270807000","1.020831000","86","296","125.56.199.41","443","100.64.0.2","38644","244","5319","628"
"12:14:32.004921","6.273988000","1.024012000","87","296","125.56.199.41","443","100.64.0.2","38644","244","5563","628"
"12:14:32.008040","6.277107000","1.027131000","88","296","125.56.199.41","443","100.64.0.2","38644","244","5807","628"
"12:14:32.011242","6.280309000","1.030333000","89","296","125.56.199.41","443","100.64.0.2","38644","244","6051","628"
"12:14:32.014253","6.283320000","1.033344000","90","296","125.56.199.41","443","100.64.0.2","38644","244","6295","628"
"12:14:32.017432","6.286499000","1.036523000","91","296","125.56.199.41","443","100.64.0.2","38644","244","6539","628"
"12:14:32.020641","6.289708000","1.039732000","92","296","125.56.199.41","443","100.64.0.2","38644","244","6783","628"
"12:14:32.023783","6.292850000","1.042874000","93","296","125.56.199.41","443","100.64.0.2","38644","244","7027","628"
"12:14:32.026969","6.296036000","1.046060000","94","296","125.56.199.41","443","100.64.0.2","38644","244","7271","628"
"12:14:32.030231","6.299298000","1.049322000","95","296","125.56.199.41","443","100.64.0.2","38644","244","7515","628"
"12:14:32.033419","6.302486000","1.052510000","96","296","125.56.199.41","443","100.64.0.2","38644","244","7759","628"
"12:14:32.036370","6.305437000","1.055461000","97","296","125.56.199.41","443","100.64.0.2","38644","244","8003","628"
"12:14:32.039581","6.308648000","1.058672000","98","296","125.56.199.41","443","100.64.0.2","38644","244","8247","628"
"12:14:32.042787","6.311854000","1.061878000","99","296","125.56.199.41","443","100.64.0.2","38644","244","8491","628"
"12:14:32.045939","6.315006000","1.065030000","100","296","125.56.199.41","443","100.64.0.2","38644","244","8735","628"
"12:14:32.049040","6.318107000","1.068131000","101","296","125.56.199.41","443","100.64.0.2","38644","244","8979","628"
"12:14:32.052293","6.321360000","1.071384000","102","296","125.56.199.41","443","100.64.0.2","38644","244","9223","628"
"12:14:32.055460","6.324527000","1.074551000","103","296","125.56.199.41","443","100.64.0.2","38644","244","9467","628"
"12:14:32.058560","6.327627000","1.077651000","104","296","125.56.199.41","443","100.64.0.2","38644","244","9711","628"
"12:14:32.061827","6.330894000","1.080918000","105","296","125.56.199.41","443","100.64.0.2","38644","244","9955","628"
"12:14:32.064959","6.334026000","1.084050000","106","296","125.56.199.41","443","100.64.0.2","38644","244","10199","628"
"12:14:32.067969","6.337036000","1.087060000","107","296","125.56.199.41","443","100.64.0.2","38644","244","10443","628"
"12:14:32.168197","6.437264000","1.187288000","108","52","100.64.0.2","38644","125.56.199.41","443","0","628","5563"
"12:14:32.168226","6.437293000","1.187317000","109","52","100.64.0.2","38644","125.56.199.41","443","0","628","6051"
"12:14:32.170420","6.439487000","1.189511000","110","296","125.56.199.41","443","100.64.0.2","38644","244","10687","628"
