_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:19:16.705614","0.000000000",,"1","61","100.64.0.2",,"1.1.1.1",,,,
"12:19:16.705638","0.000024000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"12:19:16.975229","0.269615000",,"3","76",,,,,,,
"12:19:17.039348","0.333734000",,"4","76",,,,,,,
"12:19:17.071206","0.365592000",,"5","76",,,,,,,
"12:19:17.423342","0.717728000",,"6","76",,,,,,,
"12:19:20.335225","3.629611000",,"7","48",,,,,,,
"12:19:20.847321","4.141707000",,"8","48",,,,,,,
"12:19:21.705786","5.000172000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"12:19:21.705814","5.000200000",,"10","61","100.64.0.2",,"8.8.8.8",,,,
"12:19:21.710433","5.004819000",,"11","91","8.8.8.8",,"100.64.0.2",,,,
"12:19:21.710464","5.004850000",,"12","140","8.8.8.8",,"100.64.0.2",,,,
"12:19:21.892597","5.186983000","0.000000000","13","60","100.64.0.2","47326","66.254.114.41","443","0","0","0"
"12:19:22.059823","5.354209000","0.167226000","14","60","66.254.114.41","443","100.64.0.2","47326","0","0","1"
"12:19:22.205583","5.499969000","0.312986000","15","52","100.64.0.2","47326","66.254.114.41","443","0","1","1"
"12:19:22.205610","5.499996000","0.313013000","16","100","100.64.0.2","47326","66.254.114.41","443","48","1","1"
"12:19:22.205621","5.500007000","0.313024000","17","100","100.64.0.2","47326","66.254.114.41","443","48","49","1"
"12:19:22.205630","5.500016000","0.313033000","18","100","100.64.0.2","47326","66.254.114.41","443","48","97","1"
"12:19:22.205639","5.500025000","0.313042000","19","100","100.64.0.2","47326","66.254.114.41","443","48","145","1"
"12:19:22.205649","5.500035000","0.313052000","20","100","100.64.0.2","47326","66.254.114.41","443","48","193","1"
"12:19:22.205658","5.500044000","0.313061000","21","100","100.64.0.2","47326","66.254.114.41","443","48","241","1"
"12:19:22.205668","5.500054000","0.313071000","22","100","100.64.0.2","47326","66.254.114.41","443","48","289","1"
"12:19:22.205678","5.500064000","0.313081000","23","100","100.64.0.2","47326","66.254.114.41","443","48","337","1"
"12:19:22.205690","5.500076000","0.313093000","24","63","100.64.0.2","47326","66.254.114.41","443","11","385","1"
"12:19:22.374078","5.668464000","0.481481000","25","52","66.254.114.41","443","100.64.0.2","47326","0","1","193"
"12:19:22.374104","5.668490000","0.481507000","26","52","66.254.114.41","443","100.64.0.2","47326","0","1","385"
"12:19:22.374131","5.668517000","0.481534000","27","296","66.254.114.41","443","100.64.0.2","47326","244","1","396"
"12:19:22.384414","5.678800000","0.491817000","28","296","66.254.114.41","443","100.64.0.2","47326","244","245","396"
"12:19:22.394551","5.688937000","0.501954000","29","296","66.254.114.41","443","100.64.0.2","47326","244","489","396"
"12:19:22.404596","5.698982000","0.511999000","30","296","66.254.114.41","443","100.64.0.2","47326","244","733","396"
"12:19:22.414863","5.709249000","0.522266000","31","296","66.254.114.41","443","100.64.0.2","47326","244","977","396"
"12:19:22.425062","5.719448000","0.532465000","32","296","66.254.114.41","443","100.64.0.2","47326","244","1221","396"
"12:19:22.434899","5.729285000","0.542302000","33","296","66.254.114.41","443","100.64.0.2","47326","244","1465","396"
"12:19:22.445227","5.739613000","0.552630000","34","296","66.254.114.41","443","100.64.0.2","47326","244","1709","396"
"12:19:22.455343","5.749729000","0.562746000","35","296","66.254.114.41","443","100.64.0.2","47326","244","1953","396"
"12:19:22.465405","5.759791000","0.572808000","36","296","66.254.114.41","443","100.64.0.2","47326","244","2197","396"
"12:19:22.518078","5.812464000","0.625481000","37","52","100.64.0.2","47326","66.254.114.41","443","0","396","245"
"12:19:22.518099","5.812485000","0.625502000","38","52","100.64.0.2","47326","66.254.114.41","443","0","396","489"
"12:19:22.580752","5.875138000","0.688155000","39","52","100.64.0.2","47326","66.254.114.41","443","0","396","733"
"12:19:22.580775","5.875161000","0.688178000","40","52","100.64.0.2","47326","66.254.114.41","443","0","396","977"
"12:19:22.580784","5.875170000","0.688187000","41","52","100.64.0.2","47326","66.254.114.41","443","0","396","1221"
"12:19:22.580792","5.875178000","0.688195000","42","52","100.64.0.2","47326","66.254.114.41","443","0","396","1465"
"12:19:22.580800","5.875186000","0.688203000","43","52","100.64.0.2","47326","66.254.114.41","443","0","396","1709"
"12:19:22.643072","5.937458000","0.750475000","44","52","100.64.0.2","47326","66.254.114.41","443","0","396","1953"
"12:19:22.643097","5.937483000","0.750500000","45","52","100.64.0.2","47326","66.254.114.41","443","0","396","2197"
"12:19:22.643108","5.937494000","0.750511000","46","52","100.64.0.2","47326","66.254.114.41","443","0","396","2441"
"12:19:22.684765","5.979151000","0.792168000","47","296","66.254.114.41","443","100.64.0.2","47326","244","2441","396"
"12:19:22.695027","5.989413000","0.802430000","48","296","66.254.114.41","443","100.64.0.2","47326","244","2685","396"
"12:19:22.705403","5.999789000","0.812806000","49","296","66.254.114.41","443","100.64.0.2","47326","244","2929","396"
"12:19:22.715199","6.009585000","0.822602000","50","296","66.254.114.41","443","100.64.0.2","47326","244","3173","396"
"12:19:22.747345","6.041731000","0.854748000","51","296","66.254.114.41","443","100.64.0.2","47326","244","3417","396"
"12:19:22.757677","6.052063000","0.865080000","52","125","66.254.114.41","443","100.64.0.2","47326","73","3661","396"
"12:19:22.830506","6.124892000","0.937909000","53","52","100.64.0.2","47326","66.254.114.41","443","0","396","2685"
"12:19:22.830529","6.124915000","0.937932000","54","52","100.64.0.2","47326","66.254.114.41","443","0","396","2929"
"12:19:22.892838","6.187224000","1.000241000","55","52","100.64.0.2","47326","66.254.114.41","443","0","396","3173"
"12:19:22.892861","6.187247000","1.000264000","56","52","100.64.0.2","47326","66.254.114.41","443","0","396","3417"
"12:19:22.892870","6.187256000","1.000273000","57","52","100.64.0.2","47326","66.254.114.41","443","0","396","3661"
