_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:18:23.585182","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:18:23.585206","0.000024000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:18:24.271326","0.686144000",,"3","76",,,,,,,
"12:18:27.599240","4.014058000",,"4","48",,,,,,,
"12:18:27.599344","4.014162000",,"5","48",,,,,,,
"12:18:28.584326","4.999144000",,"6","62","100.64.0.2",,"8.8.8.8",,,,
"12:18:28.584354","4.999172000",,"7","62","100.64.0.2",,"8.8.8.8",,,,
"12:18:28.593547","5.008365000",,"8","141","8.8.8.8",,"100.64.0.2",,,,
"12:18:28.687834","5.102652000",,"9","161","8.8.8.8",,"100.64.0.2",,,,
"12:18:28.834848","5.249666000","0.000000000","10","60","100.64.0.2","45942","163.181.128.242","443","0","0","0"
"12:18:28.838744","5.253562000","0.003896000","11","48","163.181.128.242","443","100.64.0.2","45942","0","0","1"
"12:18:29.021605","5.436423000","0.186757000","12","40","100.64.0.2","45942","163.181.128.242","443","0","1","1"
"12:18:29.021632","5.436450000","0.186784000","13","100","100.64.0.2","45942","163.181.128.242","443","60","1","1"
"12:18:29.021641","5.436459000","0.186793000","14","100","100.64.0.2","45942","163.181.128.242","443","60","61","1"
"12:18:29.021649","5.436467000","0.186801000","15","100","100.64.0.2","45942","163.181.128.242","443","60","121","1"
"12:18:29.021658","5.436476000","0.186810000","16","100","100.64.0.2","45942","163.181.128.242","443","60","181","1"
"12:18:29.021666","5.436484000","0.186818000","17","100","100.64.0.2","45942","163.181.128.242","443","60","241","1"
"12:18:29.021675","5.436493000","0.186827000","18","100","100.64.0.2","45942","163.181.128.242","443","60","301","1"
"12:18:29.021684","5.436502000","0.186836000","19","76","100.64.0.2","45942","163.181.128.242","443","36","361","1"
"12:18:29.026046","5.440864000","0.191198000","20","40","163.181.128.242","443","100.64.0.2","45942","0","1","61"
"12:18:29.026082","5.440900000","0.191234000","21","40","163.181.128.242","443","100.64.0.2","45942","0","1","121"
"12:18:29.026110","5.440928000","0.191262000","22","40","163.181.128.242","443","100.64.0.2","45942","0","1","181"
"12:18:29.026119","5.440937000","0.191271000","23","40","163.181.128.242","443","100.64.0.2","45942","0","1","241"
"12:18:29.026142","5.440960000","0.191294000","24","40","163.181.128.242","443","100.64.0.2","45942","0","1","301"
"12:18:29.026150","5.440968000","0.191302000","25","40","163.181.128.242","443","100.64.0.2","45942","0","1","361"
"12:18:29.026170","5.440988000","0.191322000","26","40","163.181.128.242","443","100.64.0.2","45942","0","1","397"
"12:18:29.028426","5.443244000","0.193578000","27","296","163.181.128.242","443","100.64.0.2","45942","256","1","397"
"12:18:29.028461","5.443279000","0.193613000","28","296","163.181.128.242","443","100.64.0.2","45942","256","257","397"
"12:18:29.047509","5.462327000","0.212661000","29","296","163.181.128.242","443","100.64.0.2","45942","256","513","397"
"12:18:29.047521","5.462339000","0.212673000","30","296","163.181.128.242","443","100.64.0.2","45942","256","769","397"
"12:18:29.066987","5.481805000","0.232139000","31","296","163.181.128.242","443","100.64.0.2","45942","256","1025","397"
"12:18:29.066996","5.481814000","0.232148000","32","296","163.181.128.242","443","100.64.0.2","45942","256","1281","397"
"12:18:29.086540","5.501358000","0.251692000","33","296","163.181.128.242","443","100.64.0.2","45942","256","1537","397"
"12:18:29.086555","5.501373000","0.251707000","34","296","163.181.128.242","443","100.64.0.2","45942","256","1793","397"
"12:18:29.106258","5.521076000","0.271410000","35","296","163.181.128.242","443","100.64.0.2","45942","256","2049","397"
"12:18:29.106276","5.521094000","0.271428000","36","296","163.181.128.242","443","100.64.0.2","45942","256","2305","397"
"12:18:29.209561","5.624379000","0.374713000","37","40","100.64.0.2","45942","163.181.128.242","443","0","397","257"
"12:18:29.209588","5.624406000","0.374740000","38","40","100.64.0.2","45942","163.181.128.242","443","0","397","513"
"12:18:29.209599","5.624417000","0.374751000","39","40","100.64.0.2","45942","163.181.128.242","443","0","397","769"
"12:18:29.212114","5.626932000","0.377266000","40","296","163.181.128.242","443","100.64.0.2","45942","256","2561","397"
"12:18:29.212158","5.626976000","0.377310000","41","296","163.181.128.242","443","100.64.0.2","45942","256","2817","397"
"12:18:29.229832","5.644650000","0.394984000","42","296","163.181.128.242","443","100.64.0.2","45942","256","3073","397"
"12:18:29.229876","5.644694000","0.395028000","43","296","163.181.128.242","443","100.64.0.2","45942","256","3329","397"
"12:18:29.244475","5.659293000","0.409627000","44","296","163.181.128.242","443","100.64.0.2","45942","256","3585","397"
"12:18:29.244519","5.659337000","0.409671000","45","296","163.181.128.242","443","100.64.0.2","45942","256","3841","397"
"12:18:29.272015","5.686833000","0.437167000","46","40","100.64.0.2","45942","163.181.128.242","443","0","397","1025"
"12:18:29.272040","5.686858000","0.437192000","47","40","100.64.0.2","45942","163.181.128.242","443","0","397","1281"
"12:18:29.272050","5.686868000","0.437202000","48","40","100.64.0.2","45942","163.181.128.242","443","0","397","1537"
"12:18:29.272059","5.686877000","0.437211000","49","40","100.64.0.2","45942","163.181.128.242","443","0","397","2049"
"12:18:29.272068","5.686886000","0.437220000","50","40","100.64.0.2","45942","163.181.128.242","443","0","397","2305"
"12:18:29.274668","5.689486000","0.439820000","51","296","163.181.128.242","443","100.64.0.2","45942","256","4097","397"
"12:18:29.274714","5.689532000","0.439866000","52","229","163.181.128.242","443","100.64.0.2","45942","189","4353","397"
"12:18:29.334374","5.749192000","0.499526000","53","40","100.64.0.2","45942","163.181.128.242","443","0","397","2561"
"12:18:29.396510","5.811328000","0.561662000","54","40","100.64.0.2","45942","163.181.128.242","443","0","397","2817"
"12:18:29.396534","5.811352000","0.561686000","55","40","100.64.0.2","45942","163.181.128.242","443","0","397","3073"
"12:18:29.396542","5.811360000","0.561694000","56","40","100.64.0.2","45942","163.181.128.242","443","0","397","3329"
"12:18:29.396550","5.811368000","0.561702000","57","40","100.64.0.2","45942","163.181.128.242","443","0","397","3585"
"12:18:29.396558","5.811376000","0.561710000","58","40","100.64.0.2","45942","163.181.128.242","443","0","397","3841"
"12:18:29.459586","5.874404000","0.624738000","59","40","100.64.0.2","45942","163.181.128.242","443","0","397","4097"
"12:18:29.459609","5.874427000","0.624761000","60","40","100.64.0.2","45942","163.181.128.242","443","0","397","4353"
"12:18:29.459618","5.874436000","0.624770000","61","40","100.64.0.2","45942","163.181.128.242","443","0","397","4542"
"12:18:29.459626","5.874444000","0.624778000","62","100","100.64.0.2","45942","163.181.128.242","443","60","397","4542"
"12:18:29.459634","5.874452000","0.624786000","63","60","100.64.0.2","45942","163.181.128.242","443","20","457","4542"
"12:18:29.459643","5.874461000","0.624795000","64","100","100.64.0.2","45942","163.181.128.242","443","60","477","4542"
"12:18:29.459651","5.874469000","0.624803000","65","100","100.64.0.2","45942","163.181.128.242","443","60","537","4542"
"12:18:29.463259","5.878077000","0.628411000","66","40","163.181.128.242","443","100.64.0.2","45942","0","4542","597"
"12:18:29.463299","5.878117000","0.628451000","67","296","163.181.128.242","443","100.64.0.2","45942","256","4542","597"
"12:18:29.463325","5.878143000","0.628477000","68","79","163.181.128.242","443","100.64.0.2","45942","39","4798","597"
"12:18:29.467869","5.882687000","0.633021000","69","296","163.181.128.242","443","100.64.0.2","45942","256","4837","597"
"12:18:29.467909","5.882727000","0.633061000","70","79","163.181.128.242","443","100.64.0.2","45942","39","5093","597"
"12:18:29.646537","6.061355000","0.811689000","71","69","100.64.0.2","45942","163.181.128.242","443","29","597","4542"
"12:18:29.646562","6.061380000","0.811714000","72","40","100.64.0.2","45942","163.181.128.242","443","0","626","5132"
"12:18:29.651017","6.065835000","0.816169000","73","296","163.181.128.242","443","100.64.0.2","45942","256","5132","626"
"12:18:29.651056","6.065874000","0.816208000","74","296","163.181.128.242","443","100.64.0.2","45942","256","5388","626"
"12:18:29.657878","6.072696000","0.823030000","75","296","163.181.128.242","443","100.64.0.2","45942","256","5644","626"
"12:18:29.657917","6.072735000","0.823069000","76","296","163.181.128.242","443","100.64.0.2","45942","256","5900","626"
"12:18:29.664928","6.079746000","0.830080000","77","296","163.181.128.242","443","100.64.0.2","45942","256","6156","626"
"12:18:29.664968","6.079786000","0.830120000","78","296","163.181.128.242","443","100.64.0.2","45942","256","6412","626"
"12:18:29.671808","6.086626000","0.836960000","79","296","163.181.128.242","443","100.64.0.2","45942","256","6668","626"
"12:18:29.671852","6.086670000","0.837004000","80","296","163.181.128.242","443","100.64.0.2","45942","256","6924","626"
"12:18:29.678772","6.093590000","0.843924000","81","296","163.181.128.242","443","100.64.0.2","45942","256","7180","626"
"12:18:29.678816","6.093634000","0.843968000","82","296","163.181.128.242","443","100.64.0.2","45942","256","7436","626"
"12:18:29.685774","6.100592000","0.850926000","83","296","163.181.128.242","443","100.64.0.2","45942","256","7692","626"
"12:18:29.685827","6.100645000","0.850979000","84","296","163.181.128.242","443","100.64.0.2","45942","256","7948","626"
"12:18:29.692665","6.107483000","0.857817000","85","296","163.181.128.242","443","100.64.0.2","45942","256","8204","626"
"12:18:29.692709","6.107527000","0.857861000","86","296","163.181.128.242","443","100.64.0.2","45942","256","8460","626"
"12:18:29.699665","6.114483000","0.864817000","87","296","163.181.128.242","443","100.64.0.2","45942","256","8716","626"
"12:18:29.699710","6.114528000","0.864862000","88","296","163.181.128.242","443","100.64.0.2","45942","256","8972","626"
"12:18:29.706619","6.121437000","0.871771000","89","296","163.181.128.242","443","100.64.0.2","45942","256","9228","626"
"12:18:29.706663","6.121481000","0.871815000","90","296","163.181.128.242","443","100.64.0.2","45942","256","9484","626"
"12:18:29.713608","6.128426000","0.878760000","91","296","163.181.128.242","443","100.64.0.2","45942","256","9740","626"
"12:18:29.713652","6.128470000","0.878804000","92","296","163.181.128.242","443","100.64.0.2","45942","256","9996","626"
"12:18:29.720671","6.135489000","0.885823000","93","296","163.181.128.242","443","100.64.0.2","45942","256","10252","626"
