_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:18:39.111024","0.000000000",,"1","59","100.64.0.2",,"1.1.1.1",,,,
"12:18:39.111213","0.000189000",,"2","59","100.64.0.2",,"1.1.1.1",,,,
"12:18:39.183234","0.072210000",,"3","76",,,,,,,
"12:18:39.215220","0.104196000",,"4","76",,,,,,,
"12:18:39.791317","0.680293000",,"5","76",,,,,,,
"12:18:42.959192","3.848168000",,"6","48",,,,,,,
"12:18:43.471323","4.360299000",,"7","48",,,,,,,
"12:18:44.110544","4.999520000",,"8","59","100.64.0.2",,"8.8.8.8",,,,
"12:18:44.110572","4.999548000",,"9","59","100.64.0.2",,"8.8.8.8",,,,
"12:18:44.120004","5.008980000",,"10","135","8.8.8.8",,"100.64.0.2",,,,
"12:18:44.120051","5.009027000",,"11","159","8.8.8.8",,"100.64.0.2",,,,
"12:18:44.297504","5.186480000","0.000000000","12","60","100.64.0.2","53060","163.181.128.243","443","0","0","0"
"12:18:44.300821","5.189797000","0.003317000","13","48","163.181.128.243","443","100.64.0.2","53060","0","0","1"
"12:18:44.485750","5.374726000","0.188246000","14","40","100.64.0.2","53060","163.181.128.243","443","0","1","1"
"12:18:44.485777","5.374753000","0.188273000","15","100","100.64.0.2","53060","163.181.128.243","443","60","1","1"
"12:18:44.485787","5.374763000","0.188283000","16","100","100.64.0.2","53060","163.181.128.243","443","60","61","1"
"12:18:44.485796","5.374772000","0.188292000","17","100","100.64.0.2","53060","163.181.128.243","443","60","121","1"
"12:18:44.485805","5.374781000","0.188301000","18","100","100.64.0.2","53060","163.181.128.243","443","60","181","1"
"12:18:44.485813","5.374789000","0.188309000","19","100","100.64.0.2","53060","163.181.128.243","443","60","241","1"
"12:18:44.485822","5.374798000","0.188318000","20","100","100.64.0.2","53060","163.181.128.243","443","60","301","1"
"12:18:44.485831","5.374807000","0.188327000","21","73","100.64.0.2","53060","163.181.128.243","443","33","361","1"
"12:18:44.489807","5.378783000","0.192303000","22","40","163.181.128.243","443","100.64.0.2","53060","0","1","61"
"12:18:44.489852","5.378828000","0.192348000","23","40","163.181.128.243","443","100.64.0.2","53060","0","1","121"
"12:18:44.489884","5.378860000","0.192380000","24","40","163.181.128.243","443","100.64.0.2","53060","0","1","181"
"12:18:44.489893","5.378869000","0.192389000","25","40","163.181.128.243","443","100.64.0.2","53060","0","1","241"
"12:18:44.489919","5.378895000","0.192415000","26","40","163.181.128.243","443","100.64.0.2","53060","0","1","361"
"12:18:44.489928","5.378904000","0.192424000","27","40","163.181.128.243","443","100.64.0.2","53060","0","1","301"
"12:18:44.489950","5.378926000","0.192446000","28","40","163.181.128.243","443","100.64.0.2","53060","0","1","394"
"12:18:44.491842","5.380818000","0.194338000","29","296","163.181.128.243","443","100.64.0.2","53060","256","1","394"
"12:18:44.491887","5.380863000","0.194383000","30","296","163.181.128.243","443","100.64.0.2","53060","256","257","394"
"12:18:44.511184","5.400160000","0.213680000","31","296","163.181.128.243","443","100.64.0.2","53060","256","513","394"
"12:18:44.511228","5.400204000","0.213724000","32","296","163.181.128.243","443","100.64.0.2","53060","256","769","394"
"12:18:44.530791","5.419767000","0.233287000","33","296","163.181.128.243","443","100.64.0.2","53060","256","1025","394"
"12:18:44.530835","5.419811000","0.233331000","34","296","163.181.128.243","443","100.64.0.2","53060","256","1281","394"
"12:18:44.550797","5.439773000","0.253293000","35","296","163.181.128.243","443","100.64.0.2","53060","256","1537","394"
"12:18:44.550841","5.439817000","0.253337000","36","296","163.181.128.243","443","100.64.0.2","53060","256","1793","394"
"12:18:44.571259","5.460235000","0.273755000","37","296","163.181.128.243","443","100.64.0.2","53060","256","2049","394"
"12:18:44.571303","5.460279000","0.273799000","38","296","163.181.128.243","443","100.64.0.2","53060","256","2305","394"
"12:18:44.672760","5.561736000","0.375256000","39","40","100.64.0.2","53060","163.181.128.243","443","0","394","257"
"12:18:44.672784","5.561760000","0.375280000","40","40","100.64.0.2","53060","163.181.128.243","443","0","394","513"
