_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:16:49.711360","0.000000000",,"1","76",,,,,,,
"12:16:49.735074","0.023714000",,"2","76",,,,,,,
"12:16:49.739172","0.027812000",,"3","76",,,,,,,
"12:16:49.763735","0.052375000",,"4","66","100.64.0.2",,"1.1.1.1",,,,
"12:16:49.763757","0.052397000",,"5","66","100.64.0.2",,"1.1.1.1",,,,
"12:16:50.415011","0.703651000",,"6","76",,,,,,,
"12:16:53.647158","3.935798000",,"7","48",,,,,,,
"12:16:53.903223","4.191863000",,"8","48",,,,,,,
"12:16:54.763932","5.052572000",,"9","66","100.64.0.2",,"8.8.8.8",,,,
"12:16:54.763957","5.052597000",,"10","66","100.64.0.2",,"8.8.8.8",,,,
"12:16:54.769421","5.058061000",,"11","146","8.8.8.8",,"100.64.0.2",,,,
"12:16:54.771684","5.060324000",,"12","147","8.8.8.8",,"100.64.0.2",,,,
"12:16:54.951969","5.240609000","0.000000000","13","60","100.64.0.2","44412","104.244.42.3","443","0","0","0"
"12:16:54.955625","5.244265000","0.003656000","14","60","104.244.42.3","443","100.64.0.2","44412","0","0","1"
"12:16:55.138586","5.427226000","0.186617000","15","52","100.64.0.2","44412","104.244.42.3","443","0","1","1"
"12:16:55.138612","5.427252000","0.186643000","16","100","100.64.0.2","44412","104.244.42.3","443","48","1","1"
"12:16:55.138621","5.427261000","0.186652000","17","100","100.64.0.2","44412","104.244.42.3","443","48","49","1"
"12:16:55.138630","5.427270000","0.186661000","18","100","100.64.0.2","44412","104.244.42.3","443","48","97","1"
"12:16:55.138639","5.427279000","0.186670000","19","100","100.64.0.2","44412","104.244.42.3","443","48","145","1"
"12:16:55.138648","5.427288000","0.186679000","20","100","100.64.0.2","44412","104.244.42.3","443","48","193","1"
"12:16:55.138657","5.427297000","0.186688000","21","100","100.64.0.2","44412","104.244.42.3","443","48","241","1"
"12:16:55.138666","5.427306000","0.186697000","22","100","100.64.0.2","44412","104.244.42.3","443","48","289","1"
"12:16:55.138675","5.427315000","0.186706000","23","100","100.64.0.2","44412","104.244.42.3","443","48","337","1"
"12:16:55.138688","5.427328000","0.186719000","24","68","100.64.0.2","44412","104.244.42.3","443","16","385","1"
