_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:17:20.805922","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:17:20.805947","0.000025000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:17:21.039249","0.233327000",,"3","76",,,,,,,
"12:17:21.391215","0.585293000",,"4","76",,,,,,,
"12:17:21.423222","0.617300000",,"5","76",,,,,,,
"12:17:24.367327","3.561405000",,"6","48",,,,,,,
"12:17:24.623216","3.817294000",,"7","48",,,,,,,
"12:17:25.806210","5.000288000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"12:17:25.806236","5.000314000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"12:17:25.810887","5.004965000",,"10","107","8.8.8.8",,"100.64.0.2",,,,
"12:17:25.813633","5.007711000",,"11","119","8.8.8.8",,"100.64.0.2",,,,
"12:17:25.992837","5.186915000","0.000000000","12","60","100.64.0.2","55990","103.102.166.224","443","0","0","0"
"12:17:25.996066","5.190144000","0.003229000","13","60","103.102.166.224","443","100.64.0.2","55990","0","0","1"
"12:17:26.180879","5.374957000","0.188042000","14","52","100.64.0.2","55990","103.102.166.224","443","0","1","1"
"12:17:26.180903","5.374981000","0.188066000","15","100","100.64.0.2","55990","103.102.166.224","443","48","1","1"
"12:17:26.180912","5.374990000","0.188075000","16","100","100.64.0.2","55990","103.102.166.224","443","48","49","1"
"12:17:26.180921","5.374999000","0.188084000","17","100","100.64.0.2","55990","103.102.166.224","443","48","97","1"
"12:17:26.180929","5.375007000","0.188092000","18","100","100.64.0.2","55990","103.102.166.224","443","48","145","1"
"12:17:26.180937","5.375015000","0.188100000","19","100","100.64.0.2","55990","103.102.166.224","443","48","193","1"
"12:17:26.180947","5.375025000","0.188110000","20","100","100.64.0.2","55990","103.102.166.224","443","48","241","1"
"12:17:26.180955","5.375033000","0.188118000","21","100","100.64.0.2","55990","103.102.166.224","443","48","289","1"
"12:17:26.180963","5.375041000","0.188126000","22","100","100.64.0.2","55990","103.102.166.224","443","48","337","1"
"12:17:26.180974","5.375052000","0.188137000","23","64","100.64.0.2","55990","103.102.166.224","443","12","385","1"
"12:17:26.185021","5.379099000","0.192184000","24","52","103.102.166.224","443","100.64.0.2","55990","0","1","397"
"12:17:26.185443","5.379521000","0.192606000","25","576","103.102.166.224","443","100.64.0.2","55990","524","1","397"
"12:17:26.185477","5.379555000","0.192640000","26","576","103.102.166.224","443","100.64.0.2","55990","524","525","397"
"12:17:26.185506","5.379584000","0.192669000","27","576","103.102.166.224","443","100.64.0.2","55990","524","1049","397"
"12:17:26.185515","5.379593000","0.192678000","28","576","103.102.166.224","443","100.64.0.2","55990","524","1573","397"
"12:17:26.185539","5.379617000","0.192702000","29","576","103.102.166.224","443","100.64.0.2","55990","524","2097","397"
"12:17:26.185548","5.379626000","0.192711000","30","576","103.102.166.224","443","100.64.0.2","55990","524","2621","397"
"12:17:26.185568","5.379646000","0.192731000","31","465","103.102.166.224","443","100.64.0.2","55990","413","3145","397"
"12:17:26.368254","5.562332000","0.375417000","32","52","100.64.0.2","55990","103.102.166.224","443","0","397","525"
"12:17:26.368277","5.562355000","0.375440000","33","52","100.64.0.2","55990","103.102.166.224","443","0","397","1049"
"12:17:26.431041","5.625119000","0.438204000","34","52","100.64.0.2","55990","103.102.166.224","443","0","397","1573"
"12:17:26.431067","5.625145000","0.438230000","35","52","100.64.0.2","55990","103.102.166.224","443","0","397","2097"
"12:17:26.431077","5.625155000","0.438240000","36","52","100.64.0.2","55990","103.102.166.224","443","0","397","2621"
"12:17:26.492496","5.686574000","0.499659000","37","52","100.64.0.2","55990","103.102.166.224","443","0","397","3145"
"12:17:26.492521","5.686599000","0.499684000","38","52","100.64.0.2","55990","103.102.166.224","443","0","397","3558"
"12:17:26.492532","5.686610000","0.499695000","39","100","100.64.0.2","55990","103.102.166.224","443","48","397","3558"
"12:17:26.492541","5.686619000","0.499704000","40","84","100.64.0.2","55990","103.102.166.224","443","32","445","3558"
"12:17:26.492550","5.686628000","0.499713000","41","100","100.64.0.2","55990","103.102.166.224","443","48","477","3558"
"12:17:26.492561","5.686639000","0.499724000","42","100","100.64.0.2","55990","103.102.166.224","443","48","525","3558"
"12:17:26.492570","5.686648000","0.499733000","43","100","100.64.0.2","55990","103.102.166.224","443","48","573","3558"
"12:17:26.495247","5.689325000","0.502410000","44","323","103.102.166.224","443","100.64.0.2","55990","271","3558","477"
"12:17:26.495284","5.689362000","0.502447000","45","323","103.102.166.224","443","100.64.0.2","55990","271","3829","477"
"12:17:26.495505","5.689583000","0.502668000","46","52","103.102.166.224","443","100.64.0.2","55990","0","4100","621"
"12:17:26.680326","5.874404000","0.687489000","47","71","100.64.0.2","55990","103.102.166.224","443","19","621","3829"
"12:17:26.680352","5.874430000","0.687515000","48","52","100.64.0.2","55990","103.102.166.224","443","0","640","4100"
"12:17:26.683393","5.877471000","0.690556000","49","576","103.102.166.224","443","100.64.0.2","55990","524","4100","640"
"12:17:26.686522","5.880600000","0.693685000","50","576","103.102.166.224","443","100.64.0.2","55990","524","4624","640"
"12:17:26.693207","5.887285000","0.700370000","51","576","103.102.166.224","443","100.64.0.2","55990","524","5148","640"
"12:17:26.699732","5.893810000","0.706895000","52","576","103.102.166.224","443","100.64.0.2","55990","524","5672","640"
"12:17:26.706198","5.900276000","0.713361000","53","576","103.102.166.224","443","100.64.0.2","55990","524","6196","640"
"12:17:26.712890","5.906968000","0.720053000","54","576","103.102.166.224","443","100.64.0.2","55990","524","6720","640"
"12:17:26.719350","5.913428000","0.726513000","55","576","103.102.166.224","443","100.64.0.2","55990","524","7244","640"
"12:17:26.725991","5.920069000","0.733154000","56","576","103.102.166.224","443","100.64.0.2","55990","524","7768","640"
"12:17:26.732592","5.926670000","0.739755000","57","576","103.102.166.224","443","100.64.0.2","55990","524","8292","640"
"12:17:26.739188","5.933266000","0.746351000","58","576","103.102.166.224","443","100.64.0.2","55990","524","8816","640"
"12:17:26.745744","5.939822000","0.752907000","59","576","103.102.166.224","443","100.64.0.2","55990","524","9340","640"
"12:17:26.752417","5.946495000","0.759580000","60","576","103.102.166.224","443","100.64.0.2","55990","524","9864","640"
"12:17:26.758906","5.952984000","0.766069000","61","576","103.102.166.224","443","100.64.0.2","55990","524","10388","640"
"12:17:26.765583","5.959661000","0.772746000","62","576","103.102.166.224","443","100.64.0.2","55990","524","10912","640"
"12:17:26.772078","5.966156000","0.779241000","63","576","103.102.166.224","443","100.64.0.2","55990","524","11436","640"
"12:17:26.778596","5.972674000","0.785759000","64","576","103.102.166.224","443","100.64.0.2","55990","524","11960","640"
"12:17:26.785357","5.979435000","0.792520000","65","576","103.102.166.224","443","100.64.0.2","55990","524","12484","640"
"12:17:26.792002","5.986080000","0.799165000","66","576","103.102.166.224","443","100.64.0.2","55990","524","13008","640"
"12:17:26.867920","6.061998000","0.875083000","67","52","100.64.0.2","55990","103.102.166.224","443","0","640","4624"
"12:17:26.867947","6.062025000","0.875110000","68","52","100.64.0.2","55990","103.102.166.224","443","0","640","5148"
"12:17:26.870643","6.064721000","0.877806000","69","576","103.102.166.224","443","100.64.0.2","55990","524","13532","640"
"12:17:26.873938","6.068016000","0.881101000","70","576","103.102.166.224","443","100.64.0.2","55990","524","14056","640"
"12:17:26.930431","6.124509000","0.937594000","71","52","100.64.0.2","55990","103.102.166.224","443","0","640","5672"
"12:17:26.930456","6.124534000","0.937619000","72","52","100.64.0.2","55990","103.102.166.224","443","0","640","6720"
"12:17:26.933064","6.127142000","0.940227000","73","576","103.102.166.224","443","100.64.0.2","55990","524","14580","640"
"12:17:26.936195","6.130273000","0.943358000","74","576","103.102.166.224","443","100.64.0.2","55990","524","15104","640"
"12:17:26.942882","6.136960000","0.950045000","75","576","103.102.166.224","443","100.64.0.2","55990","524","15628","640"
"12:17:26.993278","6.187356000","1.000441000","76","52","100.64.0.2","55990","103.102.166.224","443","0","640","7768"
"12:17:26.995906","6.189984000","1.003069000","77","576","103.102.166.224","443","100.64.0.2","55990","524","16152","640"
"12:17:26.999157","6.193235000","1.006320000","78","576","103.102.166.224","443","100.64.0.2","55990","524","16676","640"
"12:17:27.055680","6.249758000","1.062843000","79","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.055705","6.249783000","1.062868000","80","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.058238","6.252316000","1.065401000","81","576","103.102.166.224","443","100.64.0.2","55990","524","17200","640"
"12:17:27.061717","6.255795000","1.068880000","82","576","103.102.166.224","443","100.64.0.2","55990","524","17724","640"
"12:17:27.117804","6.311882000","1.124967000","83","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.117829","6.311907000","1.124992000","84","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.120300","6.314378000","1.127463000","85","576","103.102.166.224","443","100.64.0.2","55990","524","18248","640"
"12:17:27.123560","6.317638000","1.130723000","86","576","103.102.166.224","443","100.64.0.2","55990","524","8292","640"
"12:17:27.180926","6.375004000","1.188089000","87","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.180948","6.375026000","1.188111000","88","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.180958","6.375036000","1.188121000","89","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.183317","6.377395000","1.190480000","90","576","103.102.166.224","443","100.64.0.2","55990","524","18772","640"
"12:17:27.186867","6.380945000","1.194030000","91","576","103.102.166.224","443","100.64.0.2","55990","524","19296","640"
"12:17:27.193259","6.387337000","1.200422000","92","576","103.102.166.224","443","100.64.0.2","55990","524","19820","640"
"12:17:27.242452","6.436530000","1.249615000","93","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.242478","6.436556000","1.249641000","94","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.242488","6.436566000","1.249651000","95","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.244984","6.439062000","1.252147000","96","576","103.102.166.224","443","100.64.0.2","55990","524","20344","640"
"12:17:27.248245","6.442323000","1.255408000","97","576","103.102.166.224","443","100.64.0.2","55990","524","20868","640"
"12:17:27.254887","6.448965000","1.262050000","98","576","103.102.166.224","443","100.64.0.2","55990","524","21392","640"
"12:17:27.306225","6.500303000","1.313388000","99","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.306250","6.500328000","1.313413000","100","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.308655","6.502733000","1.315818000","101","576","103.102.166.224","443","100.64.0.2","55990","524","21916","640"
"12:17:27.312033","6.506111000","1.319196000","102","576","103.102.166.224","443","100.64.0.2","55990","524","22440","640"
"12:17:27.367800","6.561878000","1.374963000","103","52","100.64.0.2","55990","103.102.166.224","443","0","640","8292"
"12:17:27.367821","6.561899000","1.374984000","104","52","100.64.0.2","55990","103.102.166.224","443","0","640","8816"
"12:17:27.367830","6.561908000","1.374993000","105","52","100.64.0.2","55990","103.102.166.224","443","0","640","8816"
"12:17:27.370488","6.564566000","1.377651000","106","576","103.102.166.224","443","100.64.0.2","55990","524","22964","640"
"12:17:27.373873","6.567951000","1.381036000","107","576","103.102.166.224","443","100.64.0.2","55990","524","8816","640"
"12:17:27.380291","6.574369000","1.387454000","108","576","103.102.166.224","443","100.64.0.2","55990","524","23488","640"
