_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:21:07.250694","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"12:21:07.250718","0.000024000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"12:21:07.471154","0.220460000",,"3","76",,,,,,,
"12:21:07.855128","0.604434000",,"4","76",,,,,,,
"12:21:07.919231","0.668537000",,"5","76",,,,,,,
"12:21:08.047218","0.796524000",,"6","76",,,,,,,
"12:21:10.927335","3.676641000",,"7","48",,,,,,,
"12:21:11.439163","4.188469000",,"8","48",,,,,,,
"12:21:12.250937","5.000243000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"12:21:12.250965","5.000271000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"12:21:12.258779","5.008085000",,"11","114","8.8.8.8",,"100.64.0.2",,,,
"12:21:12.259041","5.008347000",,"12","90","8.8.8.8",,"100.64.0.2",,,,
"12:21:12.437451","5.186757000","0.000000000","13","60","100.64.0.2","35086","104.18.183.10","443","0","0","0"
"12:21:12.440786","5.190092000","0.003335000","14","60","104.18.183.10","443","100.64.0.2","35086","0","0","1"
"12:21:12.625549","5.374855000","0.188098000","15","52","100.64.0.2","35086","104.18.183.10","443","0","1","1"
"12:21:12.625581","5.374887000","0.188130000","16","100","100.64.0.2","35086","104.18.183.10","443","48","1","1"
"12:21:12.625590","5.374896000","0.188139000","17","100","100.64.0.2","35086","104.18.183.10","443","48","49","1"
"12:21:12.625598","5.374904000","0.188147000","18","100","100.64.0.2","35086","104.18.183.10","443","48","97","1"
"12:21:12.625606","5.374912000","0.188155000","19","100","100.64.0.2","35086","104.18.183.10","443","48","145","1"
"12:21:12.625614","5.374920000","0.188163000","20","100","100.64.0.2","35086","104.18.183.10","443","48","193","1"
"12:21:12.625622","5.374928000","0.188171000","21","100","100.64.0.2","35086","104.18.183.10","443","48","241","1"
"12:21:12.625630","5.374936000","0.188179000","22","100","100.64.0.2","35086","104.18.183.10","443","48","289","1"
"12:21:12.625637","5.374943000","0.188186000","23","100","100.64.0.2","35086","104.18.183.10","443","48","337","1"
"12:21:12.625647","5.374953000","0.188196000","24","60","100.64.0.2","35086","104.18.183.10","443","8","385","1"
"12:21:12.629962","5.379268000","0.192511000","25","52","104.18.183.10","443","100.64.0.2","35086","0","1","49"
"12:21:12.630002","5.379308000","0.192551000","26","52","104.18.183.10","443","100.64.0.2","35086","0","1","97"
"12:21:12.630031","5.379337000","0.192580000","27","52","104.18.183.10","443","100.64.0.2","35086","0","1","193"
"12:21:12.630039","5.379345000","0.192588000","28","52","104.18.183.10","443","100.64.0.2","35086","0","1","289"
"12:21:12.630062","5.379368000","0.192611000","29","52","104.18.183.10","443","100.64.0.2","35086","0","1","385"
"12:21:12.630072","5.379378000","0.192621000","30","52","104.18.183.10","443","100.64.0.2","35086","0","1","393"
"12:21:12.634106","5.383412000","0.196655000","31","296","104.18.183.10","443","100.64.0.2","35086","244","1","393"
"12:21:12.634147","5.383453000","0.196696000","32","296","104.18.183.10","443","100.64.0.2","35086","244","245","393"
"12:21:12.634176","5.383482000","0.196725000","33","296","104.18.183.10","443","100.64.0.2","35086","244","489","393"
"12:21:12.634185","5.383491000","0.196734000","34","296","104.18.183.10","443","100.64.0.2","35086","244","733","393"
"12:21:12.634210","5.383516000","0.196759000","35","296","104.18.183.10","443","100.64.0.2","35086","244","977","393"
"12:21:12.634219","5.383525000","0.196768000","36","296","104.18.183.10","443","100.64.0.2","35086","244","1221","393"
"12:21:12.634242","5.383548000","0.196791000","37","296","104.18.183.10","443","100.64.0.2","35086","244","1465","393"
"12:21:12.634250","5.383556000","0.196799000","38","296","104.18.183.10","443","100.64.0.2","35086","244","1709","393"
"12:21:12.634274","5.383580000","0.196823000","39","296","104.18.183.10","443","100.64.0.2","35086","244","1953","393"
"12:21:12.634282","5.383588000","0.196831000","40","296","104.18.183.10","443","100.64.0.2","35086","244","2197","393"
"12:21:12.634306","5.383612000","0.196855000","41","296","104.18.183.10","443","100.64.0.2","35086","244","2441","393"
"12:21:12.634314","5.383620000","0.196863000","42","296","104.18.183.10","443","100.64.0.2","35086","244","2685","393"
"12:21:12.634511","5.383817000","0.197060000","43","296","104.18.183.10","443","100.64.0.2","35086","244","2929","393"
"12:21:12.634544","5.383850000","0.197093000","44","296","104.18.183.10","443","100.64.0.2","35086","244","3173","393"
"12:21:12.634568","5.383874000","0.197117000","45","296","104.18.183.10","443","100.64.0.2","35086","244","3417","393"
"12:21:12.635313","5.384619000","0.197862000","46","296","104.18.183.10","443","100.64.0.2","35086","244","3661","393"
"12:21:12.635353","5.384659000","0.197902000","47","296","104.18.183.10","443","100.64.0.2","35086","244","3905","393"
"12:21:12.635378","5.384684000","0.197927000","48","296","104.18.183.10","443","100.64.0.2","35086","244","4149","393"
"12:21:12.636182","5.385488000","0.198731000","49","94","104.18.183.10","443","100.64.0.2","35086","42","4393","393"
"12:21:12.812855","5.562161000","0.375404000","50","52","100.64.0.2","35086","104.18.183.10","443","0","393","245"
"12:21:12.812874","5.562180000","0.375423000","51","52","100.64.0.2","35086","104.18.183.10","443","0","393","489"
"12:21:12.812882","5.562188000","0.375431000","52","52","100.64.0.2","35086","104.18.183.10","443","0","393","733"
