_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:20:17.070167","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"12:20:17.070197","0.000030000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"12:20:17.519238","0.449071000",,"3","76",,,,,,,
"12:20:17.551344","0.481177000",,"4","76",,,,,,,
"12:20:17.647216","0.577049000",,"5","76",,,,,,,
"12:20:17.807313","0.737146000",,"6","76",,,,,,,
"12:20:21.007234","3.937067000",,"7","48",,,,,,,
"12:20:21.007320","3.937153000",,"8","48",,,,,,,
"12:20:22.069507","4.999340000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"12:20:22.069537","4.999370000",,"10","62","100.64.0.2",,"8.8.8.8",,,,
"12:20:22.074145","5.003978000",,"11","165","8.8.8.8",,"100.64.0.2",,,,
"12:20:22.077203","5.007036000",,"12","142","8.8.8.8",,"100.64.0.2",,,,
"12:20:22.256446","5.186279000","0.000000000","13","60","100.64.0.2","41732","104.18.60.77","443","0","0","0"
"12:20:22.259628","5.189461000","0.003182000","14","60","104.18.60.77","443","100.64.0.2","41732","0","0","1"
"12:20:22.445265","5.375098000","0.188819000","15","52","100.64.0.2","41732","104.18.60.77","443","0","1","1"
"12:20:22.445293","5.375126000","0.188847000","16","100","100.64.0.2","41732","104.18.60.77","443","48","1","1"
"12:20:22.445306","5.375139000","0.188860000","17","100","100.64.0.2","41732","104.18.60.77","443","48","49","1"
"12:20:22.445316","5.375149000","0.188870000","18","100","100.64.0.2","41732","104.18.60.77","443","48","97","1"
"12:20:22.445328","5.375161000","0.188882000","19","100","100.64.0.2","41732","104.18.60.77","443","48","145","1"
"12:20:22.445340","5.375173000","0.188894000","20","100","100.64.0.2","41732","104.18.60.77","443","48","193","1"
"12:20:22.445352","5.375185000","0.188906000","21","100","100.64.0.2","41732","104.18.60.77","443","48","241","1"
"12:20:22.445364","5.375197000","0.188918000","22","100","100.64.0.2","41732","104.18.60.77","443","48","289","1"
"12:20:22.445374","5.375207000","0.188928000","23","100","100.64.0.2","41732","104.18.60.77","443","48","337","1"
"12:20:22.445389","5.375222000","0.188943000","24","64","100.64.0.2","41732","104.18.60.77","443","12","385","1"
"12:20:22.449484","5.379317000","0.193038000","25","52","104.18.60.77","443","100.64.0.2","41732","0","1","97"
"12:20:22.449523","5.379356000","0.193077000","26","52","104.18.60.77","443","100.64.0.2","41732","0","1","193"
"12:20:22.449551","5.379384000","0.193105000","27","52","104.18.60.77","443","100.64.0.2","41732","0","1","289"
"12:20:22.449559","5.379392000","0.193113000","28","52","104.18.60.77","443","100.64.0.2","41732","0","1","337"
"12:20:23.256997","6.186830000","1.000551000","29","100","100.64.0.2","41732","104.18.60.77","443","48","337","1"
"12:20:23.259582","6.189415000","1.003136000","30","52","104.18.60.77","443","100.64.0.2","41732","0","1","385"
"12:20:23.445177","6.375010000","1.188731000","31","64","100.64.0.2","41732","104.18.60.77","443","12","385","1"
"12:20:23.448001","6.377834000","1.191555000","32","52","104.18.60.77","443","100.64.0.2","41732","0","1","397"
"12:20:23.452063","6.381896000","1.195617000","33","296","104.18.60.77","443","100.64.0.2","41732","244","1","397"
"12:20:23.452107","6.381940000","1.195661000","34","296","104.18.60.77","443","100.64.0.2","41732","244","245","397"
"12:20:23.452143","6.381976000","1.195697000","35","296","104.18.60.77","443","100.64.0.2","41732","244","489","397"
"12:20:23.452153","6.381986000","1.195707000","36","296","104.18.60.77","443","100.64.0.2","41732","244","733","397"
