_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:02:40.379073","0.000000000",,"1","76",,,,,,,
"12:02:40.389084","0.010011000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"12:02:40.389114","0.010041000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"12:02:40.591212","0.212139000",,"4","76",,,,,,,
"12:02:40.655429","0.276356000",,"5","76",,,,,,,
"12:02:40.655457","0.276384000",,"6","48",,,,,,,
"12:02:40.667342","0.288269000",,"7","76",,,,,,,
"12:02:40.975326","0.596253000",,"8","76",,,,,,,
"12:02:41.039354","0.660281000",,"9","76",,,,,,,
"12:02:44.495223","4.116150000",,"10","48",,,,,,,
"12:02:44.751327","4.372254000",,"11","48",,,,,,,
"12:02:45.389066","5.009993000",,"12","61","100.64.0.2",,"8.8.8.8",,,,
"12:02:45.389093","5.010020000",,"13","61","100.64.0.2",,"8.8.8.8",,,,
"12:02:45.393636","5.014563000",,"14","105","8.8.8.8",,"100.64.0.2",,,,
"12:02:45.466445","5.087372000",,"15","89","8.8.8.8",,"100.64.0.2",,,,
"12:02:45.638965","5.259892000","0.000000000","16","60","100.64.0.2","41816","182.22.31.124","443","0","0","0"
"12:02:45.723069","5.343996000","0.084104000","17","60","182.22.31.124","443","100.64.0.2","41816","0","0","1"
"12:02:45.888846","5.509773000","0.249881000","18","52","100.64.0.2","41816","182.22.31.124","443","0","1","1"
"12:02:45.888873","5.509800000","0.249908000","19","100","100.64.0.2","41816","182.22.31.124","443","48","1","1"
"12:02:45.888882","5.509809000","0.249917000","20","100","100.64.0.2","41816","182.22.31.124","443","48","49","1"
"12:02:45.888892","5.509819000","0.249927000","21","100","100.64.0.2","41816","182.22.31.124","443","48","97","1"
"12:02:45.888901","5.509828000","0.249936000","22","100","100.64.0.2","41816","182.22.31.124","443","48","145","1"
"12:02:45.888911","5.509838000","0.249946000","23","100","100.64.0.2","41816","182.22.31.124","443","48","193","1"
"12:02:45.888925","5.509852000","0.249960000","24","100","100.64.0.2","41816","182.22.31.124","443","48","241","1"
"12:02:45.888938","5.509865000","0.249973000","25","100","100.64.0.2","41816","182.22.31.124","443","48","289","1"
"12:02:45.888950","5.509877000","0.249985000","26","100","100.64.0.2","41816","182.22.31.124","443","48","337","1"
"12:02:45.888967","5.509894000","0.250002000","27","63","100.64.0.2","41816","182.22.31.124","443","11","385","1"
"12:02:45.973948","5.594875000","0.334983000","28","52","182.22.31.124","443","100.64.0.2","41816","0","1","97"
"12:02:45.973988","5.594915000","0.335023000","29","52","182.22.31.124","443","100.64.0.2","41816","0","1","193"
"12:02:45.974016","5.594943000","0.335051000","30","52","182.22.31.124","443","100.64.0.2","41816","0","1","289"
"12:02:45.974024","5.594951000","0.335059000","31","52","182.22.31.124","443","100.64.0.2","41816","0","1","385"
"12:02:46.889025","6.509952000","1.250060000","32","63","100.64.0.2","41816","182.22.31.124","443","11","385","1"
"12:02:46.972517","6.593444000","1.333552000","33","52","182.22.31.124","443","100.64.0.2","41816","0","1","396"
"12:02:46.972845","6.593772000","1.333880000","34","296","182.22.31.124","443","100.64.0.2","41816","244","1","396"
"12:02:46.972882","6.593809000","1.333917000","35","296","182.22.31.124","443","100.64.0.2","41816","244","245","396"
"12:02:46.972914","6.593841000","1.333949000","36","296","182.22.31.124","443","100.64.0.2","41816","244","489","396"
"12:02:46.972925","6.593852000","1.333960000","37","296","182.22.31.124","443","100.64.0.2","41816","244","733","396"
"12:02:46.972952","6.593879000","1.333987000","38","296","182.22.31.124","443","100.64.0.2","41816","244","977","396"
"12:02:46.972961","6.593888000","1.333996000","39","296","182.22.31.124","443","100.64.0.2","41816","244","1221","396"
"12:02:46.972987","6.593914000","1.334022000","40","296","182.22.31.124","443","100.64.0.2","41816","244","1465","396"
"12:02:46.972997","6.593924000","1.334032000","41","296","182.22.31.124","443","100.64.0.2","41816","244","1709","396"
"12:02:46.973024","6.593951000","1.334059000","42","296","182.22.31.124","443","100.64.0.2","41816","244","1953","396"
"12:02:46.973033","6.593960000","1.334068000","43","296","182.22.31.124","443","100.64.0.2","41816","244","2197","396"
