_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:02:13.219261","0.000000000",,"1","76",,,,,,,
"12:02:13.219269","0.000008000",,"2","48",,,,,,,
"12:02:13.231234","0.011973000",,"3","76",,,,,,,
"12:02:13.265272","0.046011000",,"4","58","100.64.0.2",,"1.1.1.1",,,,
"12:02:13.265297","0.046036000",,"5","58","100.64.0.2",,"1.1.1.1",,,,
"12:02:13.551318","0.332057000",,"6","76",,,,,,,
"12:02:13.711201","0.491940000",,"7","76",,,,,,,
"12:02:13.871232","0.651971000",,"8","76",,,,,,,
"12:02:13.967317","0.748056000",,"9","76",,,,,,,
"12:02:17.103348","3.884087000",,"10","48",,,,,,,
"12:02:17.359202","4.139941000",,"11","48",,,,,,,
"12:02:18.264614","5.045353000",,"12","58","100.64.0.2",,"8.8.8.8",,,,
"12:02:18.264642","5.045381000",,"13","58","100.64.0.2",,"8.8.8.8",,,,
"12:02:18.275739","5.056478000",,"14","171","8.8.8.8",,"100.64.0.2",,,,
"12:02:18.277091","5.057830000",,"15","231","8.8.8.8",,"100.64.0.2",,,,
"12:02:18.451518","5.232257000","0.000000000","16","60","100.64.0.2","59712","104.17.206.159","443","0","0","0"
"12:02:18.455288","5.236027000","0.003770000","17","60","104.17.206.159","443","100.64.0.2","59712","0","0","1"
"12:02:18.639996","5.420735000","0.188478000","18","52","100.64.0.2","59712","104.17.206.159","443","0","1","1"
"12:02:18.640022","5.420761000","0.188504000","19","100","100.64.0.2","59712","104.17.206.159","443","48","1","1"
"12:02:18.640032","5.420771000","0.188514000","20","100","100.64.0.2","59712","104.17.206.159","443","48","49","1"
"12:02:18.640041","5.420780000","0.188523000","21","100","100.64.0.2","59712","104.17.206.159","443","48","97","1"
"12:02:18.640050","5.420789000","0.188532000","22","100","100.64.0.2","59712","104.17.206.159","443","48","145","1"
"12:02:18.640059","5.420798000","0.188541000","23","100","100.64.0.2","59712","104.17.206.159","443","48","193","1"
"12:02:18.640068","5.420807000","0.188550000","24","100","100.64.0.2","59712","104.17.206.159","443","48","241","1"
"12:02:18.640076","5.420815000","0.188558000","25","100","100.64.0.2","59712","104.17.206.159","443","48","289","1"
"12:02:18.640085","5.420824000","0.188567000","26","100","100.64.0.2","59712","104.17.206.159","443","48","337","1"
"12:02:18.640096","5.420835000","0.188578000","27","60","100.64.0.2","59712","104.17.206.159","443","8","385","1"
"12:02:18.644889","5.425628000","0.193371000","28","52","104.17.206.159","443","100.64.0.2","59712","0","1","97"
"12:02:18.644933","5.425672000","0.193415000","29","52","104.17.206.159","443","100.64.0.2","59712","0","1","193"
"12:02:18.644964","5.425703000","0.193446000","30","52","104.17.206.159","443","100.64.0.2","59712","0","1","289"
"12:02:18.644974","5.425713000","0.193456000","31","52","104.17.206.159","443","100.64.0.2","59712","0","1","385"
"12:02:19.452156","6.232895000","1.000638000","32","60","100.64.0.2","59712","104.17.206.159","443","8","385","1"
"12:02:19.455122","6.235861000","1.003604000","33","52","104.17.206.159","443","100.64.0.2","59712","0","1","393"
"12:02:19.459227","6.239966000","1.007709000","34","296","104.17.206.159","443","100.64.0.2","59712","244","1","393"
"12:02:19.459271","6.240010000","1.007753000","35","296","104.17.206.159","443","100.64.0.2","59712","244","245","393"
"12:02:19.459305","6.240044000","1.007787000","36","296","104.17.206.159","443","100.64.0.2","59712","244","489","393"
"12:02:19.459315","6.240054000","1.007797000","37","296","104.17.206.159","443","100.64.0.2","59712","244","733","393"
"12:02:19.459342","6.240081000","1.007824000","38","296","104.17.206.159","443","100.64.0.2","59712","244","977","393"
"12:02:19.459351","6.240090000","1.007833000","39","296","104.17.206.159","443","100.64.0.2","59712","244","1221","393"
"12:02:19.459378","6.240117000","1.007860000","40","296","104.17.206.159","443","100.64.0.2","59712","244","1465","393"
"12:02:19.459387","6.240126000","1.007869000","41","296","104.17.206.159","443","100.64.0.2","59712","244","1709","393"
"12:02:19.459413","6.240152000","1.007895000","42","296","104.17.206.159","443","100.64.0.2","59712","244","1953","393"
"12:02:19.459424","6.240163000","1.007906000","43","296","104.17.206.159","443","100.64.0.2","59712","244","2197","393"
"12:02:19.459446","6.240185000","1.007928000","44","99","104.17.206.159","443","100.64.0.2","59712","47","2441","393"
"12:02:19.640116","6.420855000","1.188598000","45","52","100.64.0.2","59712","104.17.206.159","443","0","393","245"
"12:02:19.640143","6.420882000","1.188625000","46","52","100.64.0.2","59712","104.17.206.159","443","0","393","489"
"12:02:19.640153","6.420892000","1.188635000","47","52","100.64.0.2","59712","104.17.206.159","443","0","393","733"
"12:02:19.640163","6.420902000","1.188645000","48","52","100.64.0.2","59712","104.17.206.159","443","0","393","977"
"12:02:19.701553","6.482292000","1.250035000","49","52","100.64.0.2","59712","104.17.206.159","443","0","393","1221"
"12:02:19.701576","6.482315000","1.250058000","50","52","100.64.0.2","59712","104.17.206.159","443","0","393","1465"
"12:02:19.701584","6.482323000","1.250066000","51","52","100.64.0.2","59712","104.17.206.159","443","0","393","1709"
"12:02:19.701592","6.482331000","1.250074000","52","52","100.64.0.2","59712","104.17.206.159","443","0","393","1953"
"12:02:19.701600","6.482339000","1.250082000","53","52","100.64.0.2","59712","104.17.206.159","443","0","393","2197"
