_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:10:29.667341","0.000000000",,"1","76",,,,,,,
"12:10:29.684771","0.017430000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"12:10:29.684797","0.017456000",,"3","58","100.64.0.2",,"1.1.1.1",,,,
"12:10:30.063307","0.395966000",,"4","76",,,,,,,
"12:10:30.063333","0.395992000",,"5","48",,,,,,,
"12:10:30.075213","0.407872000",,"6","76",,,,,,,
"12:10:30.127368","0.460027000",,"7","76",,,,,,,
"12:10:30.203213","0.535872000",,"8","76",,,,,,,
"12:10:30.895141","1.227800000",,"9","76",,,,,,,
"12:10:33.743217","4.075876000",,"10","48",,,,,,,
"12:10:33.743330","4.075989000",,"11","48",,,,,,,
"12:10:34.685177","5.017836000",,"12","58","100.64.0.2",,"8.8.8.8",,,,
"12:10:34.685204","5.017863000",,"13","58","100.64.0.2",,"8.8.8.8",,,,
"12:10:34.694217","5.026876000",,"14","204","8.8.8.8",,"100.64.0.2",,,,
"12:10:34.697096","5.029755000",,"15","180","8.8.8.8",,"100.64.0.2",,,,
"12:10:34.872441","5.205100000","0.000000000","16","60","100.64.0.2","42546","104.18.37.228","443","0","0","0"
"12:10:34.876274","5.208933000","0.003833000","17","60","104.18.37.228","443","100.64.0.2","42546","0","0","1"
"12:10:35.060212","5.392871000","0.187771000","18","52","100.64.0.2","42546","104.18.37.228","443","0","1","1"
"12:10:35.060238","5.392897000","0.187797000","19","100","100.64.0.2","42546","104.18.37.228","443","48","1","1"
"12:10:35.060248","5.392907000","0.187807000","20","100","100.64.0.2","42546","104.18.37.228","443","48","49","1"
"12:10:35.060257","5.392916000","0.187816000","21","100","100.64.0.2","42546","104.18.37.228","443","48","97","1"
"12:10:35.060266","5.392925000","0.187825000","22","100","100.64.0.2","42546","104.18.37.228","443","48","145","1"
"12:10:35.060275","5.392934000","0.187834000","23","100","100.64.0.2","42546","104.18.37.228","443","48","193","1"
"12:10:35.060284","5.392943000","0.187843000","24","100","100.64.0.2","42546","104.18.37.228","443","48","241","1"
"12:10:35.060292","5.392951000","0.187851000","25","100","100.64.0.2","42546","104.18.37.228","443","48","289","1"
"12:10:35.060302","5.392961000","0.187861000","26","100","100.64.0.2","42546","104.18.37.228","443","48","337","1"
"12:10:35.060313","5.392972000","0.187872000","27","60","100.64.0.2","42546","104.18.37.228","443","8","385","1"
"12:10:35.065006","5.397665000","0.192565000","28","52","104.18.37.228","443","100.64.0.2","42546","0","1","97"
"12:10:35.065034","5.397693000","0.192593000","29","52","104.18.37.228","443","100.64.0.2","42546","0","1","145"
"12:10:35.065060","5.397719000","0.192619000","30","52","104.18.37.228","443","100.64.0.2","42546","0","1","193"
"12:10:35.065068","5.397727000","0.192627000","31","52","104.18.37.228","443","100.64.0.2","42546","0","1","289"
"12:10:35.065091","5.397750000","0.192650000","32","52","104.18.37.228","443","100.64.0.2","42546","0","1","385"
"12:10:35.065099","5.397758000","0.192658000","33","52","104.18.37.228","443","100.64.0.2","42546","0","1","393"
"12:10:35.070885","5.403544000","0.198444000","34","296","104.18.37.228","443","100.64.0.2","42546","244","1","393"
"12:10:35.070917","5.403576000","0.198476000","35","296","104.18.37.228","443","100.64.0.2","42546","244","245","393"
"12:10:35.070949","5.403608000","0.198508000","36","296","104.18.37.228","443","100.64.0.2","42546","244","489","393"
"12:10:35.070959","5.403618000","0.198518000","37","296","104.18.37.228","443","100.64.0.2","42546","244","733","393"
"12:10:35.071039","5.403698000","0.198598000","38","296","104.18.37.228","443","100.64.0.2","42546","244","977","393"
"12:10:35.071051","5.403710000","0.198610000","39","296","104.18.37.228","443","100.64.0.2","42546","244","1221","393"
"12:10:35.071078","5.403737000","0.198637000","40","296","104.18.37.228","443","100.64.0.2","42546","244","1465","393"
"12:10:35.071088","5.403747000","0.198647000","41","296","104.18.37.228","443","100.64.0.2","42546","244","1709","393"
"12:10:35.071114","5.403773000","0.198673000","42","296","104.18.37.228","443","100.64.0.2","42546","244","1953","393"
"12:10:35.071129","5.403788000","0.198688000","43","296","104.18.37.228","443","100.64.0.2","42546","244","2197","393"
"12:10:35.072087","5.404746000","0.199646000","44","296","104.18.37.228","443","100.64.0.2","42546","244","2441","393"
"12:10:35.074329","5.406988000","0.201888000","45","296","104.18.37.228","443","100.64.0.2","42546","244","2685","393"
"12:10:35.076566","5.409225000","0.204125000","46","296","104.18.37.228","443","100.64.0.2","42546","244","2929","393"
