_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:31:30.853543","0.000000000",,"1","59","100.64.0.2",,"1.1.1.1",,,,
"11:31:30.853568","0.000025000",,"2","59","100.64.0.2",,"1.1.1.1",,,,
"11:31:31.311268","0.457725000",,"3","76",,,,,,,
"11:31:31.503219","0.649676000",,"4","76",,,,,,,
"11:31:31.503282","0.649739000",,"5","76",,,,,,,
"11:31:31.535228","0.681685000",,"6","76",,,,,,,
"11:31:34.927247","4.073704000",,"7","48",,,,,,,
"11:31:35.183324","4.329781000",,"8","48",,,,,,,
"11:31:35.853569","5.000026000",,"9","59","100.64.0.2",,"8.8.8.8",,,,
"11:31:35.853599","5.000056000",,"10","59","100.64.0.2",,"8.8.8.8",,,,
"11:31:35.861435","5.007892000",,"11","249","8.8.8.8",,"100.64.0.2",,,,
"11:31:35.897012","5.043469000",,"12","209","8.8.8.8",,"100.64.0.2",,,,
"11:31:36.041355","5.187812000","0.000000000","13","60","100.64.0.2","43960","23.75.212.211","443","0","0","0"
"11:31:36.043968","5.190425000","0.002613000","14","60","23.75.212.211","443","100.64.0.2","43960","0","0","1"
"11:31:36.228642","5.375099000","0.187287000","15","52","100.64.0.2","43960","23.75.212.211","443","0","1","1"
"11:31:36.228667","5.375124000","0.187312000","16","445","100.64.0.2","43960","23.75.212.211","443","393","1","1"
"11:31:36.231987","5.378444000","0.190632000","17","52","23.75.212.211","443","100.64.0.2","43960","0","1","394"
"11:31:36.234832","5.381289000","0.193477000","18","1500","23.75.212.211","443","100.64.0.2","43960","1448","1","394"
"11:31:36.234861","5.381318000","0.193506000","19","1500","23.75.212.211","443","100.64.0.2","43960","1448","1449","394"
"11:31:36.234889","5.381346000","0.193534000","20","967","23.75.212.211","443","100.64.0.2","43960","915","2897","394"
"11:31:36.478803","5.625260000","0.437448000","21","52","100.64.0.2","43960","23.75.212.211","443","0","394","1449"
"11:31:36.541129","5.687586000","0.499774000","22","52","100.64.0.2","43960","23.75.212.211","443","0","394","2897"
"11:31:36.541155","5.687612000","0.499800000","23","52","100.64.0.2","43960","23.75.212.211","443","0","394","3812"
"11:31:36.541166","5.687623000","0.499811000","24","132","100.64.0.2","43960","23.75.212.211","443","80","394","3812"
"11:31:36.543364","5.689821000","0.502009000","25","52","23.75.212.211","443","100.64.0.2","43960","0","3812","474"
"11:31:36.543395","5.689852000","0.502040000","26","323","23.75.212.211","443","100.64.0.2","43960","271","3812","474"
"11:31:36.543423","5.689880000","0.502068000","27","323","23.75.212.211","443","100.64.0.2","43960","271","4083","474"
"11:31:36.729235","5.875692000","0.687880000","28","198","100.64.0.2","43960","23.75.212.211","443","146","474","3812"
"11:31:36.729259","5.875716000","0.687904000","29","52","100.64.0.2","43960","23.75.212.211","443","0","620","4083"
"11:31:36.729268","5.875725000","0.687913000","30","52","100.64.0.2","43960","23.75.212.211","443","0","620","4354"
"11:31:36.731326","5.877783000","0.689971000","31","52","23.75.212.211","443","100.64.0.2","43960","0","4354","620"
"11:31:36.741103","5.887560000","0.699748000","32","1500","23.75.212.211","443","100.64.0.2","43960","1448","4354","620"
"11:31:36.741132","5.887589000","0.699777000","33","1500","23.75.212.211","443","100.64.0.2","43960","1448","5802","620"
"11:31:36.741163","5.887620000","0.699808000","34","986","23.75.212.211","443","100.64.0.2","43960","934","7250","620"
"11:31:36.741173","5.887630000","0.699818000","35","1500","23.75.212.211","443","100.64.0.2","43960","1448","8184","620"
"11:31:36.741199","5.887656000","0.699844000","36","1500","23.75.212.211","443","100.64.0.2","43960","1448","9632","620"
"11:31:36.741208","5.887665000","0.699853000","37","1500","23.75.212.211","443","100.64.0.2","43960","1448","11080","620"
"11:31:36.741232","5.887689000","0.699877000","38","1500","23.75.212.211","443","100.64.0.2","43960","1448","12528","620"
"11:31:36.741241","5.887698000","0.699886000","39","1500","23.75.212.211","443","100.64.0.2","43960","1448","13976","620"
"11:31:36.741266","5.887723000","0.699911000","40","1500","23.75.212.211","443","100.64.0.2","43960","1448","15424","620"
"11:31:36.741275","5.887732000","0.699920000","41","1500","23.75.212.211","443","100.64.0.2","43960","1448","16872","620"
"11:31:36.741296","5.887753000","0.699941000","42","1500","23.75.212.211","443","100.64.0.2","43960","1448","18320","620"
"11:31:36.750575","5.897032000","0.709220000","43","1500","23.75.212.211","443","100.64.0.2","43960","1448","19768","620"
"11:31:36.750604","5.897061000","0.709249000","44","1500","23.75.212.211","443","100.64.0.2","43960","1448","21216","620"
