_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:31:54.891912","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:31:54.891930","0.000018000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:31:54.991207","0.099295000",,"3","76",,,,,,,
"11:31:55.087368","0.195456000",,"4","76",,,,,,,
"11:31:55.119219","0.227307000",,"5","76",,,,,,,
"11:31:55.151322","0.259410000",,"6","76",,,,,,,
"11:31:58.735233","3.843321000",,"7","48",,,,,,,
"11:31:58.735322","3.843410000",,"8","48",,,,,,,
"11:31:59.891408","4.999496000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"11:31:59.891432","4.999520000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"11:31:59.896360","5.004448000",,"11","193","8.8.8.8",,"100.64.0.2",,,,
"11:31:59.899073","5.007161000",,"12","167","8.8.8.8",,"100.64.0.2",,,,
"11:32:00.079173","5.187261000","0.000000000","13","60","100.64.0.2","59456","125.56.199.16","443","0","0","0"
"11:32:00.082173","5.190261000","0.003000000","14","60","125.56.199.16","443","100.64.0.2","59456","0","0","1"
"11:32:00.266610","5.374698000","0.187437000","15","52","100.64.0.2","59456","125.56.199.16","443","0","1","1"
"11:32:00.266638","5.374726000","0.187465000","16","444","100.64.0.2","59456","125.56.199.16","443","392","1","1"
"11:32:00.270128","5.378216000","0.190955000","17","52","125.56.199.16","443","100.64.0.2","59456","0","1","393"
"11:32:00.271048","5.379136000","0.191875000","18","1500","125.56.199.16","443","100.64.0.2","59456","1448","1","393"
"11:32:00.271084","5.379172000","0.191911000","19","1500","125.56.199.16","443","100.64.0.2","59456","1448","1449","393"
"11:32:00.271115","5.379203000","0.191942000","20","1252","125.56.199.16","443","100.64.0.2","59456","1200","2897","393"
"11:32:00.271464","5.379552000","0.192291000","21","1249","125.56.199.16","443","100.64.0.2","59456","1197","4097","393"
"11:32:00.516591","5.624679000","0.437418000","22","52","100.64.0.2","59456","125.56.199.16","443","0","393","1449"
"11:32:00.578742","5.686830000","0.499569000","23","52","100.64.0.2","59456","125.56.199.16","443","0","393","2897"
