_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:30:52.518176","0.000000000",,"1","63","100.64.0.2",,"1.1.1.1",,,,
"11:30:52.518201","0.000025000",,"2","63","100.64.0.2",,"1.1.1.1",,,,
"11:30:52.571102","0.052926000",,"3","76",,,,,,,
"11:30:52.655214","0.137038000",,"4","76",,,,,,,
"11:30:53.199356","0.681180000",,"5","76",,,,,,,
"11:30:53.231222","0.713046000",,"6","76",,,,,,,
"11:30:56.271236","3.753060000",,"7","48",,,,,,,
"11:30:56.527335","4.009159000",,"8","48",,,,,,,
"11:30:57.517463","4.999287000",,"9","63","100.64.0.2",,"8.8.8.8",,,,
"11:30:57.517491","4.999315000",,"10","63","100.64.0.2",,"8.8.8.8",,,,
"11:30:57.522134","5.003958000",,"11","230","8.8.8.8",,"100.64.0.2",,,,
"11:30:57.524855","5.006679000",,"12","354","8.8.8.8",,"100.64.0.2",,,,
"11:30:57.705084","5.186908000","0.000000000","13","60","100.64.0.2","53226","184.25.249.172","443","0","0","0"
"11:30:57.707329","5.189153000","0.002245000","14","60","184.25.249.172","443","100.64.0.2","53226","0","0","1"
"11:30:57.892451","5.374275000","0.187367000","15","52","100.64.0.2","53226","184.25.249.172","443","0","1","1"
"11:30:57.892476","5.374300000","0.187392000","16","449","100.64.0.2","53226","184.25.249.172","443","397","1","1"
"11:30:57.895489","5.377313000","0.190405000","17","52","184.25.249.172","443","100.64.0.2","53226","0","1","398"
"11:30:57.897194","5.379018000","0.192110000","18","1500","184.25.249.172","443","100.64.0.2","53226","1448","1","398"
"11:30:57.897234","5.379058000","0.192150000","19","1500","184.25.249.172","443","100.64.0.2","53226","1448","1449","398"
"11:30:57.897264","5.379088000","0.192180000","20","1252","184.25.249.172","443","100.64.0.2","53226","1200","2897","398"
"11:30:57.897274","5.379098000","0.192190000","21","268","184.25.249.172","443","100.64.0.2","53226","216","4097","398"
"11:30:58.142808","5.624632000","0.437724000","22","52","100.64.0.2","53226","184.25.249.172","443","0","398","1449"
"11:30:58.204281","5.686105000","0.499197000","23","52","100.64.0.2","53226","184.25.249.172","443","0","398","2897"
"11:30:58.204289","5.686113000","0.499205000","24","52","100.64.0.2","53226","184.25.249.172","443","0","398","4097"
"11:30:58.268122","5.749946000","0.563038000","25","52","100.64.0.2","53226","184.25.249.172","443","0","398","4313"
"11:30:58.268145","5.749969000","0.563061000","26","132","100.64.0.2","53226","184.25.249.172","443","80","398","4313"
"11:30:58.269940","5.751764000","0.564856000","27","52","184.25.249.172","443","100.64.0.2","53226","0","4313","478"
"11:30:58.269980","5.751804000","0.564896000","28","323","184.25.249.172","443","100.64.0.2","53226","271","4313","478"
"11:30:58.270006","5.751830000","0.564922000","29","323","184.25.249.172","443","100.64.0.2","53226","271","4584","478"
"11:30:58.454695","5.936519000","0.749611000","30","208","100.64.0.2","53226","184.25.249.172","443","156","478","4313"
"11:30:58.454723","5.936547000","0.749639000","31","52","100.64.0.2","53226","184.25.249.172","443","0","634","4584"
"11:30:58.454733","5.936557000","0.749649000","32","52","100.64.0.2","53226","184.25.249.172","443","0","634","4855"
"11:30:58.456482","5.938306000","0.751398000","33","52","184.25.249.172","443","100.64.0.2","53226","0","4855","634"
"11:31:03.695201","11.177025000",,"34","48",,,,,,,
"11:31:04.975344","12.457168000",,"35","48",,,,,,,
"11:31:07.517347","14.999171000","9.812263000","36","1271","184.25.249.172","443","100.64.0.2","53226","1219","4855","634"
"11:31:07.517392","14.999216000","9.812308000","37","1500","184.25.249.172","443","100.64.0.2","53226","1448","6074","634"
"11:31:07.517426","14.999250000","9.812342000","38","1500","184.25.249.172","443","100.64.0.2","53226","1448","7522","634"
"11:31:07.517437","14.999261000","9.812353000","39","1500","184.25.249.172","443","100.64.0.2","53226","1448","8970","634"
"11:31:07.517465","14.999289000","9.812381000","40","1500","184.25.249.172","443","100.64.0.2","53226","1448","10418","634"
"11:31:07.517475","14.999299000","9.812391000","41","1500","184.25.249.172","443","100.64.0.2","53226","1448","11866","634"
"11:31:07.517502","14.999326000","9.812418000","42","1500","184.25.249.172","443","100.64.0.2","53226","1448","13314","634"
"11:31:07.517512","14.999336000","9.812428000","43","1500","184.25.249.172","443","100.64.0.2","53226","1448","14762","634"
"11:31:07.517536","14.999360000","9.812452000","44","1500","184.25.249.172","443","100.64.0.2","53226","1448","16210","634"
"11:31:07.518183","15.000007000","9.813099000","45","1500","184.25.249.172","443","100.64.0.2","53226","1448","17658","634"
"11:31:07.518229","15.000053000","9.813145000","46","1500","184.25.249.172","443","100.64.0.2","53226","1448","19106","634"
"11:31:07.527353","15.009177000","9.822269000","47","1500","184.25.249.172","443","100.64.0.2","53226","1448","20554","634"
"11:31:07.527393","15.009217000","9.822309000","48","1500","184.25.249.172","443","100.64.0.2","53226","1448","22002","634"
"11:31:07.537643","15.019467000","9.832559000","49","1500","184.25.249.172","443","100.64.0.2","53226","1448","23450","634"
"11:31:07.537683","15.019507000","9.832599000","50","1500","184.25.249.172","443","100.64.0.2","53226","1448","24898","634"
"11:31:07.547546","15.029370000","9.842462000","51","1500","184.25.249.172","443","100.64.0.2","53226","1448","26346","634"
"11:31:07.704387","15.186211000","9.999303000","52","52","100.64.0.2","53226","184.25.249.172","443","0","634","6074"
"11:31:07.706243","15.188067000","10.001159000","53","1500","184.25.249.172","443","100.64.0.2","53226","1448","27794","634"
"11:31:07.706286","15.188110000","10.001202000","54","1500","184.25.249.172","443","100.64.0.2","53226","1448","29242","634"
"11:31:07.767731","15.249555000","10.062647000","55","52","100.64.0.2","53226","184.25.249.172","443","0","634","7522"
