_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:35:55.955160","0.000000000",,"1","76",,,,,,,
"11:35:55.964995","0.009835000",,"2","64","100.64.0.2",,"1.1.1.1",,,,
"11:35:55.965020","0.009860000",,"3","64","100.64.0.2",,"1.1.1.1",,,,
"11:35:56.207357","0.252197000",,"4","76",,,,,,,
"11:35:56.335216","0.380056000",,"5","76",,,,,,,
"11:35:56.655400","0.700240000",,"6","76",,,,,,,
"11:35:59.631335","3.676175000",,"7","48",,,,,,,
"11:36:00.143213","4.188053000",,"8","48",,,,,,,
"11:36:00.965240","5.010080000",,"9","64","100.64.0.2",,"8.8.8.8",,,,
"11:36:00.965268","5.010108000",,"10","64","100.64.0.2",,"8.8.8.8",,,,
"11:36:00.978780","5.023620000",,"11","215","8.8.8.8",,"100.64.0.2",,,,
"11:36:00.979584","5.024424000",,"12","232","8.8.8.8",,"100.64.0.2",,,,
"11:36:01.151663","5.196503000","0.000000000","13","60","100.64.0.2","53976","47.246.174.14","443","0","0","0"
"11:36:01.154758","5.199598000","0.003095000","14","48","47.246.174.14","443","100.64.0.2","53976","0","0","1"
"11:36:01.340264","5.385104000","0.188601000","15","40","100.64.0.2","53976","47.246.174.14","443","0","1","1"
"11:36:01.340293","5.385133000","0.188630000","16","438","100.64.0.2","53976","47.246.174.14","443","398","1","1"
"11:36:01.343662","5.388502000","0.191999000","17","40","47.246.174.14","443","100.64.0.2","53976","0","1","399"
"11:36:01.343778","5.388618000","0.192115000","18","1500","47.246.174.14","443","100.64.0.2","53976","1460","1","399"
"11:36:01.343793","5.388633000","0.192130000","19","1500","47.246.174.14","443","100.64.0.2","53976","1460","1461","399"
"11:36:01.343819","5.388659000","0.192156000","20","1216","47.246.174.14","443","100.64.0.2","53976","1176","2921","399"
"11:36:01.347163","5.392003000","0.195500000","21","985","47.246.174.14","443","100.64.0.2","53976","945","4097","399"
"11:36:01.590211","5.635051000","0.438548000","22","40","100.64.0.2","53976","47.246.174.14","443","0","399","1461"
"11:36:01.651752","5.696592000","0.500089000","23","40","100.64.0.2","53976","47.246.174.14","443","0","399","2921"
"11:36:01.651779","5.696619000","0.500116000","24","40","100.64.0.2","53976","47.246.174.14","443","0","399","4097"
"11:36:02.312993","6.357833000","1.161330000","25","985","47.246.174.14","443","100.64.0.2","53976","945","4097","399"
"11:36:02.464751","6.509591000","1.313088000","26","40","100.64.0.2","53976","47.246.174.14","443","0","399","5042"
"11:36:02.464779","6.509619000","1.313116000","27","133","100.64.0.2","53976","47.246.174.14","443","93","399","5042"
"11:36:02.467424","6.512264000","1.315761000","28","282","47.246.174.14","443","100.64.0.2","53976","242","5042","492"
"11:36:02.651493","6.696333000","1.499830000","29","40","100.64.0.2","53976","47.246.174.14","443","0","492","5284"
"11:36:02.651520","6.696360000","1.499857000","30","341","100.64.0.2","53976","47.246.174.14","443","301","492","5284"
"11:36:02.694803","6.739643000","1.543140000","31","40","47.246.174.14","443","100.64.0.2","53976","0","5284","793"
"11:36:02.699129","6.743969000","1.547466000","32","1469","47.246.174.14","443","100.64.0.2","53976","1429","5284","793"
"11:36:02.699173","6.744013000","1.547510000","33","1500","47.246.174.14","443","100.64.0.2","53976","1460","6713","793"
"11:36:02.699208","6.744048000","1.547545000","34","1500","47.246.174.14","443","100.64.0.2","53976","1460","8173","793"
"11:36:02.699219","6.744059000","1.547556000","35","1500","47.246.174.14","443","100.64.0.2","53976","1460","9633","793"
"11:36:02.699247","6.744087000","1.547584000","36","1500","47.246.174.14","443","100.64.0.2","53976","1460","11093","793"
"11:36:02.699258","6.744098000","1.547595000","37","1500","47.246.174.14","443","100.64.0.2","53976","1460","12553","793"
"11:36:02.699286","6.744126000","1.547623000","38","1500","47.246.174.14","443","100.64.0.2","53976","1460","14013","793"
"11:36:02.699296","6.744136000","1.547633000","39","1500","47.246.174.14","443","100.64.0.2","53976","1460","15473","793"
"11:36:02.699800","6.744640000","1.548137000","40","1500","47.246.174.14","443","100.64.0.2","53976","1460","16933","793"
"11:36:02.699819","6.744659000","1.548156000","41","1500","47.246.174.14","443","100.64.0.2","53976","1460","18393","793"
"11:36:02.901704","6.946544000","1.750041000","42","40","100.64.0.2","53976","47.246.174.14","443","0","793","6713"
"11:36:02.904023","6.948863000","1.752360000","43","1500","47.246.174.14","443","100.64.0.2","53976","1460","19853","793"
"11:36:02.964884","7.009724000","1.813221000","44","40","100.64.0.2","53976","47.246.174.14","443","0","793","8173"
"11:36:02.967291","7.012131000","1.815628000","45","1500","47.246.174.14","443","100.64.0.2","53976","1460","21313","793"
