_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:20:16.131334","0.000000000",,"1","76",,,,,,,
"11:20:16.161039","0.029705000",,"2","60","100.64.0.2",,"1.1.1.1",,,,
"11:20:16.161069","0.029735000",,"3","60","100.64.0.2",,"1.1.1.1",,,,
"11:20:16.227185","0.095851000",,"4","76",,,,,,,
"11:20:16.943237","0.811903000",,"5","76",,,,,,,
"11:20:16.943322","0.811988000",,"6","76",,,,,,,
"11:20:20.111324","3.979990000",,"7","48",,,,,,,
"11:20:20.367234","4.235900000",,"8","48",,,,,,,
"11:20:21.161009","5.029675000",,"9","60","100.64.0.2",,"8.8.8.8",,,,
"11:20:21.161038","5.029704000",,"10","60","100.64.0.2",,"8.8.8.8",,,,
"11:20:21.178862","5.047528000",,"11","363","8.8.8.8",,"100.64.0.2",,,,
"11:20:21.180191","5.048857000",,"12","189","8.8.8.8",,"100.64.0.2",,,,
"11:20:21.347552","5.216218000","0.000000000","13","60","100.64.0.2","33656","96.16.118.197","443","0","0","0"
"11:20:21.350408","5.219074000","0.002856000","14","60","96.16.118.197","443","100.64.0.2","33656","0","0","1"
"11:20:21.536063","5.404729000","0.188511000","15","52","100.64.0.2","33656","96.16.118.197","443","0","1","1"
"11:20:21.536090","5.404756000","0.188538000","16","446","100.64.0.2","33656","96.16.118.197","443","394","1","1"
"11:20:21.539166","5.407832000","0.191614000","17","52","96.16.118.197","443","100.64.0.2","33656","0","1","395"
"11:20:21.539919","5.408585000","0.192367000","18","1500","96.16.118.197","443","100.64.0.2","33656","1448","1","395"
"11:20:21.539964","5.408630000","0.192412000","19","1500","96.16.118.197","443","100.64.0.2","33656","1448","1449","395"
"11:20:21.539995","5.408661000","0.192443000","20","1252","96.16.118.197","443","100.64.0.2","33656","1200","2897","395"
"11:20:21.541348","5.410014000","0.193796000","21","942","96.16.118.197","443","100.64.0.2","33656","890","4097","395"
"11:20:21.785694","5.654360000","0.438142000","22","52","100.64.0.2","33656","96.16.118.197","443","0","395","1449"
"11:20:21.847559","5.716225000","0.500007000","23","52","100.64.0.2","33656","96.16.118.197","443","0","395","2897"
"11:20:21.847584","5.716250000","0.500032000","24","52","100.64.0.2","33656","96.16.118.197","443","0","395","4097"
"11:20:22.468676","6.337342000","1.121124000","25","942","96.16.118.197","443","100.64.0.2","33656","890","4097","395"
"11:20:22.598231","6.466897000","1.250679000","26","52","100.64.0.2","33656","96.16.118.197","443","0","395","4987"
"11:20:22.598257","6.466923000","1.250705000","27","116","100.64.0.2","33656","96.16.118.197","443","64","395","4987"
"11:20:22.600397","6.469063000","1.252845000","28","52","96.16.118.197","443","100.64.0.2","33656","0","4987","459"
"11:20:22.600441","6.469107000","1.252889000","29","307","96.16.118.197","443","100.64.0.2","33656","255","4987","459"
"11:20:22.600470","6.469136000","1.252918000","30","307","96.16.118.197","443","100.64.0.2","33656","255","5242","459"
"11:20:22.786020","6.654686000","1.438468000","31","199","100.64.0.2","33656","96.16.118.197","443","147","459","4987"
"11:20:22.786052","6.654718000","1.438500000","32","52","100.64.0.2","33656","96.16.118.197","443","0","606","5242"
"11:20:22.786062","6.654728000","1.438510000","33","52","100.64.0.2","33656","96.16.118.197","443","0","606","5497"
"11:20:22.788150","6.656816000","1.440598000","34","52","96.16.118.197","443","100.64.0.2","33656","0","5497","606"
"11:20:23.121182","6.989848000","1.773630000","35","1500","96.16.118.197","443","100.64.0.2","33656","1448","5497","606"
"11:20:23.121227","6.989893000","1.773675000","36","1500","96.16.118.197","443","100.64.0.2","33656","1448","6945","606"
"11:20:23.121263","6.989929000","1.773711000","37","1500","96.16.118.197","443","100.64.0.2","33656","1448","8393","606"
"11:20:23.121273","6.989939000","1.773721000","38","1500","96.16.118.197","443","100.64.0.2","33656","1448","9841","606"
"11:20:23.121305","6.989971000","1.773753000","39","1500","96.16.118.197","443","100.64.0.2","33656","1448","11289","606"
"11:20:23.121316","6.989982000","1.773764000","40","1500","96.16.118.197","443","100.64.0.2","33656","1448","12737","606"
"11:20:23.121344","6.990010000","1.773792000","41","1500","96.16.118.197","443","100.64.0.2","33656","1448","14185","606"
"11:20:23.121355","6.990021000","1.773803000","42","1500","96.16.118.197","443","100.64.0.2","33656","1448","15633","606"
"11:20:23.121383","6.990049000","1.773831000","43","1500","96.16.118.197","443","100.64.0.2","33656","1448","17081","606"
"11:20:23.121398","6.990064000","1.773846000","44","1500","96.16.118.197","443","100.64.0.2","33656","1448","18529","606"
"11:20:23.130381","6.999047000","1.782829000","45","1500","96.16.118.197","443","100.64.0.2","33656","1448","19977","606"
"11:20:23.130426","6.999092000","1.782874000","46","1500","96.16.118.197","443","100.64.0.2","33656","1448","21425","606"
"11:20:23.139193","7.007859000","1.791641000","47","1500","96.16.118.197","443","100.64.0.2","33656","1448","22873","606"
"11:20:23.139239","7.007905000","1.791687000","48","1500","96.16.118.197","443","100.64.0.2","33656","1448","24321","606"
"11:20:23.148428","7.017094000","1.800876000","49","1500","96.16.118.197","443","100.64.0.2","33656","1448","25769","606"
"11:20:23.148473","7.017139000","1.800921000","50","1500","96.16.118.197","443","100.64.0.2","33656","1448","27217","606"
"11:20:23.285903","7.154569000","1.938351000","51","52","100.64.0.2","33656","96.16.118.197","443","0","606","6945"
"11:20:23.288155","7.156821000","1.940603000","52","1500","96.16.118.197","443","100.64.0.2","33656","1448","28665","606"
"11:20:23.288199","7.156865000","1.940647000","53","1500","96.16.118.197","443","100.64.0.2","33656","1448","30113","606"
"11:20:23.347656","7.216322000","2.000104000","54","52","100.64.0.2","33656","96.16.118.197","443","0","606","8393"
"11:20:23.349539","7.218205000","2.001987000","55","1500","96.16.118.197","443","100.64.0.2","33656","1448","31561","606"
"11:20:23.349583","7.218249000","2.002031000","56","1500","96.16.118.197","443","100.64.0.2","33656","1448","33009","606"
"11:20:23.411082","7.279748000","2.063530000","57","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.413143","7.281809000","2.065591000","58","1500","96.16.118.197","443","100.64.0.2","33656","1448","34457","606"
"11:20:23.413188","7.281854000","2.065636000","59","1500","96.16.118.197","443","100.64.0.2","33656","1448","35905","606"
"11:20:23.472792","7.341458000","2.125240000","60","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.474986","7.343652000","2.127434000","61","1500","96.16.118.197","443","100.64.0.2","33656","1448","37353","606"
"11:20:23.475043","7.343709000","2.127491000","62","1500","96.16.118.197","443","100.64.0.2","33656","1448","38801","606"
"11:20:23.535976","7.404642000","2.188424000","63","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.538149","7.406815000","2.190597000","64","1500","96.16.118.197","443","100.64.0.2","33656","1448","40249","606"
"11:20:23.538194","7.406860000","2.190642000","65","1500","96.16.118.197","443","100.64.0.2","33656","1448","41697","606"
"11:20:23.597760","7.466426000","2.250208000","66","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.599687","7.468353000","2.252135000","67","1500","96.16.118.197","443","100.64.0.2","33656","1448","9841","606"
"11:20:23.660650","7.529316000","2.313098000","68","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.662729","7.531395000","2.315177000","69","1500","96.16.118.197","443","100.64.0.2","33656","1448","43145","606"
"11:20:23.722991","7.591657000","2.375439000","70","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.724939","7.593605000","2.377387000","71","1500","96.16.118.197","443","100.64.0.2","33656","1448","44593","606"
"11:20:23.786185","7.654851000","2.438633000","72","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
"11:20:23.788340","7.657006000","2.440788000","73","1500","96.16.118.197","443","100.64.0.2","33656","1448","46041","606"
"11:20:23.848059","7.716725000","2.500507000","74","52","100.64.0.2","33656","96.16.118.197","443","0","606","9841"
