_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:25:00.700499","0.000000000",,"1","61","100.64.0.2",,"1.1.1.1",,,,
"11:25:00.700533","0.000034000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:25:00.735360","0.034861000",,"3","76",,,,,,,
"11:25:00.943223","0.242724000",,"4","76",,,,,,,
"11:25:01.231347","0.530848000",,"5","76",,,,,,,
"11:25:01.487013","0.786514000",,"6","76",,,,,,,
"11:25:04.271331","3.570832000",,"7","48",,,,,,,
"11:25:04.527213","3.826714000",,"8","48",,,,,,,
"11:25:05.700994","5.000495000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"11:25:05.701029","5.000530000",,"10","61","100.64.0.2",,"8.8.8.8",,,,
"11:25:05.708141","5.007642000",,"11","328","8.8.8.8",,"100.64.0.2",,,,
"11:25:05.720377","5.019878000",,"12","204","8.8.8.8",,"100.64.0.2",,,,
"11:25:05.887569","5.187070000","0.000000000","13","60","100.64.0.2","43772","23.76.96.22","443","0","0","0"
"11:25:05.890049","5.189550000","0.002480000","14","60","23.76.96.22","443","100.64.0.2","43772","0","0","1"
"11:25:06.075595","5.375096000","0.188026000","15","52","100.64.0.2","43772","23.76.96.22","443","0","1","1"
"11:25:06.075629","5.375130000","0.188060000","16","447","100.64.0.2","43772","23.76.96.22","443","395","1","1"
"11:25:06.078609","5.378110000","0.191040000","17","52","23.76.96.22","443","100.64.0.2","43772","0","1","396"
"11:25:06.079339","5.378840000","0.191770000","18","1500","23.76.96.22","443","100.64.0.2","43772","1448","1","396"
"11:25:06.079373","5.378874000","0.191804000","19","1500","23.76.96.22","443","100.64.0.2","43772","1448","1449","396"
"11:25:06.079404","5.378905000","0.191835000","20","1252","23.76.96.22","443","100.64.0.2","43772","1200","2897","396"
"11:25:06.079945","5.379446000","0.192376000","21","1500","23.76.96.22","443","100.64.0.2","43772","1448","4097","396"
"11:25:06.326003","5.625504000","0.438434000","22","52","100.64.0.2","43772","23.76.96.22","443","0","396","1449"
"11:25:06.328002","5.627503000","0.440433000","23","118","23.76.96.22","443","100.64.0.2","43772","66","5545","396"
"11:25:06.387308","5.686809000","0.499739000","24","52","100.64.0.2","43772","23.76.96.22","443","0","396","2897"
"11:25:06.387336","5.686837000","0.499767000","25","52","100.64.0.2","43772","23.76.96.22","443","0","396","4097"
"11:25:06.512497","5.811998000","0.624928000","26","52","100.64.0.2","43772","23.76.96.22","443","0","396","4097"
"11:25:07.029400","6.328901000","1.141831000","27","1500","23.76.96.22","443","100.64.0.2","43772","1448","4097","396"
"11:25:07.200714","6.500215000","1.313145000","28","52","100.64.0.2","43772","23.76.96.22","443","0","396","5611"
"11:25:07.200744","6.500245000","1.313175000","29","132","100.64.0.2","43772","23.76.96.22","443","80","396","5611"
"11:25:07.202542","6.502043000","1.314973000","30","52","23.76.96.22","443","100.64.0.2","43772","0","5611","476"
"11:25:07.202579","6.502080000","1.315010000","31","323","23.76.96.22","443","100.64.0.2","43772","271","5611","476"
"11:25:07.202606","6.502107000","1.315037000","32","323","23.76.96.22","443","100.64.0.2","43772","271","5882","476"
"11:25:07.387470","6.686971000","1.499901000","33","209","100.64.0.2","43772","23.76.96.22","443","157","476","5611"
"11:25:07.387504","6.687005000","1.499935000","34","52","100.64.0.2","43772","23.76.96.22","443","0","633","5882"
"11:25:07.387519","6.687020000","1.499950000","35","52","100.64.0.2","43772","23.76.96.22","443","0","633","6153"
"11:25:07.389458","6.688959000","1.501889000","36","52","23.76.96.22","443","100.64.0.2","43772","0","6153","633"
"11:25:08.874903","8.174404000","2.987334000","37","1500","23.76.96.22","443","100.64.0.2","43772","1448","6153","633"
"11:25:08.874930","8.174431000","2.987361000","38","1500","23.76.96.22","443","100.64.0.2","43772","1448","7601","633"
"11:25:08.874958","8.174459000","2.987389000","39","1500","23.76.96.22","443","100.64.0.2","43772","1448","9049","633"
"11:25:08.874967","8.174468000","2.987398000","40","1500","23.76.96.22","443","100.64.0.2","43772","1448","10497","633"
"11:25:08.875010","8.174511000","2.987441000","41","1500","23.76.96.22","443","100.64.0.2","43772","1448","11945","633"
"11:25:08.875019","8.174520000","2.987450000","42","1500","23.76.96.22","443","100.64.0.2","43772","1448","13393","633"
"11:25:08.875043","8.174544000","2.987474000","43","1500","23.76.96.22","443","100.64.0.2","43772","1448","14841","633"
"11:25:08.875052","8.174553000","2.987483000","44","1500","23.76.96.22","443","100.64.0.2","43772","1448","16289","633"
"11:25:08.884262","8.183763000","2.996693000","45","1500","23.76.96.22","443","100.64.0.2","43772","1448","17737","633"
"11:25:08.884291","8.183792000","2.996722000","46","1500","23.76.96.22","443","100.64.0.2","43772","1448","19185","633"
"11:25:08.893416","8.192917000","3.005847000","47","1500","23.76.96.22","443","100.64.0.2","43772","1448","20633","633"
"11:25:08.893446","8.192947000","3.005877000","48","1500","23.76.96.22","443","100.64.0.2","43772","1448","22081","633"
"11:25:08.902439","8.201940000","3.014870000","49","1500","23.76.96.22","443","100.64.0.2","43772","1448","23529","633"
"11:25:08.902469","8.201970000","3.014900000","50","1500","23.76.96.22","443","100.64.0.2","43772","1448","24977","633"
"11:25:08.911613","8.211114000","3.024044000","51","1500","23.76.96.22","443","100.64.0.2","43772","1448","26425","633"
"11:25:08.911643","8.211144000","3.024074000","52","1500","23.76.96.22","443","100.64.0.2","43772","1448","27873","633"
"11:25:09.012738","8.312239000","3.125169000","53","52","100.64.0.2","43772","23.76.96.22","443","0","633","7601"
"11:25:09.014541","8.314042000","3.126972000","54","1500","23.76.96.22","443","100.64.0.2","43772","1448","29321","633"
"11:25:09.014578","8.314079000","3.127009000","55","1500","23.76.96.22","443","100.64.0.2","43772","1448","30769","633"
"11:25:09.076084","8.375585000","3.188515000","56","52","100.64.0.2","43772","23.76.96.22","443","0","633","9049"
"11:25:09.077906","8.377407000","3.190337000","57","1500","23.76.96.22","443","100.64.0.2","43772","1448","32217","633"
"11:25:09.077936","8.377437000","3.190367000","58","1500","23.76.96.22","443","100.64.0.2","43772","1448","33665","633"
"11:25:09.137406","8.436907000","3.249837000","59","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.139343","8.438844000","3.251774000","60","1500","23.76.96.22","443","100.64.0.2","43772","1448","35113","633"
"11:25:09.139373","8.438874000","3.251804000","61","1500","23.76.96.22","443","100.64.0.2","43772","1448","36561","633"
"11:25:09.201229","8.500730000","3.313660000","62","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.203064","8.502565000","3.315495000","63","1500","23.76.96.22","443","100.64.0.2","43772","1448","38009","633"
"11:25:09.203098","8.502599000","3.315529000","64","1500","23.76.96.22","443","100.64.0.2","43772","1448","39457","633"
"11:25:09.262572","8.562073000","3.375003000","65","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.264529","8.564030000","3.376960000","66","1500","23.76.96.22","443","100.64.0.2","43772","1448","40905","633"
"11:25:09.264561","8.564062000","3.376992000","67","1500","23.76.96.22","443","100.64.0.2","43772","1448","42353","633"
"11:25:09.326039","8.625540000","3.438470000","68","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.327863","8.627364000","3.440294000","69","1500","23.76.96.22","443","100.64.0.2","43772","1448","10497","633"
"11:25:09.387924","8.687425000","3.500355000","70","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.389647","8.689148000","3.502078000","71","1500","23.76.96.22","443","100.64.0.2","43772","1448","43801","633"
"11:25:09.450400","8.749901000","3.562831000","72","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.452266","8.751767000","3.564697000","73","1500","23.76.96.22","443","100.64.0.2","43772","1448","45249","633"
"11:25:09.512500","8.812001000","3.624931000","74","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.514570","8.814071000","3.627001000","75","1500","23.76.96.22","443","100.64.0.2","43772","1448","46697","633"
"11:25:09.576115","8.875616000","3.688546000","76","52","100.64.0.2","43772","23.76.96.22","443","0","633","10497"
"11:25:09.577877","8.877378000","3.690308000","77","1500","23.76.96.22","443","100.64.0.2","43772","1448","48145","633"
"11:25:09.637926","8.937427000","3.750357000","78","52","100.64.0.2","43772","23.76.96.22","443","0","633","11945"
"11:25:09.639785","8.939286000","3.752216000","79","1500","23.76.96.22","443","100.64.0.2","43772","1448","11945","633"
"11:25:09.700385","8.999886000","3.812816000","80","52","100.64.0.2","43772","23.76.96.22","443","0","633","11945"
"11:25:09.702232","9.001733000","3.814663000","81","1500","23.76.96.22","443","100.64.0.2","43772","1448","49593","633"
"11:25:09.762548","9.062049000","3.874979000","82","52","100.64.0.2","43772","23.76.96.22","443","0","633","11945"
"11:25:09.764461","9.063962000","3.876892000","83","1500","23.76.96.22","443","100.64.0.2","43772","1448","51041","633"
"11:25:09.825517","9.125018000","3.937948000","84","52","100.64.0.2","43772","23.76.96.22","443","0","633","11945"
"11:25:09.827481","9.126982000","3.939912000","85","1500","23.76.96.22","443","100.64.0.2","43772","1448","52489","633"
"11:25:09.887720","9.187221000","4.000151000","86","52","100.64.0.2","43772","23.76.96.22","443","0","633","11945"
"11:25:09.889618","9.189119000","4.002049000","87","1500","23.76.96.22","443","100.64.0.2","43772","1448","53937","633"
"11:25:09.951083","9.250584000","4.063514000","88","52","100.64.0.2","43772","23.76.96.22","443","0","633","13393"
"11:25:09.952995","9.252496000","4.065426000","89","1500","23.76.96.22","443","100.64.0.2","43772","1448","13393","633"
"11:25:10.012683","9.312184000","4.125114000","90","52","100.64.0.2","43772","23.76.96.22","443","0","633","13393"
"11:25:10.014642","9.314143000","4.127073000","91","1500","23.76.96.22","443","100.64.0.2","43772","1448","55385","633"
"11:25:10.076141","9.375642000","4.188572000","92","52","100.64.0.2","43772","23.76.96.22","443","0","633","13393"
"11:25:10.078031","9.377532000","4.190462000","93","1500","23.76.96.22","443","100.64.0.2","43772","1448","56833","633"
"11:25:10.137621","9.437122000","4.250052000","94","52","100.64.0.2","43772","23.76.96.22","443","0","633","13393"
"11:25:10.139224","9.438725000","4.251655000","95","1500","23.76.96.22","443","100.64.0.2","43772","1448","58281","633"
"11:25:10.201087","9.500588000","4.313518000","96","52","100.64.0.2","43772","23.76.96.22","443","0","633","13393"
"11:25:10.202920","9.502421000","4.315351000","97","1500","23.76.96.22","443","100.64.0.2","43772","1448","59729","633"
"11:25:10.262205","9.561706000","4.374636000","98","52","100.64.0.2","43772","23.76.96.22","443","0","633","14841"
"11:25:10.264133","9.563634000","4.376564000","99","1500","23.76.96.22","443","100.64.0.2","43772","1448","14841","633"
"11:25:10.325585","9.625086000","4.438016000","100","52","100.64.0.2","43772","23.76.96.22","443","0","633","14841"
"11:25:10.327317","9.626818000","4.439748000","101","1500","23.76.96.22","443","100.64.0.2","43772","1448","61177","633"
"11:25:10.388054","9.687555000","4.500485000","102","52","100.64.0.2","43772","23.76.96.22","443","0","633","14841"
"11:25:10.389912","9.689413000","4.502343000","103","1500","23.76.96.22","443","100.64.0.2","43772","1448","62625","633"
"11:25:10.450561","9.750062000","4.562992000","104","52","100.64.0.2","43772","23.76.96.22","443","0","633","14841"
"11:25:10.452564","9.752065000","4.564995000","105","1500","23.76.96.22","443","100.64.0.2","43772","1448","64073","633"
"11:25:10.512736","9.812237000","4.625167000","106","52","100.64.0.2","43772","23.76.96.22","443","0","633","14841"
"11:25:10.514605","9.814106000","4.627036000","107","1500","23.76.96.22","443","100.64.0.2","43772","1448","65521","633"
