_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:23:52.964631","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:23:52.964656","0.000025000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:23:53.035175","0.070544000",,"3","76",,,,,,,
"11:23:53.263368","0.298737000",,"4","76",,,,,,,
"11:23:56.687292","3.722661000",,"5","48",,,,,,,
"11:23:56.943211","3.978580000",,"6","48",,,,,,,
"11:23:57.965203","5.000572000",,"7","58","100.64.0.2",,"8.8.8.8",,,,
"11:23:57.965232","5.000601000",,"8","58","100.64.0.2",,"8.8.8.8",,,,
"11:23:58.012098","5.047467000",,"9","201","8.8.8.8",,"100.64.0.2",,,,
"11:23:58.287830","5.323199000",,"10","325","8.8.8.8",,"100.64.0.2",,,,
"11:23:58.464471","5.499840000","0.000000000","11","60","100.64.0.2","43484","23.40.32.24","443","0","0","0"
"11:23:58.466894","5.502263000","0.002423000","12","60","23.40.32.24","443","100.64.0.2","43484","0","0","1"
"11:23:58.651706","5.687075000","0.187235000","13","52","100.64.0.2","43484","23.40.32.24","443","0","1","1"
"11:23:58.651741","5.687110000","0.187270000","14","444","100.64.0.2","43484","23.40.32.24","443","392","1","1"
"11:23:58.654849","5.690218000","0.190378000","15","52","23.40.32.24","443","100.64.0.2","43484","0","1","393"
"11:23:58.661781","5.697150000","0.197310000","16","1500","23.40.32.24","443","100.64.0.2","43484","1448","1","393"
"11:23:58.661826","5.697195000","0.197355000","17","1500","23.40.32.24","443","100.64.0.2","43484","1448","1449","393"
"11:23:58.661857","5.697226000","0.197386000","18","1252","23.40.32.24","443","100.64.0.2","43484","1200","2897","393"
"11:23:58.662777","5.698146000","0.198306000","19","1500","23.40.32.24","443","100.64.0.2","43484","1448","4097","393"
"11:23:58.901821","5.937190000","0.437350000","20","52","100.64.0.2","43484","23.40.32.24","443","0","393","1449"
"11:23:58.903746","5.939115000","0.439275000","21","118","23.40.32.24","443","100.64.0.2","43484","66","5545","393"
"11:23:58.965154","6.000523000","0.500683000","22","52","100.64.0.2","43484","23.40.32.24","443","0","393","2897"
"11:23:58.965185","6.000554000","0.500714000","23","52","100.64.0.2","43484","23.40.32.24","443","0","393","4097"
"11:23:59.089616","6.124985000","0.625145000","24","52","100.64.0.2","43484","23.40.32.24","443","0","393","4097"
"11:23:59.604916","6.640285000","1.140445000","25","1500","23.40.32.24","443","100.64.0.2","43484","1448","4097","393"
"11:23:59.776953","6.812322000","1.312482000","26","52","100.64.0.2","43484","23.40.32.24","443","0","393","5611"
"11:23:59.776985","6.812354000","1.312514000","27","132","100.64.0.2","43484","23.40.32.24","443","80","393","5611"
"11:23:59.778777","6.814146000","1.314306000","28","52","23.40.32.24","443","100.64.0.2","43484","0","5611","473"
"11:23:59.778822","6.814191000","1.314351000","29","323","23.40.32.24","443","100.64.0.2","43484","271","5611","473"
"11:23:59.778888","6.814257000","1.314417000","30","323","23.40.32.24","443","100.64.0.2","43484","271","5882","473"
"11:23:59.964806","7.000175000","1.500335000","31","197","100.64.0.2","43484","23.40.32.24","443","145","473","5611"
"11:23:59.964838","7.000207000","1.500367000","32","52","100.64.0.2","43484","23.40.32.24","443","0","618","5882"
"11:23:59.964848","7.000217000","1.500377000","33","52","100.64.0.2","43484","23.40.32.24","443","0","618","6153"
"11:23:59.966856","7.002225000","1.502385000","34","52","23.40.32.24","443","100.64.0.2","43484","0","6153","618"
"11:23:59.977375","7.012744000","1.512904000","35","1500","23.40.32.24","443","100.64.0.2","43484","1448","6153","618"
"11:23:59.977420","7.012789000","1.512949000","36","1500","23.40.32.24","443","100.64.0.2","43484","1448","7601","618"
"11:23:59.977455","7.012824000","1.512984000","37","1500","23.40.32.24","443","100.64.0.2","43484","1448","9049","618"
"11:23:59.977465","7.012834000","1.512994000","38","1500","23.40.32.24","443","100.64.0.2","43484","1448","10497","618"
"11:23:59.977494","7.012863000","1.513023000","39","1500","23.40.32.24","443","100.64.0.2","43484","1448","11945","618"
"11:23:59.977504","7.012873000","1.513033000","40","1500","23.40.32.24","443","100.64.0.2","43484","1448","13393","618"
"11:23:59.977532","7.012901000","1.513061000","41","1500","23.40.32.24","443","100.64.0.2","43484","1448","14841","618"
"11:23:59.977543","7.012912000","1.513072000","42","1500","23.40.32.24","443","100.64.0.2","43484","1448","16289","618"
"11:23:59.986551","7.021920000","1.522080000","43","1500","23.40.32.24","443","100.64.0.2","43484","1448","17737","618"
"11:23:59.986591","7.021960000","1.522120000","44","1500","23.40.32.24","443","100.64.0.2","43484","1448","19185","618"
"11:23:59.995809","7.031178000","1.531338000","45","1500","23.40.32.24","443","100.64.0.2","43484","1448","20633","618"
"11:23:59.995854","7.031223000","1.531383000","46","530","23.40.32.24","443","100.64.0.2","43484","478","22081","618"
"11:24:00.001537","7.036906000","1.537066000","47","1500","23.40.32.24","443","100.64.0.2","43484","1448","22559","618"
"11:24:00.001577","7.036946000","1.537106000","48","1500","23.40.32.24","443","100.64.0.2","43484","1448","24007","618"
"11:24:00.010772","7.046141000","1.546301000","49","1500","23.40.32.24","443","100.64.0.2","43484","1448","25455","618"
"11:24:00.010812","7.046181000","1.546341000","50","1500","23.40.32.24","443","100.64.0.2","43484","1448","26903","618"
"11:24:00.214846","7.250215000","1.750375000","51","52","100.64.0.2","43484","23.40.32.24","443","0","618","7601"
"11:24:00.216825","7.252194000","1.752354000","52","1500","23.40.32.24","443","100.64.0.2","43484","1448","28351","618"
"11:24:00.216870","7.252239000","1.752399000","53","1500","23.40.32.24","443","100.64.0.2","43484","1448","29799","618"
"11:24:00.277210","7.312579000","1.812739000","54","52","100.64.0.2","43484","23.40.32.24","443","0","618","9049"
"11:24:00.279185","7.314554000","1.814714000","55","1500","23.40.32.24","443","100.64.0.2","43484","1448","31247","618"
"11:24:00.279226","7.314595000","1.814755000","56","1500","23.40.32.24","443","100.64.0.2","43484","1448","32695","618"
"11:24:00.340272","7.375641000","1.875801000","57","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.342256","7.377625000","1.877785000","58","1500","23.40.32.24","443","100.64.0.2","43484","1448","34143","618"
"11:24:00.342301","7.377670000","1.877830000","59","1500","23.40.32.24","443","100.64.0.2","43484","1448","35591","618"
"11:24:00.401507","7.436876000","1.937036000","60","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.403462","7.438831000","1.938991000","61","1500","23.40.32.24","443","100.64.0.2","43484","1448","37039","618"
"11:24:00.403506","7.438875000","1.939035000","62","1500","23.40.32.24","443","100.64.0.2","43484","1448","38487","618"
"11:24:00.464779","7.500148000","2.000308000","63","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.466769","7.502138000","2.002298000","64","1500","23.40.32.24","443","100.64.0.2","43484","1448","39935","618"
"11:24:00.466815","7.502184000","2.002344000","65","1500","23.40.32.24","443","100.64.0.2","43484","1448","41383","618"
"11:24:00.526877","7.562246000","2.062406000","66","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.528661","7.564030000","2.064190000","67","1500","23.40.32.24","443","100.64.0.2","43484","1448","10497","618"
"11:24:00.590141","7.625510000","2.125670000","68","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.592109","7.627478000","2.127638000","69","1500","23.40.32.24","443","100.64.0.2","43484","1448","42831","618"
"11:24:00.651252","7.686621000","2.186781000","70","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.652993","7.688362000","2.188522000","71","1500","23.40.32.24","443","100.64.0.2","43484","1448","44279","618"
"11:24:00.714443","7.749812000","2.249972000","72","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.716368","7.751737000","2.251897000","73","1500","23.40.32.24","443","100.64.0.2","43484","1448","45727","618"
"11:24:00.776648","7.812017000","2.312177000","74","52","100.64.0.2","43484","23.40.32.24","443","0","618","10497"
"11:24:00.778501","7.813870000","2.314030000","75","1500","23.40.32.24","443","100.64.0.2","43484","1448","47175","618"
"11:24:00.839660","7.875029000","2.375189000","76","52","100.64.0.2","43484","23.40.32.24","443","0","618","11945"
"11:24:00.841596","7.876965000","2.377125000","77","1500","23.40.32.24","443","100.64.0.2","43484","1448","11945","618"
"11:24:00.902027","7.937396000","2.437556000","78","52","100.64.0.2","43484","23.40.32.24","443","0","618","11945"
"11:24:00.904074","7.939443000","2.439603000","79","1500","23.40.32.24","443","100.64.0.2","43484","1448","48623","618"
"11:24:00.965007","8.000376000","2.500536000","80","52","100.64.0.2","43484","23.40.32.24","443","0","618","11945"
"11:24:00.966928","8.002297000","2.502457000","81","1500","23.40.32.24","443","100.64.0.2","43484","1448","50071","618"
"11:24:01.026399","8.061768000","2.561928000","82","52","100.64.0.2","43484","23.40.32.24","443","0","618","11945"
"11:24:01.028359","8.063728000","2.563888000","83","1500","23.40.32.24","443","100.64.0.2","43484","1448","51519","618"
"11:24:01.089626","8.124995000","2.625155000","84","52","100.64.0.2","43484","23.40.32.24","443","0","618","11945"
"11:24:01.091375","8.126744000","2.626904000","85","1500","23.40.32.24","443","100.64.0.2","43484","1448","52967","618"
"11:24:01.151604","8.186973000","2.687133000","86","52","100.64.0.2","43484","23.40.32.24","443","0","618","13393"
"11:24:01.153543","8.188912000","2.689072000","87","1500","23.40.32.24","443","100.64.0.2","43484","1448","13393","618"
"11:24:01.215001","8.250370000","2.750530000","88","52","100.64.0.2","43484","23.40.32.24","443","0","618","13393"
"11:24:01.217055","8.252424000","2.752584000","89","1500","23.40.32.24","443","100.64.0.2","43484","1448","54415","618"
"11:24:01.276733","8.312102000","2.812262000","90","52","100.64.0.2","43484","23.40.32.24","443","0","618","13393"
"11:24:01.278734","8.314103000","2.814263000","91","1500","23.40.32.24","443","100.64.0.2","43484","1448","55863","618"
"11:24:01.340249","8.375618000","2.875778000","92","52","100.64.0.2","43484","23.40.32.24","443","0","618","13393"
"11:24:01.342368","8.377737000","2.877897000","93","1500","23.40.32.24","443","100.64.0.2","43484","1448","57311","618"
"11:24:01.401862","8.437231000","2.937391000","94","52","100.64.0.2","43484","23.40.32.24","443","0","618","13393"
"11:24:01.403632","8.439001000","2.939161000","95","1500","23.40.32.24","443","100.64.0.2","43484","1448","58759","618"
"11:24:01.464596","8.499965000","3.000125000","96","52","100.64.0.2","43484","23.40.32.24","443","0","618","14841"
"11:24:01.466555","8.501924000","3.002084000","97","1500","23.40.32.24","443","100.64.0.2","43484","1448","14841","618"
"11:24:01.527092","8.562461000","3.062621000","98","52","100.64.0.2","43484","23.40.32.24","443","0","618","14841"
"11:24:01.529003","8.564372000","3.064532000","99","1500","23.40.32.24","443","100.64.0.2","43484","1448","60207","618"
"11:24:01.590084","8.625453000","3.125613000","100","52","100.64.0.2","43484","23.40.32.24","443","0","618","14841"
"11:24:01.591996","8.627365000","3.127525000","101","1500","23.40.32.24","443","100.64.0.2","43484","1448","61655","618"
"11:24:01.651308","8.686677000","3.186837000","102","52","100.64.0.2","43484","23.40.32.24","443","0","618","14841"
"11:24:01.653095","8.688464000","3.188624000","103","1500","23.40.32.24","443","100.64.0.2","43484","1448","63103","618"
"11:24:01.714597","8.749966000","3.250126000","104","52","100.64.0.2","43484","23.40.32.24","443","0","618","14841"
"11:24:01.716490","8.751859000","3.252019000","105","1500","23.40.32.24","443","100.64.0.2","43484","1448","64551","618"
"11:24:01.776421","8.811790000","3.311950000","106","52","100.64.0.2","43484","23.40.32.24","443","0","618","16289"
"11:24:01.778265","8.813634000","3.313794000","107","1500","23.40.32.24","443","100.64.0.2","43484","1448","16289","618"
"11:24:01.839677","8.875046000","3.375206000","108","52","100.64.0.2","43484","23.40.32.24","443","0","618","16289"
"11:24:01.841660","8.877029000","3.377189000","109","1500","23.40.32.24","443","100.64.0.2","43484","1448","65999","618"
"11:24:01.902088","8.937457000","3.437617000","110","52","100.64.0.2","43484","23.40.32.24","443","0","618","16289"
"11:24:01.903909","8.939278000","3.439438000","111","1500","23.40.32.24","443","100.64.0.2","43484","1448","67447","618"
"11:24:01.964765","9.000134000","3.500294000","112","52","100.64.0.2","43484","23.40.32.24","443","0","618","16289"
"11:24:01.966628","9.001997000","3.502157000","113","1500","23.40.32.24","443","100.64.0.2","43484","1448","68895","618"
"11:24:02.026948","9.062317000","3.562477000","114","52","100.64.0.2","43484","23.40.32.24","443","0","618","16289"
"11:24:02.028848","9.064217000","3.564377000","115","1500","23.40.32.24","443","100.64.0.2","43484","1448","70343","618"
"11:24:02.089397","9.124766000","3.624926000","116","52","100.64.0.2","43484","23.40.32.24","443","0","618","17737"
"11:24:02.152090","9.187459000","3.687619000","117","52","100.64.0.2","43484","23.40.32.24","443","0","618","17737"
"11:24:02.154071","9.189440000","3.689600000","118","1500","23.40.32.24","443","100.64.0.2","43484","1448","17737","618"
"11:24:02.214514","9.249883000","3.750043000","119","52","100.64.0.2","43484","23.40.32.24","443","0","618","17737"
"11:24:02.246314","9.281683000","3.781843000","120","1500","23.40.32.24","443","100.64.0.2","43484","1448","71791","618"
"11:24:02.276738","9.312107000","3.812267000","121","52","100.64.0.2","43484","23.40.32.24","443","0","618","17737"
"11:24:02.339880","9.375249000","3.875409000","122","52","100.64.0.2","43484","23.40.32.24","443","0","618","17737"
"11:24:02.402110","9.437479000","3.937639000","123","52","100.64.0.2","43484","23.40.32.24","443","0","618","19185"
"11:24:02.430100","9.465469000","3.965629000","124","1500","23.40.32.24","443","100.64.0.2","43484","1448","73239","618"
"11:24:02.465141","9.500510000","4.000670000","125","52","100.64.0.2","43484","23.40.32.24","443","0","618","19185"
"11:24:02.589941","9.625310000","4.125470000","126","52","100.64.0.2","43484","23.40.32.24","443","0","618","19185"
"11:24:02.614047","9.649416000","4.149576000","127","1500","23.40.32.24","443","100.64.0.2","43484","1448","19185","618"
"11:24:02.776829","9.812198000","4.312358000","128","52","100.64.0.2","43484","23.40.32.24","443","0","618","20633"
"11:24:02.798089","9.833458000","4.333618000","129","1500","23.40.32.24","443","100.64.0.2","43484","1448","20633","618"
"11:24:02.964867","10.000236000","4.500396000","130","52","100.64.0.2","43484","23.40.32.24","443","0","618","22081"
"11:24:02.967062","10.002431000","4.502591000","131","530","23.40.32.24","443","100.64.0.2","43484","478","22081","618"
"11:24:03.151913","10.187282000","4.687442000","132","52","100.64.0.2","43484","23.40.32.24","443","0","618","22559"
"11:24:03.153895","10.189264000","4.689424000","133","1500","23.40.32.24","443","100.64.0.2","43484","1448","22559","618"
"11:24:03.339320","10.374689000","4.874849000","134","52","100.64.0.2","43484","23.40.32.24","443","0","618","24007"
"11:24:03.341199","10.376568000","4.876728000","135","1500","23.40.32.24","443","100.64.0.2","43484","1448","24007","618"
"11:24:03.527091","10.562460000","5.062620000","136","52","100.64.0.2","43484","23.40.32.24","443","0","618","25455"
"11:24:03.529191","10.564560000","5.064720000","137","1500","23.40.32.24","443","100.64.0.2","43484","1448","25455","618"
"11:24:03.714916","10.750285000","5.250445000","138","52","100.64.0.2","43484","23.40.32.24","443","0","618","26903"
"11:24:03.716943","10.752312000","5.252472000","139","1500","23.40.32.24","443","100.64.0.2","43484","1448","26903","618"
"11:24:03.901870","10.937239000","5.437399000","140","52","100.64.0.2","43484","23.40.32.24","443","0","618","35591"
"11:24:03.903782","10.939151000","5.439311000","141","1500","23.40.32.24","443","100.64.0.2","43484","1448","35591","618"
"11:24:04.089680","11.125049000","5.625209000","142","52","100.64.0.2","43484","23.40.32.24","443","0","618","38487"
"11:24:04.091571","11.126940000","5.627100000","143","1500","23.40.32.24","443","100.64.0.2","43484","1448","38487","618"
"11:24:04.111347","11.146716000",,"144","48",,,,,,,
"11:24:04.276501","11.311870000","5.812030000","145","52","100.64.0.2","43484","23.40.32.24","443","0","618","41383"
"11:24:04.278394","11.313763000","5.813923000","146","1500","23.40.32.24","443","100.64.0.2","43484","1448","41383","618"
"11:24:04.320429","11.355798000","5.855958000","147","1500","23.40.32.24","443","100.64.0.2","43484","1448","74687","618"
"11:24:04.404868","11.440237000","5.940397000","148","1500","23.40.32.24","443","100.64.0.2","43484","1448","76135","618"
"11:24:04.465271","11.500640000","6.000800000","149","52","100.64.0.2","43484","23.40.32.24","443","0","618","74687"
"11:24:04.489179","11.524548000","6.024708000","150","1500","23.40.32.24","443","100.64.0.2","43484","1448","77583","618"
"11:24:04.573524","11.608893000","6.109053000","151","1500","23.40.32.24","443","100.64.0.2","43484","1448","79031","618"
"11:24:04.590017","11.625386000","6.125546000","152","52","100.64.0.2","43484","23.40.32.24","443","0","618","76135"
