_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:28:44.169453","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"11:28:44.169474","0.000021000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:28:44.431325","0.261872000",,"3","76",,,,,,,
"11:28:44.719350","0.549897000",,"4","76",,,,,,,
"11:28:44.879236","0.709783000",,"5","76",,,,,,,
"11:28:48.015217","3.845764000",,"6","48",,,,,,,
"11:28:48.271146","4.101693000",,"7","48",,,,,,,
"11:28:49.231364","5.061911000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"11:28:49.231392","5.061939000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:28:49.239385","5.069932000",,"10","178","8.8.8.8",,"100.64.0.2",,,,
"11:28:49.273636","5.104183000",,"11","169","8.8.8.8",,"100.64.0.2",,,,
"11:28:49.419634","5.250181000","0.000000000","12","60","100.64.0.2","51624","164.52.39.43","443","0","0","0"
"11:28:49.423748","5.254295000","0.004114000","13","48","164.52.39.43","443","100.64.0.2","51624","0","0","1"
"11:28:49.606382","5.436929000","0.186748000","14","40","100.64.0.2","51624","164.52.39.43","443","0","1","1"
"11:28:49.606394","5.436941000","0.186760000","15","436","100.64.0.2","51624","164.52.39.43","443","396","1","1"
"11:28:49.610514","5.441061000","0.190880000","16","40","164.52.39.43","443","100.64.0.2","51624","0","1","397"
"11:28:49.611855","5.442402000","0.192221000","17","1500","164.52.39.43","443","100.64.0.2","51624","1460","1","397"
"11:28:49.612096","5.442643000","0.192462000","18","1500","164.52.39.43","443","100.64.0.2","51624","1460","1461","397"
"11:28:49.612116","5.442663000","0.192482000","19","1411","164.52.39.43","443","100.64.0.2","51624","1371","2921","397"
"11:28:49.856690","5.687237000","0.437056000","20","40","100.64.0.2","51624","164.52.39.43","443","0","397","1461"
"11:28:49.919592","5.750139000","0.499958000","21","40","100.64.0.2","51624","164.52.39.43","443","0","397","2921"
"11:28:49.919615","5.750162000","0.499981000","22","40","100.64.0.2","51624","164.52.39.43","443","0","397","4292"
"11:28:49.919625","5.750172000","0.499991000","23","166","100.64.0.2","51624","164.52.39.43","443","126","397","4292"
"11:28:49.923468","5.754015000","0.503834000","24","298","164.52.39.43","443","100.64.0.2","51624","258","4292","523"
"11:28:50.106341","5.936888000","0.686707000","25","40","100.64.0.2","51624","164.52.39.43","443","0","523","4550"
"11:28:50.106374","5.936921000","0.686740000","26","196","100.64.0.2","51624","164.52.39.43","443","156","523","4550"
"11:28:50.149107","5.979654000","0.729473000","27","40","164.52.39.43","443","100.64.0.2","51624","0","4550","679"
"11:28:50.864213","6.694760000","1.444579000","28","1500","164.52.39.43","443","100.64.0.2","51624","1460","4550","679"
"11:28:50.864252","6.694799000","1.444618000","29","1500","164.52.39.43","443","100.64.0.2","51624","1460","6010","679"
"11:28:50.864285","6.694832000","1.444651000","30","1500","164.52.39.43","443","100.64.0.2","51624","1460","7470","679"
"11:28:50.864294","6.694841000","1.444660000","31","1500","164.52.39.43","443","100.64.0.2","51624","1460","8930","679"
"11:28:50.864323","6.694870000","1.444689000","32","1500","164.52.39.43","443","100.64.0.2","51624","1460","10390","679"
"11:28:50.864332","6.694879000","1.444698000","33","1500","164.52.39.43","443","100.64.0.2","51624","1460","11850","679"
"11:28:50.864359","6.694906000","1.444725000","34","1500","164.52.39.43","443","100.64.0.2","51624","1460","13310","679"
"11:28:50.864368","6.694915000","1.444734000","35","1500","164.52.39.43","443","100.64.0.2","51624","1460","14770","679"
