_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:29:04.501904","0.000000000",,"1","57","100.64.0.2",,"1.1.1.1",,,,
"11:29:04.501931","0.000027000",,"2","57","100.64.0.2",,"1.1.1.1",,,,
"11:29:04.591218","0.089314000",,"3","76",,,,,,,
"11:29:04.719365","0.217461000",,"4","76",,,,,,,
"11:29:04.783336","0.281432000",,"5","76",,,,,,,
"11:29:07.983210","3.481306000",,"6","48",,,,,,,
"11:29:07.983311","3.481407000",,"7","48",,,,,,,
"11:29:09.502024","5.000120000",,"8","57","100.64.0.2",,"8.8.8.8",,,,
"11:29:09.502048","5.000144000",,"9","57","100.64.0.2",,"8.8.8.8",,,,
"11:29:09.507207","5.005303000",,"10","116","8.8.8.8",,"100.64.0.2",,,,
"11:29:09.511861","5.009957000",,"11","137","8.8.8.8",,"100.64.0.2",,,,
"11:29:09.690068","5.188164000","0.000000000","12","60","100.64.0.2","59884","162.159.137.232","443","0","0","0"
"11:29:09.693456","5.191552000","0.003388000","13","60","162.159.137.232","443","100.64.0.2","59884","0","0","1"
"11:29:09.876448","5.374544000","0.186380000","14","52","100.64.0.2","59884","162.159.137.232","443","0","1","1"
"11:29:09.876474","5.374570000","0.186406000","15","443","100.64.0.2","59884","162.159.137.232","443","391","1","1"
"11:29:09.880240","5.378336000","0.190172000","16","52","162.159.137.232","443","100.64.0.2","59884","0","1","392"
"11:29:09.881718","5.379814000","0.191650000","17","1500","162.159.137.232","443","100.64.0.2","59884","1448","1","392"
"11:29:09.881767","5.379863000","0.191699000","18","1199","162.159.137.232","443","100.64.0.2","59884","1147","1449","392"
"11:29:10.126882","5.624978000","0.436814000","19","52","100.64.0.2","59884","162.159.137.232","443","0","392","1449"
"11:29:10.126913","5.625009000","0.436845000","20","52","100.64.0.2","59884","162.159.137.232","443","0","392","2596"
"11:29:10.126924","5.625020000","0.436856000","21","132","100.64.0.2","59884","162.159.137.232","443","80","392","2596"
"11:29:10.170898","5.668994000","0.480830000","22","52","162.159.137.232","443","100.64.0.2","59884","0","2596","472"
"11:29:10.314706","5.812802000","0.624638000","23","196","100.64.0.2","59884","162.159.137.232","443","144","472","2596"
"11:29:10.317322","5.815418000","0.627254000","24","52","162.159.137.232","443","100.64.0.2","59884","0","2596","616"
"11:29:10.345039","5.843135000","0.654971000","25","1500","162.159.137.232","443","100.64.0.2","59884","1448","2596","616"
"11:29:10.345072","5.843168000","0.655004000","26","493","162.159.137.232","443","100.64.0.2","59884","441","4044","616"
"11:29:10.345106","5.843202000","0.655038000","27","1443","162.159.137.232","443","100.64.0.2","59884","1391","4485","616"
"11:29:10.345118","5.843214000","0.655050000","28","1500","162.159.137.232","443","100.64.0.2","59884","1448","5876","616"
"11:29:10.345147","5.843243000","0.655079000","29","559","162.159.137.232","443","100.64.0.2","59884","507","7324","616"
"11:29:10.345158","5.843254000","0.655090000","30","1500","162.159.137.232","443","100.64.0.2","59884","1448","7831","616"
"11:29:10.345186","5.843282000","0.655118000","31","1386","162.159.137.232","443","100.64.0.2","59884","1334","9279","616"
"11:29:10.345197","5.843293000","0.655129000","32","1500","162.159.137.232","443","100.64.0.2","59884","1448","10613","616"
"11:29:10.345221","5.843317000","0.655153000","33","1500","162.159.137.232","443","100.64.0.2","59884","1448","12061","616"
"11:29:10.345690","5.843786000","0.655622000","34","1500","162.159.137.232","443","100.64.0.2","59884","1448","13509","616"
"11:29:10.345721","5.843817000","0.655653000","35","1500","162.159.137.232","443","100.64.0.2","59884","1448","14957","616"
"11:29:10.346474","5.844570000","0.656406000","36","1500","162.159.137.232","443","100.64.0.2","59884","1448","16405","616"
"11:29:10.346507","5.844603000","0.656439000","37","1500","162.159.137.232","443","100.64.0.2","59884","1448","17853","616"
"11:29:10.347286","5.845382000","0.657218000","38","1500","162.159.137.232","443","100.64.0.2","59884","1448","19301","616"
"11:29:10.347319","5.845415000","0.657251000","39","1500","162.159.137.232","443","100.64.0.2","59884","1448","20749","616"
"11:29:10.348011","5.846107000","0.657943000","40","1500","162.159.137.232","443","100.64.0.2","59884","1448","22197","616"
"11:29:10.348043","5.846139000","0.657975000","41","1500","162.159.137.232","443","100.64.0.2","59884","1448","23645","616"
"11:29:10.348821","5.846917000","0.658753000","42","1500","162.159.137.232","443","100.64.0.2","59884","1448","25093","616"
"11:29:10.348887","5.846983000","0.658819000","43","1500","162.159.137.232","443","100.64.0.2","59884","1448","26541","616"
"11:29:10.349672","5.847768000","0.659604000","44","1500","162.159.137.232","443","100.64.0.2","59884","1448","27989","616"
"11:29:10.349704","5.847800000","0.659636000","45","1500","162.159.137.232","443","100.64.0.2","59884","1448","29437","616"
"11:29:10.350521","5.848617000","0.660453000","46","1500","162.159.137.232","443","100.64.0.2","59884","1448","30885","616"
"11:29:10.350554","5.848650000","0.660486000","47","1500","162.159.137.232","443","100.64.0.2","59884","1448","32333","616"
"11:29:10.351177","5.849273000","0.661109000","48","1500","162.159.137.232","443","100.64.0.2","59884","1448","33781","616"
"11:29:10.351209","5.849305000","0.661141000","49","1500","162.159.137.232","443","100.64.0.2","59884","1448","35229","616"
"11:29:10.352091","5.850187000","0.662023000","50","1500","162.159.137.232","443","100.64.0.2","59884","1448","36677","616"
"11:29:10.352124","5.850220000","0.662056000","51","1500","162.159.137.232","443","100.64.0.2","59884","1448","38125","616"
"11:29:10.352706","5.850802000","0.662638000","52","1500","162.159.137.232","443","100.64.0.2","59884","1448","39573","616"
"11:29:10.352733","5.850829000","0.662665000","53","1500","162.159.137.232","443","100.64.0.2","59884","1448","41021","616"
"11:29:10.353362","5.851458000","0.663294000","54","1500","162.159.137.232","443","100.64.0.2","59884","1448","42469","616"
"11:29:10.353390","5.851486000","0.663322000","55","1500","162.159.137.232","443","100.64.0.2","59884","1448","43917","616"
"11:29:10.354160","5.852256000","0.664092000","56","1500","162.159.137.232","443","100.64.0.2","59884","1448","45365","616"
"11:29:10.354186","5.852282000","0.664118000","57","1500","162.159.137.232","443","100.64.0.2","59884","1448","46813","616"
"11:29:10.354900","5.852996000","0.664832000","58","1500","162.159.137.232","443","100.64.0.2","59884","1448","48261","616"
"11:29:10.354927","5.853023000","0.664859000","59","1455","162.159.137.232","443","100.64.0.2","59884","1403","49709","616"
"11:29:10.564962","6.063058000","0.874894000","60","52","100.64.0.2","59884","162.159.137.232","443","0","616","4044"
"11:29:10.564985","6.063081000","0.874917000","61","52","100.64.0.2","59884","162.159.137.232","443","0","616","4485"
"11:29:10.626573","6.124669000","0.936505000","62","52","100.64.0.2","59884","162.159.137.232","443","0","616","5876"
"11:29:10.626608","6.124704000","0.936540000","63","52","100.64.0.2","59884","162.159.137.232","443","0","616","5876"
"11:29:11.218289","6.716385000","1.528221000","64","1500","162.159.137.232","443","100.64.0.2","59884","1448","5876","616"
"11:29:11.377093","6.875189000","1.687025000","65","52","100.64.0.2","59884","162.159.137.232","443","0","616","7831"
"11:29:11.379690","6.877786000","1.689622000","66","1500","162.159.137.232","443","100.64.0.2","59884","1448","7831","616"
"11:29:11.379736","6.877832000","1.689668000","67","1386","162.159.137.232","443","100.64.0.2","59884","1334","9279","616"
"11:29:11.379769","6.877865000","1.689701000","68","1500","162.159.137.232","443","100.64.0.2","59884","1448","10613","616"
"11:29:11.379781","6.877877000","1.689713000","69","1500","162.159.137.232","443","100.64.0.2","59884","1448","12061","616"
