_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:29:21.935338","0.000000000",,"1","76",,,,,,,
"11:29:21.951546","0.016208000",,"2","64","100.64.0.2",,"1.1.1.1",,,,
"11:29:21.951574","0.016236000",,"3","64","100.64.0.2",,"1.1.1.1",,,,
"11:29:21.999159","0.063821000",,"4","76",,,,,,,
"11:29:22.319227","0.383889000",,"5","76",,,,,,,
"11:29:22.479218","0.543880000",,"6","76",,,,,,,
"11:29:25.903319","3.967981000",,"7","48",,,,,,,
"11:29:26.159222","4.223884000",,"8","48",,,,,,,
"11:29:26.951929","5.016591000",,"9","64","100.64.0.2",,"8.8.8.8",,,,
"11:29:26.951957","5.016619000",,"10","64","100.64.0.2",,"8.8.8.8",,,,
"11:29:26.958249","5.022911000",,"11","201","8.8.8.8",,"100.64.0.2",,,,
"11:29:26.960157","5.024819000",,"12","161","8.8.8.8",,"100.64.0.2",,,,
"11:29:27.138493","5.203155000","0.000000000","13","60","100.64.0.2","33990","23.51.46.10","443","0","0","0"
"11:29:27.146528","5.211190000","0.008035000","14","60","23.51.46.10","443","100.64.0.2","33990","0","0","1"
"11:29:27.327054","5.391716000","0.188561000","15","52","100.64.0.2","33990","23.51.46.10","443","0","1","1"
"11:29:27.327079","5.391741000","0.188586000","16","450","100.64.0.2","33990","23.51.46.10","443","398","1","1"
"11:29:27.335677","5.400339000","0.197184000","17","52","23.51.46.10","443","100.64.0.2","33990","0","1","399"
"11:29:27.336581","5.401243000","0.198088000","18","1500","23.51.46.10","443","100.64.0.2","33990","1448","1","399"
"11:29:27.336607","5.401269000","0.198114000","19","1500","23.51.46.10","443","100.64.0.2","33990","1448","1449","399"
"11:29:27.336638","5.401300000","0.198145000","20","1252","23.51.46.10","443","100.64.0.2","33990","1200","2897","399"
"11:29:27.336647","5.401309000","0.198154000","21","1260","23.51.46.10","443","100.64.0.2","33990","1208","4097","399"
"11:29:27.576695","5.641357000","0.438202000","22","52","100.64.0.2","33990","23.51.46.10","443","0","399","1449"
"11:29:27.639068","5.703730000","0.500575000","23","52","100.64.0.2","33990","23.51.46.10","443","0","399","2897"
"11:29:27.639094","5.703756000","0.500601000","24","52","100.64.0.2","33990","23.51.46.10","443","0","399","4097"
"11:29:28.288310","6.352972000","1.149817000","25","1260","23.51.46.10","443","100.64.0.2","33990","1208","4097","399"
"11:29:28.451433","6.516095000","1.312940000","26","52","100.64.0.2","33990","23.51.46.10","443","0","399","5305"
