_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:28:05.114964","0.000000000",,"1","60","100.64.0.2",,"1.1.1.1",,,,
"11:28:05.115029","0.000065000",,"2","60","100.64.0.2",,"1.1.1.1",,,,
"11:28:05.551215","0.436251000",,"3","76",,,,,,,
"11:28:05.647344","0.532380000",,"4","76",,,,,,,
"11:28:05.679217","0.564253000",,"5","76",,,,,,,
"11:28:05.775350","0.660386000",,"6","76",,,,,,,
"11:28:09.103053","3.988089000",,"7","48",,,,,,,
"11:28:09.103147","3.988183000",,"8","48",,,,,,,
"11:28:10.114931","4.999967000",,"9","60","100.64.0.2",,"8.8.8.8",,,,
"11:28:10.114955","4.999991000",,"10","60","100.64.0.2",,"8.8.8.8",,,,
"11:28:10.141103","5.026139000",,"11","177","8.8.8.8",,"100.64.0.2",,,,
"11:28:10.194996","5.080032000",,"12","273","8.8.8.8",,"100.64.0.2",,,,
"11:28:10.365023","5.250059000","0.000000000","13","60","100.64.0.2","37010","163.181.87.78","443","0","0","0"
"11:28:10.368630","5.253666000","0.003607000","14","48","163.181.87.78","443","100.64.0.2","37010","0","0","1"
"11:28:10.551409","5.436445000","0.186386000","15","40","100.64.0.2","37010","163.181.87.78","443","0","1","1"
"11:28:10.551437","5.436473000","0.186414000","16","434","100.64.0.2","37010","163.181.87.78","443","394","1","1"
"11:28:10.555663","5.440699000","0.190640000","17","40","163.181.87.78","443","100.64.0.2","37010","0","1","395"
"11:28:10.578307","5.463343000","0.213284000","18","1500","163.181.87.78","443","100.64.0.2","37010","1460","1","395"
"11:28:10.578353","5.463389000","0.213330000","19","1500","163.181.87.78","443","100.64.0.2","37010","1460","1461","395"
"11:28:10.597135","5.482171000","0.232112000","20","1500","163.181.87.78","443","100.64.0.2","37010","1460","2921","395"
"11:28:10.597182","5.482218000","0.232159000","21","602","163.181.87.78","443","100.64.0.2","37010","562","4381","395"
"11:28:10.802232","5.687268000","0.437209000","22","40","100.64.0.2","37010","163.181.87.78","443","0","395","1461"
"11:28:10.864441","5.749477000","0.499418000","23","40","100.64.0.2","37010","163.181.87.78","443","0","395","2921"
"11:28:10.926857","5.811893000","0.561834000","24","40","100.64.0.2","37010","163.181.87.78","443","0","395","4381"
"11:28:11.554907","6.439943000","1.189884000","25","602","163.181.87.78","443","100.64.0.2","37010","562","4381","395"
"11:28:11.739811","6.624847000","1.374788000","26","40","100.64.0.2","37010","163.181.87.78","443","0","395","4943"
"11:28:11.739837","6.624873000","1.374814000","27","120","100.64.0.2","37010","163.181.87.78","443","80","395","4943"
"11:28:11.782901","6.667937000","1.417878000","28","40","163.181.87.78","443","100.64.0.2","37010","0","4943","475"
"11:28:11.795456","6.680492000","1.430433000","29","335","163.181.87.78","443","100.64.0.2","37010","295","4943","475"
"11:28:11.807568","6.692604000","1.442545000","30","335","163.181.87.78","443","100.64.0.2","37010","295","5238","475"
"11:28:11.926855","6.811891000","1.561832000","31","187","100.64.0.2","37010","163.181.87.78","443","147","475","4943"
