_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:36:43.502794","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"11:36:43.502820","0.000026000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:36:43.599316","0.096522000",,"3","76",,,,,,,
"11:36:43.631148","0.128354000",,"4","76",,,,,,,
"11:36:43.759250","0.256456000",,"5","76",,,,,,,
"11:36:47.247229","3.744435000",,"6","48",,,,,,,
"11:36:47.503149","4.000355000",,"7","48",,,,,,,
"11:36:48.503158","5.000364000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"11:36:48.503188","5.000394000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:36:48.512539","5.009745000",,"10","126","8.8.8.8",,"100.64.0.2",,,,
"11:36:48.561289","5.058495000",,"11","286","8.8.8.8",,"100.64.0.2",,,,
"11:36:48.689388","5.186594000","0.000000000","12","60","100.64.0.2","44372","54.192.150.72","443","0","0","0"
"11:36:48.692494","5.189700000","0.003106000","13","60","54.192.150.72","443","100.64.0.2","44372","0","0","1"
"11:36:48.877689","5.374895000","0.188301000","14","52","100.64.0.2","44372","54.192.150.72","443","0","1","1"
"11:36:48.877714","5.374920000","0.188326000","15","448","100.64.0.2","44372","54.192.150.72","443","396","1","1"
"11:36:48.881425","5.378631000","0.192037000","16","52","54.192.150.72","443","100.64.0.2","44372","0","1","397"
"11:36:48.884046","5.381252000","0.194658000","17","1480","54.192.150.72","443","100.64.0.2","44372","1428","1","397"
"11:36:48.884088","5.381294000","0.194700000","18","1480","54.192.150.72","443","100.64.0.2","44372","1428","1429","397"
"11:36:48.887783","5.384989000","0.198395000","19","787","54.192.150.72","443","100.64.0.2","44372","735","2857","397"
"11:36:49.127646","5.624852000","0.438258000","20","52","100.64.0.2","44372","54.192.150.72","443","0","397","1429"
"11:36:49.189821","5.687027000","0.500433000","21","52","100.64.0.2","44372","54.192.150.72","443","0","397","2857"
"11:36:49.189848","5.687054000","0.500460000","22","52","100.64.0.2","44372","54.192.150.72","443","0","397","3592"
"11:36:49.189858","5.687064000","0.500470000","23","116","100.64.0.2","44372","54.192.150.72","443","64","397","3592"
"11:36:49.192309","5.689515000","0.502921000","24","52","54.192.150.72","443","100.64.0.2","44372","0","3592","461"
"11:36:49.192588","5.689794000","0.503200000","25","198","54.192.150.72","443","100.64.0.2","44372","146","3592","461"
"11:36:49.378111","5.875317000","0.688723000","26","201","100.64.0.2","44372","54.192.150.72","443","149","461","3592"
"11:36:49.378134","5.875340000","0.688746000","27","52","100.64.0.2","44372","54.192.150.72","443","0","610","3738"
"11:36:49.380632","5.877838000","0.691244000","28","52","54.192.150.72","443","100.64.0.2","44372","0","3738","610"
"11:36:50.083588","6.580794000","1.394200000","29","1480","54.192.150.72","443","100.64.0.2","44372","1428","3738","610"
"11:36:50.083629","6.580835000","1.394241000","30","1480","54.192.150.72","443","100.64.0.2","44372","1428","5166","610"
"11:36:50.083663","6.580869000","1.394275000","31","1480","54.192.150.72","443","100.64.0.2","44372","1428","6594","610"
"11:36:50.083673","6.580879000","1.394285000","32","1480","54.192.150.72","443","100.64.0.2","44372","1428","8022","610"
"11:36:50.083699","6.580905000","1.394311000","33","1480","54.192.150.72","443","100.64.0.2","44372","1428","9450","610"
"11:36:50.083708","6.580914000","1.394320000","34","1480","54.192.150.72","443","100.64.0.2","44372","1428","10878","610"
"11:36:50.088789","6.585995000","1.399401000","35","1480","54.192.150.72","443","100.64.0.2","44372","1428","12306","610"
"11:36:50.088830","6.586036000","1.399442000","36","1480","54.192.150.72","443","100.64.0.2","44372","1428","13734","610"
"11:36:50.094115","6.591321000","1.404727000","37","1480","54.192.150.72","443","100.64.0.2","44372","1428","15162","610"
"11:36:50.094156","6.591362000","1.404768000","38","1480","54.192.150.72","443","100.64.0.2","44372","1428","16590","610"
"11:36:50.099288","6.596494000","1.409900000","39","1480","54.192.150.72","443","100.64.0.2","44372","1428","18018","610"
"11:36:50.099329","6.596535000","1.409941000","40","1480","54.192.150.72","443","100.64.0.2","44372","1428","19446","610"
"11:36:50.104584","6.601790000","1.415196000","41","1480","54.192.150.72","443","100.64.0.2","44372","1428","20874","610"
"11:36:50.104625","6.601831000","1.415237000","42","1480","54.192.150.72","443","100.64.0.2","44372","1428","22302","610"
"11:36:50.109908","6.607114000","1.420520000","43","1480","54.192.150.72","443","100.64.0.2","44372","1428","23730","610"
"11:36:50.109953","6.607159000","1.420565000","44","1480","54.192.150.72","443","100.64.0.2","44372","1428","25158","610"
"11:36:50.115150","6.612356000","1.425762000","45","1480","54.192.150.72","443","100.64.0.2","44372","1428","26586","610"
"11:36:50.115195","6.612401000","1.425807000","46","1480","54.192.150.72","443","100.64.0.2","44372","1428","28014","610"
"11:36:50.120269","6.617475000","1.430881000","47","1470","54.192.150.72","443","100.64.0.2","44372","1418","29442","610"
"11:36:50.250956","6.748162000","1.561568000","48","1480","54.192.150.72","443","100.64.0.2","44372","1428","30860","610"
"11:36:50.251055","6.748261000","1.561667000","49","1480","54.192.150.72","443","100.64.0.2","44372","1428","32288","610"
"11:36:50.252825","6.750031000","1.563437000","50","52","100.64.0.2","44372","54.192.150.72","443","0","610","5166"
"11:36:50.253442","6.750648000","1.564054000","51","1480","54.192.150.72","443","100.64.0.2","44372","1428","33716","610"
"11:36:50.253487","6.750693000","1.564099000","52","1480","54.192.150.72","443","100.64.0.2","44372","1428","35144","610"
"11:36:50.258908","6.756114000","1.569520000","53","1480","54.192.150.72","443","100.64.0.2","44372","1428","36572","610"
"11:36:50.258954","6.756160000","1.569566000","54","1480","54.192.150.72","443","100.64.0.2","44372","1428","38000","610"
"11:36:50.264146","6.761352000","1.574758000","55","1480","54.192.150.72","443","100.64.0.2","44372","1428","39428","610"
"11:36:50.264192","6.761398000","1.574804000","56","1480","54.192.150.72","443","100.64.0.2","44372","1428","40856","610"
"11:36:50.269305","6.766511000","1.579917000","57","1480","54.192.150.72","443","100.64.0.2","44372","1428","42284","610"
"11:36:50.269350","6.766556000","1.579962000","58","1480","54.192.150.72","443","100.64.0.2","44372","1428","43712","610"
"11:36:50.274715","6.771921000","1.585327000","59","1480","54.192.150.72","443","100.64.0.2","44372","1428","45140","610"
"11:36:50.274760","6.771966000","1.585372000","60","1480","54.192.150.72","443","100.64.0.2","44372","1428","46568","610"
"11:36:50.315230","6.812436000","1.625842000","61","52","100.64.0.2","44372","54.192.150.72","443","0","610","6594"
"11:36:50.317954","6.815160000","1.628566000","62","1480","54.192.150.72","443","100.64.0.2","44372","1428","47996","610"
"11:36:50.317995","6.815201000","1.628607000","63","1480","54.192.150.72","443","100.64.0.2","44372","1428","49424","610"
"11:36:50.377522","6.874728000","1.688134000","64","52","100.64.0.2","44372","54.192.150.72","443","0","610","8022"
"11:36:50.380087","6.877293000","1.690699000","65","1480","54.192.150.72","443","100.64.0.2","44372","1428","50852","610"
"11:36:50.380128","6.877334000","1.690740000","66","1480","54.192.150.72","443","100.64.0.2","44372","1428","52280","610"
"11:36:50.439301","6.936507000","1.749913000","67","52","100.64.0.2","44372","54.192.150.72","443","0","610","8022"
"11:36:50.441867","6.939073000","1.752479000","68","1480","54.192.150.72","443","100.64.0.2","44372","1428","53708","610"
"11:36:50.441913","6.939119000","1.752525000","69","1480","54.192.150.72","443","100.64.0.2","44372","1428","55136","610"
"11:36:50.502684","6.999890000","1.813296000","70","52","100.64.0.2","44372","54.192.150.72","443","0","610","8022"
"11:36:50.505260","7.002466000","1.815872000","71","1480","54.192.150.72","443","100.64.0.2","44372","1428","56564","610"
"11:36:50.564719","7.061925000","1.875331000","72","52","100.64.0.2","44372","54.192.150.72","443","0","610","8022"
"11:36:50.567302","7.064508000","1.877914000","73","1480","54.192.150.72","443","100.64.0.2","44372","1428","8022","610"
"11:36:50.627338","7.124544000","1.937950000","74","52","100.64.0.2","44372","54.192.150.72","443","0","610","8022"
