_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:16:03.458933","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:16:03.458958","0.000025000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:16:03.791213","0.332280000",,"3","76",,,,,,,
"11:16:03.791334","0.332401000",,"4","76",,,,,,,
"11:16:04.143323","0.684390000",,"5","76",,,,,,,
"11:16:04.175232","0.716299000",,"6","76",,,,,,,
"11:16:07.183226","3.724293000",,"7","48",,,,,,,
"11:16:07.183348","3.724415000",,"8","48",,,,,,,
"11:16:08.459225","5.000292000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"11:16:08.459253","5.000320000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"11:16:08.463766","5.004833000",,"11","74","8.8.8.8",,"100.64.0.2",,,,
"11:16:08.466669","5.007736000",,"12","132","8.8.8.8",,"100.64.0.2",,,,
"11:16:08.645579","5.186646000","0.000000000","13","60","100.64.0.2","53250","216.239.32.29","443","0","0","0"
"11:16:08.648935","5.190002000","0.003356000","14","60","216.239.32.29","443","100.64.0.2","53250","0","0","1"
"11:16:08.833512","5.374579000","0.187933000","15","52","100.64.0.2","53250","216.239.32.29","443","0","1","1"
"11:16:08.833537","5.374604000","0.187958000","16","444","100.64.0.2","53250","216.239.32.29","443","392","1","1"
"11:16:08.837336","5.378403000","0.191757000","17","52","216.239.32.29","443","100.64.0.2","53250","0","1","393"
"11:16:08.837960","5.379027000","0.192381000","18","1452","216.239.32.29","443","100.64.0.2","53250","1400","1","393"
"11:16:08.838002","5.379069000","0.192423000","19","1452","216.239.32.29","443","100.64.0.2","53250","1400","1401","393"
"11:16:08.838034","5.379101000","0.192455000","20","1452","216.239.32.29","443","100.64.0.2","53250","1400","2801","393"
"11:16:08.838043","5.379110000","0.192464000","21","160","216.239.32.29","443","100.64.0.2","53250","108","4201","393"
"11:16:09.084263","5.625330000","0.438684000","22","52","100.64.0.2","53250","216.239.32.29","443","0","393","1401"
"11:16:09.084288","5.625355000","0.438709000","23","52","100.64.0.2","53250","216.239.32.29","443","0","393","2801"
"11:16:09.145403","5.686470000","0.499824000","24","52","100.64.0.2","53250","216.239.32.29","443","0","393","4201"
"11:16:09.209068","5.750135000","0.563489000","25","52","100.64.0.2","53250","216.239.32.29","443","0","393","4309"
"11:16:09.209094","5.750161000","0.563515000","26","132","100.64.0.2","53250","216.239.32.29","443","80","393","4309"
"11:16:09.216936","5.758003000","0.571357000","27","52","216.239.32.29","443","100.64.0.2","53250","0","4309","473"
"11:16:09.395778","5.936845000","0.750199000","28","269","100.64.0.2","53250","216.239.32.29","443","217","473","4309"
"11:16:09.398373","5.939440000","0.752794000","29","52","216.239.32.29","443","100.64.0.2","53250","0","4309","690"
"11:16:09.401733","5.942800000","0.756154000","30","1452","216.239.32.29","443","100.64.0.2","53250","1400","4309","690"
"11:16:09.401778","5.942845000","0.756199000","31","624","216.239.32.29","443","100.64.0.2","53250","572","5709","690"
"11:16:09.401813","5.942880000","0.756234000","32","1452","216.239.32.29","443","100.64.0.2","53250","1400","6281","690"
"11:16:09.401825","5.942892000","0.756246000","33","1452","216.239.32.29","443","100.64.0.2","53250","1400","7681","690"
"11:16:09.401854","5.942921000","0.756275000","34","1452","216.239.32.29","443","100.64.0.2","53250","1400","9081","690"
"11:16:09.401864","5.942931000","0.756285000","35","1452","216.239.32.29","443","100.64.0.2","53250","1400","10481","690"
"11:16:09.401889","5.942956000","0.756310000","36","1452","216.239.32.29","443","100.64.0.2","53250","1400","11881","690"
"11:16:09.414853","5.955920000","0.769274000","37","1452","216.239.32.29","443","100.64.0.2","53250","1400","13281","690"
"11:16:09.414893","5.955960000","0.769314000","38","1452","216.239.32.29","443","100.64.0.2","53250","1400","14681","690"
