_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:30:06.099130","0.000000000",,"1","76",,,,,,,
"11:30:06.099219","0.000089000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:30:06.099238","0.000108000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"11:30:06.319057","0.219927000",,"4","76",,,,,,,
"11:30:06.383164","0.284034000",,"5","76",,,,,,,
"11:30:06.799325","0.700195000",,"6","76",,,,,,,
"11:30:09.681080","3.581950000",,"7","48",,,,,,,
"11:30:09.935205","3.836075000",,"8","48",,,,,,,
"11:30:11.098513","4.999383000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"11:30:11.098541","4.999411000",,"10","61","100.64.0.2",,"8.8.8.8",,,,
"11:30:11.119313","5.020183000",,"11","283","8.8.8.8",,"100.64.0.2",,,,
"11:30:11.178906","5.079776000",,"12","287","8.8.8.8",,"100.64.0.2",,,,
"11:30:11.348550","5.249420000","0.000000000","13","60","100.64.0.2","54824","23.64.122.33","443","0","0","0"
"11:30:11.351338","5.252208000","0.002788000","14","60","23.64.122.33","443","100.64.0.2","54824","0","0","1"
"11:30:11.536152","5.437022000","0.187602000","15","52","100.64.0.2","54824","23.64.122.33","443","0","1","1"
"11:30:11.536181","5.437051000","0.187631000","16","447","100.64.0.2","54824","23.64.122.33","443","395","1","1"
"11:30:11.539270","5.440140000","0.190720000","17","52","23.64.122.33","443","100.64.0.2","54824","0","1","396"
"11:30:11.540302","5.441172000","0.191752000","18","1500","23.64.122.33","443","100.64.0.2","54824","1448","1","396"
"11:30:11.540347","5.441217000","0.191797000","19","1500","23.64.122.33","443","100.64.0.2","54824","1448","1449","396"
"11:30:11.540379","5.441249000","0.191829000","20","293","23.64.122.33","443","100.64.0.2","54824","241","2897","396"
"11:30:11.786202","5.687072000","0.437652000","21","52","100.64.0.2","54824","23.64.122.33","443","0","396","1449"
"11:30:11.848913","5.749783000","0.500363000","22","52","100.64.0.2","54824","23.64.122.33","443","0","396","2897"
"11:30:11.848939","5.749809000","0.500389000","23","52","100.64.0.2","54824","23.64.122.33","443","0","396","3138"
"11:30:11.848949","5.749819000","0.500399000","24","116","100.64.0.2","54824","23.64.122.33","443","64","396","3138"
"11:30:11.851062","5.751932000","0.502512000","25","52","23.64.122.33","443","100.64.0.2","54824","0","3138","460"
"11:30:11.851106","5.751976000","0.502556000","26","307","23.64.122.33","443","100.64.0.2","54824","255","3138","460"
"11:30:11.851138","5.752008000","0.502588000","27","307","23.64.122.33","443","100.64.0.2","54824","255","3393","460"
"11:30:12.035958","5.936828000","0.687408000","28","202","100.64.0.2","54824","23.64.122.33","443","150","460","3138"
"11:30:12.035986","5.936856000","0.687436000","29","52","100.64.0.2","54824","23.64.122.33","443","0","610","3393"
"11:30:12.035995","5.936865000","0.687445000","30","52","100.64.0.2","54824","23.64.122.33","443","0","610","3648"
"11:30:12.037969","5.938839000","0.689419000","31","52","23.64.122.33","443","100.64.0.2","54824","0","3648","610"
"11:30:12.043955","5.944825000","0.695405000","32","1500","23.64.122.33","443","100.64.0.2","54824","1448","3648","610"
"11:30:12.044001","5.944871000","0.695451000","33","1500","23.64.122.33","443","100.64.0.2","54824","1448","5096","610"
"11:30:12.044035","5.944905000","0.695485000","34","1500","23.64.122.33","443","100.64.0.2","54824","1448","6544","610"
"11:30:12.044046","5.944916000","0.695496000","35","1500","23.64.122.33","443","100.64.0.2","54824","1448","7992","610"
"11:30:12.044074","5.944944000","0.695524000","36","1500","23.64.122.33","443","100.64.0.2","54824","1448","9440","610"
"11:30:12.044084","5.944954000","0.695534000","37","1500","23.64.122.33","443","100.64.0.2","54824","1448","10888","610"
"11:30:12.044113","5.944983000","0.695563000","38","1500","23.64.122.33","443","100.64.0.2","54824","1448","12336","610"
"11:30:12.044125","5.944995000","0.695575000","39","1500","23.64.122.33","443","100.64.0.2","54824","1448","13784","610"
"11:30:12.044150","5.945020000","0.695600000","40","1500","23.64.122.33","443","100.64.0.2","54824","1448","15232","610"
"11:30:12.044753","5.945623000","0.696203000","41","1500","23.64.122.33","443","100.64.0.2","54824","1448","16680","610"
"11:30:12.044798","5.945668000","0.696248000","42","1500","23.64.122.33","443","100.64.0.2","54824","1448","18128","610"
"11:30:12.044829","5.945699000","0.696279000","43","1500","23.64.122.33","443","100.64.0.2","54824","1448","19576","610"
"11:30:12.053326","5.954196000","0.704776000","44","1500","23.64.122.33","443","100.64.0.2","54824","1448","21024","610"
"11:30:12.053371","5.954241000","0.704821000","45","1500","23.64.122.33","443","100.64.0.2","54824","1448","22472","610"
"11:30:12.062689","5.963559000","0.714139000","46","1500","23.64.122.33","443","100.64.0.2","54824","1448","23920","610"
"11:30:12.062735","5.963605000","0.714185000","47","1500","23.64.122.33","443","100.64.0.2","54824","1448","25368","610"
"11:30:12.285935","6.186805000","0.937385000","48","52","100.64.0.2","54824","23.64.122.33","443","0","610","5096"
"11:30:12.287979","6.188849000","0.939429000","49","1500","23.64.122.33","443","100.64.0.2","54824","1448","26816","610"
"11:30:12.288025","6.188895000","0.939475000","50","1500","23.64.122.33","443","100.64.0.2","54824","1448","28264","610"
"11:30:12.349154","6.250024000","1.000604000","51","52","100.64.0.2","54824","23.64.122.33","443","0","610","6544"
"11:30:12.351760","6.252630000","1.003210000","52","1500","23.64.122.33","443","100.64.0.2","54824","1448","29712","610"
"11:30:12.351805","6.252675000","1.003255000","53","1500","23.64.122.33","443","100.64.0.2","54824","1448","31160","610"
"11:30:12.410429","6.311299000","1.061879000","54","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.412590","6.313460000","1.064040000","55","1500","23.64.122.33","443","100.64.0.2","54824","1448","32608","610"
"11:30:12.412635","6.313505000","1.064085000","56","1500","23.64.122.33","443","100.64.0.2","54824","1448","34056","610"
"11:30:12.473623","6.374493000","1.125073000","57","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.475791","6.376661000","1.127241000","58","1500","23.64.122.33","443","100.64.0.2","54824","1448","35504","610"
"11:30:12.475837","6.376707000","1.127287000","59","1500","23.64.122.33","443","100.64.0.2","54824","1448","36952","610"
"11:30:12.535547","6.436417000","1.186997000","60","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.537562","6.438432000","1.189012000","61","1500","23.64.122.33","443","100.64.0.2","54824","1448","38400","610"
"11:30:12.537608","6.438478000","1.189058000","62","1500","23.64.122.33","443","100.64.0.2","54824","1448","39848","610"
"11:30:12.599104","6.499974000","1.250554000","63","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.601270","6.502140000","1.252720000","64","1500","23.64.122.33","443","100.64.0.2","54824","1448","7992","610"
"11:30:12.660566","6.561436000","1.312016000","65","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.662542","6.563412000","1.313992000","66","1500","23.64.122.33","443","100.64.0.2","54824","1448","41296","610"
"11:30:12.724187","6.625057000","1.375637000","67","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.726403","6.627273000","1.377853000","68","1500","23.64.122.33","443","100.64.0.2","54824","1448","42744","610"
"11:30:12.785915","6.686785000","1.437365000","69","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.788092","6.688962000","1.439542000","70","1500","23.64.122.33","443","100.64.0.2","54824","1448","44192","610"
"11:30:12.848432","6.749302000","1.499882000","71","52","100.64.0.2","54824","23.64.122.33","443","0","610","7992"
"11:30:12.850548","6.751418000","1.501998000","72","1500","23.64.122.33","443","100.64.0.2","54824","1448","45640","610"
"11:30:12.911117","6.811987000","1.562567000","73","52","100.64.0.2","54824","23.64.122.33","443","0","610","9440"
"11:30:12.913236","6.814106000","1.564686000","74","1500","23.64.122.33","443","100.64.0.2","54824","1448","9440","610"
"11:30:12.973685","6.874555000","1.625135000","75","52","100.64.0.2","54824","23.64.122.33","443","0","610","9440"
"11:30:12.975749","6.876619000","1.627199000","76","1500","23.64.122.33","443","100.64.0.2","54824","1448","47088","610"
"11:30:13.036258","6.937128000","1.687708000","77","52","100.64.0.2","54824","23.64.122.33","443","0","610","9440"
"11:30:13.038342","6.939212000","1.689792000","78","1500","23.64.122.33","443","100.64.0.2","54824","1448","48536","610"
"11:30:13.098871","6.999741000","1.750321000","79","52","100.64.0.2","54824","23.64.122.33","443","0","610","9440"
"11:30:13.100890","7.001760000","1.752340000","80","1500","23.64.122.33","443","100.64.0.2","54824","1448","49984","610"
"11:30:13.160455","7.061325000","1.811905000","81","52","100.64.0.2","54824","23.64.122.33","443","0","610","9440"
"11:30:13.162522","7.063392000","1.813972000","82","1500","23.64.122.33","443","100.64.0.2","54824","1448","51432","610"
"11:30:13.224038","7.124908000","1.875488000","83","52","100.64.0.2","54824","23.64.122.33","443","0","610","10888"
"11:30:13.226067","7.126937000","1.877517000","84","1500","23.64.122.33","443","100.64.0.2","54824","1448","10888","610"
"11:30:13.285582","7.186452000","1.937032000","85","52","100.64.0.2","54824","23.64.122.33","443","0","610","10888"
"11:30:13.287730","7.188600000","1.939180000","86","1500","23.64.122.33","443","100.64.0.2","54824","1448","52880","610"
"11:30:13.348414","7.249284000","1.999864000","87","52","100.64.0.2","54824","23.64.122.33","443","0","610","10888"
"11:30:13.350474","7.251344000","2.001924000","88","1500","23.64.122.33","443","100.64.0.2","54824","1448","54328","610"
"11:30:13.410871","7.311741000","2.062321000","89","52","100.64.0.2","54824","23.64.122.33","443","0","610","10888"
"11:30:13.413140","7.314010000","2.064590000","90","1500","23.64.122.33","443","100.64.0.2","54824","1448","55776","610"
"11:30:13.473494","7.374364000","2.124944000","91","52","100.64.0.2","54824","23.64.122.33","443","0","610","10888"
