_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:26:55.275261","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:26:55.275293","0.000032000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:26:55.599240","0.323979000",,"3","76",,,,,,,
"11:26:55.599260","0.323999000",,"4","76",,,,,,,
"11:26:55.823360","0.548099000",,"5","76",,,,,,,
"11:26:55.855145","0.579884000",,"6","76",,,,,,,
"11:26:58.959217","3.683956000",,"7","48",,,,,,,
"11:26:58.959358","3.684097000",,"8","48",,,,,,,
"11:27:00.275688","5.000427000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"11:27:00.275721","5.000460000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"11:27:00.280630","5.005369000",,"11","193","8.8.8.8",,"100.64.0.2",,,,
"11:27:00.297943","5.022682000",,"12","167","8.8.8.8",,"100.64.0.2",,,,
"11:27:00.462394","5.187133000","0.000000000","13","60","100.64.0.2","55510","125.56.199.50","443","0","0","0"
"11:27:00.465435","5.190174000","0.003041000","14","60","125.56.199.50","443","100.64.0.2","55510","0","0","1"
"11:27:00.651078","5.375817000","0.188684000","15","52","100.64.0.2","55510","125.56.199.50","443","0","1","1"
"11:27:00.651112","5.375851000","0.188718000","16","444","100.64.0.2","55510","125.56.199.50","443","392","1","1"
"11:27:00.654756","5.379495000","0.192362000","17","52","125.56.199.50","443","100.64.0.2","55510","0","1","393"
"11:27:00.655568","5.380307000","0.193174000","18","1500","125.56.199.50","443","100.64.0.2","55510","1448","1","393"
"11:27:00.655608","5.380347000","0.193214000","19","1500","125.56.199.50","443","100.64.0.2","55510","1448","1449","393"
"11:27:00.655636","5.380375000","0.193242000","20","1252","125.56.199.50","443","100.64.0.2","55510","1200","2897","393"
"11:27:00.656314","5.381053000","0.193920000","21","1249","125.56.199.50","443","100.64.0.2","55510","1197","4097","393"
"11:27:00.901138","5.625877000","0.438744000","22","52","100.64.0.2","55510","125.56.199.50","443","0","393","1449"
"11:27:00.962578","5.687317000","0.500184000","23","52","100.64.0.2","55510","125.56.199.50","443","0","393","2897"
"11:27:00.962609","5.687348000","0.500215000","24","52","100.64.0.2","55510","125.56.199.50","443","0","393","4097"
"11:27:01.598642","6.323381000","1.136248000","25","1249","125.56.199.50","443","100.64.0.2","55510","1197","4097","393"
"11:27:01.775515","6.500254000","1.313121000","26","52","100.64.0.2","55510","125.56.199.50","443","0","393","5294"
"11:27:01.775547","6.500286000","1.313153000","27","132","100.64.0.2","55510","125.56.199.50","443","80","393","5294"
"11:27:01.777980","6.502719000","1.315586000","28","52","125.56.199.50","443","100.64.0.2","55510","0","5294","473"
"11:27:01.778025","6.502764000","1.315631000","29","323","125.56.199.50","443","100.64.0.2","55510","271","5294","473"
"11:27:01.778054","6.502793000","1.315660000","30","323","125.56.199.50","443","100.64.0.2","55510","271","5565","473"
"11:27:01.963179","6.687918000","1.500785000","31","250","100.64.0.2","55510","125.56.199.50","443","198","473","5294"
"11:27:01.963211","6.687950000","1.500817000","32","52","100.64.0.2","55510","125.56.199.50","443","0","671","5565"
"11:27:01.963225","6.687964000","1.500831000","33","52","100.64.0.2","55510","125.56.199.50","443","0","671","5836"
"11:27:01.965577","6.690316000","1.503183000","34","52","125.56.199.50","443","100.64.0.2","55510","0","5836","671"
"11:27:02.917943","7.642682000","2.455549000","35","1500","125.56.199.50","443","100.64.0.2","55510","1448","5836","671"
"11:27:02.917956","7.642695000","2.455562000","36","1500","125.56.199.50","443","100.64.0.2","55510","1448","7284","671"
"11:27:02.917965","7.642704000","2.455571000","37","1500","125.56.199.50","443","100.64.0.2","55510","1448","8732","671"
"11:27:02.917968","7.642707000","2.455574000","38","1500","125.56.199.50","443","100.64.0.2","55510","1448","10180","671"
"11:27:02.917974","7.642713000","2.455580000","39","1500","125.56.199.50","443","100.64.0.2","55510","1448","11628","671"
"11:27:02.917977","7.642716000","2.455583000","40","1500","125.56.199.50","443","100.64.0.2","55510","1448","13076","671"
"11:27:02.917983","7.642722000","2.455589000","41","1500","125.56.199.50","443","100.64.0.2","55510","1448","14524","671"
"11:27:02.917985","7.642724000","2.455591000","42","1500","125.56.199.50","443","100.64.0.2","55510","1448","15972","671"
"11:27:02.917990","7.642729000","2.455596000","43","1500","125.56.199.50","443","100.64.0.2","55510","1448","17420","671"
"11:27:02.918708","7.643447000","2.456314000","44","1500","125.56.199.50","443","100.64.0.2","55510","1448","18868","671"
"11:27:02.927073","7.651812000","2.464679000","45","1500","125.56.199.50","443","100.64.0.2","55510","1448","20316","671"
"11:27:02.927086","7.651825000","2.464692000","46","530","125.56.199.50","443","100.64.0.2","55510","478","21764","671"
"11:27:02.933208","7.657947000","2.470814000","47","1500","125.56.199.50","443","100.64.0.2","55510","1448","22242","671"
"11:27:02.933221","7.657960000","2.470827000","48","1500","125.56.199.50","443","100.64.0.2","55510","1448","23690","671"
"11:27:02.942660","7.667399000","2.480266000","49","1500","125.56.199.50","443","100.64.0.2","55510","1448","25138","671"
