_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:34:05.011333","0.000000000",,"1","76",,,,,,,
"11:34:05.057745","0.046412000",,"2","65","100.64.0.2",,"1.1.1.1",,,,
"11:34:05.057783","0.046450000",,"3","65","100.64.0.2",,"1.1.1.1",,,,
"11:34:05.263216","0.251883000",,"4","76",,,,,,,
"11:34:05.487240","0.475907000",,"5","76",,,,,,,
"11:34:05.519340","0.508007000",,"6","76",,,,,,,
"11:34:08.783227","3.771894000",,"7","48",,,,,,,
"11:34:08.783358","3.772025000",,"8","48",,,,,,,
"11:34:10.057461","5.046128000",,"9","65","100.64.0.2",,"8.8.8.8",,,,
"11:34:10.057489","5.046156000",,"10","65","100.64.0.2",,"8.8.8.8",,,,
"11:34:10.064328","5.052995000",,"11","114","8.8.8.8",,"100.64.0.2",,,,
"11:34:10.064893","5.053560000",,"12","126","8.8.8.8",,"100.64.0.2",,,,
"11:34:10.244918","5.233585000","0.000000000","13","60","100.64.0.2","58366","157.240.211.1","443","0","0","0"
"11:34:10.278387","5.267054000","0.033469000","14","60","157.240.211.1","443","100.64.0.2","58366","0","0","1"
"11:34:10.432878","5.421545000","0.187960000","15","52","100.64.0.2","58366","157.240.211.1","443","0","1","1"
"11:34:10.432906","5.421573000","0.187988000","16","451","100.64.0.2","58366","157.240.211.1","443","399","1","1"
"11:34:10.466925","5.455592000","0.222007000","17","52","157.240.211.1","443","100.64.0.2","58366","0","1","400"
"11:34:10.468377","5.457044000","0.223459000","18","1432","157.240.211.1","443","100.64.0.2","58366","1380","1","400"
"11:34:10.468417","5.457084000","0.223499000","19","1432","157.240.211.1","443","100.64.0.2","58366","1380","1381","400"
"11:34:10.468446","5.457113000","0.223528000","20","477","157.240.211.1","443","100.64.0.2","58366","425","2761","400"
"11:34:10.620063","5.608730000","0.375145000","21","52","100.64.0.2","58366","157.240.211.1","443","0","400","1381"
"11:34:10.682532","5.671199000","0.437614000","22","52","100.64.0.2","58366","157.240.211.1","443","0","400","2761"
"11:34:10.744739","5.733406000","0.499821000","23","52","100.64.0.2","58366","157.240.211.1","443","0","400","3186"
"11:34:10.744765","5.733432000","0.499847000","24","116","100.64.0.2","58366","157.240.211.1","443","64","400","3186"
"11:34:10.778344","5.767011000","0.533426000","25","222","157.240.211.1","443","100.64.0.2","58366","170","3186","464"
"11:34:10.932977","5.921644000","0.688059000","26","214","100.64.0.2","58366","157.240.211.1","443","162","464","3356"
"11:34:11.005966","5.994633000","0.761048000","27","52","157.240.211.1","443","100.64.0.2","58366","0","3356","626"
"11:34:11.175990","6.164657000","0.931072000","28","552","157.240.211.1","443","100.64.0.2","58366","500","3356","626"
"11:34:11.308218","6.296885000","1.063300000","29","52","100.64.0.2","58366","157.240.211.1","443","0","626","3856"
"11:34:11.308246","6.296913000","1.063328000","30","209","100.64.0.2","58366","157.240.211.1","443","157","626","3856"
"11:34:11.341135","6.329802000","1.096217000","31","52","157.240.211.1","443","100.64.0.2","58366","0","3856","783"
"11:34:11.797107","6.785774000","1.552189000","32","1432","157.240.211.1","443","100.64.0.2","58366","1380","3856","783"
"11:34:11.797151","6.785818000","1.552233000","33","1432","157.240.211.1","443","100.64.0.2","58366","1380","5236","783"
"11:34:11.797188","6.785855000","1.552270000","34","1432","157.240.211.1","443","100.64.0.2","58366","1380","6616","783"
"11:34:11.797198","6.785865000","1.552280000","35","1432","157.240.211.1","443","100.64.0.2","58366","1380","7996","783"
"11:34:11.797228","6.785895000","1.552310000","36","1432","157.240.211.1","443","100.64.0.2","58366","1380","9376","783"
"11:34:11.797238","6.785905000","1.552320000","37","1432","157.240.211.1","443","100.64.0.2","58366","1380","10756","783"
"11:34:11.817115","6.805782000","1.572197000","38","1432","157.240.211.1","443","100.64.0.2","58366","1380","12136","783"
"11:34:11.817156","6.805823000","1.572238000","39","193","157.240.211.1","443","100.64.0.2","58366","141","13516","783"
"11:34:11.828151","6.816818000","1.583233000","40","1432","157.240.211.1","443","100.64.0.2","58366","1380","13657","783"
"11:34:11.828192","6.816859000","1.583274000","41","1432","157.240.211.1","443","100.64.0.2","58366","1380","15037","783"
"11:34:11.995229","6.983896000","1.750311000","42","52","100.64.0.2","58366","157.240.211.1","443","0","783","5236"
"11:34:11.995253","6.983920000","1.750335000","43","52","100.64.0.2","58366","157.240.211.1","443","0","783","6616"
"11:34:12.028230","7.016897000","1.783312000","44","1432","157.240.211.1","443","100.64.0.2","58366","1380","16417","783"
"11:34:12.028271","7.016938000","1.783353000","45","1432","157.240.211.1","443","100.64.0.2","58366","1380","17797","783"
"11:34:12.037638","7.026305000","1.792720000","46","1432","157.240.211.1","443","100.64.0.2","58366","1380","19177","783"
"11:34:12.037678","7.026345000","1.792760000","47","1432","157.240.211.1","443","100.64.0.2","58366","1380","20557","783"
"11:34:12.058141","7.046808000","1.813223000","48","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.091031","7.079698000","1.846113000","49","1432","157.240.211.1","443","100.64.0.2","58366","1380","21937","783"
"11:34:12.091076","7.079743000","1.846158000","50","1432","157.240.211.1","443","100.64.0.2","58366","1380","23317","783"
"11:34:12.119902","7.108569000","1.874984000","51","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.119926","7.108593000","1.875008000","52","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.152804","7.141471000","1.907886000","53","1432","157.240.211.1","443","100.64.0.2","58366","1380","24697","783"
"11:34:12.182522","7.171189000","1.937604000","54","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.215308","7.203975000","1.970390000","55","1432","157.240.211.1","443","100.64.0.2","58366","1380","7996","783"
"11:34:12.244466","7.233133000","1.999548000","56","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.277063","7.265730000","2.032145000","57","1432","157.240.211.1","443","100.64.0.2","58366","1380","26077","783"
"11:34:12.308060","7.296727000","2.063142000","58","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.340909","7.329576000","2.095991000","59","1432","157.240.211.1","443","100.64.0.2","58366","1380","27457","783"
"11:34:12.369360","7.358027000","2.124442000","60","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.432299","7.420966000","2.187381000","61","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.494267","7.482934000","2.249349000","62","52","100.64.0.2","58366","157.240.211.1","443","0","783","7996"
"11:34:12.527294","7.515961000","2.282376000","63","1432","157.240.211.1","443","100.64.0.2","58366","1380","28837","783"
"11:34:12.557570","7.546237000","2.312652000","64","52","100.64.0.2","58366","157.240.211.1","443","0","783","9376"
"11:34:12.590487","7.579154000","2.345569000","65","1432","157.240.211.1","443","100.64.0.2","58366","1380","9376","783"
