_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:30:28.603350","0.000000000",,"1","76",,,,,,,
"11:30:28.604209","0.000859000",,"2","63","100.64.0.2",,"1.1.1.1",,,,
"11:30:28.604234","0.000884000",,"3","63","100.64.0.2",,"1.1.1.1",,,,
"11:30:29.199340","0.595990000",,"4","76",,,,,,,
"11:30:32.207218","3.603868000",,"5","48",,,,,,,
"11:30:32.463319","3.859969000",,"6","48",,,,,,,
"11:30:33.603575","5.000225000",,"7","63","100.64.0.2",,"8.8.8.8",,,,
"11:30:33.603602","5.000252000",,"8","63","100.64.0.2",,"8.8.8.8",,,,
"11:30:33.679466","5.076116000",,"9","203","8.8.8.8",,"100.64.0.2",,,,
"11:30:33.922773","5.319423000",,"10","179","8.8.8.8",,"100.64.0.2",,,,
"11:30:34.103751","5.500401000","0.000000000","11","60","100.64.0.2","36008","125.56.199.64","443","0","0","0"
"11:30:34.106809","5.503459000","0.003058000","12","60","125.56.199.64","443","100.64.0.2","36008","0","0","1"
"11:30:34.291210","5.687860000","0.187459000","13","52","100.64.0.2","36008","125.56.199.64","443","0","1","1"
"11:30:34.291237","5.687887000","0.187486000","14","449","100.64.0.2","36008","125.56.199.64","443","397","1","1"
"11:30:34.294403","5.691053000","0.190652000","15","52","125.56.199.64","443","100.64.0.2","36008","0","1","398"
"11:30:34.295639","5.692289000","0.191888000","16","1500","125.56.199.64","443","100.64.0.2","36008","1448","1","398"
"11:30:34.295669","5.692319000","0.191918000","17","1500","125.56.199.64","443","100.64.0.2","36008","1448","1449","398"
"11:30:34.295703","5.692353000","0.191952000","18","1252","125.56.199.64","443","100.64.0.2","36008","1200","2897","398"
"11:30:34.295714","5.692364000","0.191963000","19","488","125.56.199.64","443","100.64.0.2","36008","436","4097","398"
"11:30:34.540397","5.937047000","0.436646000","20","52","100.64.0.2","36008","125.56.199.64","443","0","398","1449"
"11:30:34.604071","6.000721000","0.500320000","21","52","100.64.0.2","36008","125.56.199.64","443","0","398","2897"
"11:30:34.604094","6.000744000","0.500343000","22","52","100.64.0.2","36008","125.56.199.64","443","0","398","4097"
"11:30:34.665531","6.062181000","0.561780000","23","52","100.64.0.2","36008","125.56.199.64","443","0","398","4533"
"11:30:34.665558","6.062208000","0.561807000","24","132","100.64.0.2","36008","125.56.199.64","443","80","398","4533"
"11:30:34.667945","6.064595000","0.564194000","25","52","125.56.199.64","443","100.64.0.2","36008","0","4533","478"
"11:30:34.668600","6.065250000","0.564849000","26","323","125.56.199.64","443","100.64.0.2","36008","271","4533","478"
"11:30:34.668630","6.065280000","0.564879000","27","323","125.56.199.64","443","100.64.0.2","36008","271","4804","478"
"11:30:34.853239","6.249889000","0.749488000","28","202","100.64.0.2","36008","125.56.199.64","443","150","478","4533"
"11:30:34.853275","6.249925000","0.749524000","29","52","100.64.0.2","36008","125.56.199.64","443","0","628","4804"
"11:30:34.853290","6.249940000","0.749539000","30","52","100.64.0.2","36008","125.56.199.64","443","0","628","5075"
"11:30:34.855345","6.251995000","0.751594000","31","52","125.56.199.64","443","100.64.0.2","36008","0","5075","628"
"11:30:34.877626","6.274276000","0.773875000","32","1500","125.56.199.64","443","100.64.0.2","36008","1448","5075","628"
"11:30:34.877660","6.274310000","0.773909000","33","1500","125.56.199.64","443","100.64.0.2","36008","1448","6523","628"
"11:30:34.877694","6.274344000","0.773943000","34","1500","125.56.199.64","443","100.64.0.2","36008","1448","7971","628"
"11:30:34.877706","6.274356000","0.773955000","35","1500","125.56.199.64","443","100.64.0.2","36008","1448","9419","628"
"11:30:34.877735","6.274385000","0.773984000","36","1500","125.56.199.64","443","100.64.0.2","36008","1448","10867","628"
"11:30:34.877746","6.274396000","0.773995000","37","1500","125.56.199.64","443","100.64.0.2","36008","1448","12315","628"
"11:30:34.877774","6.274424000","0.774023000","38","1500","125.56.199.64","443","100.64.0.2","36008","1448","13763","628"
"11:30:34.877783","6.274433000","0.774032000","39","1500","125.56.199.64","443","100.64.0.2","36008","1448","15211","628"
"11:30:34.877808","6.274458000","0.774057000","40","1500","125.56.199.64","443","100.64.0.2","36008","1448","16659","628"
"11:30:34.878397","6.275047000","0.774646000","41","1500","125.56.199.64","443","100.64.0.2","36008","1448","18107","628"
"11:30:34.887526","6.284176000","0.783775000","42","1500","125.56.199.64","443","100.64.0.2","36008","1448","19555","628"
"11:30:34.887559","6.284209000","0.783808000","43","530","125.56.199.64","443","100.64.0.2","36008","478","21003","628"
"11:30:34.894415","6.291065000","0.790664000","44","1500","125.56.199.64","443","100.64.0.2","36008","1448","21481","628"
"11:30:34.894447","6.291097000","0.790696000","45","1500","125.56.199.64","443","100.64.0.2","36008","1448","22929","628"
"11:30:34.904131","6.300781000","0.800380000","46","1500","125.56.199.64","443","100.64.0.2","36008","1448","24377","628"
"11:30:34.904163","6.300813000","0.800412000","47","1500","125.56.199.64","443","100.64.0.2","36008","1448","25825","628"
"11:30:35.104239","6.500889000","1.000488000","48","52","100.64.0.2","36008","125.56.199.64","443","0","628","6523"
"11:30:35.106663","6.503313000","1.002912000","49","1500","125.56.199.64","443","100.64.0.2","36008","1448","27273","628"
"11:30:35.106695","6.503345000","1.002944000","50","1500","125.56.199.64","443","100.64.0.2","36008","1448","28721","628"
"11:30:35.165678","6.562328000","1.061927000","51","52","100.64.0.2","36008","125.56.199.64","443","0","628","7971"
"11:30:35.168077","6.564727000","1.064326000","52","1500","125.56.199.64","443","100.64.0.2","36008","1448","30169","628"
"11:30:35.168110","6.564760000","1.064359000","53","1500","125.56.199.64","443","100.64.0.2","36008","1448","31617","628"
"11:30:35.228803","6.625453000","1.125052000","54","52","100.64.0.2","36008","125.56.199.64","443","0","628","9419"
"11:30:35.231144","6.627794000","1.127393000","55","1500","125.56.199.64","443","100.64.0.2","36008","1448","33065","628"
"11:30:35.231178","6.627828000","1.127427000","56","1500","125.56.199.64","443","100.64.0.2","36008","1448","34513","628"
