_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:27:44.187240","0.000000000",,"1","76",,,,,,,
"11:27:44.211027","0.023787000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:27:44.211065","0.023825000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"11:27:44.431357","0.244117000",,"4","76",,,,,,,
"11:27:44.687368","0.500128000",,"5","76",,,,,,,
"11:27:47.855150","3.667910000",,"6","48",,,,,,,
"11:27:48.111218","3.923978000",,"7","48",,,,,,,
"11:27:49.210553","5.023313000",,"8","61","100.64.0.2",,"8.8.8.8",,,,
"11:27:49.210586","5.023346000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"11:27:49.217952","5.030712000",,"10","178","8.8.8.8",,"100.64.0.2",,,,
"11:27:49.218527","5.031287000",,"11","194","8.8.8.8",,"100.64.0.2",,,,
"11:27:49.397992","5.210752000","0.000000000","12","60","100.64.0.2","35678","142.251.175.100","443","0","0","0"
"11:27:49.401829","5.214589000","0.003837000","13","60","142.251.175.100","443","100.64.0.2","35678","0","0","1"
"11:27:49.585518","5.398278000","0.187526000","14","52","100.64.0.2","35678","142.251.175.100","443","0","1","1"
"11:27:49.585545","5.398305000","0.187553000","15","447","100.64.0.2","35678","142.251.175.100","443","395","1","1"
"11:27:49.589965","5.402725000","0.191973000","16","52","142.251.175.100","443","100.64.0.2","35678","0","1","396"
"11:27:49.590596","5.403356000","0.192604000","17","1452","142.251.175.100","443","100.64.0.2","35678","1400","2801","396"
"11:27:49.590636","5.403396000","0.192644000","18","1452","142.251.175.100","443","100.64.0.2","35678","1400","1401","396"
"11:27:49.591307","5.404067000","0.193315000","19","1452","142.251.175.100","443","100.64.0.2","35678","1400","1","396"
"11:27:49.591348","5.404108000","0.193356000","20","1452","142.251.175.100","443","100.64.0.2","35678","1400","4201","396"
"11:27:49.591375","5.404135000","0.193383000","21","1228","142.251.175.100","443","100.64.0.2","35678","1176","5601","396"
"11:27:49.836192","5.648952000","0.438200000","22","52","100.64.0.2","35678","142.251.175.100","443","0","396","1"
"11:27:49.836218","5.648978000","0.438226000","23","52","100.64.0.2","35678","142.251.175.100","443","0","396","1"
"11:27:49.897723","5.710483000","0.499731000","24","52","100.64.0.2","35678","142.251.175.100","443","0","396","4201"
"11:27:50.515505","6.328265000","1.117513000","25","1452","142.251.175.100","443","100.64.0.2","35678","1400","4201","396"
"11:27:50.648270","6.461030000","1.250278000","26","52","100.64.0.2","35678","142.251.175.100","443","0","396","5601"
"11:27:50.651283","6.464043000","1.253291000","27","1228","142.251.175.100","443","100.64.0.2","35678","1176","5601","396"
"11:27:50.835594","6.648354000","1.437602000","28","52","100.64.0.2","35678","142.251.175.100","443","0","396","6777"
"11:27:50.835621","6.648381000","1.437629000","29","132","100.64.0.2","35678","142.251.175.100","443","80","396","6777"
"11:27:50.843422","6.656182000","1.445430000","30","52","142.251.175.100","443","100.64.0.2","35678","0","6777","476"
"11:27:51.023129","6.835889000","1.625137000","31","205","100.64.0.2","35678","142.251.175.100","443","153","476","6777"
"11:27:51.026230","6.838990000","1.628238000","32","52","142.251.175.100","443","100.64.0.2","35678","0","6777","629"
"11:27:51.032072","6.844832000","1.634080000","33","1452","142.251.175.100","443","100.64.0.2","35678","1400","6777","629"
"11:27:51.032118","6.844878000","1.634126000","34","624","142.251.175.100","443","100.64.0.2","35678","572","8177","629"
"11:27:51.032148","6.844908000","1.634156000","35","1452","142.251.175.100","443","100.64.0.2","35678","1400","8749","629"
"11:27:51.037962","6.850722000","1.639970000","36","1452","142.251.175.100","443","100.64.0.2","35678","1400","10149","629"
"11:27:51.038011","6.850771000","1.640019000","37","1452","142.251.175.100","443","100.64.0.2","35678","1400","11549","629"
"11:27:51.273041","7.085801000","1.875049000","38","52","100.64.0.2","35678","142.251.175.100","443","0","629","8177"
"11:27:51.273064","7.085824000","1.875072000","39","52","100.64.0.2","35678","142.251.175.100","443","0","629","8749"
"11:27:51.276232","7.088992000","1.878240000","40","1452","142.251.175.100","443","100.64.0.2","35678","1400","12949","629"
"11:27:51.276273","7.089033000","1.878281000","41","1452","142.251.175.100","443","100.64.0.2","35678","1400","14349","629"
"11:27:51.282933","7.095693000","1.884941000","42","1452","142.251.175.100","443","100.64.0.2","35678","1400","15749","629"
"11:27:51.282998","7.095758000","1.885006000","43","1452","142.251.175.100","443","100.64.0.2","35678","1400","17149","629"
"11:27:51.295814","7.108574000","1.897822000","44","1452","142.251.175.100","443","100.64.0.2","35678","1400","18549","629"
"11:27:51.295859","7.108619000","1.897867000","45","1452","142.251.175.100","443","100.64.0.2","35678","1400","19949","629"
"11:27:51.308865","7.121625000","1.910873000","46","1452","142.251.175.100","443","100.64.0.2","35678","1400","21349","629"
"11:27:51.308911","7.121671000","1.910919000","47","1452","142.251.175.100","443","100.64.0.2","35678","1400","22749","629"
"11:27:51.321938","7.134698000","1.923946000","48","1452","142.251.175.100","443","100.64.0.2","35678","1400","24149","629"
"11:27:51.321984","7.134744000","1.923992000","49","1452","142.251.175.100","443","100.64.0.2","35678","1400","25549","629"
"11:27:51.335171","7.147931000","1.937179000","50","1452","142.251.175.100","443","100.64.0.2","35678","1400","26949","629"
"11:27:51.335204","7.147964000","1.937212000","51","1452","142.251.175.100","443","100.64.0.2","35678","1400","28349","629"
"11:27:51.335262","7.148022000","1.937270000","52","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.348190","7.160950000","1.950198000","53","1452","142.251.175.100","443","100.64.0.2","35678","1400","29749","629"
"11:27:51.348236","7.160996000","1.950244000","54","1452","142.251.175.100","443","100.64.0.2","35678","1400","31149","629"
"11:27:51.460634","7.273394000","2.062642000","55","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.463617","7.276377000","2.065625000","56","1452","142.251.175.100","443","100.64.0.2","35678","1400","32549","629"
"11:27:51.463659","7.276419000","2.065667000","57","1452","142.251.175.100","443","100.64.0.2","35678","1400","33949","629"
"11:27:51.522842","7.335602000","2.124850000","58","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.526150","7.338910000","2.128158000","59","1452","142.251.175.100","443","100.64.0.2","35678","1400","35349","629"
"11:27:51.526191","7.338951000","2.128199000","60","1452","142.251.175.100","443","100.64.0.2","35678","1400","36749","629"
"11:27:51.585906","7.398666000","2.187914000","61","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.589151","7.401911000","2.191159000","62","1452","142.251.175.100","443","100.64.0.2","35678","1400","10149","629"
"11:27:51.592293","7.405053000","2.194301000","63","1452","142.251.175.100","443","100.64.0.2","35678","1400","38149","629"
"11:27:51.592339","7.405099000","2.194347000","64","1452","142.251.175.100","443","100.64.0.2","35678","1400","39549","629"
"11:27:51.647849","7.460609000","2.249857000","65","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.651131","7.463891000","2.253139000","66","1452","142.251.175.100","443","100.64.0.2","35678","1400","40949","629"
"11:27:51.651172","7.463932000","2.253180000","67","1452","142.251.175.100","443","100.64.0.2","35678","1400","42349","629"
"11:27:51.710797","7.523557000","2.312805000","68","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.714154","7.526914000","2.316162000","69","1452","142.251.175.100","443","100.64.0.2","35678","1400","43749","629"
"11:27:51.772739","7.585499000","2.374747000","70","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.775910","7.588670000","2.377918000","71","1452","142.251.175.100","443","100.64.0.2","35678","1400","45149","629"
"11:27:51.835746","7.648506000","2.437754000","72","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.838510","7.651270000","2.440518000","73","1452","142.251.175.100","443","100.64.0.2","35678","1400","46549","629"
"11:27:51.897571","7.710331000","2.499579000","74","52","100.64.0.2","35678","142.251.175.100","443","0","629","10149"
"11:27:51.900414","7.713174000","2.502422000","75","1452","142.251.175.100","443","100.64.0.2","35678","1400","47949","629"
"11:27:51.961019","7.773779000","2.563027000","76","52","100.64.0.2","35678","142.251.175.100","443","0","629","11549"
"11:27:51.964086","7.776846000","2.566094000","77","1452","142.251.175.100","443","100.64.0.2","35678","1400","11549","629"
"11:27:51.967473","7.780233000","2.569481000","78","1452","142.251.175.100","443","100.64.0.2","35678","1400","49349","629"
"11:27:52.022964","7.835724000","2.624972000","79","52","100.64.0.2","35678","142.251.175.100","443","0","629","11549"
"11:27:52.026154","7.838914000","2.628162000","80","1452","142.251.175.100","443","100.64.0.2","35678","1400","50749","629"
"11:27:52.085700","7.898460000","2.687708000","81","52","100.64.0.2","35678","142.251.175.100","443","0","629","11549"
