_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:38:11.442690","0.000000000",,"1","53","100.64.0.2",,"1.1.1.1",,,,
"11:38:11.442717","0.000027000",,"2","53","100.64.0.2",,"1.1.1.1",,,,
"11:38:11.631163","0.188473000",,"3","76",,,,,,,
"11:38:11.727218","0.284528000",,"4","76",,,,,,,
"11:38:11.855062","0.412372000",,"5","76",,,,,,,
"11:38:11.951236","0.508546000",,"6","76",,,,,,,
"11:38:15.055332","3.612642000",,"7","48",,,,,,,
"11:38:15.311227","3.868537000",,"8","48",,,,,,,
"11:38:16.442911","5.000221000",,"9","53","100.64.0.2",,"8.8.8.8",,,,
"11:38:16.442938","5.000248000",,"10","53","100.64.0.2",,"8.8.8.8",,,,
"11:38:16.447602","5.004912000",,"11","137","8.8.8.8",,"100.64.0.2",,,,
"11:38:16.448017","5.005327000",,"12","101","8.8.8.8",,"100.64.0.2",,,,
"11:38:16.630506","5.187816000","0.000000000","13","60","100.64.0.2","42720","66.203.127.13","443","0","0","0"
"11:38:16.790802","5.348112000","0.160296000","14","60","66.203.127.13","443","100.64.0.2","42720","0","0","1"
"11:38:16.943227","5.500537000","0.312721000","15","52","100.64.0.2","42720","66.203.127.13","443","0","1","1"
"11:38:16.943252","5.500562000","0.312746000","16","439","100.64.0.2","42720","66.203.127.13","443","387","1","1"
"11:38:17.103849","5.661159000","0.473343000","17","52","66.203.127.13","443","100.64.0.2","42720","0","1","388"
"11:38:17.104677","5.661987000","0.474171000","18","1500","66.203.127.13","443","100.64.0.2","42720","1448","1","388"
"11:38:17.104722","5.662032000","0.474216000","19","1500","66.203.127.13","443","100.64.0.2","42720","1448","1449","388"
"11:38:17.104752","5.662062000","0.474246000","20","1252","66.203.127.13","443","100.64.0.2","42720","1200","2897","388"
"11:38:17.106814","5.664124000","0.476308000","21","460","66.203.127.13","443","100.64.0.2","42720","408","4097","388"
"11:38:17.317989","5.875299000","0.687483000","22","52","100.64.0.2","42720","66.203.127.13","443","0","388","1449"
"11:38:17.381208","5.938518000","0.750702000","23","52","100.64.0.2","42720","66.203.127.13","443","0","388","2897"
"11:38:17.381236","5.938546000","0.750730000","24","52","100.64.0.2","42720","66.203.127.13","443","0","388","4097"
"11:38:17.442718","6.000028000","0.812212000","25","52","100.64.0.2","42720","66.203.127.13","443","0","388","4505"
"11:38:17.442746","6.000056000","0.812240000","26","132","100.64.0.2","42720","66.203.127.13","443","80","388","4505"
"11:38:17.642943","6.200253000","1.012437000","27","52","66.203.127.13","443","100.64.0.2","42720","0","4505","468"
"11:38:17.817835","6.375145000","1.187329000","28","205","100.64.0.2","42720","66.203.127.13","443","153","468","4505"
"11:38:17.977699","6.535009000","1.347193000","29","52","66.203.127.13","443","100.64.0.2","42720","0","4505","621"
"11:38:18.394622","6.951932000","1.764116000","30","1500","66.203.127.13","443","100.64.0.2","42720","1448","4505","621"
"11:38:18.394668","6.951978000","1.764162000","31","1500","66.203.127.13","443","100.64.0.2","42720","1448","5953","621"
"11:38:18.394702","6.952012000","1.764196000","32","1500","66.203.127.13","443","100.64.0.2","42720","1448","7401","621"
"11:38:18.394713","6.952023000","1.764207000","33","1500","66.203.127.13","443","100.64.0.2","42720","1448","8849","621"
"11:38:18.394742","6.952052000","1.764236000","34","1500","66.203.127.13","443","100.64.0.2","42720","1448","10297","621"
"11:38:18.394752","6.952062000","1.764246000","35","1500","66.203.127.13","443","100.64.0.2","42720","1448","11745","621"
"11:38:18.405477","6.962787000","1.774971000","36","1500","66.203.127.13","443","100.64.0.2","42720","1448","13193","621"
"11:38:18.416298","6.973608000","1.785792000","37","1500","66.203.127.13","443","100.64.0.2","42720","1448","14641","621"
"11:38:18.427291","6.984601000","1.796785000","38","1500","66.203.127.13","443","100.64.0.2","42720","1448","16089","621"
"11:38:18.438302","6.995612000","1.807796000","39","1500","66.203.127.13","443","100.64.0.2","42720","1448","17537","621"
"11:38:18.449107","7.006417000","1.818601000","40","1500","66.203.127.13","443","100.64.0.2","42720","1448","18985","621"
"11:38:18.460123","7.017433000","1.829617000","41","1500","66.203.127.13","443","100.64.0.2","42720","1448","20433","621"
"11:38:18.471101","7.028411000","1.840595000","42","1500","66.203.127.13","443","100.64.0.2","42720","1448","21881","621"
"11:38:18.481885","7.039195000","1.851379000","43","1500","66.203.127.13","443","100.64.0.2","42720","1448","23329","621"
"11:38:18.567680","7.124990000","1.937174000","44","52","100.64.0.2","42720","66.203.127.13","443","0","621","5953"
"11:38:18.630644","7.187954000","2.000138000","45","52","100.64.0.2","42720","66.203.127.13","443","0","621","7401"
"11:38:18.692844","7.250154000","2.062338000","46","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:18.727289","7.284599000","2.096783000","47","1500","66.203.127.13","443","100.64.0.2","42720","1448","24777","621"
"11:38:18.732857","7.290167000","2.102351000","48","1500","66.203.127.13","443","100.64.0.2","42720","1448","26225","621"
"11:38:18.756072","7.313382000","2.125566000","49","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:18.790639","7.347949000","2.160133000","50","1500","66.203.127.13","443","100.64.0.2","42720","1448","27673","621"
"11:38:18.795897","7.353207000","2.165391000","51","1500","66.203.127.13","443","100.64.0.2","42720","1448","29121","621"
"11:38:18.852441","7.409751000","2.221935000","52","1500","66.203.127.13","443","100.64.0.2","42720","1448","30569","621"
"11:38:18.858033","7.415343000","2.227527000","53","1500","66.203.127.13","443","100.64.0.2","42720","1448","32017","621"
"11:38:18.880328","7.437638000","2.249822000","54","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:18.915809","7.473119000","2.285303000","55","1500","66.203.127.13","443","100.64.0.2","42720","1448","33465","621"
"11:38:18.921478","7.478788000","2.290972000","56","1500","66.203.127.13","443","100.64.0.2","42720","1448","34913","621"
"11:38:18.942547","7.499857000","2.312041000","57","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.005535","7.562845000","2.375029000","58","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.040075","7.597385000","2.409569000","59","1500","66.203.127.13","443","100.64.0.2","42720","1448","36361","621"
"11:38:19.067653","7.624963000","2.437147000","60","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.102644","7.659954000","2.472138000","61","1500","66.203.127.13","443","100.64.0.2","42720","1448","8849","621"
"11:38:19.131135","7.688445000","2.500629000","62","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.165254","7.722564000","2.534748000","63","1500","66.203.127.13","443","100.64.0.2","42720","1448","37809","621"
"11:38:19.192671","7.749981000","2.562165000","64","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.227448","7.784758000","2.596942000","65","1500","66.203.127.13","443","100.64.0.2","42720","1448","39257","621"
"11:38:19.255480","7.812790000","2.624974000","66","52","100.64.0.2","42720","66.203.127.13","443","0","621","8849"
"11:38:19.290790","7.848100000","2.660284000","67","1500","66.203.127.13","443","100.64.0.2","42720","1448","40705","621"
"11:38:19.318016","7.875326000","2.687510000","68","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.352422","7.909732000","2.721916000","69","1500","66.203.127.13","443","100.64.0.2","42720","1448","42153","621"
"11:38:19.380918","7.938228000","2.750412000","70","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.415281","7.972591000","2.784775000","71","1500","66.203.127.13","443","100.64.0.2","42720","1448","43601","621"
"11:38:19.442470","7.999780000","2.811964000","72","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.477786","8.035096000","2.847280000","73","1500","66.203.127.13","443","100.64.0.2","42720","1448","10297","621"
"11:38:19.506187","8.063497000","2.875681000","74","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.540761","8.098071000","2.910255000","75","1500","66.203.127.13","443","100.64.0.2","42720","1448","45049","621"
"11:38:19.567571","8.124881000","2.937065000","76","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.602362","8.159672000","2.971856000","77","1500","66.203.127.13","443","100.64.0.2","42720","1448","46497","621"
"11:38:19.630536","8.187846000","3.000030000","78","52","100.64.0.2","42720","66.203.127.13","443","0","621","10297"
"11:38:19.666157","8.223467000","3.035651000","79","1500","66.203.127.13","443","100.64.0.2","42720","1448","47945","621"
"11:38:19.692479","8.249789000","3.061973000","80","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:19.727328","8.284638000","3.096822000","81","1500","66.203.127.13","443","100.64.0.2","42720","1448","49393","621"
"11:38:19.755714","8.313024000","3.125208000","82","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:19.790128","8.347438000","3.159622000","83","1500","66.203.127.13","443","100.64.0.2","42720","1448","50841","621"
"11:38:19.817641","8.374951000","3.187135000","84","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:19.851971","8.409281000","3.221465000","85","1500","66.203.127.13","443","100.64.0.2","42720","1448","11745","621"
"11:38:19.857642","8.414952000","3.227136000","86","1500","66.203.127.13","443","100.64.0.2","42720","1448","52289","621"
"11:38:19.880932","8.438242000","3.250426000","87","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:19.915526","8.472836000","3.285020000","88","1500","66.203.127.13","443","100.64.0.2","42720","1448","53737","621"
"11:38:19.920959","8.478269000","3.290453000","89","1500","66.203.127.13","443","100.64.0.2","42720","1448","55185","621"
"11:38:19.942681","8.499991000","3.312175000","90","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:19.977500","8.534810000","3.346994000","91","1500","66.203.127.13","443","100.64.0.2","42720","1448","56633","621"
"11:38:19.982878","8.540188000","3.352372000","92","1500","66.203.127.13","443","100.64.0.2","42720","1448","58081","621"
"11:38:20.006275","8.563585000","3.375769000","93","52","100.64.0.2","42720","66.203.127.13","443","0","621","11745"
"11:38:20.040762","8.598072000","3.410256000","94","1500","66.203.127.13","443","100.64.0.2","42720","1448","59529","621"
"11:38:20.067756","8.625066000","3.437250000","95","52","100.64.0.2","42720","66.203.127.13","443","0","621","13193"
"11:38:20.102575","8.659885000","3.472069000","96","1500","66.203.127.13","443","100.64.0.2","42720","1448","60977","621"
"11:38:20.130611","8.687921000","3.500105000","97","52","100.64.0.2","42720","66.203.127.13","443","0","621","13193"
"11:38:20.165936","8.723246000","3.535430000","98","1500","66.203.127.13","443","100.64.0.2","42720","1448","62425","621"
"11:38:20.193269","8.750579000","3.562763000","99","52","100.64.0.2","42720","66.203.127.13","443","0","621","13193"
"11:38:20.227484","8.784794000","3.596978000","100","1500","66.203.127.13","443","100.64.0.2","42720","1448","13193","621"
"11:38:20.232850","8.790160000","3.602344000","101","1500","66.203.127.13","443","100.64.0.2","42720","1448","63873","621"
"11:38:20.256030","8.813340000","3.625524000","102","52","100.64.0.2","42720","66.203.127.13","443","0","621","13193"
"11:38:20.290589","8.847899000","3.660083000","103","1500","66.203.127.13","443","100.64.0.2","42720","1448","65321","621"
