_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:21:40.749036","0.000000000",,"1","61","100.64.0.2",,"1.1.1.1",,,,
"11:21:40.749065","0.000029000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:21:40.911352","0.162316000",,"3","76",,,,,,,
"11:21:41.135329","0.386293000",,"4","76",,,,,,,
"11:21:41.167195","0.418159000",,"5","76",,,,,,,
"11:21:41.487110","0.738074000",,"6","76",,,,,,,
"11:21:44.335353","3.586317000",,"7","48",,,,,,,
"11:21:44.847217","4.098181000",,"8","48",,,,,,,
"11:21:45.749183","5.000147000",,"9","61","100.64.0.2",,"8.8.8.8",,,,
"11:21:45.749209","5.000173000",,"10","61","100.64.0.2",,"8.8.8.8",,,,
"11:21:45.754632","5.005596000",,"11","254","8.8.8.8",,"100.64.0.2",,,,
"11:21:45.754678","5.005642000",,"12","290","8.8.8.8",,"100.64.0.2",,,,
"11:21:45.935800","5.186764000","0.000000000","13","60","100.64.0.2","49396","44.242.13.161","443","0","0","0"
"11:21:46.151731","5.402695000","0.215931000","14","60","44.242.13.161","443","100.64.0.2","49396","0","0","1"
"11:21:46.310564","5.561528000","0.374764000","15","52","100.64.0.2","49396","44.242.13.161","443","0","1","1"
"11:21:46.310571","5.561535000","0.374771000","16","447","100.64.0.2","49396","44.242.13.161","443","395","1","1"
"11:21:46.527890","5.778854000","0.592090000","17","1500","44.242.13.161","443","100.64.0.2","49396","1448","1","396"
"11:21:46.527925","5.778889000","0.592125000","18","1500","44.242.13.161","443","100.64.0.2","49396","1448","1449","396"
"11:21:46.527953","5.778917000","0.592153000","19","73","44.242.13.161","443","100.64.0.2","49396","21","2897","396"
"11:21:46.685829","5.936793000","0.750029000","20","52","100.64.0.2","49396","44.242.13.161","443","0","396","1449"
"11:21:46.749008","5.999972000","0.813208000","21","52","100.64.0.2","49396","44.242.13.161","443","0","396","2897"
"11:21:46.811263","6.062227000","0.875463000","22","52","100.64.0.2","49396","44.242.13.161","443","0","396","2918"
"11:21:46.811287","6.062251000","0.875487000","23","132","100.64.0.2","49396","44.242.13.161","443","80","396","2918"
"11:21:47.067150","6.318114000","1.131350000","24","52","44.242.13.161","443","100.64.0.2","49396","0","2918","476"
"11:21:47.249010","6.499974000","1.313210000","25","222","100.64.0.2","49396","44.242.13.161","443","170","476","2918"
"11:21:47.442103","6.693067000","1.506303000","26","52","44.242.13.161","443","100.64.0.2","49396","0","2918","646"
"11:21:48.042856","7.293820000","2.107056000","27","1500","44.242.13.161","443","100.64.0.2","49396","1448","2918","646"
"11:21:48.042896","7.293860000","2.107096000","28","1500","44.242.13.161","443","100.64.0.2","49396","1448","4366","646"
"11:21:48.042926","7.293890000","2.107126000","29","1500","44.242.13.161","443","100.64.0.2","49396","1448","7262","646"
"11:21:48.042935","7.293899000","2.107135000","30","1500","44.242.13.161","443","100.64.0.2","49396","1448","8710","646"
"11:21:48.042961","7.293925000","2.107161000","31","1500","44.242.13.161","443","100.64.0.2","49396","1448","10158","646"
"11:21:48.042970","7.293934000","2.107170000","32","1500","44.242.13.161","443","100.64.0.2","49396","1448","11606","646"
"11:21:48.055961","7.306925000","2.120161000","33","1500","44.242.13.161","443","100.64.0.2","49396","1448","13054","646"
"11:21:48.069140","7.320104000","2.133340000","34","1500","44.242.13.161","443","100.64.0.2","49396","1448","14502","646"
"11:21:48.082265","7.333229000","2.146465000","35","1500","44.242.13.161","443","100.64.0.2","49396","1448","15950","646"
"11:21:48.095427","7.346391000","2.159627000","36","1500","44.242.13.161","443","100.64.0.2","49396","1448","17398","646"
"11:21:48.108197","7.359161000","2.172397000","37","1500","44.242.13.161","443","100.64.0.2","49396","1448","18846","646"
"11:21:48.121353","7.372317000","2.185553000","38","1500","44.242.13.161","443","100.64.0.2","49396","1448","20294","646"
"11:21:48.185388","7.436352000","2.249588000","39","52","100.64.0.2","49396","44.242.13.161","443","0","646","4366"
"11:21:48.248778","7.499742000","2.312978000","40","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.311118","7.562082000","2.375318000","41","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.374198","7.625162000","2.438398000","42","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.400455","7.651419000","2.464655000","43","1500","44.242.13.161","443","100.64.0.2","49396","1448","21742","646"
"11:21:48.407262","7.658226000","2.471462000","44","1500","44.242.13.161","443","100.64.0.2","49396","1448","23190","646"
"11:21:48.463639","7.714603000","2.527839000","45","1500","44.242.13.161","443","100.64.0.2","49396","1448","24638","646"
"11:21:48.470257","7.721221000","2.534457000","46","1500","44.242.13.161","443","100.64.0.2","49396","1448","26086","646"
"11:21:48.526257","7.777221000","2.590457000","47","1500","44.242.13.161","443","100.64.0.2","49396","1448","27534","646"
"11:21:48.532751","7.783715000","2.596951000","48","1500","44.242.13.161","443","100.64.0.2","49396","1448","28982","646"
"11:21:48.560920","7.811884000","2.625120000","49","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.589183","7.840147000","2.653383000","50","1500","44.242.13.161","443","100.64.0.2","49396","1448","30430","646"
"11:21:48.595988","7.846952000","2.660188000","51","1500","44.242.13.161","443","100.64.0.2","49396","1448","31878","646"
"11:21:48.623583","7.874547000","2.687783000","52","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.686006","7.936970000","2.750206000","53","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.748570","7.999534000","2.812770000","54","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.811111","8.062075000","2.875311000","55","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.838459","8.089423000","2.902659000","56","1500","44.242.13.161","443","100.64.0.2","49396","1448","33326","646"
"11:21:48.874031","8.124995000","2.938231000","57","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:48.901353","8.152317000","2.965553000","58","1500","44.242.13.161","443","100.64.0.2","49396","1448","34774","646"
"11:21:48.963823","8.214787000","3.028023000","59","1500","44.242.13.161","443","100.64.0.2","49396","1448","36222","646"
"11:21:48.999208","8.250172000","3.063408000","60","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.026195","8.277159000","3.090395000","61","1500","44.242.13.161","443","100.64.0.2","49396","1448","37670","646"
"11:21:49.060876","8.311840000","3.125076000","62","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.089199","8.340163000","3.153399000","63","1500","44.242.13.161","443","100.64.0.2","49396","1448","39118","646"
"11:21:49.123459","8.374423000","3.187659000","64","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.185885","8.436849000","3.250085000","65","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.214380","8.465344000","3.278580000","66","1500","44.242.13.161","443","100.64.0.2","49396","1448","40566","646"
"11:21:49.248824","8.499788000","3.313024000","67","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.276146","8.527110000","3.340346000","68","1500","44.242.13.161","443","100.64.0.2","49396","1448","42014","646"
"11:21:49.338825","8.589789000","3.403025000","69","1500","44.242.13.161","443","100.64.0.2","49396","1448","43462","646"
"11:21:49.374171","8.625135000","3.438371000","70","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.401132","8.652096000","3.465332000","71","1500","44.242.13.161","443","100.64.0.2","49396","1448","44910","646"
"11:21:49.435660","8.686624000","3.499860000","72","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.463972","8.714936000","3.528172000","73","1500","44.242.13.161","443","100.64.0.2","49396","1448","46358","646"
"11:21:49.498467","8.749431000","3.562667000","74","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.560873","8.811837000","3.625073000","75","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.589385","8.840349000","3.653585000","76","1500","44.242.13.161","443","100.64.0.2","49396","1448","47806","646"
"11:21:49.623656","8.874620000","3.687856000","77","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.650785","8.901749000","3.714985000","78","1500","44.242.13.161","443","100.64.0.2","49396","1448","49254","646"
"11:21:49.713541","8.964505000","3.777741000","79","1500","44.242.13.161","443","100.64.0.2","49396","1448","50702","646"
"11:21:49.748942","8.999906000","3.813142000","80","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.776143","9.027107000","3.840343000","81","1500","44.242.13.161","443","100.64.0.2","49396","1448","52150","646"
"11:21:49.810417","9.061381000","3.874617000","82","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.839125","9.090089000","3.903325000","83","1500","44.242.13.161","443","100.64.0.2","49396","1448","53598","646"
"11:21:49.874181","9.125145000","3.938381000","84","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.875083","9.126047000","3.939283000","85","1500","44.242.13.161","443","100.64.0.2","49396","1448","5814","646"
"11:21:49.935598","9.186562000","3.999798000","86","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:49.998836","9.249800000","4.063036000","87","52","100.64.0.2","49396","44.242.13.161","443","0","646","5814"
"11:21:50.060955","9.311919000","4.125155000","88","52","100.64.0.2","49396","44.242.13.161","443","0","646","8710"
"11:21:50.276048","9.527012000","4.340248000","89","1500","44.242.13.161","443","100.64.0.2","49396","1448","8710","646"
"11:21:50.282743","9.533707000","4.346943000","90","1500","44.242.13.161","443","100.64.0.2","49396","1448","10158","646"
"11:21:50.295678","9.546642000","4.359878000","91","1500","44.242.13.161","443","100.64.0.2","49396","1448","11606","646"
"11:21:50.308933","9.559897000","4.373133000","92","1500","44.242.13.161","443","100.64.0.2","49396","1448","13054","646"
"11:21:50.435388","9.686352000","4.499588000","93","52","100.64.0.2","49396","44.242.13.161","443","0","646","10158"
"11:21:50.498874","9.749838000","4.563074000","94","52","100.64.0.2","49396","44.242.13.161","443","0","646","11606"
"11:21:50.561134","9.812098000","4.625334000","95","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:50.650690","9.901654000","4.714890000","96","1500","44.242.13.161","443","100.64.0.2","49396","1448","14502","646"
"11:21:50.657595","9.908559000","4.721795000","97","1500","44.242.13.161","443","100.64.0.2","49396","1448","15950","646"
"11:21:50.714166","9.965130000","4.778366000","98","1500","44.242.13.161","443","100.64.0.2","49396","1448","17398","646"
"11:21:50.720708","9.971672000","4.784908000","99","1500","44.242.13.161","443","100.64.0.2","49396","1448","18846","646"
"11:21:50.776310","10.027274000","4.840510000","100","1500","44.242.13.161","443","100.64.0.2","49396","1448","20294","646"
"11:21:50.782891","10.033855000","4.847091000","101","1500","44.242.13.161","443","100.64.0.2","49396","1448","21742","646"
"11:21:50.811205","10.062169000","4.875405000","102","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:50.874120","10.125084000","4.938320000","103","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:50.935753","10.186717000","4.999953000","104","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:50.999093","10.250057000","5.063293000","105","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:51.061284","10.312248000","5.125484000","106","52","100.64.0.2","49396","44.242.13.161","443","0","646","13054"
"11:21:51.759340","11.010304000",,"107","48",,,,,,,
"11:21:51.895094","11.146058000","5.959294000","108","1500","44.242.13.161","443","100.64.0.2","49396","1448","13054","646"
"11:21:52.060924","11.311888000","6.125124000","109","52","100.64.0.2","49396","44.242.13.161","443","0","646","28982"
"11:21:52.276130","11.527094000","6.340330000","110","1500","44.242.13.161","443","100.64.0.2","49396","1448","28982","646"
"11:21:52.282754","11.533718000","6.346954000","111","1500","44.242.13.161","443","100.64.0.2","49396","1448","30430","646"
"11:21:52.295700","11.546664000","6.359900000","112","1500","44.242.13.161","443","100.64.0.2","49396","1448","31878","646"
"11:21:52.308869","11.559833000","6.373069000","113","1500","44.242.13.161","443","100.64.0.2","49396","1448","33326","646"
"11:21:52.322115","11.573079000","6.386315000","114","1500","44.242.13.161","443","100.64.0.2","49396","1448","34774","646"
"11:21:52.335166","11.586130000","6.399366000","115","1500","44.242.13.161","443","100.64.0.2","49396","1448","36222","646"
"11:21:52.348056","11.599020000","6.412256000","116","1500","44.242.13.161","443","100.64.0.2","49396","1448","37670","646"
"11:21:52.361110","11.612074000","6.425310000","117","1500","44.242.13.161","443","100.64.0.2","49396","1448","39118","646"
"11:21:52.374030","11.624994000","6.438230000","118","1500","44.242.13.161","443","100.64.0.2","49396","1448","40566","646"
"11:21:52.387355","11.638319000","6.451555000","119","1500","44.242.13.161","443","100.64.0.2","49396","1448","42014","646"
"11:21:52.400492","11.651456000","6.464692000","120","1500","44.242.13.161","443","100.64.0.2","49396","1448","43462","646"
"11:21:52.413733","11.664697000","6.477933000","121","1500","44.242.13.161","443","100.64.0.2","49396","1448","44910","646"
"11:21:52.436215","11.687179000","6.500415000","122","52","100.64.0.2","49396","44.242.13.161","443","0","646","31878"
"11:21:52.498614","11.749578000","6.562814000","123","52","100.64.0.2","49396","44.242.13.161","443","0","646","31878"
"11:21:52.560489","11.811453000","6.624689000","124","52","100.64.0.2","49396","44.242.13.161","443","0","646","55046"
"11:21:52.623749","11.874713000","6.687949000","125","52","100.64.0.2","49396","44.242.13.161","443","0","646","55046"
"11:21:52.651276","11.902240000","6.715476000","126","1500","44.242.13.161","443","100.64.0.2","49396","1448","46358","646"
"11:21:52.657835","11.908799000","6.722035000","127","1500","44.242.13.161","443","100.64.0.2","49396","1448","47806","646"
"11:21:52.685669","11.936633000","6.749869000","128","52","100.64.0.2","49396","44.242.13.161","443","0","646","55046"
"11:21:52.775666","12.026630000","6.839866000","129","1500","44.242.13.161","443","100.64.0.2","49396","1448","55046","646"
"11:21:52.779809","12.030773000","6.844009000","130","1500","44.242.13.161","443","100.64.0.2","49396","1448","56494","646"
