_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:23:20.809422","0.000000000",,"1","64","100.64.0.2",,"1.1.1.1",,,,
"11:23:20.809446","0.000024000",,"2","64","100.64.0.2",,"1.1.1.1",,,,
"11:23:20.819235","0.009813000",,"3","76",,,,,,,
"11:23:20.911615","0.102193000",,"4","76",,,,,,,
"11:23:20.911643","0.102221000",,"5","48",,,,,,,
"11:23:20.923334","0.113912000",,"6","76",,,,,,,
"11:23:21.231230","0.421808000",,"7","76",,,,,,,
"11:23:21.551321","0.741899000",,"8","76",,,,,,,
"11:23:21.743225","0.933803000",,"9","76",,,,,,,
"11:23:24.943232","4.133810000",,"10","48",,,,,,,
"11:23:24.943338","4.133916000",,"11","48",,,,,,,
"11:23:25.809563","5.000141000",,"12","64","100.64.0.2",,"8.8.8.8",,,,
"11:23:25.809592","5.000170000",,"13","64","100.64.0.2",,"8.8.8.8",,,,
"11:23:25.814578","5.005156000",,"14","148","8.8.8.8",,"100.64.0.2",,,,
"11:23:25.818161","5.008739000",,"15","80","8.8.8.8",,"100.64.0.2",,,,
"11:23:25.996970","5.187548000","0.000000000","16","60","100.64.0.2","37442","18.155.69.32","443","0","0","0"
"11:23:25.999529","5.190107000","0.002559000","17","60","18.155.69.32","443","100.64.0.2","37442","0","0","1"
"11:23:26.184431","5.375009000","0.187461000","18","52","100.64.0.2","37442","18.155.69.32","443","0","1","1"
"11:23:26.184461","5.375039000","0.187491000","19","450","100.64.0.2","37442","18.155.69.32","443","398","1","1"
"11:23:26.187448","5.378026000","0.190478000","20","52","18.155.69.32","443","100.64.0.2","37442","0","1","399"
"11:23:26.188207","5.378785000","0.191237000","21","1480","18.155.69.32","443","100.64.0.2","37442","1428","1","399"
"11:23:26.188245","5.378823000","0.191275000","22","1480","18.155.69.32","443","100.64.0.2","37442","1428","1429","399"
"11:23:26.188277","5.378855000","0.191307000","23","1480","18.155.69.32","443","100.64.0.2","37442","1428","2857","399"
"11:23:26.189052","5.379630000","0.192082000","24","1260","18.155.69.32","443","100.64.0.2","37442","1208","4285","399"
"11:23:26.434376","5.624954000","0.437406000","25","52","100.64.0.2","37442","18.155.69.32","443","0","399","1429"
"11:23:26.496565","5.687143000","0.499595000","26","52","100.64.0.2","37442","18.155.69.32","443","0","399","2857"
"11:23:26.496590","5.687168000","0.499620000","27","52","100.64.0.2","37442","18.155.69.32","443","0","399","4285"
"11:23:27.118117","6.308695000","1.121147000","28","1260","18.155.69.32","443","100.64.0.2","37442","1208","4285","399"
"11:23:27.246656","6.437234000","1.249686000","29","52","100.64.0.2","37442","18.155.69.32","443","0","399","5493"
"11:23:27.246682","6.437260000","1.249712000","30","116","100.64.0.2","37442","18.155.69.32","443","64","399","5493"
"11:23:27.248896","6.439474000","1.251926000","31","52","18.155.69.32","443","100.64.0.2","37442","0","5493","463"
"11:23:27.248933","6.439511000","1.251963000","32","198","18.155.69.32","443","100.64.0.2","37442","146","5493","463"
"11:23:27.434833","6.625411000","1.437863000","33","248","100.64.0.2","37442","18.155.69.32","443","196","463","5493"
"11:23:27.434859","6.625437000","1.437889000","34","52","100.64.0.2","37442","18.155.69.32","443","0","659","5639"
"11:23:27.481695","6.672273000","1.484725000","35","52","18.155.69.32","443","100.64.0.2","37442","0","5639","659"
"11:23:27.744902","6.935480000","1.747932000","36","1335","18.155.69.32","443","100.64.0.2","37442","1283","5639","659"
"11:23:27.744937","6.935515000","1.747967000","37","1480","18.155.69.32","443","100.64.0.2","37442","1428","6922","659"
"11:23:27.744967","6.935545000","1.747997000","38","1480","18.155.69.32","443","100.64.0.2","37442","1428","8350","659"
"11:23:27.744978","6.935556000","1.748008000","39","1480","18.155.69.32","443","100.64.0.2","37442","1428","9778","659"
"11:23:27.745001","6.935579000","1.748031000","40","1480","18.155.69.32","443","100.64.0.2","37442","1428","11206","659"
"11:23:27.750275","6.940853000","1.753305000","41","1480","18.155.69.32","443","100.64.0.2","37442","1428","12634","659"
"11:23:27.750308","6.940886000","1.753338000","42","1480","18.155.69.32","443","100.64.0.2","37442","1428","14062","659"
"11:23:27.755660","6.946238000","1.758690000","43","1480","18.155.69.32","443","100.64.0.2","37442","1428","15490","659"
"11:23:27.755694","6.946272000","1.758724000","44","1122","18.155.69.32","443","100.64.0.2","37442","1070","16918","659"
"11:23:27.871531","7.062109000","1.874561000","45","52","100.64.0.2","37442","18.155.69.32","443","0","659","6922"
"11:23:27.902441","7.093019000","1.905471000","46","1480","18.155.69.32","443","100.64.0.2","37442","1428","17988","659"
"11:23:27.902475","7.093053000","1.905505000","47","1480","18.155.69.32","443","100.64.0.2","37442","1428","19416","659"
"11:23:27.905067","7.095645000","1.908097000","48","1480","18.155.69.32","443","100.64.0.2","37442","1428","20844","659"
"11:23:27.905100","7.095678000","1.908130000","49","1480","18.155.69.32","443","100.64.0.2","37442","1428","22272","659"
