_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:24:46.647400","0.000000000",,"1","76",,,,,,,
"11:24:46.693804","0.046404000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:24:46.693830","0.046430000",,"3","62","100.64.0.2",,"1.1.1.1",,,,
"11:24:46.739316","0.091916000",,"4","76",,,,,,,
"11:24:46.799233","0.151833000",,"5","76",,,,,,,
"11:24:47.375230","0.727830000",,"6","76",,,,,,,
"11:24:50.191346","3.543946000",,"7","48",,,,,,,
"11:24:50.447205","3.799805000",,"8","48",,,,,,,
"11:24:51.693989","5.046589000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:24:51.694014","5.046614000",,"10","62","100.64.0.2",,"8.8.8.8",,,,
"11:24:51.699060","5.051660000",,"11","123","8.8.8.8",,"100.64.0.2",,,,
"11:24:51.699101","5.051701000",,"12","111","8.8.8.8",,"100.64.0.2",,,,
"11:24:51.881069","5.233669000","0.000000000","13","60","100.64.0.2","58000","35.186.224.25","443","0","0","0"
"11:24:51.884217","5.236817000","0.003148000","14","60","35.186.224.25","443","100.64.0.2","58000","0","0","1"
"11:24:52.068420","5.421020000","0.187351000","15","52","100.64.0.2","58000","35.186.224.25","443","0","1","1"
"11:24:52.068448","5.421048000","0.187379000","16","448","100.64.0.2","58000","35.186.224.25","443","396","1","1"
"11:24:52.072275","5.424875000","0.191206000","17","52","35.186.224.25","443","100.64.0.2","58000","0","1","397"
"11:24:52.074622","5.427222000","0.193553000","18","700","35.186.224.25","443","100.64.0.2","58000","648","1401","397"
"11:24:52.074666","5.427266000","0.193597000","19","1422","35.186.224.25","443","100.64.0.2","58000","1370","2049","397"
"11:24:52.074698","5.427298000","0.193629000","20","1452","35.186.224.25","443","100.64.0.2","58000","1400","1","397"
"11:24:52.256050","5.608650000","0.374981000","21","52","100.64.0.2","58000","35.186.224.25","443","0","397","1"
"11:24:52.318555","5.671155000","0.437486000","22","52","100.64.0.2","58000","35.186.224.25","443","0","397","1"
"11:24:52.381196","5.733796000","0.500127000","23","52","100.64.0.2","58000","35.186.224.25","443","0","397","3419"
"11:24:52.381223","5.733823000","0.500154000","24","132","100.64.0.2","58000","35.186.224.25","443","80","397","3419"
"11:24:52.389670","5.742270000","0.508601000","25","52","35.186.224.25","443","100.64.0.2","58000","0","3419","477"
"11:24:52.569231","5.921831000","0.688162000","26","201","100.64.0.2","58000","35.186.224.25","443","149","477","3419"
"11:24:52.572019","5.924619000","0.690950000","27","52","35.186.224.25","443","100.64.0.2","58000","0","3419","626"
"11:24:52.657374","6.009974000","0.776305000","28","1024","35.186.224.25","443","100.64.0.2","58000","972","4819","626"
"11:24:52.657420","6.010020000","0.776351000","29","1452","35.186.224.25","443","100.64.0.2","58000","1400","3419","626"
"11:24:52.658559","6.011159000","0.777490000","30","1452","35.186.224.25","443","100.64.0.2","58000","1400","5791","626"
"11:24:52.658604","6.011204000","0.777535000","31","1452","35.186.224.25","443","100.64.0.2","58000","1400","7191","626"
"11:24:52.658636","6.011236000","0.777567000","32","1422","35.186.224.25","443","100.64.0.2","58000","1370","8591","626"
"11:24:52.659147","6.011747000","0.778078000","33","1452","35.186.224.25","443","100.64.0.2","58000","1400","9961","626"
"11:24:52.659192","6.011792000","0.778123000","34","1452","35.186.224.25","443","100.64.0.2","58000","1400","11361","626"
"11:24:52.665907","6.018507000","0.784838000","35","1422","35.186.224.25","443","100.64.0.2","58000","1370","12761","626"
"11:24:52.672215","6.024815000","0.791146000","36","1452","35.186.224.25","443","100.64.0.2","58000","1400","14131","626"
"11:24:52.678745","6.031345000","0.797676000","37","1452","35.186.224.25","443","100.64.0.2","58000","1400","15531","626"
