_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:33:37.840648","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"11:33:37.840673","0.000025000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:33:38.127053","0.286405000",,"3","76",,,,,,,
"11:33:38.383327","0.542679000",,"4","76",,,,,,,
"11:33:38.575328","0.734680000",,"5","76",,,,,,,
"11:33:41.647215","3.806567000",,"6","48",,,,,,,
"11:33:42.159320","4.318672000",,"7","48",,,,,,,
"11:33:42.840855","5.000207000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"11:33:42.840881","5.000233000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:33:42.848828","5.008180000",,"10","161","8.8.8.8",,"100.64.0.2",,,,
"11:33:42.851323","5.010675000",,"11","141","8.8.8.8",,"100.64.0.2",,,,
"11:33:43.027592","5.186944000","0.000000000","12","60","100.64.0.2","50916","163.181.128.243","443","0","0","0"
"11:33:43.030927","5.190279000","0.003335000","13","48","163.181.128.243","443","100.64.0.2","50916","0","0","1"
"11:33:43.215544","5.374896000","0.187952000","14","40","100.64.0.2","50916","163.181.128.243","443","0","1","1"
"11:33:43.215569","5.374921000","0.187977000","15","436","100.64.0.2","50916","163.181.128.243","443","396","1","1"
"11:33:43.219542","5.378894000","0.191950000","16","40","163.181.128.243","443","100.64.0.2","50916","0","1","397"
"11:33:43.219582","5.378934000","0.191990000","17","40","163.181.128.243","443","100.64.0.2","50916","0","1","397"
"11:33:43.222239","5.381591000","0.194647000","18","1500","163.181.128.243","443","100.64.0.2","50916","1460","1","397"
"11:33:43.222279","5.381631000","0.194687000","19","1500","163.181.128.243","443","100.64.0.2","50916","1460","1461","397"
"11:33:43.240776","5.400128000","0.213184000","20","1500","163.181.128.243","443","100.64.0.2","50916","1460","2921","397"
"11:33:43.240817","5.400169000","0.213225000","21","201","163.181.128.243","443","100.64.0.2","50916","161","4381","397"
"11:33:43.465786","5.625138000","0.438194000","22","40","100.64.0.2","50916","163.181.128.243","443","0","397","1461"
"11:33:43.527855","5.687207000","0.500263000","23","40","100.64.0.2","50916","163.181.128.243","443","0","397","2921"
"11:33:43.590389","5.749741000","0.562797000","24","40","100.64.0.2","50916","163.181.128.243","443","0","397","4381"
"11:33:43.590412","5.749764000","0.562820000","25","40","100.64.0.2","50916","163.181.128.243","443","0","397","4542"
"11:33:43.590421","5.749773000","0.562829000","26","120","100.64.0.2","50916","163.181.128.243","443","80","397","4542"
"11:33:43.593441","5.752793000","0.565849000","27","335","163.181.128.243","443","100.64.0.2","50916","295","4542","477"
"11:33:43.596048","5.755400000","0.568456000","28","335","163.181.128.243","443","100.64.0.2","50916","295","4837","477"
"11:33:43.777962","5.937314000","0.750370000","29","189","100.64.0.2","50916","163.181.128.243","443","149","477","4837"
"11:33:43.777989","5.937341000","0.750397000","30","40","100.64.0.2","50916","163.181.128.243","443","0","626","5132"
"11:33:43.783858","5.943210000","0.756266000","31","1500","163.181.128.243","443","100.64.0.2","50916","1460","5132","626"
"11:33:43.783903","5.943255000","0.756311000","32","1500","163.181.128.243","443","100.64.0.2","50916","1460","6592","626"
"11:33:43.807059","5.966411000","0.779467000","33","1500","163.181.128.243","443","100.64.0.2","50916","1460","8052","626"
"11:33:43.807103","5.966455000","0.779511000","34","1500","163.181.128.243","443","100.64.0.2","50916","1460","9512","626"
"11:33:43.830058","5.989410000","0.802466000","35","1500","163.181.128.243","443","100.64.0.2","50916","1460","10972","626"
"11:33:43.830102","5.989454000","0.802510000","36","1500","163.181.128.243","443","100.64.0.2","50916","1460","12432","626"
"11:33:43.853042","6.012394000","0.825450000","37","1500","163.181.128.243","443","100.64.0.2","50916","1460","13892","626"
"11:33:43.853086","6.012438000","0.825494000","38","1500","163.181.128.243","443","100.64.0.2","50916","1460","15352","626"
"11:33:43.876249","6.035601000","0.848657000","39","1500","163.181.128.243","443","100.64.0.2","50916","1460","16812","626"
"11:33:43.876283","6.035635000","0.848691000","40","1500","163.181.128.243","443","100.64.0.2","50916","1460","18272","626"
"11:33:43.965926","6.125278000","0.938334000","41","40","100.64.0.2","50916","163.181.128.243","443","0","626","6592"
"11:33:43.968756","6.128108000","0.941164000","42","1500","163.181.128.243","443","100.64.0.2","50916","1460","19732","626"
"11:33:43.968800","6.128152000","0.941208000","43","1500","163.181.128.243","443","100.64.0.2","50916","1460","21192","626"
"11:33:44.027916","6.187268000","1.000324000","44","40","100.64.0.2","50916","163.181.128.243","443","0","626","8052"
"11:33:44.030762","6.190114000","1.003170000","45","1500","163.181.128.243","443","100.64.0.2","50916","1460","22652","626"
"11:33:44.030806","6.190158000","1.003214000","46","1500","163.181.128.243","443","100.64.0.2","50916","1460","24112","626"
"11:33:44.091263","6.250615000","1.063671000","47","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.094065","6.253417000","1.066473000","48","1478","163.181.128.243","443","100.64.0.2","50916","1438","25572","626"
"11:33:44.153280","6.312632000","1.125688000","49","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.215499","6.374851000","1.187907000","50","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.277901","6.437253000","1.250309000","51","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.280836","6.440188000","1.253244000","52","1500","163.181.128.243","443","100.64.0.2","50916","1460","9512","626"
"11:33:44.341087","6.500439000","1.313495000","53","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.403214","6.562566000","1.375622000","54","40","100.64.0.2","50916","163.181.128.243","443","0","626","9512"
"11:33:44.465455","6.624807000","1.437863000","55","40","100.64.0.2","50916","163.181.128.243","443","0","626","10972"
"11:33:44.468238","6.627590000","1.440646000","56","1500","163.181.128.243","443","100.64.0.2","50916","1460","10972","626"
"11:33:44.652806","6.812158000","1.625214000","57","40","100.64.0.2","50916","163.181.128.243","443","0","626","12432"
"11:33:44.655585","6.814937000","1.627993000","58","1500","163.181.128.243","443","100.64.0.2","50916","1460","12432","626"
"11:33:44.841276","7.000628000","1.813684000","59","40","100.64.0.2","50916","163.181.128.243","443","0","626","15352"
"11:33:44.844397","7.003749000","1.816805000","60","1500","163.181.128.243","443","100.64.0.2","50916","1460","15352","626"
"11:33:45.028039","7.187391000","2.000447000","61","40","100.64.0.2","50916","163.181.128.243","443","0","626","16812"
"11:33:45.031080","7.190432000","2.003488000","62","1500","163.181.128.243","443","100.64.0.2","50916","1460","16812","626"
"11:33:45.215481","7.374833000","2.187889000","63","40","100.64.0.2","50916","163.181.128.243","443","0","626","18272"
"11:33:45.218237","7.377589000","2.190645000","64","1500","163.181.128.243","443","100.64.0.2","50916","1460","18272","626"
"11:33:45.402894","7.562246000","2.375302000","65","40","100.64.0.2","50916","163.181.128.243","443","0","626","24112"
"11:33:45.405755","7.565107000","2.378163000","66","1500","163.181.128.243","443","100.64.0.2","50916","1460","24112","626"
"11:33:45.590813","7.750165000","2.563221000","67","40","100.64.0.2","50916","163.181.128.243","443","0","626","27010"
"11:33:45.590839","7.750191000","2.563247000","68","40","100.64.0.2","50916","163.181.128.243","443","0","626","27010"
"11:33:45.593724","7.753076000","2.566132000","69","40","163.181.128.243","443","100.64.0.2","50916","0","27010","627"
"11:33:45.778221","7.937573000","2.750629000","70","40","100.64.0.2","50916","163.181.128.243","443","0","627","27011"
