_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:26:42.499323","0.000000000",,"1","55","100.64.0.2",,"1.1.1.1",,,,
"11:26:42.499351","0.000028000",,"2","55","100.64.0.2",,"1.1.1.1",,,,
"11:26:42.547205","0.047882000",,"3","76",,,,,,,
"11:26:42.575315","0.075992000",,"4","76",,,,,,,
"11:26:42.831216","0.331893000",,"5","76",,,,,,,
"11:26:43.311375","0.812052000",,"6","76",,,,,,,
"11:26:46.159098","3.659775000",,"7","48",,,,,,,
"11:26:46.671389","4.172066000",,"8","48",,,,,,,
"11:26:47.498857","4.999534000",,"9","55","100.64.0.2",,"8.8.8.8",,,,
"11:26:47.498886","4.999563000",,"10","55","100.64.0.2",,"8.8.8.8",,,,
"11:26:47.507288","5.007965000",,"11","133","8.8.8.8",,"100.64.0.2",,,,
"11:26:47.507354","5.008031000",,"12","119","8.8.8.8",,"100.64.0.2",,,,
"11:26:47.685376","5.186053000","0.000000000","13","60","100.64.0.2","33530","13.33.88.116","443","0","0","0"
"11:26:47.688460","5.189137000","0.003084000","14","60","13.33.88.116","443","100.64.0.2","33530","0","0","1"
"11:26:47.873681","5.374358000","0.188305000","15","52","100.64.0.2","33530","13.33.88.116","443","0","1","1"
"11:26:47.873704","5.374381000","0.188328000","16","441","100.64.0.2","33530","13.33.88.116","443","389","1","1"
"11:26:47.877069","5.377746000","0.191693000","17","52","13.33.88.116","443","100.64.0.2","33530","0","1","390"
"11:26:47.877690","5.378367000","0.192314000","18","1480","13.33.88.116","443","100.64.0.2","33530","1428","1","390"
"11:26:47.877731","5.378408000","0.192355000","19","1480","13.33.88.116","443","100.64.0.2","33530","1428","1429","390"
"11:26:47.877759","5.378436000","0.192383000","20","1480","13.33.88.116","443","100.64.0.2","33530","1428","2857","390"
"11:26:47.878902","5.379579000","0.193526000","21","1319","13.33.88.116","443","100.64.0.2","33530","1267","4285","390"
"11:26:48.123923","5.624600000","0.438547000","22","52","100.64.0.2","33530","13.33.88.116","443","0","390","1429"
"11:26:48.185516","5.686193000","0.500140000","23","52","100.64.0.2","33530","13.33.88.116","443","0","390","2857"
"11:26:48.185539","5.686216000","0.500163000","24","52","100.64.0.2","33530","13.33.88.116","443","0","390","4285"
"11:26:48.803786","6.304463000","1.118410000","25","1319","13.33.88.116","443","100.64.0.2","33530","1267","4285","390"
"11:26:48.936315","6.436992000","1.250939000","26","52","100.64.0.2","33530","13.33.88.116","443","0","390","5552"
"11:26:48.936342","6.437019000","1.250966000","27","116","100.64.0.2","33530","13.33.88.116","443","64","390","5552"
"11:26:48.938730","6.439407000","1.253354000","28","52","13.33.88.116","443","100.64.0.2","33530","0","5552","454"
"11:26:48.938775","6.439452000","1.253399000","29","198","13.33.88.116","443","100.64.0.2","33530","146","5552","454"
"11:26:49.124354","6.625031000","1.438978000","30","194","100.64.0.2","33530","13.33.88.116","443","142","454","5552"
"11:26:49.124378","6.625055000","1.439002000","31","52","100.64.0.2","33530","13.33.88.116","443","0","596","5698"
"11:26:49.142346","6.643023000","1.456970000","32","1480","13.33.88.116","443","100.64.0.2","33530","1428","5698","596"
"11:26:49.142387","6.643064000","1.457011000","33","148","13.33.88.116","443","100.64.0.2","33530","96","7126","596"
"11:26:49.311182","6.811859000","1.625806000","34","52","100.64.0.2","33530","13.33.88.116","443","0","596","7126"
"11:26:49.373451","6.874128000","1.688075000","35","52","100.64.0.2","33530","13.33.88.116","443","0","596","7222"
"11:26:49.373474","6.874151000","1.688098000","36","52","100.64.0.2","33530","13.33.88.116","443","0","596","7222"
"11:26:49.376317","6.876994000","1.690941000","37","52","13.33.88.116","443","100.64.0.2","33530","0","7222","597"
"11:26:49.561108","7.061785000","1.875732000","38","52","100.64.0.2","33530","13.33.88.116","443","0","597","7223"
