_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:33:51.379370","0.000000000",,"1","76",,,,,,,
"11:33:51.427348","0.047978000",,"2","76",,,,,,,
"11:33:51.435947","0.056577000",,"3","59","100.64.0.2",,"1.1.1.1",,,,
"11:33:51.435976","0.056606000",,"4","59","100.64.0.2",,"1.1.1.1",,,,
"11:33:51.631201","0.251831000",,"5","76",,,,,,,
"11:33:51.823225","0.443855000",,"6","76",,,,,,,
"11:33:54.959051","3.579681000",,"7","48",,,,,,,
"11:33:55.727340","4.347970000",,"8","48",,,,,,,
"11:33:56.435962","5.056592000",,"9","59","100.64.0.2",,"8.8.8.8",,,,
"11:33:56.435990","5.056620000",,"10","59","100.64.0.2",,"8.8.8.8",,,,
"11:33:56.446360","5.066990000",,"11","159","8.8.8.8",,"100.64.0.2",,,,
"11:33:56.446407","5.067037000",,"12","135","8.8.8.8",,"100.64.0.2",,,,
"11:33:56.623087","5.243717000","0.000000000","13","60","100.64.0.2","33134","163.181.128.242","443","0","0","0"
"11:33:56.626228","5.246858000","0.003141000","14","48","163.181.128.242","443","100.64.0.2","33134","0","0","1"
"11:33:56.810632","5.431262000","0.187545000","15","40","100.64.0.2","33134","163.181.128.242","443","0","1","1"
"11:33:56.810660","5.431290000","0.187573000","16","433","100.64.0.2","33134","163.181.128.242","443","393","1","1"
"11:33:56.814197","5.434827000","0.191110000","17","40","163.181.128.242","443","100.64.0.2","33134","0","1","394"
"11:33:56.818493","5.439123000","0.195406000","18","1500","163.181.128.242","443","100.64.0.2","33134","1460","1","394"
"11:33:56.818539","5.439169000","0.195452000","19","1500","163.181.128.242","443","100.64.0.2","33134","1460","1461","394"
"11:33:56.837156","5.457786000","0.214069000","20","1500","163.181.128.242","443","100.64.0.2","33134","1460","2921","394"
"11:33:56.837201","5.457831000","0.214114000","21","201","163.181.128.242","443","100.64.0.2","33134","161","4381","394"
"11:33:57.060506","5.681136000","0.437419000","22","40","100.64.0.2","33134","163.181.128.242","443","0","394","1461"
"11:33:57.122621","5.743251000","0.499534000","23","40","100.64.0.2","33134","163.181.128.242","443","0","394","2921"
"11:33:57.185432","5.806062000","0.562345000","24","40","100.64.0.2","33134","163.181.128.242","443","0","394","4381"
"11:33:57.185455","5.806085000","0.562368000","25","40","100.64.0.2","33134","163.181.128.242","443","0","394","4542"
"11:33:57.185465","5.806095000","0.562378000","26","120","100.64.0.2","33134","163.181.128.242","443","80","394","4542"
"11:33:57.197754","5.818384000","0.574667000","27","335","163.181.128.242","443","100.64.0.2","33134","295","4542","474"
"11:33:57.200330","5.820960000","0.577243000","28","335","163.181.128.242","443","100.64.0.2","33134","295","4837","474"
"11:33:57.373168","5.993798000","0.750081000","29","186","100.64.0.2","33134","163.181.128.242","443","146","474","4837"
"11:33:57.373195","5.993825000","0.750108000","30","40","100.64.0.2","33134","163.181.128.242","443","0","620","5132"
"11:33:57.384626","6.005256000","0.761539000","31","1500","163.181.128.242","443","100.64.0.2","33134","1460","5132","620"
"11:33:57.384672","6.005302000","0.761585000","32","1500","163.181.128.242","443","100.64.0.2","33134","1460","6592","620"
"11:33:57.407348","6.027978000","0.784261000","33","1500","163.181.128.242","443","100.64.0.2","33134","1460","8052","620"
"11:33:57.407394","6.028024000","0.784307000","34","1500","163.181.128.242","443","100.64.0.2","33134","1460","9512","620"
"11:33:57.430220","6.050850000","0.807133000","35","1500","163.181.128.242","443","100.64.0.2","33134","1460","10972","620"
"11:33:57.430266","6.050896000","0.807179000","36","1500","163.181.128.242","443","100.64.0.2","33134","1460","12432","620"
"11:33:57.453004","6.073634000","0.829917000","37","1500","163.181.128.242","443","100.64.0.2","33134","1460","13892","620"
"11:33:57.453050","6.073680000","0.829963000","38","1500","163.181.128.242","443","100.64.0.2","33134","1460","15352","620"
"11:33:57.475725","6.096355000","0.852638000","39","1500","163.181.128.242","443","100.64.0.2","33134","1460","16812","620"
"11:33:57.475765","6.096395000","0.852678000","40","1500","163.181.128.242","443","100.64.0.2","33134","1460","18272","620"
"11:33:57.561020","6.181650000","0.937933000","41","40","100.64.0.2","33134","163.181.128.242","443","0","620","6592"
