_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:32:19.012681","0.000000000",,"1","66","100.64.0.2",,"1.1.1.1",,,,
"11:32:19.012707","0.000026000",,"2","66","100.64.0.2",,"1.1.1.1",,,,
"11:32:19.215330","0.202649000",,"3","76",,,,,,,
"11:32:19.279228","0.266547000",,"4","76",,,,,,,
"11:32:19.535186","0.522505000",,"5","76",,,,,,,
"11:32:19.631222","0.618541000",,"6","76",,,,,,,
"11:32:23.055211","4.042530000",,"7","48",,,,,,,
"11:32:23.055316","4.042635000",,"8","48",,,,,,,
"11:32:24.012852","5.000171000",,"9","66","100.64.0.2",,"8.8.8.8",,,,
"11:32:24.012879","5.000198000",,"10","66","100.64.0.2",,"8.8.8.8",,,,
"11:32:24.019386","5.006705000",,"11","146","8.8.8.8",,"100.64.0.2",,,,
"11:32:24.020667","5.007986000",,"12","139","8.8.8.8",,"100.64.0.2",,,,
"11:32:24.199852","5.187171000","0.000000000","13","60","100.64.0.2","36256","104.244.42.67","443","0","0","0"
"11:32:24.203290","5.190609000","0.003438000","14","60","104.244.42.67","443","100.64.0.2","36256","0","0","1"
"11:32:24.387657","5.374976000","0.187805000","15","52","100.64.0.2","36256","104.244.42.67","443","0","1","1"
"11:32:24.387683","5.375002000","0.187831000","16","452","100.64.0.2","36256","104.244.42.67","443","400","1","1"
"11:32:24.391614","5.378933000","0.191762000","17","52","104.244.42.67","443","100.64.0.2","36256","0","1","401"
"11:32:24.393877","5.381196000","0.194025000","18","1500","104.244.42.67","443","100.64.0.2","36256","1448","1","401"
"11:32:24.393923","5.381242000","0.194071000","19","1500","104.244.42.67","443","100.64.0.2","36256","1448","1449","401"
"11:32:24.393955","5.381274000","0.194103000","20","663","104.244.42.67","443","100.64.0.2","36256","611","2897","401"
"11:32:24.638074","5.625393000","0.438222000","21","52","100.64.0.2","36256","104.244.42.67","443","0","401","1449"
"11:32:24.700170","5.687489000","0.500318000","22","52","100.64.0.2","36256","104.244.42.67","443","0","401","2897"
"11:32:24.700196","5.687515000","0.500344000","23","52","100.64.0.2","36256","104.244.42.67","443","0","401","3508"
"11:32:24.700207","5.687526000","0.500355000","24","132","100.64.0.2","36256","104.244.42.67","443","80","401","3508"
"11:32:24.743155","5.730474000","0.543303000","25","52","104.244.42.67","443","100.64.0.2","36256","0","3508","481"
"11:32:24.887551","5.874870000","0.687699000","26","205","100.64.0.2","36256","104.244.42.67","443","153","481","3508"
"11:32:24.890487","5.877806000","0.690635000","27","52","104.244.42.67","443","100.64.0.2","36256","0","3508","634"
"11:32:25.059769","6.047088000","0.859917000","28","1500","104.244.42.67","443","100.64.0.2","36256","1448","3508","634"
"11:32:25.059815","6.047134000","0.859963000","29","1500","104.244.42.67","443","100.64.0.2","36256","1448","4956","634"
"11:32:25.059851","6.047170000","0.859999000","30","1500","104.244.42.67","443","100.64.0.2","36256","1448","6404","634"
"11:32:25.059862","6.047181000","0.860010000","31","1500","104.244.42.67","443","100.64.0.2","36256","1448","7852","634"
"11:32:25.059891","6.047210000","0.860039000","32","1500","104.244.42.67","443","100.64.0.2","36256","1448","9300","634"
"11:32:25.059903","6.047222000","0.860051000","33","1500","104.244.42.67","443","100.64.0.2","36256","1448","10748","634"
"11:32:25.059930","6.047249000","0.860078000","34","1500","104.244.42.67","443","100.64.0.2","36256","1448","12196","634"
"11:32:25.059941","6.047260000","0.860089000","35","75","104.244.42.67","443","100.64.0.2","36256","23","13644","634"
"11:32:25.199368","6.186687000","0.999516000","36","52","100.64.0.2","36256","104.244.42.67","443","0","634","4956"
"11:32:25.221894","6.209213000","1.022042000","37","1500","104.244.42.67","443","100.64.0.2","36256","1448","13667","634"
"11:32:25.221941","6.209260000","1.022089000","38","1500","104.244.42.67","443","100.64.0.2","36256","1448","15115","634"
"11:32:25.221976","6.209295000","1.022124000","39","1500","104.244.42.67","443","100.64.0.2","36256","1448","16563","634"
"11:32:25.221987","6.209306000","1.022135000","40","1500","104.244.42.67","443","100.64.0.2","36256","1448","18011","634"
"11:32:25.262857","6.250176000","1.063005000","41","52","100.64.0.2","36256","104.244.42.67","443","0","634","6404"
"11:32:25.265746","6.253065000","1.065894000","42","1500","104.244.42.67","443","100.64.0.2","36256","1448","19459","634"
"11:32:25.265788","6.253107000","1.065936000","43","1500","104.244.42.67","443","100.64.0.2","36256","1448","20907","634"
"11:32:25.325217","6.312536000","1.125365000","44","52","100.64.0.2","36256","104.244.42.67","443","0","634","7852"
"11:32:25.327981","6.315300000","1.128129000","45","1500","104.244.42.67","443","100.64.0.2","36256","1448","22355","634"
"11:32:25.328026","6.315345000","1.128174000","46","1500","104.244.42.67","443","100.64.0.2","36256","1448","23803","634"
