_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:32:41.059123","0.000000000",,"1","76",,,,,,,
"11:32:41.092352","0.033229000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:32:41.092376","0.033253000",,"3","62","100.64.0.2",,"1.1.1.1",,,,
"11:32:41.199214","0.140091000",,"4","76",,,,,,,
"11:32:41.615214","0.556091000",,"5","76",,,,,,,
"11:32:41.839354","0.780231000",,"6","76",,,,,,,
"11:32:44.815218","3.756095000",,"7","48",,,,,,,
"11:32:45.071344","4.012221000",,"8","48",,,,,,,
"11:32:46.092554","5.033431000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:32:46.092580","5.033457000",,"10","62","100.64.0.2",,"8.8.8.8",,,,
"11:32:46.097583","5.038460000",,"11","107","8.8.8.8",,"100.64.0.2",,,,
"11:32:46.097632","5.038509000",,"12","119","8.8.8.8",,"100.64.0.2",,,,
"11:32:46.279610","5.220487000","0.000000000","13","60","100.64.0.2","51136","103.102.166.224","443","0","0","0"
"11:32:46.282794","5.223671000","0.003184000","14","60","103.102.166.224","443","100.64.0.2","51136","0","0","1"
"11:32:46.468214","5.409091000","0.188604000","15","52","100.64.0.2","51136","103.102.166.224","443","0","1","1"
"11:32:46.468242","5.409119000","0.188632000","16","448","100.64.0.2","51136","103.102.166.224","443","396","1","1"
"11:32:46.472813","5.413690000","0.193203000","17","1500","103.102.166.224","443","100.64.0.2","51136","1448","1","397"
"11:32:46.472863","5.413740000","0.193253000","18","1500","103.102.166.224","443","100.64.0.2","51136","1448","1449","397"
"11:32:46.472903","5.413780000","0.193293000","19","715","103.102.166.224","443","100.64.0.2","51136","663","2897","397"
"11:32:46.654461","5.595338000","0.374851000","20","52","100.64.0.2","51136","103.102.166.224","443","0","397","1449"
"11:32:46.717763","5.658640000","0.438153000","21","52","100.64.0.2","51136","103.102.166.224","443","0","397","2897"
"11:32:46.780233","5.721110000","0.500623000","22","52","100.64.0.2","51136","103.102.166.224","443","0","397","3560"
"11:32:46.780258","5.721135000","0.500648000","23","132","100.64.0.2","51136","103.102.166.224","443","80","397","3560"
"11:32:46.783054","5.723931000","0.503444000","24","323","103.102.166.224","443","100.64.0.2","51136","271","3560","477"
"11:32:46.783095","5.723972000","0.503485000","25","323","103.102.166.224","443","100.64.0.2","51136","271","3831","477"
"11:32:46.967708","5.908585000","0.688098000","26","215","100.64.0.2","51136","103.102.166.224","443","163","477","3831"
