_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:36:11.429678","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:36:11.429704","0.000026000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:36:11.535229","0.105551000",,"3","76",,,,,,,
"11:36:11.759232","0.329554000",,"4","76",,,,,,,
"11:36:11.791238","0.361560000",,"5","76",,,,,,,
"11:36:12.015338","0.585660000",,"6","76",,,,,,,
"11:36:14.991353","3.561675000",,"7","48",,,,,,,
"11:36:15.247253","3.817575000",,"8","48",,,,,,,
"11:36:16.429781","5.000103000",,"9","58","100.64.0.2",,"8.8.8.8",,,,
"11:36:16.429807","5.000129000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"11:36:16.437128","5.007450000",,"11","114","8.8.8.8",,"100.64.0.2",,,,
"11:36:16.437187","5.007509000",,"12","90","8.8.8.8",,"100.64.0.2",,,,
"11:36:16.616421","5.186743000","0.000000000","13","60","100.64.0.2","60490","104.18.184.10","443","0","0","0"
"11:36:16.619503","5.189825000","0.003082000","14","60","104.18.184.10","443","100.64.0.2","60490","0","0","1"
"11:36:16.805026","5.375348000","0.188605000","15","52","100.64.0.2","60490","104.18.184.10","443","0","1","1"
"11:36:16.805053","5.375375000","0.188632000","16","444","100.64.0.2","60490","104.18.184.10","443","392","1","1"
"11:36:16.808600","5.378922000","0.192179000","17","52","104.18.184.10","443","100.64.0.2","60490","0","1","393"
"11:36:16.809849","5.380171000","0.193428000","18","1500","104.18.184.10","443","100.64.0.2","60490","1448","1","393"
"11:36:16.809894","5.380216000","0.193473000","19","1500","104.18.184.10","443","100.64.0.2","60490","1448","1449","393"
"11:36:16.809929","5.380251000","0.193508000","20","1500","104.18.184.10","443","100.64.0.2","60490","1448","2897","393"
"11:36:16.809940","5.380262000","0.193519000","21","141","104.18.184.10","443","100.64.0.2","60490","89","4345","393"
"11:36:17.054747","5.625069000","0.438326000","22","52","100.64.0.2","60490","104.18.184.10","443","0","393","1449"
"11:36:17.116323","5.686645000","0.499902000","23","52","100.64.0.2","60490","104.18.184.10","443","0","393","2897"
"11:36:17.179691","5.750013000","0.563270000","24","52","100.64.0.2","60490","104.18.184.10","443","0","393","4345"
"11:36:17.179718","5.750040000","0.563297000","25","52","100.64.0.2","60490","104.18.184.10","443","0","393","4434"
"11:36:17.179729","5.750051000","0.563308000","26","132","100.64.0.2","60490","104.18.184.10","443","80","393","4434"
"11:36:17.222695","5.793017000","0.606274000","27","52","104.18.184.10","443","100.64.0.2","60490","0","4434","473"
"11:36:17.366448","5.936770000","0.750027000","28","197","100.64.0.2","60490","104.18.184.10","443","145","473","4434"
"11:36:17.368689","5.939011000","0.752268000","29","52","104.18.184.10","443","100.64.0.2","60490","0","4434","618"
