_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:35:28.565190","0.000000000",,"1","62","100.64.0.2",,"1.1.1.1",,,,
"11:35:28.565216","0.000026000",,"2","62","100.64.0.2",,"1.1.1.1",,,,
"11:35:29.039393","0.474203000",,"3","76",,,,,,,
"11:35:29.071386","0.506196000",,"4","76",,,,,,,
"11:35:29.103215","0.538025000",,"5","76",,,,,,,
"11:35:32.239061","3.673871000",,"6","48",,,,,,,
"11:35:32.239141","3.673951000",,"7","48",,,,,,,
"11:35:33.564648","4.999458000",,"8","62","100.64.0.2",,"8.8.8.8",,,,
"11:35:33.564676","4.999486000",,"9","62","100.64.0.2",,"8.8.8.8",,,,
"11:35:33.570146","5.004956000",,"10","165","8.8.8.8",,"100.64.0.2",,,,
"11:35:33.573162","5.007972000",,"11","142","8.8.8.8",,"100.64.0.2",,,,
"11:35:33.751439","5.186249000","0.000000000","12","60","100.64.0.2","44574","104.18.50.179","443","0","0","0"
"11:35:33.998908","5.433718000","0.247469000","13","60","104.18.50.179","443","100.64.0.2","44574","0","0","1"
"11:35:34.126706","5.561516000","0.375267000","14","52","100.64.0.2","44574","104.18.50.179","443","0","1","1"
"11:35:34.126734","5.561544000","0.375295000","15","448","100.64.0.2","44574","104.18.50.179","443","396","1","1"
"11:35:34.374692","5.809502000","0.623253000","16","52","104.18.50.179","443","100.64.0.2","44574","0","1","397"
"11:35:34.377301","5.812111000","0.625862000","17","1500","104.18.50.179","443","100.64.0.2","44574","1448","1","397"
"11:35:34.377346","5.812156000","0.625907000","18","1194","104.18.50.179","443","100.64.0.2","44574","1142","1449","397"
"11:35:34.565131","5.999941000","0.813692000","19","52","100.64.0.2","44574","104.18.50.179","443","0","397","1449"
"11:35:34.626680","6.061490000","0.875241000","20","52","100.64.0.2","44574","104.18.50.179","443","0","397","2591"
"11:35:34.626706","6.061516000","0.875267000","21","132","100.64.0.2","44574","104.18.50.179","443","80","397","2591"
"11:35:34.921800","6.356610000","1.170361000","22","52","104.18.50.179","443","100.64.0.2","44574","0","2591","477"
"11:35:35.064391","6.499201000","1.312952000","23","213","100.64.0.2","44574","104.18.50.179","443","161","477","2591"
"11:35:35.317071","6.751881000","1.565632000","24","52","104.18.50.179","443","100.64.0.2","44574","0","2591","638"
"11:35:35.508538","6.943348000","1.757099000","25","1500","104.18.50.179","443","100.64.0.2","44574","1448","2591","638"
