_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:21:24.569724","0.000000000",,"1","61","100.64.0.2",,"1.1.1.1",,,,
"11:21:24.569753","0.000029000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:21:24.687918","0.118194000",,"3","76",,,,,,,
"11:21:24.687942","0.118218000",,"4","48",,,,,,,
"11:21:24.699252","0.129528000",,"5","76",,,,,,,
"11:21:24.847351","0.277627000",,"6","76",,,,,,,
"11:21:25.135225","0.565501000",,"7","76",,,,,,,
"11:21:25.199230","0.629506000",,"8","76",,,,,,,
"11:21:25.423325","0.853601000",,"9","76",,,,,,,
"11:21:28.463220","3.893496000",,"10","48",,,,,,,
"11:21:28.719137","4.149413000",,"11","48",,,,,,,
"11:21:29.569855","5.000131000",,"12","61","100.64.0.2",,"8.8.8.8",,,,
"11:21:29.569891","5.000167000",,"13","61","100.64.0.2",,"8.8.8.8",,,,
"11:21:29.575182","5.005458000",,"14","105","8.8.8.8",,"100.64.0.2",,,,
"11:21:29.654090","5.084366000",,"15","89","8.8.8.8",,"100.64.0.2",,,,
"11:21:29.819926","5.250202000","0.000000000","16","60","100.64.0.2","34216","183.79.249.124","443","0","0","0"
"11:21:29.911849","5.342125000","0.091923000","17","60","183.79.249.124","443","100.64.0.2","34216","0","0","1"
"11:21:30.069630","5.499906000","0.249704000","18","52","100.64.0.2","34216","183.79.249.124","443","0","1","1"
"11:21:30.069663","5.499939000","0.249737000","19","447","100.64.0.2","34216","183.79.249.124","443","395","1","1"
"11:21:30.157101","5.587377000","0.337175000","20","52","183.79.249.124","443","100.64.0.2","34216","0","1","396"
"11:21:30.157866","5.588142000","0.337940000","21","1500","183.79.249.124","443","100.64.0.2","34216","1448","1","396"
"11:21:30.157915","5.588191000","0.337989000","22","1500","183.79.249.124","443","100.64.0.2","34216","1448","1449","396"
"11:21:30.157955","5.588231000","0.338029000","23","1252","183.79.249.124","443","100.64.0.2","34216","1200","2897","396"
"11:21:30.158313","5.588589000","0.338387000","24","1500","183.79.249.124","443","100.64.0.2","34216","1448","4097","396"
"11:21:30.158361","5.588637000","0.338435000","25","365","183.79.249.124","443","100.64.0.2","34216","313","5545","396"
"11:21:30.381489","5.811765000","0.561563000","26","52","100.64.0.2","34216","183.79.249.124","443","0","396","1449"
"11:21:30.444618","5.874894000","0.624692000","27","52","100.64.0.2","34216","183.79.249.124","443","0","396","2897"
"11:21:30.444648","5.874924000","0.624722000","28","52","100.64.0.2","34216","183.79.249.124","443","0","396","4097"
"11:21:30.506808","5.937084000","0.686882000","29","52","100.64.0.2","34216","183.79.249.124","443","0","396","4097"
"11:21:31.334429","6.764705000","1.514503000","30","1500","183.79.249.124","443","100.64.0.2","34216","1448","4097","396"
"11:21:31.506773","6.937049000","1.686847000","31","52","100.64.0.2","34216","183.79.249.124","443","0","396","5858"
"11:21:31.506798","6.937074000","1.686872000","32","116","100.64.0.2","34216","183.79.249.124","443","64","396","5858"
"11:21:31.609219","7.039495000","1.789293000","33","339","183.79.249.124","443","100.64.0.2","34216","287","5858","460"
"11:21:31.609267","7.039543000","1.789341000","34","339","183.79.249.124","443","100.64.0.2","34216","287","6145","460"
"11:21:31.756759","7.187035000","1.936833000","35","200","100.64.0.2","34216","183.79.249.124","443","148","460","6145"
"11:21:31.756785","7.187061000","1.936859000","36","52","100.64.0.2","34216","183.79.249.124","443","0","608","6432"
"11:21:31.898638","7.328914000","2.078712000","37","980","183.79.249.124","443","100.64.0.2","34216","928","6432","608"
"11:21:31.898681","7.328957000","2.078755000","38","94","183.79.249.124","443","100.64.0.2","34216","42","7360","608"
"11:21:31.901437","7.331713000","2.081511000","39","1500","183.79.249.124","443","100.64.0.2","34216","1448","7402","608"
"11:21:31.901480","7.331756000","2.081554000","40","1500","183.79.249.124","443","100.64.0.2","34216","1448","8850","608"
