_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:19:21.651003","0.000000000",,"1","76",,,,,,,
"11:19:21.823091","0.172088000",,"2","61","100.64.0.2",,"1.1.1.1",,,,
"11:19:21.823116","0.172113000",,"3","61","100.64.0.2",,"1.1.1.1",,,,
"11:19:21.871043","0.220040000",,"4","76",,,,,,,
"11:19:22.031589","0.380586000",,"5","76",,,,,,,
"11:19:22.031597","0.380594000",,"6","48",,,,,,,
"11:19:22.043105","0.392102000",,"7","76",,,,,,,
"11:19:22.959137","1.308134000",,"8","76",,,,,,,
"11:19:23.023132","1.372129000",,"9","76",,,,,,,
"11:19:25.327232","3.676229000",,"10","48",,,,,,,
"11:19:26.351340","4.700337000",,"11","48",,,,,,,
"11:19:26.822877","5.171874000",,"12","61","100.64.0.2",,"8.8.8.8",,,,
"11:19:26.822904","5.171901000",,"13","61","100.64.0.2",,"8.8.8.8",,,,
"11:19:26.828724","5.177721000",,"14","351","8.8.8.8",,"100.64.0.2",,,,
"11:19:26.828764","5.177761000",,"15","207","8.8.8.8",,"100.64.0.2",,,,
"11:19:27.010480","5.359477000","0.000000000","16","60","100.64.0.2","47130","142.251.12.190","443","0","0","0"
"11:19:27.013766","5.362763000","0.003286000","17","60","142.251.12.190","443","100.64.0.2","47130","0","0","1"
"11:19:27.198236","5.547233000","0.187756000","18","52","100.64.0.2","47130","142.251.12.190","443","0","1","1"
"11:19:27.198265","5.547262000","0.187785000","19","447","100.64.0.2","47130","142.251.12.190","443","395","1","1"
"11:19:27.202152","5.551149000","0.191672000","20","52","142.251.12.190","443","100.64.0.2","47130","0","1","396"
"11:19:27.203576","5.552573000","0.193096000","21","1452","142.251.12.190","443","100.64.0.2","47130","1400","1","396"
"11:19:27.203621","5.552618000","0.193141000","22","1452","142.251.12.190","443","100.64.0.2","47130","1400","1401","396"
"11:19:27.203657","5.552654000","0.193177000","23","1452","142.251.12.190","443","100.64.0.2","47130","1400","2801","396"
"11:19:27.203667","5.552664000","0.193187000","24","1452","142.251.12.190","443","100.64.0.2","47130","1400","4201","396"
"11:19:27.203692","5.552689000","0.193212000","25","1228","142.251.12.190","443","100.64.0.2","47130","1176","5601","396"
"11:19:27.447815","5.796812000","0.437335000","26","52","100.64.0.2","47130","142.251.12.190","443","0","396","1401"
"11:19:27.447842","5.796839000","0.437362000","27","52","100.64.0.2","47130","142.251.12.190","443","0","396","2801"
"11:19:27.511161","5.860158000","0.500681000","28","52","100.64.0.2","47130","142.251.12.190","443","0","396","4201"
"11:19:28.121698","6.470695000","1.111218000","29","1452","142.251.12.190","443","100.64.0.2","47130","1400","4201","396"
"11:19:28.260527","6.609524000","1.250047000","30","52","100.64.0.2","47130","142.251.12.190","443","0","396","5601"
"11:19:28.263103","6.612100000","1.252623000","31","1228","142.251.12.190","443","100.64.0.2","47130","1176","5601","396"
"11:19:28.447655","6.796652000","1.437175000","32","52","100.64.0.2","47130","142.251.12.190","443","0","396","6777"
"11:19:28.447679","6.796676000","1.437199000","33","132","100.64.0.2","47130","142.251.12.190","443","80","396","6777"
"11:19:28.454598","6.803595000","1.444118000","34","52","142.251.12.190","443","100.64.0.2","47130","0","6777","476"
"11:19:28.636214","6.985211000","1.625734000","35","200","100.64.0.2","47130","142.251.12.190","443","148","476","6777"
"11:19:28.638875","6.987872000","1.628395000","36","52","142.251.12.190","443","100.64.0.2","47130","0","6777","624"
"11:19:28.731865","7.080862000","1.721385000","37","1452","142.251.12.190","443","100.64.0.2","47130","1400","6777","624"
"11:19:28.731910","7.080907000","1.721430000","38","1017","142.251.12.190","443","100.64.0.2","47130","965","8177","624"
"11:19:28.731945","7.080942000","1.721465000","39","1452","142.251.12.190","443","100.64.0.2","47130","1400","9142","624"
"11:19:28.731956","7.080953000","1.721476000","40","445","142.251.12.190","443","100.64.0.2","47130","393","10542","624"
"11:19:28.740149","7.089146000","1.729669000","41","1452","142.251.12.190","443","100.64.0.2","47130","1400","10935","624"
"11:19:28.885861","7.234858000","1.875381000","42","52","100.64.0.2","47130","142.251.12.190","443","0","624","8177"
"11:19:28.888614","7.237611000","1.878134000","43","1452","142.251.12.190","443","100.64.0.2","47130","1400","12335","624"
"11:19:28.888654","7.237651000","1.878174000","44","1452","142.251.12.190","443","100.64.0.2","47130","1400","13735","624"
"11:19:28.895250","7.244247000","1.884770000","45","1452","142.251.12.190","443","100.64.0.2","47130","1400","15135","624"
"11:19:28.895290","7.244287000","1.884810000","46","1452","142.251.12.190","443","100.64.0.2","47130","1400","16535","624"
"11:19:28.908247","7.257244000","1.897767000","47","1452","142.251.12.190","443","100.64.0.2","47130","1400","17935","624"
"11:19:28.908288","7.257285000","1.897808000","48","1452","142.251.12.190","443","100.64.0.2","47130","1400","19335","624"
"11:19:28.921427","7.270424000","1.910947000","49","1452","142.251.12.190","443","100.64.0.2","47130","1400","20735","624"
"11:19:28.921467","7.270464000","1.910987000","50","1452","142.251.12.190","443","100.64.0.2","47130","1400","22135","624"
"11:19:28.934472","7.283469000","1.923992000","51","1452","142.251.12.190","443","100.64.0.2","47130","1400","23535","624"
"11:19:28.934513","7.283510000","1.924033000","52","1452","142.251.12.190","443","100.64.0.2","47130","1400","24935","624"
"11:19:28.947984","7.296981000","1.937504000","53","52","100.64.0.2","47130","142.251.12.190","443","0","624","9142"
"11:19:28.950681","7.299678000","1.940201000","54","1452","142.251.12.190","443","100.64.0.2","47130","1400","26335","624"
"11:19:28.950721","7.299718000","1.940241000","55","1452","142.251.12.190","443","100.64.0.2","47130","1400","27735","624"
"11:19:29.010732","7.359729000","2.000252000","56","52","100.64.0.2","47130","142.251.12.190","443","0","624","10542"
"11:19:29.010758","7.359755000","2.000278000","57","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.013209","7.362206000","2.002729000","58","1452","142.251.12.190","443","100.64.0.2","47130","1400","29135","624"
"11:19:29.013254","7.362251000","2.002774000","59","1452","142.251.12.190","443","100.64.0.2","47130","1400","30535","624"
"11:19:29.019823","7.368820000","2.009343000","60","1452","142.251.12.190","443","100.64.0.2","47130","1400","31935","624"
"11:19:29.019868","7.368865000","2.009388000","61","1452","142.251.12.190","443","100.64.0.2","47130","1400","33335","624"
"11:19:29.073274","7.422271000","2.062794000","62","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.136050","7.485047000","2.125570000","63","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.138778","7.487775000","2.128298000","64","1452","142.251.12.190","443","100.64.0.2","47130","1400","34735","624"
"11:19:29.138819","7.487816000","2.128339000","65","1452","142.251.12.190","443","100.64.0.2","47130","1400","36135","624"
"11:19:29.197665","7.546662000","2.187185000","66","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.200374","7.549371000","2.189894000","67","1452","142.251.12.190","443","100.64.0.2","47130","1400","37535","624"
"11:19:29.200414","7.549411000","2.189934000","68","1452","142.251.12.190","443","100.64.0.2","47130","1400","38935","624"
"11:19:29.260884","7.609881000","2.250404000","69","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.263489","7.612486000","2.253009000","70","1452","142.251.12.190","443","100.64.0.2","47130","1400","10935","624"
"11:19:29.266886","7.615883000","2.256406000","71","1452","142.251.12.190","443","100.64.0.2","47130","1400","40335","624"
"11:19:29.266931","7.615928000","2.256451000","72","1452","142.251.12.190","443","100.64.0.2","47130","1400","41735","624"
"11:19:29.322427","7.671424000","2.311947000","73","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.325174","7.674171000","2.314694000","74","1452","142.251.12.190","443","100.64.0.2","47130","1400","43135","624"
"11:19:29.386167","7.735164000","2.375687000","75","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.388754","7.737751000","2.378274000","76","1452","142.251.12.190","443","100.64.0.2","47130","1400","44535","624"
"11:19:29.447765","7.796762000","2.437285000","77","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.450457","7.799454000","2.439977000","78","1452","142.251.12.190","443","100.64.0.2","47130","1400","45935","624"
"11:19:29.510874","7.859871000","2.500394000","79","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.513274","7.862271000","2.502794000","80","1452","142.251.12.190","443","100.64.0.2","47130","1400","47335","624"
"11:19:29.572437","7.921434000","2.561957000","81","52","100.64.0.2","47130","142.251.12.190","443","0","624","10935"
"11:19:29.575121","7.924118000","2.564641000","82","1452","142.251.12.190","443","100.64.0.2","47130","1400","48735","624"
"11:19:29.636165","7.985162000","2.625685000","83","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.638769","7.987766000","2.628289000","84","1452","142.251.12.190","443","100.64.0.2","47130","1400","16535","624"
"11:19:29.642096","7.991093000","2.631616000","85","1452","142.251.12.190","443","100.64.0.2","47130","1400","50135","624"
"11:19:29.697749","8.046746000","2.687269000","86","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.700451","8.049448000","2.689971000","87","1452","142.251.12.190","443","100.64.0.2","47130","1400","51535","624"
"11:19:29.760622","8.109619000","2.750142000","88","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.763277","8.112274000","2.752797000","89","1452","142.251.12.190","443","100.64.0.2","47130","1400","52935","624"
"11:19:29.822780","8.171777000","2.812300000","90","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.825369","8.174366000","2.814889000","91","1452","142.251.12.190","443","100.64.0.2","47130","1400","54335","624"
"11:19:29.885927","8.234924000","2.875447000","92","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.888520","8.237517000","2.878040000","93","1452","142.251.12.190","443","100.64.0.2","47130","1400","55735","624"
"11:19:29.948021","8.297018000","2.937541000","94","52","100.64.0.2","47130","142.251.12.190","443","0","624","16535"
"11:19:29.950750","8.299747000","2.940270000","95","1452","142.251.12.190","443","100.64.0.2","47130","1400","57135","624"
"11:19:30.011135","8.360132000","3.000655000","96","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.013696","8.362693000","3.003216000","97","1452","142.251.12.190","443","100.64.0.2","47130","1400","17935","624"
"11:19:30.017065","8.366062000","3.006585000","98","1452","142.251.12.190","443","100.64.0.2","47130","1400","58535","624"
"11:19:30.072216","8.421213000","3.061736000","99","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.074868","8.423865000","3.064388000","100","1452","142.251.12.190","443","100.64.0.2","47130","1400","59935","624"
"11:19:30.135241","8.484238000","3.124761000","101","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.137377","8.486374000","3.126897000","102","1452","142.251.12.190","443","100.64.0.2","47130","1400","61335","624"
"11:19:30.197669","8.546666000","3.187189000","103","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.200391","8.549388000","3.189911000","104","1452","142.251.12.190","443","100.64.0.2","47130","1400","62735","624"
"11:19:30.261126","8.610123000","3.250646000","105","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.263873","8.612870000","3.253393000","106","1452","142.251.12.190","443","100.64.0.2","47130","1400","64135","624"
"11:19:30.322934","8.671931000","3.312454000","107","52","100.64.0.2","47130","142.251.12.190","443","0","624","17935"
"11:19:30.325520","8.674517000","3.315040000","108","1452","142.251.12.190","443","100.64.0.2","47130","1400","65535","624"
"11:19:30.386069","8.735066000","3.375589000","109","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.388665","8.737662000","3.378185000","110","1452","142.251.12.190","443","100.64.0.2","47130","1400","19335","624"
"11:19:30.391940","8.740937000","3.381460000","111","1452","142.251.12.190","443","100.64.0.2","47130","1400","66935","624"
"11:19:30.447436","8.796433000","3.436956000","112","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.450015","8.799012000","3.439535000","113","1452","142.251.12.190","443","100.64.0.2","47130","1400","68335","624"
"11:19:30.510391","8.859388000","3.499911000","114","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.513173","8.862170000","3.502693000","115","1452","142.251.12.190","443","100.64.0.2","47130","1400","69735","624"
"11:19:30.572568","8.921565000","3.562088000","116","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.575070","8.924067000","3.564590000","117","1452","142.251.12.190","443","100.64.0.2","47130","1400","71135","624"
"11:19:30.635583","8.984580000","3.625103000","118","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.638042","8.987039000","3.627562000","119","1452","142.251.12.190","443","100.64.0.2","47130","1400","72535","624"
"11:19:30.697786","9.046783000","3.687306000","120","52","100.64.0.2","47130","142.251.12.190","443","0","624","19335"
"11:19:30.700394","9.049391000","3.689914000","121","1452","142.251.12.190","443","100.64.0.2","47130","1400","73935","624"
"11:19:30.760739","9.109736000","3.750259000","122","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:30.763350","9.112347000","3.752870000","123","1452","142.251.12.190","443","100.64.0.2","47130","1400","20735","624"
"11:19:30.822847","9.171844000","3.812367000","124","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:30.886117","9.235114000","3.875637000","125","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:30.947515","9.296512000","3.937035000","126","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:30.947541","9.296538000","3.937061000","127","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:31.010538","9.359535000","4.000058000","128","52","100.64.0.2","47130","142.251.12.190","443","0","624","20735"
"11:19:31.072640","9.421637000","4.062160000","129","52","100.64.0.2","47130","142.251.12.190","443","0","624","22135"
"11:19:31.834706","10.183703000","4.824226000","130","1452","142.251.12.190","443","100.64.0.2","47130","1400","22135","624"
"11:19:32.010525","10.359522000","5.000045000","131","52","100.64.0.2","47130","142.251.12.190","443","0","624","23535"
"11:19:32.013730","10.362727000","5.003250000","132","1452","142.251.12.190","443","100.64.0.2","47130","1400","23535","624"
"11:19:32.013775","10.362772000","5.003295000","133","1452","142.251.12.190","443","100.64.0.2","47130","1400","24935","624"
"11:19:32.076722","10.425719000","5.066242000","134","1452","142.251.12.190","443","100.64.0.2","47130","1400","26335","624"
"11:19:32.076766","10.425763000","5.066286000","135","1452","142.251.12.190","443","100.64.0.2","47130","1400","27735","624"
"11:19:32.197466","10.546463000","5.186986000","136","52","100.64.0.2","47130","142.251.12.190","443","0","624","24935"
"11:19:32.202730","10.551727000","5.192250000","137","1452","142.251.12.190","443","100.64.0.2","47130","1400","29135","624"
"11:19:32.202772","10.551769000","5.192292000","138","1452","142.251.12.190","443","100.64.0.2","47130","1400","30535","624"
"11:19:32.260383","10.609380000","5.249903000","139","52","100.64.0.2","47130","142.251.12.190","443","0","624","30535"
"11:19:32.322551","10.671548000","5.312071000","140","52","100.64.0.2","47130","142.251.12.190","443","0","624","30535"
"11:19:32.328701","10.677698000","5.318221000","141","1452","142.251.12.190","443","100.64.0.2","47130","1400","31935","624"
"11:19:32.328745","10.677742000","5.318265000","142","1452","142.251.12.190","443","100.64.0.2","47130","1400","33335","624"
"11:19:32.385473","10.734470000","5.374993000","143","52","100.64.0.2","47130","142.251.12.190","443","0","624","30535"
"11:19:32.447569","10.796566000","5.437089000","144","52","100.64.0.2","47130","142.251.12.190","443","0","624","30535"
"11:19:32.454571","10.803568000","5.444091000","145","1452","142.251.12.190","443","100.64.0.2","47130","1400","34735","624"
"11:19:32.454611","10.803608000","5.444131000","146","1452","142.251.12.190","443","100.64.0.2","47130","1400","36135","624"
"11:19:32.510406","10.859403000","5.499926000","147","52","100.64.0.2","47130","142.251.12.190","443","0","624","31935"
"11:19:32.572896","10.921893000","5.562416000","148","52","100.64.0.2","47130","142.251.12.190","443","0","624","33335"
"11:19:32.635892","10.984889000","5.625412000","149","52","100.64.0.2","47130","142.251.12.190","443","0","624","38935"
"11:19:32.643652","10.992649000","5.633172000","150","1452","142.251.12.190","443","100.64.0.2","47130","1400","38935","624"
"11:19:32.698146","11.047143000","5.687666000","151","52","100.64.0.2","47130","142.251.12.190","443","0","624","38935"
"11:19:32.706680","11.055677000","5.696200000","152","1452","142.251.12.190","443","100.64.0.2","47130","1400","40335","624"
"11:19:32.760460","11.109457000","5.749980000","153","52","100.64.0.2","47130","142.251.12.190","443","0","624","38935"
"11:19:32.769658","11.118655000","5.759178000","154","1452","142.251.12.190","443","100.64.0.2","47130","1400","41735","624"
"11:19:32.822373","11.171370000","5.811893000","155","52","100.64.0.2","47130","142.251.12.190","443","0","624","40335"
"11:19:32.832579","11.181576000","5.822099000","156","1452","142.251.12.190","443","100.64.0.2","47130","1400","43135","624"
"11:19:32.885420","11.234417000","5.874940000","157","52","100.64.0.2","47130","142.251.12.190","443","0","624","41735"
