_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:21:00.755167","0.000000000",,"1","76",,,,,,,
"11:21:00.766835","0.011668000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:21:00.766860","0.011693000",,"3","58","100.64.0.2",,"1.1.1.1",,,,
"11:21:00.823328","0.068161000",,"4","76",,,,,,,
"11:21:00.911254","0.156087000",,"5","76",,,,,,,
"11:21:00.911275","0.156108000",,"6","48",,,,,,,
"11:21:00.923169","0.168002000",,"7","76",,,,,,,
"11:21:01.031218","0.276051000",,"8","76",,,,,,,
"11:21:01.359213","0.604046000",,"9","76",,,,,,,
"11:21:04.399363","3.644196000",,"10","48",,,,,,,
"11:21:04.911212","4.156045000",,"11","48",,,,,,,
"11:21:05.767019","5.011852000",,"12","58","100.64.0.2",,"8.8.8.8",,,,
"11:21:05.767055","5.011888000",,"13","58","100.64.0.2",,"8.8.8.8",,,,
"11:21:05.775690","5.020523000",,"14","171","8.8.8.8",,"100.64.0.2",,,,
"11:21:05.849887","5.094720000",,"15","231","8.8.8.8",,"100.64.0.2",,,,
"11:21:06.017043","5.261876000","0.000000000","16","60","100.64.0.2","45002","104.17.204.159","443","0","0","0"
"11:21:06.020807","5.265640000","0.003764000","17","60","104.17.204.159","443","100.64.0.2","45002","0","0","1"
"11:21:06.203348","5.448181000","0.186305000","18","52","100.64.0.2","45002","104.17.204.159","443","0","1","1"
"11:21:06.203374","5.448207000","0.186331000","19","444","100.64.0.2","45002","104.17.204.159","443","392","1","1"
"11:21:06.207468","5.452301000","0.190425000","20","52","104.17.204.159","443","100.64.0.2","45002","0","1","393"
"11:21:06.211240","5.456073000","0.194197000","21","1500","104.17.204.159","443","100.64.0.2","45002","1448","1","393"
"11:21:06.211280","5.456113000","0.194237000","22","1090","104.17.204.159","443","100.64.0.2","45002","1038","1449","393"
"11:21:06.454115","5.698948000","0.437072000","23","52","100.64.0.2","45002","104.17.204.159","443","0","393","1449"
"11:21:06.454125","5.698958000","0.437082000","24","52","100.64.0.2","45002","104.17.204.159","443","0","393","2487"
"11:21:06.454128","5.698961000","0.437085000","25","137","100.64.0.2","45002","104.17.204.159","443","85","393","2487"
"11:21:06.457342","5.702175000","0.440299000","26","302","104.17.204.159","443","100.64.0.2","45002","250","2487","478"
"11:21:06.642161","5.886994000","0.625118000","27","52","100.64.0.2","45002","104.17.204.159","443","0","478","2737"
"11:21:06.642185","5.887018000","0.625142000","28","272","100.64.0.2","45002","104.17.204.159","443","220","478","2737"
"11:21:06.686069","5.930902000","0.669026000","29","52","104.17.204.159","443","100.64.0.2","45002","0","2737","698"
"11:21:08.375656","7.620489000","2.358613000","30","1442","104.17.204.159","443","100.64.0.2","45002","1390","2737","698"
"11:21:08.375702","7.620535000","2.358659000","31","1442","104.17.204.159","443","100.64.0.2","45002","1390","4127","698"
"11:21:08.375739","7.620572000","2.358696000","32","1500","104.17.204.159","443","100.64.0.2","45002","1448","5517","698"
"11:21:08.375749","7.620582000","2.358706000","33","1384","104.17.204.159","443","100.64.0.2","45002","1332","6965","698"
"11:21:08.375779","7.620612000","2.358736000","34","1442","104.17.204.159","443","100.64.0.2","45002","1390","8297","698"
"11:21:08.375789","7.620622000","2.358746000","35","1500","104.17.204.159","443","100.64.0.2","45002","1448","9687","698"
"11:21:08.375815","7.620648000","2.358772000","36","1384","104.17.204.159","443","100.64.0.2","45002","1332","11135","698"
"11:21:08.376416","7.621249000","2.359373000","37","1500","104.17.204.159","443","100.64.0.2","45002","1448","12467","698"
"11:21:08.376459","7.621292000","2.359416000","38","1500","104.17.204.159","443","100.64.0.2","45002","1448","13915","698"
"11:21:08.376490","7.621323000","2.359447000","39","1326","104.17.204.159","443","100.64.0.2","45002","1274","15363","698"
"11:21:08.376956","7.621789000","2.359913000","40","1500","104.17.204.159","443","100.64.0.2","45002","1448","16637","698"
"11:21:08.376995","7.621828000","2.359952000","41","1500","104.17.204.159","443","100.64.0.2","45002","1448","18085","698"
"11:21:08.377025","7.621858000","2.359982000","42","1500","104.17.204.159","443","100.64.0.2","45002","1448","19533","698"
"11:21:08.377861","7.622694000","2.360818000","43","1500","104.17.204.159","443","100.64.0.2","45002","1448","20981","698"
"11:21:08.377906","7.622739000","2.360863000","44","1500","104.17.204.159","443","100.64.0.2","45002","1448","22429","698"
"11:21:08.377936","7.622769000","2.360893000","45","1500","104.17.204.159","443","100.64.0.2","45002","1448","23877","698"
"11:21:08.378647","7.623480000","2.361604000","46","1500","104.17.204.159","443","100.64.0.2","45002","1448","25325","698"
"11:21:08.378692","7.623525000","2.361649000","47","1500","104.17.204.159","443","100.64.0.2","45002","1448","26773","698"
"11:21:08.378723","7.623556000","2.361680000","48","1500","104.17.204.159","443","100.64.0.2","45002","1448","28221","698"
"11:21:08.379463","7.624296000","2.362420000","49","1500","104.17.204.159","443","100.64.0.2","45002","1448","29669","698"
"11:21:08.379506","7.624339000","2.362463000","50","1500","104.17.204.159","443","100.64.0.2","45002","1448","31117","698"
"11:21:08.379536","7.624369000","2.362493000","51","1500","104.17.204.159","443","100.64.0.2","45002","1448","32565","698"
"11:21:08.380339","7.625172000","2.363296000","52","1500","104.17.204.159","443","100.64.0.2","45002","1448","34013","698"
"11:21:08.380384","7.625217000","2.363341000","53","1500","104.17.204.159","443","100.64.0.2","45002","1448","35461","698"
"11:21:08.380418","7.625251000","2.363375000","54","1500","104.17.204.159","443","100.64.0.2","45002","1448","36909","698"
"11:21:08.381105","7.625938000","2.364062000","55","1500","104.17.204.159","443","100.64.0.2","45002","1448","38357","698"
"11:21:08.381151","7.625984000","2.364108000","56","1500","104.17.204.159","443","100.64.0.2","45002","1448","39805","698"
"11:21:08.381181","7.626014000","2.364138000","57","1500","104.17.204.159","443","100.64.0.2","45002","1448","41253","698"
"11:21:08.381821","7.626654000","2.364778000","58","1500","104.17.204.159","443","100.64.0.2","45002","1448","42701","698"
"11:21:08.381866","7.626699000","2.364823000","59","1500","104.17.204.159","443","100.64.0.2","45002","1448","44149","698"
"11:21:08.381897","7.626730000","2.364854000","60","1500","104.17.204.159","443","100.64.0.2","45002","1448","45597","698"
"11:21:08.382632","7.627465000","2.365589000","61","1500","104.17.204.159","443","100.64.0.2","45002","1448","47045","698"
"11:21:08.382675","7.627508000","2.365632000","62","1500","104.17.204.159","443","100.64.0.2","45002","1448","48493","698"
"11:21:08.382706","7.627539000","2.365663000","63","1500","104.17.204.159","443","100.64.0.2","45002","1448","49941","698"
"11:21:08.383394","7.628227000","2.366351000","64","1500","104.17.204.159","443","100.64.0.2","45002","1448","51389","698"
"11:21:08.383438","7.628271000","2.366395000","65","1500","104.17.204.159","443","100.64.0.2","45002","1448","52837","698"
"11:21:08.383468","7.628301000","2.366425000","66","1500","104.17.204.159","443","100.64.0.2","45002","1448","54285","698"
"11:21:08.384190","7.629023000","2.367147000","67","1500","104.17.204.159","443","100.64.0.2","45002","1448","55733","698"
"11:21:08.384229","7.629062000","2.367186000","68","1500","104.17.204.159","443","100.64.0.2","45002","1448","57181","698"
"11:21:08.384258","7.629091000","2.367215000","69","1500","104.17.204.159","443","100.64.0.2","45002","1448","58629","698"
"11:21:08.384935","7.629768000","2.367892000","70","1500","104.17.204.159","443","100.64.0.2","45002","1448","60077","698"
"11:21:08.385201","7.630034000","2.368158000","71","1500","104.17.204.159","443","100.64.0.2","45002","1448","61525","698"
"11:21:08.385238","7.630071000","2.368195000","72","1500","104.17.204.159","443","100.64.0.2","45002","1448","62973","698"
"11:21:08.385268","7.630101000","2.368225000","73","1500","104.17.204.159","443","100.64.0.2","45002","1448","64421","698"
"11:21:08.516843","7.761676000","2.499800000","74","52","100.64.0.2","45002","104.17.204.159","443","0","698","4127"
"11:21:08.520001","7.764834000","2.502958000","75","1500","104.17.204.159","443","100.64.0.2","45002","1448","65869","698"
"11:21:08.520049","7.764882000","2.503006000","76","990","104.17.204.159","443","100.64.0.2","45002","938","67317","698"
"11:21:08.579130","7.823963000","2.562087000","77","52","100.64.0.2","45002","104.17.204.159","443","0","698","5517"
"11:21:08.641462","7.886295000","2.624419000","78","52","100.64.0.2","45002","104.17.204.159","443","0","698","6965"
"11:21:08.644644","7.889477000","2.627601000","79","1500","104.17.204.159","443","100.64.0.2","45002","1448","68255","698"
"11:21:08.644689","7.889522000","2.627646000","80","1442","104.17.204.159","443","100.64.0.2","45002","1390","69703","698"
"11:21:08.703830","7.948663000","2.686787000","81","52","100.64.0.2","45002","104.17.204.159","443","0","698","6965"
"11:21:08.767094","8.011927000","2.750051000","82","52","100.64.0.2","45002","104.17.204.159","443","0","698","6965"
"11:21:08.829219","8.074052000","2.812176000","83","52","100.64.0.2","45002","104.17.204.159","443","0","698","6965"
"11:21:08.832319","8.077152000","2.815276000","84","1384","104.17.204.159","443","100.64.0.2","45002","1332","6965","698"
"11:21:08.891466","8.136299000","2.874423000","85","52","100.64.0.2","45002","104.17.204.159","443","0","698","6965"
"11:21:09.016923","8.261756000","2.999880000","86","52","100.64.0.2","45002","104.17.204.159","443","0","698","8297"
"11:21:09.019968","8.264801000","3.002925000","87","1442","104.17.204.159","443","100.64.0.2","45002","1390","8297","698"
"11:21:09.203823","8.448656000","3.186780000","88","52","100.64.0.2","45002","104.17.204.159","443","0","698","9687"
"11:21:09.206862","8.451695000","3.189819000","89","1500","104.17.204.159","443","100.64.0.2","45002","1448","9687","698"
"11:21:09.391545","8.636378000","3.374502000","90","52","100.64.0.2","45002","104.17.204.159","443","0","698","11135"
"11:21:09.394554","8.639387000","3.377511000","91","1384","104.17.204.159","443","100.64.0.2","45002","1332","11135","698"
"11:21:09.578388","8.823221000","3.561345000","92","52","100.64.0.2","45002","104.17.204.159","443","0","698","12467"
"11:21:10.150176","9.395009000","4.133133000","93","1500","104.17.204.159","443","100.64.0.2","45002","1448","12467","698"
"11:21:10.328891","9.573724000","4.311848000","94","52","100.64.0.2","45002","104.17.204.159","443","0","698","13915"
"11:21:10.331931","9.576764000","4.314888000","95","1500","104.17.204.159","443","100.64.0.2","45002","1448","13915","698"
"11:21:10.368162","9.612995000","4.351119000","96","1326","104.17.204.159","443","100.64.0.2","45002","1274","15363","698"
